Task ID,Task Number,Start Time (s),End Time (s),Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs),Concurrent Task Count
1-3,6,0.4291,4.591,4.1619,1.4873,16.2015,41.1
1-2,6,0.2337,4.6556,4.4219,1.5224,16.2015,41.1
1-1,6,0.0714,5.8015,5.7302,1.6081,35.3044,312.36
1-5,6,0.717,6.534,5.817,1.5969,35.3044,312.36
1-7,6,1.0412,7.6014,6.5602,1.4874,57.8413,106.86
1-6,6,0.8927,7.7603,6.8676,1.5528,57.8413,106.86
1-4,6,0.5509,8.0312,7.4803,1.5276,62.6262,131.52
2-3,6,0.2314,3.0914,2.86,1.6552,16.2015,41.1
2-4,6,0.269,4.4254,4.1564,1.6031,16.2015,41.1
2-2,6,0.1139,4.7566,4.6427,1.5079,16.2015,41.1
2-7,6,0.6653,4.7749,4.1096,1.4927,16.2015,41.1
2-1,6,0.0984,5.0311,4.9327,1.4693,16.2015,41.1
2-6,6,0.5485,5.032,4.4835,1.4692,26.1889,73.98
2-5,6,0.3807,5.7501,5.3694,1.5114,35.3044,312.36
3-1,6,0.0484,5.8087,5.7603,1.5152,57.8413,106.86
3-7,6,0.9969,5.8156,4.8186,1.4987,26.1889,73.98
3-5,6,0.5919,7.3463,6.7544,1.588,35.3044,312.36
3-2,6,0.167,7.3793,7.2123,1.5501,35.3044,312.36
3-6,6,0.7788,7.6916,6.9128,1.5433,61.4555,106.86
3-3,6,0.2696,7.7091,7.4395,1.518,60.5415,123.3
3-4,6,0.4287,7.7731,7.3444,1.5147,35.3044,312.36
4-6,6,0.7827,4.5548,3.772,1.4304,16.2015,41.1
4-2,6,0.2806,7.2158,6.9352,1.4496,35.3044,312.36
4-4,6,0.5559,7.7547,7.1988,1.3932,62.6262,131.52
4-1,6,0.1632,7.7632,7.6,1.4699,35.3044,312.36
4-5,6,0.7152,7.8422,7.127,1.4152,35.3044,312.36
4-7,6,0.9516,8.0855,7.1338,1.4052,62.6262,131.52
4-3,6,0.3829,8.1099,7.727,1.4565,61.4555,106.86
5-3,6,0.4468,3.771,3.3243,1.6066,6.8019,82.2
5-4,6,0.5695,4.4507,3.8812,1.5469,6.8019,82.2
5-5,6,0.7145,4.9344,4.2199,1.3876,16.2015,41.1
5-6,6,0.7838,5.2745,4.4907,1.3844,26.1889,73.98
5-2,6,0.2873,6.7188,6.4315,1.3832,35.3044,312.36
5-1,6,0.1703,7.0399,6.8696,1.3913,62.6262,131.52
5-7,6,0.9382,7.0503,6.1121,1.4289,62.6262,131.52
6-2,6,0.3616,3.5895,3.2279,1.4094,6.8019,82.2
6-3,6,0.4754,3.7879,3.3125,1.473,6.8019,82.2
6-7,6,1.2624,4.5181,3.2557,1.4562,16.2015,41.1
6-1,6,0.1999,4.708,4.508,1.5241,16.2015,41.1
6-6,6,0.9498,6.8638,5.9141,1.4919,60.5415,123.3
6-5,6,0.7772,6.8716,6.0944,1.4941,61.4555,106.86
6-4,6,0.6084,6.8837,6.2754,1.4853,61.4555,106.86
7-4,6,0.4559,4.6608,4.2049,1.5512,26.1889,73.98
