Task ID,Task Number,Start Time (s),End Time (s),Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs),Concurrent Task Count
22-7,6,0.8754,3.2807,2.4053,1.4088,2.1256,41.1,
22-2,6,0.1328,3.3023,3.1695,1.4097,3.3407,90.42,
22-1,6,0.0631,3.3295,3.2664,1.454,1.4491,49.32,
22-6,6,0.6873,3.4116,2.7243,1.5216,2.5653,65.76,
22-3,6,0.1995,3.4493,3.2498,1.5999,2.8789,65.76,
22-4,6,0.2935,3.5542,3.2607,1.4772,3.3407,90.42,
23-1,6,0.19,2.0397,1.8496,1.7649,2.1256,41.1,
23-6,6,1.0131,3.076,2.0629,1.3997,0.2835,16.44,
23-3,6,0.4787,3.0734,2.5948,1.4078,0.901,32.88,
23-5,6,0.8405,3.1358,2.2953,1.3996,1.3501,8.22,
23-2,6,0.3232,3.1547,2.8315,1.4103,3.3407,90.42,
23-4,6,0.6651,3.1563,2.4911,1.4118,1.9988,32.88,
23-7,6,1.279,3.4209,2.1419,1.5056,3.3407,90.42,
24-1,6,0.0685,1.4712,1.4027,1.7302,1.3501,8.22,
24-2,6,0.1689,1.7754,1.6065,1.717,2.1256,41.1,
24-4,6,0.5039,2.2806,1.7767,1.488,0.2835,16.44,
24-3,6,0.3525,2.6851,2.3326,1.3895,1.7153,16.44,
24-7,6,1.1227,2.8789,1.7562,1.4872,1.4491,49.32,
24-6,6,0.8542,2.9016,2.0474,1.5164,2.5653,65.76,
24-5,6,0.6941,2.903,2.2089,1.5261,2.8789,65.76,
