Task ID,Task Number,Start Time (s),End Time (s),Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs),Concurrent Task Count
1-1,2,0.0146,1.0848,1.0701,1.824,6.8019,82.2
1-2,2,0.2038,1.1585,0.9546,1.9327,6.8019,82.2
1-3,2,0.4717,1.3677,0.8959,1.7708,11.7294,106.86
2-3,2,0.4382,1.3701,0.9319,1.7025,6.8019,82.2
2-2,2,0.2541,1.554,1.2999,1.5625,11.7294,106.86
2-1,2,0.0823,2.6521,2.5698,1.6789,60.5415,123.3
3-1,2,0.0537,1.6372,1.5836,1.5975,16.2015,41.1
3-3,2,0.4219,1.8113,1.3894,1.6162,11.7294,106.86
3-2,2,0.2385,2.8747,2.6361,1.4746,60.5415,123.3
4-1,2,0.1153,1.3292,1.2138,1.775,16.2015,41.1
4-3,2,0.5108,1.5974,1.0866,1.8564,16.2015,41.1
4-2,2,0.241,2.2614,2.0203,1.7516,35.3044,312.36
5-2,2,0.3465,1.7894,1.4429,1.7411,16.2015,41.1
5-1,2,0.1478,3.2543,3.1064,1.6158,57.8413,106.86
5-3,2,0.57,3.5413,2.9713,1.6594,60.5415,123.3
6-1,2,0.0242,3.5498,3.5256,1.5118,57.8413,106.86
6-3,2,0.3472,3.9307,3.5835,1.5286,57.8413,106.86
6-2,2,0.2056,3.9586,3.7531,1.5397,57.8413,106.86
7-1,2,0.0143,1.7966,1.7823,1.7818,26.1889,73.98
7-3,2,0.4367,2.0485,1.6118,1.5844,16.2015,41.1
7-2,2,0.1622,3.1348,2.9726,1.5604,61.4555,106.86
8-1,2,0.0798,1.3165,1.2367,1.7378,6.8019,82.2
8-3,2,0.5001,1.7116,1.2115,1.7131,11.7294,106.86
8-2,2,0.2084,2.7502,2.5418,1.6323,60.5415,123.3
9-2,2,0.3504,1.3532,1.0028,1.759,6.8019,82.2
9-1,2,0.1847,1.3759,1.1912,1.7444,11.7294,106.86
9-3,2,0.6157,1.5752,0.9595,1.5992,11.7294,106.86
10-2,2,0.2239,1.7451,1.5212,1.6337,11.7294,106.86
10-3,2,0.4969,3.1318,2.6349,1.4713,60.5415,123.3
10-1,2,0.0498,3.1544,3.1046,1.4596,60.5415,123.3
11-3,2,0.4999,1.5567,1.0568,1.9136,6.8019,82.2
11-2,2,0.2926,3.1575,2.8649,1.7033,57.8413,106.86
11-1,2,0.1807,3.1633,2.9826,1.7207,62.6262,131.52
12-3,2,0.4181,1.9951,1.577,1.6953,16.2015,41.1
12-1,2,0.1344,2.1487,2.0142,1.6864,16.2015,41.1
12-2,2,0.3042,3.3905,3.0864,1.6176,62.6262,131.52
13-2,2,0.2122,1.4766,1.2644,1.8527,11.7294,106.86
13-3,2,0.5111,1.5908,1.0797,1.8691,11.7294,106.86
13-1,2,0.0996,2.5887,2.4891,1.7097,60.5415,123.3
14-2,2,0.3423,1.8718,1.5295,1.7532,16.2015,41.1
14-3,2,0.542,2.8974,2.3553,1.5864,35.3044,312.36
14-1,2,0.1815,2.9827,2.8012,1.526,60.5415,123.3
15-2,2,0.1698,1.5553,1.3855,1.7738,11.7294,106.86
15-3,2,0.3658,1.698,1.3322,1.6728,11.7294,106.86
15-1,2,0.0573,2.8081,2.7508,1.5417,60.5415,123.3
16-3,2,0.3513,3.6004,3.2491,1.6025,60.5415,123.3
16-2,2,0.1807,3.7049,3.5241,1.6012,35.3044,312.36
16-1,2,0.0681,3.9003,3.8322,1.6042,62.6262,131.52
17-3,2,0.51,1.5212,1.0113,1.8573,6.8019,82.2
17-2,2,0.2642,3.605,3.3407,1.6728,62.6262,131.52
17-1,2,0.1492,3.6096,3.4604,1.65,60.5415,123.3
18-2,2,0.1522,1.6119,1.4597,1.6033,16.2015,41.1
18-3,2,0.3631,1.7639,1.4008,1.5569,11.7294,106.86
18-1,2,0.039,1.8879,1.8489,1.6509,26.1889,73.98
19-1,2,0.1728,1.6494,1.4766,1.6663,6.8019,82.2
19-3,2,0.483,1.7282,1.2452,1.6557,6.8019,82.2
19-2,2,0.3298,2.7641,2.4343,1.5519,35.3044,312.36
20-2,2,0.2012,1.5116,1.3104,1.7334,16.2015,41.1
20-1,2,0.0883,2.5786,2.4904,1.5915,35.3044,312.36
20-3,2,0.4357,3.0104,2.5748,1.5613,61.4555,106.86
21-2,2,0.176,1.3502,1.1742,1.8794,6.8019,82.2
21-1,2,0.0642,1.6662,1.602,1.6506,16.2015,41.1
21-3,2,0.3567,3.0417,2.685,1.6333,60.5415,123.3
22-1,2,0.0792,1.523,1.4438,1.6813,16.2015,41.1
22-2,2,0.1922,2.023,1.8308,1.6772,26.1889,73.98
22-3,2,0.4358,2.9201,2.4844,1.6437,57.8413,106.86
23-3,2,0.4328,2.2216,1.7889,1.5799,6.8019,82.2
23-2,2,0.2327,3.6656,3.4329,1.4505,60.5415,123.3
23-1,2,0.1203,3.6729,3.5525,1.445,60.5415,123.3
24-3,2,0.4484,3.8978,3.4494,1.5743,61.4555,106.86
24-2,2,0.2691,4.0466,3.7775,1.5899,60.5415,123.3
24-1,2,0.1547,4.1635,4.0089,1.6258,60.5415,123.3
25-2,2,0.2646,1.517,1.2524,1.7075,6.8019,82.2
25-3,2,0.476,1.6469,1.1709,1.6866,6.8019,82.2
25-1,2,0.1503,2.7729,2.6226,1.6969,62.6262,131.52
26-2,2,0.1555,1.7691,1.6135,1.7557,16.2015,41.1
26-3,2,0.3649,2.4765,2.1117,1.8082,26.1889,73.98
26-1,2,0.0441,3.3699,3.3258,1.6311,62.6262,131.52
27-1,2,0.1884,1.8956,1.7072,1.8792,11.7294,106.86
27-3,2,0.5654,2.3116,1.7463,1.6736,26.1889,73.98
27-2,2,0.3528,3.2,2.8471,1.8105,61.4555,106.86
28-1,2,0.1613,1.7687,1.6075,1.6613,6.8019,82.2
28-3,2,0.3833,1.9959,1.6125,1.6313,11.7294,106.86
28-2,2,0.1768,2.127,1.9502,1.5885,26.1889,73.98
29-1,2,0.1464,4.2074,4.061,1.6737,61.4555,106.86
29-3,2,0.5205,4.7633,4.2428,1.6812,60.5415,123.3
29-2,2,0.3074,5.1108,4.8033,1.5302,62.6262,131.52
30-1,2,0.059,3.8888,3.8298,1.5543,62.6262,131.52
30-2,2,0.2553,3.905,3.6497,1.5272,60.5415,123.3
30-3,2,0.523,4.2524,3.7295,1.5527,62.6262,131.52
31-3,2,0.5855,2.3,1.7145,1.599,26.1889,73.98
31-1,2,0.1261,2.9192,2.7931,1.5723,57.8413,106.86
31-2,2,0.2985,3.0805,2.782,1.6317,35.3044,312.36
32-2,2,0.3832,1.3571,0.9739,1.764,6.8019,82.2
32-1,2,0.2009,1.4871,1.2862,1.6275,16.2015,41.1
32-3,2,0.5606,2.3176,1.757,1.754,35.3044,312.36
33-1,2,0.0932,1.3444,1.2512,1.6764,6.8019,82.2
33-2,2,0.256,1.7135,1.4576,1.6333,16.2015,41.1
33-3,2,0.4432,3.0714,2.6282,1.6039,61.4555,106.86
34-3,2,0.4116,2.0647,1.6532,1.7812,11.7294,106.86
34-1,2,0.1342,2.8602,2.726,1.6939,35.3044,312.36
34-2,2,0.2805,3.1054,2.8249,1.5927,57.8413,106.86
35-2,2,0.2181,1.6822,1.4641,1.7793,6.8019,82.2
35-1,2,0.0955,1.7736,1.6781,1.7092,11.7294,106.86
35-3,2,0.3275,2.6201,2.2926,1.5018,35.3044,312.36
36-2,2,0.2141,3.5732,3.359,1.8072,35.3044,312.36
36-1,2,0.0471,3.7832,3.7362,1.6636,62.6262,131.52
36-3,2,0.4035,3.78,3.3765,1.6636,61.4555,106.86
37-3,2,0.5219,2.7788,2.257,1.7225,26.1889,73.98
37-1,2,0.1351,3.7245,3.5894,1.7002,62.6262,131.52
37-2,2,0.2961,4.0422,3.7462,1.7022,60.5415,123.3
38-3,2,0.4712,1.6612,1.1899,1.6784,11.7294,106.86
38-2,2,0.2741,1.6851,1.411,1.6914,11.7294,106.86
38-1,2,0.1605,2.7737,2.6132,1.6748,60.5415,123.3
39-3,2,0.6602,1.7952,1.135,1.7408,6.8019,82.2
39-2,2,0.2858,2.7927,2.5069,1.7364,35.3044,312.36
39-1,2,0.1362,2.9011,2.7648,1.6986,62.6262,131.52
40-2,2,0.3312,1.53,1.1988,1.8766,6.8019,82.2
40-3,2,0.5098,3.6886,3.1788,1.6146,61.4555,106.86
40-1,2,0.1841,3.7101,3.526,1.6392,60.5415,123.3
41-3,2,0.6307,2.6874,2.0567,1.5386,16.2015,41.1
41-1,2,0.1836,3.2531,3.0695,1.5344,61.4555,106.86
41-2,2,0.3332,4.1251,3.7919,1.4771,62.6262,131.52
42-1,2,0.1515,3.4994,3.3479,1.6961,60.5415,123.3
42-2,2,0.2673,3.5033,3.2359,1.7153,60.5415,123.3
42-3,2,0.5396,3.6503,3.1106,1.6816,35.3044,312.36
43-1,2,0.0723,1.471,1.3986,1.9667,6.8019,82.2
43-2,2,0.2617,1.9744,1.7126,1.6891,26.1889,73.98
43-3,2,0.4735,1.9757,1.5022,1.6891,16.2015,41.1
44-3,2,0.3874,2.2768,1.8894,1.8205,11.7294,106.86
44-1,2,0.0249,3.5255,3.5006,1.5673,62.6262,131.52
44-2,2,0.2186,3.5313,3.3127,1.5677,60.5415,123.3
45-3,2,0.4487,2.0973,1.6486,1.6129,6.8019,82.2
45-1,2,0.0752,3.4609,3.3857,1.5985,57.8413,106.86
45-2,2,0.2562,3.7726,3.5163,1.5667,60.5415,123.3
46-3,2,0.5503,1.9209,1.3706,1.7151,6.8019,82.2
46-1,2,0.1105,2.8026,2.6921,1.7322,61.4555,106.86
