Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
1,34,0.0437,2.3881,0.171,26,0.1964,1.383,[0.0002],[9.2275]
1,34,0.0155,5.5421,3.9137,33,5.7029,1.4296,[0.0002],[9.2275]
1,26,0.0394,0.0769,0.3709,30,1.3463,1.4799,[0.0002],[0.1964]
1,32,0.0442,4.7531,5.3603,33,5.7029,1.4958,[0.0003],[3.5246]
1,35,0.0302,6.193,3.011,31,2.1783,1.35,[0.0003],[14.9304]
1,31,0.0309,1.4904,1.073,29,0.832,1.6353,[0.0003],[2.1783]
1,27,0.0447,0.1463,0.6272,31,2.1783,1.4594,[0.0002],[0.3178]
1,26,0.0348,0.0765,0.0649,25,0.1214,1.4424,[0.0002],[0.1964]
1,35,0.0318,7.7967,4.9454,32,3.5246,1.5443,[0.0003],[14.9304]
1,26,0.0229,0.0965,1.4533,33,5.7029,1.4969,[0.0003],[0.1964]
1,26,0.0369,0.0937,0.8944,32,3.5246,1.5258,[0.0002],[0.1964]
1,33,0.0336,2.3391,1.0801,29,0.832,1.3593,[0.0002],[5.7029]
1,25,0.0299,0.0396,0.067,26,0.1964,1.5243,[0.0001],[0.1214]
1,32,0.045,1.7991,1.064,29,0.832,1.4093,[0.0001],[3.5246]
1,35,0.0395,4.2376,1.073,29,0.832,1.509,[0.0001],[14.9304]
1,26,0.0391,0.0844,0.2475,29,0.832,1.4779,[0.0003],[0.1964]
1,32,0.0419,4.7607,5.3722,33,5.7029,1.3643,[0.0002],[3.5246]
1,27,0.041,0.1747,0.206,27,0.3178,1.4624,[0.0003],[0.3178]
1,26,0.0471,0.047,0.0573,26,0.1964,1.4666,[0.0002],[0.1964]
1,25,0.0293,0.0293,0.8541,32,3.5246,1.4721,[0.0002],[0.1214]
1,31,0.0351,1.9847,1.6736,32,3.5246,1.4117,[0.0002],[2.1783]
1,28,0.0203,0.3506,0.2096,27,0.3178,1.4796,[0.0003],[0.5142]
1,35,0.0477,14.6285,13.1916,34,9.2275,1.4105,[0.0002],[14.9304]
1,34,0.046,3.5158,1.6924,30,1.3463,1.429,[0.0002],[9.2275]
1,34,0.0375,2.8058,0.6357,30,1.3463,1.3612,[0.0003],[9.2275]
1,28,0.0295,0.2009,0.0767,25,0.1214,1.3738,[0.0003],[0.5142]
1,34,0.0353,11.0279,11.4348,34,9.2275,1.3931,[0.0002],[9.2275]
1,28,0.0493,0.194,2.3965,34,9.2275,1.4106,[0.0003],[0.5142]
1,32,0.0383,3.2835,3.0011,31,2.1783,1.3981,[0.0002],[3.5246]
1,32,0.0502,0.9154,0.081,25,0.1214,1.4352,[0.0003],[3.5246]
1,31,0.0365,2.0628,1.7805,30,1.3463,1.4502,[0.0002],[2.1783]
1,30,0.0209,0.5033,0.1596,26,0.1964,1.5381,[0.0003],[1.3463]
1,33,0.0433,2.2847,1.8263,30,1.3463,1.4378,[0.0002],[5.7029]
1,32,0.0289,1.0386,0.1791,26,0.1964,1.3986,[0.0003],[3.5246]
1,34,0.0372,3.4502,1.4287,30,1.3463,1.3833,[0.0002],[9.2275]
1,32,0.0407,4.7192,4.7899,32,3.5246,1.4132,[0.0003],[3.5246]
1,28,0.0277,0.5455,1.3449,32,3.5246,1.3339,[0.0003],[0.5142]
1,26,0.0301,0.0674,0.0643,26,0.1964,1.4563,[0.0002],[0.1964]
1,27,0.0264,0.201,0.2883,29,0.832,1.464,[0.0002],[0.3178]
1,29,0.0384,0.6188,0.4518,29,0.832,1.4178,[0.0002],[0.832]
1,25,0.033,0.041,0.0934,27,0.3178,1.4772,[0.0002],[0.1214]
1,33,0.0171,4.632,3.8298,32,3.5246,1.3782,[0.0002],[5.7029]
1,28,0.0433,0.4006,0.6131,30,1.3463,1.3532,[0.0003],[0.5142]
1,32,0.0404,4.6772,5.3095,33,5.7029,1.4553,[0.0002],[3.5246]
1,30,0.0376,0.4943,0.3339,27,0.3178,1.426,[0.0003],[1.3463]
1,31,0.036,2.867,5.4011,35,14.9304,1.3933,[0.0002],[2.1783]
1,25,0.037,0.037,0.056,26,0.1964,1.4445,[0.0003],[0.1214]
1,35,0.0453,5.1395,1.8136,30,1.3463,1.5399,[0.0003],[14.9304]
1,34,0.0446,2.2961,0.081,25,0.1214,1.5011,[0.0003],[9.2275]
1,33,0.0224,5.5719,4.9693,33,5.7029,1.3607,[0.0002],[5.7029]
1,34,0.0396,2.3513,0.18,26,0.1964,1.4299,[0.0003],[9.2275]
1,35,0.0414,20.484,20.3119,35,14.9304,1.3552,[0.0003],[14.9304]
1,34,0.0456,2.9375,1.0751,29,0.832,1.4646,[0.0002],[9.2275]
1,28,0.0321,0.4828,1.7532,33,5.7029,1.3665,[0.0003],[0.5142]
1,32,0.0214,4.8507,7.673,35,14.9304,1.4802,[0.0002],[3.5246]
1,30,0.0343,0.9357,0.6555,28,0.5142,1.3929,[0.0003],[1.3463]
1,30,0.0448,0.9412,0.6663,28,0.5142,1.4998,[0.0003],[1.3463]
1,31,0.0406,0.7433,0.2113,26,0.1964,1.4127,[0.0002],[2.1783]
1,28,0.0393,0.2146,0.1088,25,0.1214,1.4496,[0.0002],[0.5142]
1,34,0.0315,6.4196,4.9404,32,3.5246,1.4048,[0.0002],[9.2275]
1,28,0.0257,0.5034,1.8341,33,5.7029,1.4519,[0.0004],[0.5142]
