Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
3,90,0.153,12.1673,8.6403,33,5.7029,1.5082,"[0.0003, 0.0361, 0.087]","[9.2275, 0.3178, 0.832]"
3,92,0.169,9.1237,1.8747,29,0.832,1.3885,"[0.0004, 0.0478, 0.1083]","[14.9304, 0.3178, 1.3463]"
3,96,0.197,29.8101,3.454,30,1.3463,1.5288,"[0.0003, 0.0446, 0.1159]","[9.2275, 0.5142, 9.2275]"
3,93,0.1853,12.0609,2.7796,30,1.3463,1.4073,"[0.0004, 0.0331, 0.0891]","[0.3178, 2.1783, 14.9304]"
3,82,0.0965,3.666,3.2433,31,2.1783,1.5788,"[0.0003, 0.0283, 0.0556]","[0.1214, 0.1214, 3.5246]"
3,98,0.1437,39.5993,12.9564,33,5.7029,1.5802,"[0.0002, 0.0472, 0.1083]","[9.2275, 9.2275, 1.3463]"
3,101,0.2468,59.4968,22.0834,34,9.2275,1.416,"[0.0003, 0.0437, 0.1149]","[9.2275, 14.9304, 3.5246]"
3,89,0.1121,5.6039,0.8419,27,0.3178,1.4633,"[0.0002, 0.0225, 0.048]","[0.832, 0.5142, 3.5246]"
3,92,0.2622,10.916,2.8755,28,0.5142,1.359,"[0.0003, 0.0437, 0.12]","[0.832, 3.5246, 2.1783]"
3,84,0.2495,1.6135,0.3124,26,0.1964,1.5025,"[0.0003, 0.0421, 0.1133]","[0.3178, 2.1783, 0.1964]"
3,84,0.1711,5.3428,6.4744,34,9.2275,1.6469,"[0.0003, 0.0348, 0.1011]","[0.3178, 3.5246, 0.1214]"
3,86,0.2094,5.0441,5.7737,35,14.9304,1.5093,"[0.0004, 0.0466, 0.1283]","[1.3463, 0.832, 0.3178]"
3,89,0.3436,12.3736,8.9104,33,5.7029,1.4885,"[0.0003, 0.0423, 0.181]","[5.7029, 1.3463, 0.1964]"
3,93,0.1844,9.881,0.0751,25,0.1214,1.4709,"[0.0003, 0.0372, 0.1338]","[2.1783, 5.7029, 0.832]"
