Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
9,283,0.7085,169.8633,10.9586,31,2.1783,1.2604,"[0.0002, 0.0357, 0.0673, 0.1944, 0.2606, 0.3262, 0.3878, 0.4338, 0.4847]","[5.7029, 5.7029, 0.1214, 9.2275, 1.3463, 3.5246, 9.2275, 9.2275, 0.5142]"
9,270,1.1649,72.5603,8.6429,31,2.1783,1.2438,"[0.0003, 0.0427, 0.1138, 0.18, 0.3326, 0.4091, 0.6595, 1.0107, 1.1042]","[1.3463, 3.5246, 1.3463, 0.1964, 0.1214, 5.7029, 14.9304, 0.3178, 3.5246]"
9,261,0.796,57.7967,9.6491,33,5.7029,1.226,"[0.0003, 0.0386, 0.0875, 0.108, 0.154, 0.216, 0.4047, 0.4911, 0.6949]","[0.1964, 0.1214, 2.1783, 9.2275, 2.1783, 0.5142, 9.2275, 0.3178, 0.1214]"
9,290,1.3366,196.7524,0.9502,25,0.1214,1.201,"[0.0003, 0.039, 0.0848, 0.1458, 0.5476, 0.6441, 0.662, 0.7152, 1.0536]","[0.5142, 0.832, 2.1783, 14.9304, 9.2275, 14.9304, 5.7029, 3.5246, 5.7029]"
9,260,0.9942,34.3179,2.4595,29,0.832,1.2438,"[0.0003, 0.0418, 0.0876, 0.2095, 0.3164, 0.4092, 0.6164, 0.6824, 0.7539]","[0.5142, 0.832, 1.3463, 0.1214, 0.3178, 0.3178, 2.1783, 2.1783, 3.5246]"
9,286,2.1171,188.099,3.4048,28,0.5142,1.2615,"[0.0003, 0.0242, 0.0599, 0.1261, 0.2101, 0.3474, 0.9218, 1.2976, 1.4955]","[14.9304, 1.3463, 9.2275, 14.9304, 0.5142, 0.832, 14.9304, 0.832, 2.1783]"
9,289,1.019,197.4268,18.8828,32,3.5246,1.2844,"[0.0003, 0.0212, 0.1127, 0.1535, 0.2145, 0.3466, 0.4887, 0.7122, 0.8164]","[14.9304, 5.7029, 9.2275, 3.5246, 0.1964, 3.5246, 3.5246, 1.3463, 14.9304]"
9,285,1.1158,225.2535,0.5202,25,0.1214,1.2063,"[0.0003, 0.0359, 0.102, 0.1834, 0.382, 0.4091, 0.4888, 0.5958, 1.0208]","[14.9304, 14.9304, 14.9304, 0.1964, 14.9304, 0.832, 0.5142, 0.832, 5.7029]"
9,278,2.3814,95.7538,0.4314,26,0.1964,1.2021,"[0.0003, 0.0408, 0.1069, 0.1628, 0.1857, 0.3384, 1.1264, 1.4903, 2.3013]","[2.1783, 3.5246, 2.1783, 9.2275, 1.3463, 2.1783, 2.1783, 0.1964, 3.5246]"
9,275,0.6035,96.473,6.4,30,1.3463,1.2156,"[0.0003, 0.0441, 0.0798, 0.0972, 0.1431, 0.2802, 0.4934, 0.5256, 0.5665]","[0.5142, 9.2275, 0.3178, 9.2275, 2.1783, 0.1964, 5.7029, 1.3463, 3.5246]"
9,273,1.6996,75.2749,1.3737,25,0.1214,1.2146,"[0.0003, 0.0357, 0.1068, 0.3101, 0.4255, 0.6543, 1.1274, 1.2896, 1.6302]","[1.3463, 0.832, 1.3463, 5.7029, 0.5142, 14.9304, 0.1964, 9.2275, 0.5142]"
9,266,0.9088,69.7405,7.13,31,2.1783,1.3354,"[0.0002, 0.04, 0.0958, 0.1365, 0.2382, 0.2907, 0.3168, 0.3372, 0.4396]","[0.5142, 0.5142, 0.1214, 14.9304, 1.3463, 14.9304, 0.832, 0.3178, 0.832]"
9,260,1.0529,45.6364,13.7434,33,5.7029,1.2344,"[0.0003, 0.0441, 0.1406, 0.1965, 0.2919, 0.526, 0.6663, 0.7223, 0.8087]","[5.7029, 0.1964, 3.5246, 0.832, 0.5142, 0.1214, 0.1964, 3.5246, 0.832]"
9,270,1.6157,78.6138,5.1919,30,1.3463,1.2146,"[0.0003, 0.0363, 0.07, 0.1309, 0.187, 0.3852, 1.1727, 1.3191, 1.3757]","[2.1783, 0.832, 3.5246, 2.1783, 0.3178, 9.2275, 14.9304, 0.1214, 0.1964]"
9,260,1.1297,43.0124,10.9058,32,3.5246,1.2188,"[0.0003, 0.0216, 0.1994, 0.2301, 0.3217, 0.4492, 0.7089, 0.8615, 0.8866]","[0.5142, 0.1964, 1.3463, 2.1783, 5.7029, 0.1964, 2.1783, 0.1214, 1.3463]"
9,277,1.7753,101.7309,1.5932,27,0.3178,1.2479,"[0.0003, 0.0233, 0.3638, 0.4884, 0.621, 0.7899, 1.0625, 1.6331, 1.6943]","[1.3463, 0.3178, 0.5142, 0.1964, 2.1783, 5.7029, 5.7029, 9.2275, 14.9304]"
9,274,0.8688,98.2318,4.1345,29,0.832,1.201,"[0.0003, 0.0307, 0.1019, 0.2349, 0.2966, 0.3905, 0.4567, 0.6657, 0.7726]","[0.1964, 0.3178, 5.7029, 9.2275, 0.5142, 14.9304, 5.7029, 0.5142, 1.3463]"
9,258,0.944,35.825,12.9847,35,14.9304,1.2552,"[0.0003, 0.0219, 0.0931, 0.1775, 0.3048, 0.525, 0.577, 0.7071, 0.8513]","[0.832, 0.3178, 0.3178, 3.5246, 0.5142, 3.5246, 0.1214, 0.3178, 2.1783]"
9,281,2.9567,115.3304,0.8577,25,0.1214,1.2438,"[0.0002, 0.0401, 0.1163, 0.1723, 0.2995, 0.513, 0.884, 1.7892, 2.3936]","[1.3463, 9.2275, 1.3463, 0.5142, 9.2275, 0.5142, 2.1783, 5.7029, 5.7029]"
9,276,1.4203,127.6446,11.6152,31,2.1783,1.2,"[0.0003, 0.05, 0.1059, 0.2024, 0.4984, 0.7765, 0.8685, 1.0992, 1.1772]","[2.1783, 3.5246, 0.3178, 0.3178, 0.1964, 14.9304, 0.5142, 14.9304, 14.9304]"
9,265,0.7393,66.8725,16.0303,33,5.7029,1.2084,"[0.0003, 0.0361, 0.062, 0.2335, 0.3122, 0.3434, 0.4317, 0.4932, 0.6984]","[0.1214, 1.3463, 0.1964, 9.2275, 0.1214, 14.9304, 0.832, 0.832, 3.5246]"
9,270,1.1456,70.1357,19.139,34,9.2275,1.2432,"[0.0003, 0.0487, 0.0843, 0.1555, 0.303, 0.5369, 0.7247, 0.9885, 1.0103]","[1.3463, 1.3463, 14.9304, 0.832, 3.5246, 0.1964, 0.832, 0.5142, 2.1783]"
9,277,0.7999,129.2099,8.699,31,2.1783,1.2552,"[0.0003, 0.0429, 0.0634, 0.1447, 0.3736, 0.5087, 0.5454, 0.6525, 0.6909]","[5.7029, 5.7029, 0.1964, 0.1964, 5.7029, 5.7029, 2.1783, 5.7029, 0.832]"
9,279,1.46,127.9258,1.8052,28,0.5142,1.2208,"[0.0003, 0.04, 0.0908, 0.1672, 0.2742, 0.3515, 0.3729, 0.4925, 0.9876]","[3.5246, 0.1964, 9.2275, 9.2275, 2.1783, 14.9304, 0.5142, 0.1964, 5.7029]"
9,275,2.1387,126.0473,32.3617,34,9.2275,1.2982,"[0.0003, 0.0243, 0.0451, 0.1113, 0.1571, 0.2791, 0.3064, 1.0731, 1.9766]","[14.9304, 3.5246, 14.9304, 0.5142, 0.832, 0.832, 3.5246, 1.3463, 0.1214]"
9,273,1.0287,88.2125,7.2353,30,1.3463,1.2035,"[0.0003, 0.0503, 0.1012, 0.152, 0.2131, 0.3198, 0.4418, 0.5788, 0.7448]","[9.2275, 2.1783, 9.2275, 0.5142, 1.3463, 2.1783, 3.5246, 0.5142, 0.1214]"
9,272,1.1655,96.8338,11.5616,32,3.5246,1.2458,"[0.0003, 0.0393, 0.0751, 0.1615, 0.233, 0.5422, 0.691, 0.9414, 1.0228]","[0.5142, 0.832, 0.1214, 0.832, 0.3178, 1.3463, 9.2275, 14.9304, 14.9304]"
9,271,1.12,94.385,0.8076,27,0.3178,1.2396,"[0.0002, 0.0377, 0.0992, 0.1857, 0.2367, 0.3741, 0.4301, 0.8203, 0.8816]","[0.1214, 3.5246, 5.7029, 0.1214, 3.5246, 0.3178, 5.7029, 3.5246, 3.5246]"
9,253,0.604,16.6549,0.6338,25,0.1214,1.2552,"[0.0003, 0.037, 0.0628, 0.2238, 0.2846, 0.3699, 0.435, 0.4866, 0.5199]","[0.1214, 0.3178, 0.1964, 0.1964, 0.5142, 2.1783, 0.1964, 14.9304, 0.832]"
9,259,0.9209,51.9659,19.8323,35,14.9304,1.2385,"[0.0003, 0.0373, 0.0681, 0.1545, 0.2314, 0.2574, 0.5722, 0.6401, 0.8024]","[0.1214, 9.2275, 3.5246, 0.1964, 0.3178, 0.832, 0.5142, 0.1964, 3.5246]"
9,269,0.9162,66.7513,8.2274,31,2.1783,1.2417,"[0.0003, 0.0482, 0.1041, 0.155, 0.4028, 0.4588, 0.5721, 0.8217, 0.8856]","[0.832, 3.5246, 0.1964, 1.3463, 0.1964, 9.2275, 3.5246, 0.832, 2.1783]"
9,266,1.3539,52.9345,4.2412,29,0.832,1.2072,"[0.0002, 0.0268, 0.103, 0.1743, 0.3568, 0.4248, 0.7165, 0.7776, 0.8336]","[2.1783, 0.1964, 0.1214, 0.832, 1.3463, 1.3463, 9.2275, 0.832, 3.5246]"
9,258,0.8777,32.3984,0.5735,25,0.1214,1.2156,"[0.0003, 0.0404, 0.0688, 0.2284, 0.47, 0.5002, 0.5716, 0.762, 0.8464]","[9.2275, 0.1214, 0.3178, 0.1964, 0.1214, 0.832, 1.3463, 5.7029, 0.832]"
