Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
4,122,0.3158,28.9553,0.5639,26,0.1964,1.2823,"[0.0004, 0.0263, 0.1127, 0.1586]","[9.2275, 0.5142, 0.1964, 9.2275]"
4,124,0.313,43.7099,21.7052,35,14.9304,1.401,"[0.0003, 0.0384, 0.0942, 0.1654]","[3.5246, 9.2275, 0.1214, 5.7029]"
4,128,0.1803,34.8394,0.4345,26,0.1964,1.2417,"[0.0002, 0.0295, 0.0753, 0.1413]","[0.1964, 14.9304, 5.7029, 9.2275]"
4,128,0.24,71.0875,20.5584,34,9.2275,1.2437,"[0.0003, 0.0267, 0.0724, 0.164]","[3.5246, 0.1964, 14.9304, 14.9304]"
4,118,0.3529,10.3431,2.8255,30,1.3463,1.3031,"[0.0002, 0.043, 0.1649, 0.2412]","[1.3463, 0.832, 5.7029, 0.1964]"
4,119,0.2444,12.9464,1.8827,28,0.5142,1.2594,"[0.0003, 0.0419, 0.0826, 0.1792]","[2.1783, 9.2275, 0.832, 0.1214]"
4,125,0.2887,17.7303,0.3989,25,0.1214,1.3021,"[0.0002, 0.0452, 0.1111, 0.2381]","[2.1783, 3.5246, 14.9304, 0.3178]"
4,129,0.6898,40.3042,14.4712,35,14.9304,1.2688,"[0.0002, 0.0392, 0.0646, 0.4966]","[3.5246, 5.7029, 2.1783, 5.7029]"
4,126,0.3278,30.4435,5.0302,31,2.1783,1.2552,"[0.0002, 0.0331, 0.1295, 0.1652]","[3.5246, 3.5246, 0.832, 5.7029]"
4,123,0.3742,15.1273,0.7337,27,0.3178,1.2552,"[0.0002, 0.0346, 0.1005, 0.1572]","[0.1964, 5.7029, 2.1783, 5.7029]"
4,123,0.279,45.0253,0.8163,26,0.1964,1.2437,"[0.0003, 0.0352, 0.1113, 0.1775]","[14.9304, 14.9304, 0.5142, 0.1214]"
4,123,0.2102,17.479,2.7432,28,0.5142,1.2969,"[0.0003, 0.0219, 0.0528, 0.0884]","[2.1783, 0.832, 1.3463, 5.7029]"
4,113,0.246,7.3157,6.8659,35,14.9304,1.2563,"[0.0002, 0.038, 0.1091, 0.2055]","[0.832, 2.1783, 0.1964, 0.3178]"
4,103,0.1987,1.0511,0.2904,26,0.1964,1.2994,"[0.0002, 0.0308, 0.0866, 0.1416]","[0.1964, 0.1964, 0.1964, 0.1214]"
4,124,0.4215,38.9114,2.2884,29,0.832,1.2948,"[0.0001, 0.0404, 0.1368, 0.2893]","[14.9304, 14.9304, 0.1214, 0.832]"
4,117,0.2278,6.589,0.5024,25,0.1214,1.2438,"[0.0002, 0.0399, 0.116, 0.1923]","[2.1783, 0.832, 2.1783, 0.1964]"
4,115,0.5506,5.154,0.3181,25,0.1214,1.2823,"[0.0002, 0.0373, 0.1642, 0.1998]","[3.5246, 0.5142, 0.1964, 0.832]"
4,131,0.3984,50.7954,1.1228,26,0.1964,1.2438,"[0.0001, 0.0281, 0.0738, 0.1297]","[9.2275, 5.7029, 14.9304, 0.832]"
4,107,0.2355,3.137,1.848,30,1.3463,1.2677,"[0.0002, 0.0373, 0.1135, 0.1847]","[1.3463, 0.1964, 0.1214, 0.1964]"
4,121,0.2289,19.8901,0.5606,27,0.3178,1.2844,"[0.0002, 0.0304, 0.0965, 0.1829]","[5.7029, 2.1783, 3.5246, 0.1214]"
4,119,0.1851,18.3514,7.3758,32,3.5246,1.2312,"[0.0002, 0.0274, 0.0732, 0.1343]","[2.1783, 1.3463, 5.7029, 0.1214]"
4,130,0.4167,38.4998,3.7762,29,0.832,1.2594,"[0.0003, 0.0254, 0.1727, 0.2084]","[14.9304, 2.1783, 2.1783, 5.7029]"
4,120,0.9021,12.2579,1.811,28,0.5142,1.2313,"[0.0003, 0.0428, 0.1515, 0.2191]","[2.1783, 0.1214, 14.9304, 0.832]"
4,114,0.3032,5.6906,0.6064,27,0.3178,1.2146,"[0.0003, 0.0255, 0.0504, 0.1368]","[9.2275, 0.1214, 0.5142, 0.3178]"
4,114,0.1825,8.8845,5.87,34,9.2275,1.3135,"[0.0002, 0.0198, 0.0504, 0.1368]","[2.1783, 0.3178, 1.3463, 0.1964]"
