Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
7,214,1.2072,42.8671,1.0744,25,0.1214,1.3268,"[0.0003, 0.033, 0.0789, 0.14, 0.2621, 0.3232, 0.6891]","[5.7029, 1.3463, 1.3463, 2.1783, 3.5246, 1.3463, 0.5142]"
7,205,0.6092,27.2133,1.135,27,0.3178,1.5247,"[0.0003, 0.0383, 0.0603, 0.101, 0.1368, 0.3808, 0.4704]","[0.3178, 9.2275, 0.5142, 0.3178, 1.3463, 0.1964, 5.7029]"
7,227,0.7886,110.6049,6.5905,31,2.1783,1.4205,"[0.0003, 0.0261, 0.0771, 0.245, 0.5042, 0.5306, 0.6417]","[2.1783, 0.832, 14.9304, 2.1783, 14.9304, 5.7029, 5.7029]"
7,216,0.6722,65.5274,4.3578,29,0.832,1.4014,"[0.0003, 0.0368, 0.0877, 0.1745, 0.3528, 0.5099, 0.5863]","[0.1964, 14.9304, 2.1783, 2.1783, 1.3463, 14.9304, 0.5142]"
7,206,0.5384,34.5886,1.0901,27,0.3178,1.341,"[0.0002, 0.0258, 0.0915, 0.1223, 0.3937, 0.4459, 0.4877]","[1.3463, 0.1214, 0.1214, 3.5246, 1.3463, 3.5246, 3.5246]"
7,201,0.6287,17.3873,4.4617,30,1.3463,1.3372,"[0.0003, 0.0422, 0.0982, 0.1886, 0.3768, 0.5004, 0.5469]","[0.3178, 2.1783, 0.1964, 0.1964, 2.1783, 0.1964, 9.2275]"
7,198,0.7169,23.124,10.7635,33,5.7029,1.4442,"[0.0003, 0.0301, 0.0861, 0.1929, 0.2287, 0.2819, 0.5956]","[14.9304, 0.3178, 0.5142, 0.1214, 0.1214, 3.5246, 0.1964]"
7,215,1.8994,71.5433,16.71,33,5.7029,1.4144,"[0.0002, 0.021, 0.0617, 0.138, 0.3464, 0.5549, 1.6943]","[9.2275, 0.832, 9.2275, 1.3463, 5.7029, 0.1214, 1.3463]"
7,216,0.8751,54.0203,17.8186,34,9.2275,1.3855,"[0.0003, 0.027, 0.0829, 0.1591, 0.4028, 0.4941, 0.6513]","[1.3463, 0.5142, 14.9304, 5.7029, 0.832, 3.5246, 0.832]"
7,222,0.4772,96.5787,9.6571,32,3.5246,1.425,"[0.0003, 0.0247, 0.0757, 0.1418, 0.1929, 0.2591, 0.3203]","[2.1783, 9.2275, 1.3463, 0.832, 0.832, 14.9304, 9.2275]"
7,218,2.1674,93.8249,6.0316,31,2.1783,1.3519,"[0.0003, 0.0449, 0.0806, 0.1315, 0.3502, 0.9557, 1.3315]","[14.9304, 0.1964, 9.2275, 2.1783, 9.2275, 0.832, 0.832]"
7,206,0.8529,31.1633,9.7179,33,5.7029,1.3142,"[0.0003, 0.0482, 0.0889, 0.1347, 0.2161, 0.2873, 0.6554]","[1.3463, 2.1783, 0.3178, 0.1214, 14.9304, 2.1783, 0.3178]"
7,225,0.3948,124.5516,36.645,35,14.9304,1.478,"[0.0003, 0.0339, 0.0848, 0.1763, 0.2171, 0.3289, 0.3506]","[9.2275, 1.3463, 14.9304, 5.7029, 3.5246, 0.832, 3.5246]"
7,222,0.9548,109.5159,21.3922,33,5.7029,1.4552,"[0.0003, 0.0365, 0.0722, 0.093, 0.1745, 0.3977, 0.8092]","[5.7029, 0.832, 14.9304, 1.3463, 5.7029, 14.9304, 0.3178]"
7,221,0.608,101.9088,25.7231,35,14.9304,1.4757,"[0.0003, 0.0379, 0.0816, 0.1377, 0.1612, 0.2548, 0.4611]","[1.3463, 0.832, 5.7029, 5.7029, 5.7029, 9.2275, 0.832]"
7,203,0.9507,26.1081,13.4441,34,9.2275,1.3346,"[0.0003, 0.0302, 0.071, 0.1015, 0.1322, 0.3914, 0.6867]","[0.832, 0.1964, 9.2275, 2.1783, 0.5142, 0.1964, 0.832]"
