Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Avg task start time,Avg task operations (GFLOPs)
5,157,0.3205,56.1914,21.1646,34,9.2275,1.2744,0.1241,4.1902
5,155,0.1993,55.5164,21.1341,34,9.2275,1.2975,0.0834,4.5866
5,147,0.2369,12.8759,4.3763,31,2.1783,1.2709,0.0825,3.4217
5,150,0.2358,16.5983,1.9284,28,0.5142,1.2677,0.0944,1.9091
5,163,0.405,63.6023,0.2495,25,0.1214,1.2612,0.136,7.382
5,150,0.2793,28.3538,0.6021,26,0.1964,1.2604,0.0948,3.7545
5,148,0.2069,20.6425,6.1717,31,2.1783,1.2917,0.0721,3.9452
5,139,0.3625,5.9617,3.0143,31,2.1783,1.2958,0.0704,0.9499
5,152,0.2758,34.3241,0.9332,27,0.3178,1.2302,0.0935,3.5246
5,152,0.3163,31.0458,11.9286,33,5.7029,1.2802,0.0713,2.384
5,152,0.4527,28.7793,7.9313,33,5.7029,1.2344,0.1052,1.6791
5,150,0.5568,20.1877,1.617,28,0.5142,1.2573,0.1682,2.3204
5,145,1.3222,9.3943,0.4325,25,0.1214,1.2594,0.2556,2.4476
5,148,0.5125,23.9251,5.1369,33,5.7029,1.2844,0.1512,3.2403
5,153,0.4067,22.8105,4.7785,31,2.1783,1.2438,0.1042,4.4987
5,149,0.3612,31.2999,0.5076,26,0.1964,1.2594,0.106,5.0222
5,148,0.3596,20.6953,7.5454,32,3.5246,1.2688,0.1417,3.6124
5,139,0.247,7.812,1.0904,28,0.5142,1.249,0.0784,0.9834
5,149,0.332,32.5594,13.8896,33,5.7029,1.3646,0.1053,3.3339
5,154,0.3504,41.3337,3.3605,29,0.832,1.276,0.1146,5.3065
5,149,0.355,24.285,7.9751,32,3.5246,1.2313,0.1191,4.0481
5,148,0.5088,20.9819,10.6989,35,14.9304,1.3406,0.112,1.7184
5,151,0.3478,33.2141,1.7899,28,0.5142,1.2875,0.1165,5.3308
5,154,0.2839,43.9066,1.1698,27,0.3178,1.2344,0.1053,5.6636
5,150,0.3895,16.6328,0.9358,26,0.1964,1.2906,0.1227,3.691
5,150,0.6665,18.2829,3.3487,30,1.3463,1.2594,0.135,2.5504
5,145,0.3087,16.5404,1.1652,28,0.5142,1.2302,0.0844,2.1633
5,154,0.4499,47.8101,16.1466,33,5.7029,1.3135,0.1761,3.5881
5,146,0.3193,14.2732,0.9275,27,0.3178,1.2302,0.1102,1.8698
5,138,0.3668,8.0773,5.7057,32,3.5246,1.3,0.1294,1.3555
5,138,0.2518,16.2497,13.5439,34,9.2275,1.3438,0.0968,3.1375
5,149,0.535,39.4907,24.8359,35,14.9304,1.2583,0.1238,4.3323
5,164,0.7942,112.8652,38.8384,35,14.9304,1.2594,0.0805,8.3561
5,141,0.3268,9.7824,1.0124,26,0.1964,1.2635,0.1038,1.2677
5,142,0.2388,10.5702,4.307,31,2.1783,1.2937,0.0956,2.2419
5,159,0.3964,71.7713,1.544,26,0.1964,1.2625,0.1475,7.4062
5,151,0.3601,39.4934,15.3747,34,9.2275,1.2552,0.127,3.0889
5,142,0.2935,8.1936,4.0078,31,2.1783,1.3135,0.1023,1.537
5,150,0.6315,30.056,12.2385,35,14.9304,1.2844,0.131,2.0512
5,157,0.5153,40.7396,6.5807,31,2.1783,1.2156,0.1115,4.8316
5,151,0.4193,17.8616,1.5464,28,0.5142,1.2281,0.0876,3.7545
5,163,0.8578,85.287,1.2044,27,0.3178,1.2396,0.1391,8.2533
5,153,0.3482,39.5636,4.2937,30,1.3463,1.2302,0.1034,5.2279
5,151,0.1987,47.4008,1.7987,28,0.5142,1.2312,0.0669,6.2021
5,150,0.4712,40.6045,3.1586,29,0.832,1.2885,0.127,4.4445
5,154,0.6606,23.4522,0.5255,27,0.3178,1.226,0.1891,4.6259
5,139,0.367,6.0205,0.7457,27,0.3178,1.201,0.1097,1.4098
5,153,0.3864,40.9849,14.2073,33,5.7029,1.2844,0.1289,3.1918
5,144,0.1926,9.1081,2.0359,29,0.832,1.201,0.0841,2.2419
5,155,0.2234,35.5641,9.7515,32,3.5246,1.2885,0.1033,4.3959
5,151,0.2733,39.0951,2.2325,28,0.5142,1.2919,0.0838,5.3158
5,152,0.2067,36.8115,8.3401,33,5.7029,1.278,0.0772,5.1887
5,146,0.7917,10.7867,3.1657,31,2.1783,1.3625,0.1247,1.077
5,139,0.4334,6.4869,0.5194,27,0.3178,1.225,0.089,0.8563
5,147,0.4997,20.1633,1.2597,29,0.832,1.2833,0.0824,3.1675
5,143,0.6846,8.0066,1.1769,28,0.5142,1.3062,0.1358,1.1799
5,152,0.4581,30.2855,12.6843,33,5.7029,1.2698,0.1288,4.2688
5,143,0.3776,12.1057,5.7256,34,9.2275,1.3448,0.0863,0.9106
5,135,0.4035,3.0239,1.238,29,0.832,1.2496,0.1403,0.4599
5,145,0.3745,11.3949,0.2835,25,0.1214,1.3074,0.1281,2.5111
5,158,0.9236,70.7012,22.5621,34,9.2275,1.3146,0.1929,6.7406
5,164,0.9967,96.4106,23.0679,33,5.7029,1.2635,0.1955,5.9721
5,154,0.3716,42.0515,1.5797,27,0.3178,1.2528,0.1236,5.6636
5,159,0.873,36.6069,3.2033,29,0.832,1.3187,0.3032,7.3427
5,153,0.3655,21.8027,1.5718,28,0.5142,1.2646,0.0986,2.9861
5,148,0.8893,37.9719,12.9488,33,5.7029,1.2906,0.2387,3.8724
5,140,0.2943,16.3705,14.7151,35,14.9304,1.3427,0.0851,2.0662
5,150,0.4839,35.4796,23.8374,35,14.9304,1.2967,0.1708,3.8331
5,164,0.4692,95.5689,27.7305,35,14.9304,1.2552,0.1356,5.9721
5,150,0.3188,25.0683,4.9634,31,2.1783,1.2378,0.0862,4.0481
5,157,0.5224,38.6761,0.4823,26,0.1964,1.2458,0.1333,4.3959
5,150,0.191,32.9067,3.6545,30,1.3463,1.2302,0.073,5.0222
5,161,1.144,60.8027,4.4676,30,1.3463,1.2635,0.1944,6.1385
5,155,0.8404,26.357,0.7257,26,0.1964,1.2302,0.2331,4.1902
5,153,0.5256,41.3745,13.0796,33,5.7029,1.2583,0.1588,3.8181
5,159,0.5033,68.281,23.2713,34,9.2275,1.2719,0.1374,6.0357
5,151,0.3248,22.0907,0.8831,27,0.3178,1.299,0.092,4.1509
5,158,0.7637,51.1661,9.9184,32,3.5246,1.3,0.1224,4.4987
5,165,0.7566,108.4532,30.8818,34,9.2275,1.325,0.1628,7.5484
5,162,0.5895,65.2409,1.0036,27,0.3178,1.3292,0.1989,8.3169
5,151,0.3408,22.3501,1.1984,27,0.3178,1.2969,0.1056,3.0254
