Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Avg task start time,Avg task operations (GFLOPs)
8,237,1.7045,41.7687,2.266,29,0.832,1.3434,0.572,2.4903
8,237,0.8783,37.5107,1.2446,27,0.3178,1.3503,0.3106,2.4202
8,239,0.709,54.2865,5.375,30,1.3463,1.4301,0.2633,3.6192
8,231,0.9079,37.8985,1.4823,27,0.3178,1.3303,0.2587,3.3072
8,235,1.488,49.3121,21.032,35,14.9304,1.5283,0.4967,2.8514
8,233,0.7944,49.6102,13.6754,33,5.7029,1.3279,0.2383,2.5394
8,246,0.7676,111.3275,31.7085,35,14.9304,1.3405,0.295,4.8463
8,243,0.6562,97.4192,27.3432,34,9.2275,1.4533,0.2487,4.5401
8,230,0.6097,29.5822,10.6825,33,5.7029,1.4362,0.2174,2.4354
8,241,0.8834,70.9276,11.5961,32,3.5246,1.4716,0.337,4.5249
8,249,1.0219,91.3667,1.5659,27,0.3178,1.4768,0.3244,5.9109
8,246,1.3324,76.7617,9.9125,31,2.1783,1.3585,0.3137,3.916
8,227,0.7384,17.218,1.1909,26,0.1964,1.3793,0.2548,1.4257
8,243,0.9761,73.9878,7.665,31,2.1783,1.3804,0.2418,3.3469
8,253,0.7552,124.5378,1.7171,26,0.1964,1.4157,0.2147,5.6632
8,236,0.3922,69.7484,22.9164,34,9.2275,1.4676,0.1721,2.9952
8,238,0.8662,47.8364,1.6123,27,0.3178,1.4469,0.2657,3.6987
8,235,1.0749,34.4833,3.5534,29,0.832,1.4662,0.3149,1.4748
8,252,0.983,112.9795,27.7008,35,14.9304,1.4321,0.2717,4.8615
8,239,1.1116,50.788,5.3882,31,2.1783,1.348,0.3405,3.3808
8,242,0.6847,60.1985,3.8414,30,1.3463,1.4599,0.203,4.5892
8,239,1.0084,82.9687,24.5346,34,9.2275,1.5064,0.3287,3.6344
8,246,1.0171,70.5854,5.7986,29,0.832,1.3864,0.2561,3.5643
8,246,0.9966,91.8704,25.2357,34,9.2275,1.4301,0.2214,4.3017
8,246,1.1237,65.1145,0.9339,27,0.3178,1.4918,0.3747,2.9403
8,228,0.6519,32.9703,11.3739,33,5.7029,1.4334,0.2086,2.1935
8,242,0.5467,83.7932,18.7077,34,9.2275,1.5883,0.2258,3.5398
8,228,0.7559,34.9896,0.4085,25,0.1214,1.4896,0.2141,3.2429
8,228,0.7599,29.3879,5.3483,31,2.1783,1.4233,0.2074,1.7623
8,241,1.349,61.943,7.0877,31,2.1783,1.456,0.3894,3.6683
8,234,0.6195,37.1163,2.1514,27,0.3178,1.4592,0.266,3.1786
8,220,0.6084,13.9918,7.7307,34,9.2275,1.5024,0.1789,0.8378
8,251,1.1666,101.9414,0.3292,26,0.1964,1.4236,0.25,5.7917
8,213,0.638,4.1143,0.7748,27,0.3178,1.4005,0.2701,0.291
8,239,0.5534,73.9597,15.2603,34,9.2275,1.4834,0.2198,4.1334
8,239,1.2747,49.7607,24.1436,35,14.9304,1.4629,0.3104,2.8666
8,238,0.624,51.1112,0.6614,25,0.1214,1.4544,0.1997,4.3566
8,234,0.6019,73.2099,23.4129,34,9.2275,1.5294,0.1691,3.9312
8,244,1.3368,75.7547,4.4565,30,1.3463,1.413,0.3609,5.302
8,223,1.132,15.9576,3.382,30,1.3463,1.429,0.2573,1.2083
8,239,0.7164,59.1324,10.5053,32,3.5246,1.4039,0.2573,2.8514
8,250,2.3585,92.3338,1.7548,25,0.1214,1.41,0.9189,4.7177
8,230,0.8086,33.7581,4.2843,30,1.3463,1.3453,0.2442,2.9461
8,238,1.2962,40.9887,0.3547,27,0.3178,1.353,0.5011,4.2468
8,251,1.0791,88.1158,3.8026,29,0.832,1.4262,0.3273,4.5892
8,235,1.1497,39.091,4.1585,30,1.3463,1.3084,0.2343,1.698
8,225,0.8068,18.4739,7.9131,34,9.2275,1.4835,0.228,0.8905
8,247,1.4463,71.1681,1.3687,26,0.1964,1.3483,0.341,4.2129
8,241,1.3538,57.664,19.5394,35,14.9304,1.4551,0.2861,2.876
8,242,1.0717,66.3329,11.311,32,3.5246,1.4044,0.2525,4.158
8,245,1.057,76.8591,12.1412,32,3.5246,1.4462,0.2181,3.8518
8,238,1.2826,46.5154,6.3206,31,2.1783,1.5996,0.3308,1.6735
8,244,0.6479,74.872,9.4789,32,3.5246,1.422,0.2386,3.8915
8,231,0.7164,35.7914,18.1477,35,14.9304,1.3553,0.2831,1.9457
8,229,0.3905,27.4468,0.5618,25,0.1214,1.4723,0.1753,1.5449
8,241,0.7047,59.1424,4.7516,30,1.3463,1.3989,0.2691,3.4206
8,251,0.9617,100.7051,2.3584,28,0.5142,1.432,0.1658,4.9655
8,241,1.4989,78.0234,12.6813,33,5.7029,1.3683,0.5531,4.4852
8,243,1.0781,80.9655,3.598,30,1.3463,1.4487,0.2842,3.3072
8,241,1.0375,62.8335,3.408,30,1.3463,1.4718,0.1904,3.7817
8,227,0.5693,19.8108,0.5811,26,0.1964,1.4823,0.1679,1.9154
8,245,1.5374,90.0168,22.6031,34,9.2275,1.4799,0.5123,3.4603
8,243,1.6944,59.1904,4.574,28,0.5142,1.4001,0.334,2.9309
8,222,0.5499,26.0544,8.6212,32,3.5246,1.5523,0.1864,1.2481
8,238,0.922,48.3588,14.5646,35,14.9304,1.3732,0.2914,1.9797
8,220,0.4635,10.328,4.0711,31,2.1783,1.337,0.1775,1.04
8,250,0.7978,112.3158,14.7447,32,3.5246,1.3921,0.2269,4.678
8,235,0.6043,46.9409,0.4565,25,0.1214,1.3583,0.1938,3.1295
8,231,0.9982,23.7207,1.2619,27,0.3178,1.5892,0.3656,1.9457
8,223,0.5073,17.1101,0.5249,25,0.1214,1.4123,0.1493,2.4751
8,230,0.7784,17.4005,0.9551,27,0.3178,1.3646,0.3347,1.8663
8,248,0.9162,107.0651,14.1951,32,3.5246,1.5067,0.2311,5.1034
8,237,0.921,45.9562,0.412,25,0.1214,1.4171,0.295,3.2768
8,232,0.8041,46.1932,3.3573,29,0.832,1.301,0.2599,2.1292
8,235,0.487,36.1975,9.0477,32,3.5246,1.3696,0.184,1.5846
8,238,0.4612,48.5166,1.0365,25,0.1214,1.4537,0.2053,3.5643
8,229,0.7406,23.8328,9.2188,33,5.7029,1.4752,0.2241,1.49
8,231,0.7772,28.249,6.3266,31,2.1783,1.3789,0.2314,1.6431
8,240,1.764,49.1417,0.663,25,0.1214,1.4569,0.5367,4.0598
8,238,1.5933,53.7043,13.8411,33,5.7029,1.4513,0.5394,3.6134
8,242,0.8581,81.732,2.6279,27,0.3178,1.3438,0.2783,3.7232
8,242,1.1107,52.9465,1.2879,25,0.1214,1.3554,0.3242,3.2768
8,245,0.6654,85.7152,9.7907,31,2.1783,1.2924,0.1889,4.3075
8,244,0.9141,52.5735,1.454,27,0.3178,1.3694,0.3049,4.0843
8,241,0.6826,90.357,11.4954,32,3.5246,1.4571,0.2741,4.7878
8,243,0.9003,65.1392,18.4941,35,14.9304,1.4976,0.3167,2.4109
8,245,1.444,114.332,21.5943,34,9.2275,1.4212,0.4616,5.2623
8,245,0.8312,77.1493,10.2471,31,2.1783,1.4612,0.187,4.2374
8,241,1.264,53.2286,0.2142,25,0.1214,1.4414,0.3288,2.8023
8,247,0.3876,146.1368,12.5175,32,3.5246,1.3555,0.183,7.0889
8,227,0.5737,19.9358,7.0579,32,3.5246,1.431,0.2377,2.8023
8,241,0.8939,38.8867,1.8271,28,0.5142,1.348,0.2785,2.2274
8,242,0.6488,45.8181,0.6377,25,0.1214,1.3359,0.1929,3.3072
8,238,1.524,47.3784,12.203,33,5.7029,1.4636,0.2964,3.5549
8,247,1.3025,81.8392,0.5929,25,0.1214,1.3615,0.3339,5.4306
8,254,1.2639,125.9232,1.3815,25,0.1214,1.3238,0.3086,5.6386
8,219,0.5247,23.1113,20.064,35,14.9304,1.496,0.1954,2.0989
8,233,0.7651,26.1293,6.9163,32,3.5246,1.3981,0.2664,2.46
8,246,0.9527,65.5778,3.3555,28,0.5142,1.3348,0.3897,2.772
8,243,1.4497,57.0544,0.9629,27,0.3178,1.5007,0.4414,3.9009
8,241,0.6671,49.198,1.5244,28,0.5142,1.464,0.2831,2.9952
8,245,0.7493,93.0911,18.8236,34,9.2275,1.3674,0.2441,3.1635
8,247,1.3662,112.4485,0.4028,25,0.1214,1.4918,0.3389,6.1037
8,246,1.1019,87.6311,30.5622,35,14.9304,1.6134,0.3989,4.0937
8,250,0.626,76.5332,2.5698,27,0.3178,1.4819,0.1939,4.5892
8,237,1.0775,80.3044,27.46,35,14.9304,1.4467,0.2763,3.708
8,254,0.9602,140.7579,6.949,30,1.3463,1.3231,0.3425,5.9506
8,244,0.827,99.415,14.5983,33,5.7029,1.5103,0.3002,5.0204
8,245,1.2751,90.4117,14.8401,32,3.5246,1.4438,0.3718,4.1241
8,235,1.4194,26.5989,1.3342,28,0.5142,1.4265,0.3578,1.5788
8,234,0.6149,36.2323,7.2356,31,2.1783,1.6011,0.2073,1.9306
8,217,0.6749,10.5911,1.7033,28,0.5142,1.3645,0.2408,0.7981
8,235,0.8234,28.6147,0.4867,26,0.1964,1.4251,0.3114,2.6037
8,233,1.0643,44.3456,15.558,33,5.7029,1.5199,0.3756,2.7532
8,238,0.6686,62.3213,4.6058,30,1.3463,1.4297,0.204,4.262
8,242,0.7643,62.2712,4.3356,31,2.1783,1.434,0.1592,2.8666
8,236,1.218,54.4829,7.6005,32,3.5246,1.3834,0.2919,3.5889
8,248,1.2635,105.5726,31.5713,35,14.9304,1.4775,0.3713,4.6137
8,251,1.6768,122.252,0.3113,25,0.1214,1.3954,0.6521,4.7026
8,243,0.9278,54.5287,7.436,31,2.1783,1.3104,0.2372,2.876
8,239,0.6779,65.8896,17.5719,33,5.7029,1.4038,0.2662,3.6589
8,253,1.2798,118.4497,4.6214,29,0.832,1.4503,0.3636,6.6086
8,244,0.4907,78.5992,2.7652,29,0.832,1.3888,0.1497,5.0052
8,224,0.6592,12.2973,2.6997,29,0.832,1.5455,0.2273,1.407
8,255,1.1913,104.4678,0.9852,26,0.1964,1.5225,0.4578,5.2623
8,237,1.0074,32.6347,3.7016,31,2.1783,1.4881,0.3203,2.0346
8,245,1.1821,79.0795,28.1043,35,14.9304,1.4207,0.4761,4.0049
8,225,0.4394,18.6542,7.5449,32,3.5246,1.3276,0.1827,1.2726
8,243,0.6777,90.7779,0.5159,25,0.1214,1.3866,0.239,4.2374
8,240,1.022,50.2427,0.9019,25,0.1214,1.4381,0.232,3.1635
8,236,0.8318,60.1897,20.141,34,9.2275,1.4289,0.2428,3.9558
8,242,1.4991,50.5416,0.9519,26,0.1964,1.3771,0.3775,2.4751
8,248,1.0955,97.2878,1.304,26,0.1964,1.3442,0.2921,5.0298
8,231,0.5482,50.9218,18.6723,34,9.2275,1.31,0.1614,2.6492
8,254,1.5437,135.1211,1.3423,28,0.5142,1.376,0.3312,6.168
8,234,1.3283,34.5692,6.0975,31,2.1783,1.4696,0.262,2.3863
8,241,1.2708,66.8073,0.941,26,0.1964,1.3828,0.4339,4.2526
8,243,0.6173,101.9788,19.1632,33,5.7029,1.4889,0.2905,4.8557
8,223,0.5559,10.7657,0.8513,28,0.5142,1.4117,0.1973,1.1932
8,238,0.9084,51.2796,3.2235,29,0.832,1.3191,0.25,2.7626
8,237,0.9956,39.5333,1.6057,27,0.3178,1.4384,0.4748,2.1631
8,248,0.9912,123.8293,27.2593,34,9.2275,1.3533,0.3558,5.2132
8,239,1.0387,42.6372,4.2764,29,0.832,1.3215,0.2943,2.3466
8,231,0.5285,27.7413,11.4709,34,9.2275,1.4999,0.149,1.8569
8,260,2.3024,182.7044,10.9758,31,2.1783,1.4232,0.4078,7.3612
8,236,1.1837,37.406,10.7397,33,5.7029,1.3923,0.4351,1.9457
8,243,0.9983,60.2608,4.7524,28,0.5142,1.4925,0.2182,2.5149
8,243,0.8671,76.8235,1.0223,26,0.1964,1.4031,0.3031,4.8369
8,249,0.904,82.5595,1.6354,27,0.3178,1.3413,0.3097,4.5892
8,249,0.8635,109.6788,13.6174,33,5.7029,1.4627,0.3233,6.1586
8,248,0.7874,99.451,12.4926,32,3.5246,1.4132,0.3191,5.1829
8,232,1.0547,37.8076,0.7134,25,0.1214,1.4753,0.1705,2.9215
8,227,0.7555,37.1334,17.0374,34,9.2275,1.5363,0.2145,2.7135
8,240,0.7335,54.0099,6.6872,30,1.3463,1.274,0.3013,2.0895
8,236,0.586,38.0572,0.5313,27,0.3178,1.2543,0.2274,1.6186
8,227,0.897,24.7707,6.194,33,5.7029,1.2552,0.2472,0.866
8,230,0.7847,38.5781,12.8011,35,14.9304,1.3209,0.2614,1.5355
8,251,0.8316,102.2009,2.7737,29,0.832,1.3123,0.321,5.0052
8,237,0.8193,38.6549,2.1989,27,0.3178,1.2105,0.3511,3.0746
8,241,0.8689,77.2701,3.7442,29,0.832,1.2841,0.1991,4.5401
8,230,0.5897,39.7515,4.6695,30,1.3463,1.2136,0.2098,3.3469
8,246,0.5712,102.2821,19.237,33,5.7029,1.2136,0.2559,4.574
8,246,0.8576,89.0451,5.2044,29,0.832,1.248,0.2356,4.5249
8,227,0.9423,23.6234,5.3198,31,2.1783,1.2594,0.333,0.8963
8,248,1.8194,60.1412,19.4306,34,9.2275,1.3157,0.4485,3.9406
8,241,0.9651,41.9597,1.2256,27,0.3178,1.2552,0.3348,3.1086
8,239,1.6398,59.8825,19.8919,34,9.2275,1.3209,0.366,3.3563
8,242,0.5461,107.0971,8.1514,31,2.1783,1.2261,0.2225,5.5498
8,231,0.8729,28.2166,1.8713,28,0.5142,1.2718,0.3455,1.6886
8,247,1.4918,98.1816,1.2052,28,0.5142,1.2428,0.3082,5.4458
8,245,0.8973,86.7465,17.0708,32,3.5246,1.2551,0.3051,2.8666
8,254,1.0538,135.5205,30.6689,34,9.2275,1.2576,0.2791,4.9257
8,228,0.6282,21.5572,5.6753,31,2.1783,1.2706,0.2582,1.7926
8,250,0.5859,107.432,1.9294,28,0.5142,1.2,0.1983,4.8066
8,246,1.4743,97.9217,1.484,27,0.3178,1.2011,0.3026,5.3266
8,228,0.7204,28.0865,1.3594,27,0.3178,1.2688,0.2875,1.8417
8,229,0.6389,24.9553,2.3186,29,0.832,1.2,0.2369,2.668
8,222,1.1096,12.9926,2.0406,29,0.832,1.2459,0.2453,0.7865
8,222,0.5716,20.2422,9.3402,34,9.2275,1.2542,0.2086,1.0798
8,253,1.6265,113.8501,0.7849,27,0.3178,1.2292,0.6987,5.3511
8,249,0.9158,118.7378,5.8164,30,1.3463,1.2522,0.2213,5.7672
8,225,0.6119,35.3166,13.6869,33,5.7029,1.2345,0.2841,1.8078
8,240,0.8283,59.6997,8.7242,31,2.1783,1.2642,0.2326,2.7872
8,228,1.8746,19.0731,5.9855,32,3.5246,1.2386,0.3508,1.6092
8,230,0.868,20.7803,2.6309,28,0.5142,1.2136,0.2817,1.6828
8,245,1.4074,73.231,2.8582,27,0.3178,1.208,0.2789,3.9897
8,238,1.3152,70.5429,4.1464,30,1.3463,1.2396,0.3937,4.1334
8,241,0.6487,92.4783,21.5789,33,5.7029,1.2375,0.2396,4.4057
8,245,0.5597,86.25,25.0455,35,14.9304,1.2928,0.2143,3.0197
8,256,2.3075,134.2672,4.4573,29,0.832,1.2,0.5868,5.6632
8,242,1.5816,68.6945,9.8052,31,2.1783,1.2001,0.2666,3.3411
8,217,0.5082,10.3912,4.0184,31,2.1783,1.2553,0.2184,0.7187
8,232,1.1026,45.753,0.9128,25,0.1214,1.2073,0.265,2.9005
8,254,1.2416,198.9921,47.8138,35,14.9304,1.2251,0.2844,6.8318
8,235,0.4594,46.702,17.2675,34,9.2275,1.2314,0.1708,2.7872
8,247,0.8095,112.1252,1.9851,28,0.5142,1.2001,0.2391,5.8314
8,229,0.959,25.97,3.3618,30,1.3463,1.2011,0.2633,2.5792
8,238,1.0524,45.9199,1.2494,26,0.1964,1.2449,0.2972,2.6586
8,237,1.352,71.2969,1.2295,26,0.1964,1.2457,0.421,4.3812
8,250,1.3132,110.3206,3.1239,28,0.5142,1.2292,0.2626,4.8369
8,255,0.8277,159.2672,1.6691,26,0.1964,1.2562,0.2464,6.9452
8,237,1.1431,48.6396,0.778,27,0.3178,1.2136,0.2942,3.6987
8,248,1.5569,117.2807,14.2361,32,3.5246,1.2001,0.4264,3.9558
8,226,1.0128,14.3445,1.0302,26,0.1964,1.2448,0.3943,2.2274
7,214,1.2072,42.8671,1.0744,25,0.1214,1.3268,0.2181,2.2798
7,205,0.6092,27.2133,1.135,27,0.3178,1.5247,0.1697,2.5176
7,227,0.7886,110.6049,6.5905,31,2.1783,1.4205,0.2893,6.6364
7,216,0.6722,65.5274,4.3578,29,0.832,1.4014,0.2498,5.182
7,206,0.5384,34.5886,1.0901,27,0.3178,1.341,0.2239,1.9299
7,201,0.6287,17.3873,4.4617,30,1.3463,1.3372,0.2505,2.0702
7,198,0.7169,23.124,10.7635,33,5.7029,1.4442,0.2022,2.818
7,215,1.8994,71.5433,16.71,33,5.7029,1.4144,0.4024,3.972
7,216,0.8751,54.0203,17.8186,34,9.2275,1.3855,0.2596,3.9546
7,222,0.4772,96.5787,9.6571,32,3.5246,1.425,0.145,5.5106
7,218,2.1674,93.8249,6.0316,31,2.1783,1.3519,0.4135,5.3463
7,206,0.8529,31.1633,9.7179,33,5.7029,1.3142,0.2044,3.0557
7,225,0.3948,124.5516,36.645,35,14.9304,1.478,0.1703,5.584
7,222,0.9548,109.5159,21.3922,33,5.7029,1.4552,0.2262,6.2518
7,221,0.608,101.9088,25.7231,35,14.9304,1.4757,0.1621,4.1924
7,203,0.9507,26.1081,13.4441,34,9.2275,1.3346,0.2019,1.9967
7,208,0.5739,68.7261,11.0382,34,9.2275,1.4049,0.193,5.2274
7,210,0.6038,52.4686,17.1755,34,9.2275,1.3364,0.1521,2.9195
7,207,0.6901,53.6603,6.2123,32,3.5246,1.4195,0.1805,4.4474
7,210,0.7622,32.4535,0.6749,26,0.1964,1.4142,0.2583,3.3323
7,214,0.6953,59.0849,1.9367,27,0.3178,1.3749,0.2159,4.1643
7,201,0.5418,21.8643,6.9318,32,3.5246,1.5199,0.2157,1.4197
7,214,1.2075,60.4656,19.5101,34,9.2275,1.4203,0.3272,3.3323
7,209,0.6487,31.6859,8.111,32,3.5246,1.4672,0.2303,3.0384
7,206,0.9305,20.4844,1.1047,27,0.3178,1.3842,0.2532,2.2064
7,212,0.9759,56.0047,2.1508,28,0.5142,1.3918,0.285,4.6785
7,188,0.4992,5.2588,0.3558,25,0.1214,1.4681,0.1324,0.4367
7,210,0.7884,45.574,2.1724,28,0.5142,1.4052,0.1927,4.4928
7,204,0.4258,20.5551,0.7894,25,0.1214,1.4554,0.1656,1.5559
7,220,0.7384,69.5442,2.8599,29,0.832,1.4339,0.1539,4.7693
7,209,0.6807,28.4585,0.5068,25,0.1214,1.4262,0.2729,2.0875
7,226,1.7814,121.4833,2.6607,28,0.5142,1.436,0.605,6.1329
7,222,0.4108,102.7262,15.5364,32,3.5246,1.3814,0.171,6.3253
7,204,0.7678,32.2664,12.7459,34,9.2275,1.4427,0.257,2.5522
7,209,0.8484,50.3465,15.1369,33,5.7029,1.4271,0.2487,2.6084
7,191,0.6322,9.7147,2.2337,31,2.1783,1.4112,0.1954,0.4755
7,226,0.695,115.2596,5.9236,30,1.3463,1.5439,0.1925,7.4511
7,208,0.9399,31.7118,9.1278,32,3.5246,1.3388,0.3193,2.8568
7,218,0.5273,84.5631,30.2329,35,14.9304,1.5159,0.2023,4.8882
7,211,0.8159,55.8731,5.1724,31,2.1783,1.4542,0.2368,4.4862
7,190,0.4005,6.0013,0.932,27,0.3178,1.4751,0.167,1.0244
7,203,0.851,19.421,0.393,25,0.1214,1.5111,0.2362,3.7062
7,212,0.9825,44.9612,4.8779,31,2.1783,1.4835,0.2689,3.6715
7,215,0.9909,37.5496,9.5324,32,3.5246,1.5175,0.2419,3.9827
7,234,0.7268,171.5991,3.5846,26,0.1964,1.4564,0.2591,7.7169
7,213,0.6148,58.9657,22.6681,35,14.9304,1.4708,0.2223,3.8985
7,198,0.5846,30.1719,12.6873,34,9.2275,1.5122,0.1812,3.1119
7,196,0.5249,25.6331,15.255,34,9.2275,1.3756,0.1817,2.7058
7,220,0.6538,89.8097,2.4756,27,0.3178,1.2879,0.1807,4.577
7,208,0.3828,45.3879,8.7694,32,3.5246,1.4299,0.1491,3.8531
7,203,0.7846,21.2327,5.0327,32,3.5246,1.3693,0.3595,1.0351
7,212,0.604,39.2821,1.2489,27,0.3178,1.5088,0.1945,3.745
7,215,0.8701,86.9043,0.3423,25,0.1214,1.3951,0.2154,4.8989
7,214,0.5421,50.0457,10.8925,33,5.7029,1.302,0.1537,2.993
7,221,0.9412,123.5759,0.3358,26,0.1964,1.4657,0.2541,7.5807
7,205,0.6783,27.4096,8.5279,32,3.5246,1.5036,0.2423,1.5105
7,215,2.4199,53.5607,4.6371,30,1.3463,1.4785,0.5974,3.6154
7,212,0.8173,49.5079,6.2841,31,2.1783,1.4019,0.1768,3.9092
7,211,0.6919,53.9905,5.7042,31,2.1783,1.4649,0.2416,2.5002
7,208,0.8384,43.8209,3.9947,30,1.3463,1.4102,0.2562,3.7516
7,220,0.5465,62.7594,1.6017,27,0.3178,1.5031,0.1429,2.9022
7,203,0.6888,22.7857,6.3029,31,2.1783,1.4775,0.1889,2.9823
7,217,0.6486,70.382,0.5998,26,0.1964,1.3967,0.2021,5.6294
7,219,1.0283,69.8621,0.976,28,0.5142,1.4172,0.2664,4.9336
7,211,1.1431,44.3121,24.0681,35,14.9304,1.6141,0.2612,3.7342
7,208,0.5518,42.0473,9.9418,32,3.5246,1.3802,0.197,5.2274
7,217,0.8933,62.4718,0.8435,26,0.1964,1.3861,0.2822,5.0525
7,204,0.6487,27.6933,2.3189,28,0.5142,1.4502,0.2164,1.7829
7,207,0.8081,29.5187,5.3856,31,2.1783,1.5018,0.2371,3.1292
7,210,0.7504,36.128,0.9267,25,0.1214,1.4252,0.2462,3.4338
7,196,0.7229,11.3089,2.48,29,0.832,1.3959,0.2138,1.0244
7,217,1.7534,62.4576,8.5305,32,3.5246,1.5334,0.2358,4.5035
7,205,0.7947,31.1166,7.4779,31,2.1783,1.4075,0.2823,3.1746
7,198,0.7891,10.8615,0.8704,26,0.1964,1.4375,0.1688,0.7132
7,205,0.7285,43.0706,18.5677,35,14.9304,1.4377,0.2561,3.4057
7,202,0.4535,18.5146,6.3686,32,3.5246,1.5861,0.1704,1.4371
7,215,0.7305,65.2749,14.1192,34,9.2275,1.4456,0.2045,4.3112
7,206,0.5317,28.535,2.7003,29,0.832,1.4106,0.1755,3.6154
7,204,0.6426,37.4605,16.7152,34,9.2275,1.4306,0.1748,2.161
7,223,0.4434,107.5473,26.9891,34,9.2275,1.5114,0.1255,5.4652
7,203,0.6658,26.0267,15.1947,34,9.2275,1.3854,0.2313,2.0248
7,212,0.7054,51.0381,17.7796,34,9.2275,1.411,0.2203,3.0103
7,205,0.6073,18.9318,2.8474,29,0.832,1.4698,0.149,2.0594
7,214,0.8206,48.8781,18.1286,34,9.2275,1.5489,0.292,3.0665
7,215,0.7636,58.2826,13.4092,34,9.2275,1.5366,0.2973,4.0908
7,199,0.6855,20.9036,3.6179,33,5.7029,1.3734,0.2535,2.8287
7,207,1.7138,31.387,1.1545,27,0.3178,1.4769,0.4198,1.9579
7,204,0.8439,36.5152,14.9366,35,14.9304,1.4879,0.2561,2.0033
7,202,0.2854,24.5765,3.6933,30,1.3463,1.5067,0.1082,2.1676
7,213,0.9014,45.0409,4.8976,30,1.3463,1.4451,0.2801,2.4441
7,215,1.4881,41.685,0.6898,26,0.1964,1.3563,0.1778,2.2518
7,203,0.5058,21.9377,2.1714,28,0.5142,1.4706,0.1902,2.9542
7,212,0.467,72.039,5.0356,30,1.3463,1.4166,0.1531,5.3356
7,217,0.7309,89.7877,28.3287,34,9.2275,1.4955,0.2224,5.5279
7,204,0.8441,20.1309,11.0474,35,14.9304,1.4447,0.2954,1.5733
7,219,0.9965,70.9674,12.9664,32,3.5246,1.4425,0.2781,3.8358
7,231,0.7949,160.41,27.348,33,5.7029,1.4176,0.2085,6.7099
7,201,0.7873,23.1039,11.8432,34,9.2275,1.4805,0.3098,1.8324
7,205,0.5132,25.6168,7.7304,32,3.5246,1.5671,0.1553,1.3917
7,218,1.0858,67.3107,16.7793,35,14.9304,1.6051,0.2529,2.9022
7,207,1.4028,36.0855,0.926,27,0.3178,1.3819,0.3638,1.8044
7,218,0.4775,72.0541,3.4582,28,0.5142,1.4003,0.1855,4.9162
7,192,0.4892,9.3429,3.8051,31,2.1783,1.3198,0.1579,1.0871
7,201,0.5426,35.2592,23.7287,35,14.9304,1.4205,0.1086,2.8741
7,213,1.3301,52.2114,0.5574,25,0.1214,1.3338,0.3564,4.3286
7,203,0.7569,17.8685,0.6632,26,0.1964,1.4564,0.2021,1.0978
7,216,0.6057,74.2452,26.1061,35,14.9304,1.5299,0.2059,3.57
7,208,0.9321,28.005,0.1741,25,0.1214,1.3558,0.1962,2.2064
7,205,0.5288,39.1177,1.164,27,0.3178,1.3668,0.2019,3.1399
7,199,0.6053,20.277,0.2346,25,0.1214,1.4792,0.2499,2.3145
7,205,0.7004,18.4162,3.7267,30,1.3463,1.3933,0.2481,2.9476
7,207,0.3954,22.8605,1.9,28,0.5142,1.4164,0.1733,1.6013
7,198,0.4747,13.9413,6.282,32,3.5246,1.3799,0.1773,1.0244
7,208,0.7339,32.3333,5.9483,30,1.3463,1.3669,0.2908,3.2695
7,206,0.9851,57.7481,13.0573,34,9.2275,1.5293,0.2188,3.6327
7,211,0.5727,60.122,21.6067,34,9.2275,1.3793,0.176,3.1226
7,204,0.6537,39.9037,0.5414,26,0.1964,1.349,0.1776,3.8704
7,216,0.3846,79.1479,17.2487,33,5.7029,1.3772,0.1506,4.5489
7,203,0.3361,37.0607,5.5879,32,3.5246,1.3691,0.1106,2.7726
7,219,1.3153,102.9399,6.3203,31,2.1783,1.3163,0.3056,6.1049
7,213,0.707,54.1143,17.7724,34,9.2275,1.3838,0.1498,2.8287
7,205,0.6602,25.2323,2.9572,29,0.832,1.4506,0.1872,2.014
7,199,0.6475,13.5264,0.7876,28,0.5142,1.4913,0.1699,1.8217
7,208,0.6014,30.1376,0.9883,25,0.1214,1.3874,0.1723,2.5068
7,197,0.396,22.6796,9.5439,34,9.2275,1.4839,0.1369,1.5452
7,206,0.6532,34.5301,14.3947,34,9.2275,1.652,0.2295,2.8114
7,220,0.81,68.3923,7.4523,30,1.3463,1.3073,0.2245,4.6505
7,210,0.6687,43.1942,13.457,33,5.7029,1.5296,0.1767,2.6084
7,218,0.8989,101.6169,27.2309,34,9.2275,1.3352,0.2423,5.1713
7,197,0.5914,19.4052,7.3344,32,3.5246,1.5007,0.1538,1.2167
7,199,0.4604,38.6894,11.6132,33,5.7029,1.3426,0.1556,2.2237
7,205,1.0543,18.7866,0.9026,27,0.3178,1.3339,0.352,1.1993
7,195,0.7076,14.1516,1.1632,28,0.5142,1.3983,0.2504,0.8494
7,205,0.62,25.9203,1.8226,29,0.832,1.352,0.2356,1.584
7,202,0.7502,25.0696,0.7035,26,0.1964,1.3618,0.2271,1.9579
7,216,0.5357,76.342,0.2259,25,0.1214,1.4174,0.154,5.0244
7,219,0.873,90.564,2.5105,28,0.5142,1.4121,0.2134,6.0595
7,200,0.8217,17.7634,0.3229,25,0.1214,1.456,0.2657,1.0912
7,209,0.9045,58.1597,3.4479,27,0.3178,1.5137,0.247,3.5593
7,220,0.9385,75.1756,0.8144,26,0.1964,1.5143,0.261,5.1086
