Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
6,177,0.3452,32.5078,12.7026,33,5.7029,1.4096,"[0.0002, 0.0472, 0.1334, 0.1792, 0.2554, 0.2879]","[14.9304, 0.5142, 0.1964, 0.3178, 5.7029, 0.5142]"
6,188,0.6673,75.257,29.8295,35,14.9304,1.4838,"[0.0003, 0.0237, 0.0475, 0.1238, 0.2661, 0.4542]","[1.3463, 5.7029, 14.9304, 0.832, 0.5142, 5.7029]"
6,172,0.4293,18.7039,12.3041,35,14.9304,1.5726,"[0.0003, 0.0475, 0.0886, 0.1402, 0.2332, 0.3528]","[0.1964, 0.832, 0.832, 1.3463, 0.1214, 5.7029]"
6,178,0.8314,18.6609,0.8013,26,0.1964,1.3814,"[0.0003, 0.0253, 0.1067, 0.1303, 0.1812, 0.2826]","[0.832, 0.832, 14.9304, 1.3463, 0.3178, 0.5142]"
6,191,0.796,110.5158,0.3238,25,0.1214,1.4613,"[0.0003, 0.0355, 0.1524, 0.3457, 0.4069, 0.6437]","[2.1783, 14.9304, 1.3463, 14.9304, 0.1214, 14.9304]"
6,167,0.3841,6.9448,0.2126,25,0.1214,1.4373,"[0.0003, 0.0443, 0.1307, 0.2107, 0.271, 0.3126]","[9.2275, 0.1214, 0.1214, 0.3178, 0.3178, 0.832]"
6,180,0.4697,25.4534,3.5611,29,0.832,1.4949,"[0.0003, 0.0285, 0.054, 0.0766, 0.1529, 0.4527]","[0.832, 9.2275, 1.3463, 0.832, 0.832, 0.832]"
6,177,0.4446,24.1981,0.5835,26,0.1964,1.4552,"[0.0003, 0.0283, 0.0832, 0.1545, 0.1705, 0.3078]","[0.5142, 9.2275, 5.7029, 0.5142, 0.1964, 0.5142]"
6,187,0.3466,50.772,8.449,32,3.5246,1.4693,"[0.0003, 0.0338, 0.0796, 0.1009, 0.1285, 0.2251]","[1.3463, 14.9304, 1.3463, 0.5142, 3.5246, 3.5246]"
6,175,0.611,30.7124,15.2197,34,9.2275,1.3377,"[0.0002, 0.0422, 0.1084, 0.2101, 0.2913, 0.3572]","[14.9304, 2.1783, 1.3463, 0.1214, 0.1214, 0.832]"
6,181,0.4644,25.9364,0.9818,25,0.1214,1.39,"[0.0003, 0.0326, 0.1292, 0.2004, 0.2666, 0.3733]","[5.7029, 2.1783, 0.3178, 0.832, 3.5246, 0.832]"
6,176,0.6205,15.6018,0.7575,26,0.1964,1.4526,"[0.0003, 0.0299, 0.1154, 0.2272, 0.253, 0.4735]","[0.1964, 1.3463, 0.3178, 14.9304, 0.3178, 2.1783]"
6,169,1.0044,7.8279,0.5369,26,0.1964,1.4614,"[0.0002, 0.0244, 0.0761, 0.2692, 0.7187, 0.9065]","[0.832, 0.832, 1.3463, 0.1964, 1.3463, 0.1214]"
6,193,0.3769,85.5564,16.3961,32,3.5246,1.3569,"[0.0002, 0.0473, 0.0931, 0.1186, 0.1428, 0.1939]","[3.5246, 5.7029, 5.7029, 1.3463, 1.3463, 14.9304]"
