Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
10,294,3.392,56.0043,1.214,27,0.3178,1.2594,"[0.0004, 0.0329, 0.1091, 0.1603, 0.3023, 0.3277, 0.6783, 1.9367, 2.2918, 3.2361]","[5.7029, 3.5246, 0.832, 0.832, 5.7029, 0.832, 0.1964, 0.3178, 0.3178, 0.832]"
10,289,1.0443,86.7361,9.1037,31,2.1783,1.2614,"[0.0003, 0.0364, 0.0873, 0.194, 0.3615, 0.4391, 0.5871, 0.6287, 0.6597, 0.8635]","[14.9304, 2.1783, 0.1964, 0.1964, 9.2275, 9.2275, 0.1964, 0.1214, 0.3178, 0.1214]"
10,290,1.8858,54.8497,17.4563,34,9.2275,1.25,"[0.0003, 0.0304, 0.1294, 0.4106, 0.4922, 0.543, 0.6016, 0.8023, 0.8634, 1.7009]","[1.3463, 0.1214, 2.1783, 1.3463, 1.3463, 14.9304, 0.1214, 0.5142, 0.3178, 0.832]"
10,286,0.973,51.2774,1.8815,28,0.5142,1.2292,"[0.0004, 0.0395, 0.0854, 0.2025, 0.2842, 0.4137, 0.5473, 0.5827, 0.7595, 0.9154]","[0.1214, 0.5142, 0.3178, 0.1214, 0.1964, 3.5246, 1.3463, 9.2275, 9.2275, 0.1214]"
10,285,2.0607,34.2121,6.0378,32,3.5246,1.2698,"[0.0003, 0.0265, 0.0775, 0.2555, 0.4031, 0.5405, 0.6166, 0.7483, 1.2057, 1.7295]","[0.832, 0.832, 1.3463, 0.3178, 0.1214, 0.3178, 0.832, 0.5142, 2.1783, 1.3463]"
10,299,1.5119,68.1454,1.5651,25,0.1214,1.3083,"[0.0003, 0.0402, 0.0861, 0.1471, 0.4265, 0.5485, 1.0769, 1.1081, 1.1502, 1.4443]","[2.1783, 2.1783, 0.3178, 0.832, 5.7029, 14.9304, 0.832, 0.5142, 0.1214, 2.1783]"
10,291,1.8607,50.4279,2.61,28,0.5142,1.275,"[0.0004, 0.0441, 0.0899, 0.151, 0.3288, 0.42, 0.669, 1.1972, 1.6132, 1.8366]","[3.5246, 2.1783, 2.1783, 0.5142, 1.3463, 0.5142, 3.5246, 0.1964, 0.5142, 0.1214]"
10,289,0.9105,45.2934,1.7601,27,0.3178,1.2896,"[0.0003, 0.0365, 0.09, 0.1138, 0.211, 0.2725, 0.3143, 0.6619, 0.7737, 0.8298]","[0.1964, 5.7029, 1.3463, 1.3463, 0.5142, 0.1964, 2.1783, 0.1214, 0.3178, 5.7029]"
10,307,2.3855,139.2306,11.6671,31,2.1783,1.3261,"[0.0003, 0.0219, 0.0982, 0.1541, 0.6523, 1.0219, 1.1288, 1.4886, 1.6467, 1.7387]","[2.1783, 14.9304, 0.5142, 5.7029, 3.5246, 0.3178, 0.1964, 14.9304, 0.5142, 3.5246]"
10,284,0.8203,39.4783,0.8894,26,0.1964,1.2302,"[0.0004, 0.0309, 0.0684, 0.1078, 0.1493, 0.2816, 0.3456, 0.4286, 0.6803, 0.7221]","[0.1214, 0.1214, 0.1964, 2.1783, 1.3463, 5.7029, 0.1964, 5.7029, 0.5142, 0.3178]"
