Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
5,144,0.5222,13.8238,1.1807,28,0.5142,1.2323,"[0.0003, 0.0328, 0.1194, 0.3179, 0.4147]","[0.832, 3.5246, 5.7029, 0.1214, 0.1214]"
5,146,0.4837,12.2622,0.4521,26,0.1964,1.2729,"[0.0003, 0.0319, 0.0574, 0.0788, 0.0956]","[0.3178, 5.7029, 0.5142, 3.5246, 0.1964]"
5,146,0.6819,17.8708,5.6192,31,2.1783,1.2844,"[0.0003, 0.033, 0.0737, 0.1297, 0.5009]","[3.5246, 0.3178, 2.1783, 0.1964, 1.3463]"
5,150,0.6154,28.268,10.3335,34,9.2275,1.2844,"[0.0003, 0.0256, 0.0714, 0.1427, 0.5698]","[2.1783, 0.832, 3.5246, 0.1964, 3.5246]"
5,148,0.5299,14.9055,1.0824,26,0.1964,1.2604,"[0.0002, 0.0465, 0.072, 0.1229, 0.1738]","[0.832, 3.5246, 2.1783, 0.5142, 0.5142]"
5,146,0.4867,11.118,0.6281,25,0.1214,1.2104,"[0.0003, 0.0445, 0.0954, 0.2377, 0.2887]","[0.5142, 14.9304, 1.3463, 0.3178, 0.1964]"
5,158,0.3151,56.9642,0.5125,25,0.1214,1.2302,"[0.0002, 0.0267, 0.1079, 0.1741, 0.2491]","[2.1783, 0.1964, 9.2275, 5.7029, 9.2275]"
5,142,0.408,10.5977,4.1322,31,2.1783,1.2609,"[0.0003, 0.0316, 0.0887, 0.1404, 0.3704]","[0.1214, 0.832, 0.1214, 1.3463, 5.7029]"
5,137,0.5413,4.8271,1.9583,32,3.5246,1.3,"[0.0002, 0.0323, 0.0832, 0.1697, 0.3873]","[0.1964, 0.5142, 0.5142, 0.5142, 0.3178]"
5,152,1.1164,41.1152,12.5857,33,5.7029,1.2594,"[0.0002, 0.0537, 0.0843, 0.1352, 0.4912]","[9.2275, 0.3178, 0.5142, 9.2275, 0.832]"
5,133,0.2847,2.307,1.0592,29,0.832,1.2771,"[0.0003, 0.03, 0.0911, 0.1889, 0.2642]","[0.1964, 0.1964, 0.3178, 0.5142, 0.1964]"
5,143,0.3149,26.6627,22.2032,35,14.9304,1.2427,"[0.0003, 0.0353, 0.0508, 0.1016, 0.1678]","[14.9304, 0.832, 0.1964, 0.1214, 0.5142]"
5,154,0.4418,35.6463,14.5468,35,14.9304,1.2844,"[0.0002, 0.0301, 0.0809, 0.2334, 0.2793]","[0.832, 3.5246, 5.7029, 0.832, 2.1783]"
5,149,1.3925,15.8494,1.1133,25,0.1214,1.201,"[0.0002, 0.0385, 0.1249, 0.1516, 0.2178]","[0.832, 0.832, 1.3463, 0.3178, 9.2275]"
5,153,0.424,26.7393,8.9351,33,5.7029,1.2698,"[0.0003, 0.0379, 0.1243, 0.2412, 0.277]","[3.5246, 0.5142, 0.832, 5.7029, 2.1783]"
5,148,0.5718,18.1005,4.6007,31,2.1783,1.2573,"[0.0003, 0.0347, 0.0843, 0.302, 0.4638]","[3.5246, 0.1964, 0.1964, 1.3463, 9.2275]"
5,156,0.2506,47.6678,1.5165,27,0.3178,1.2302,"[0.0003, 0.0421, 0.0778, 0.1036, 0.1544]","[0.832, 0.1964, 5.7029, 9.2275, 9.2275]"
5,151,0.4801,27.92,15.6592,34,9.2275,1.325,"[0.0003, 0.0227, 0.0837, 0.1702, 0.3278]","[0.832, 14.9304, 0.3178, 0.832, 2.1783]"
5,156,1.2728,29.7396,5.5979,30,1.3463,1.2687,"[0.0003, 0.0426, 0.1645, 0.307, 0.8001]","[3.5246, 5.7029, 0.832, 2.1783, 2.1783]"
5,152,0.368,35.2181,10.0616,32,3.5246,1.2688,"[0.0003, 0.0353, 0.0896, 0.2189, 0.339]","[0.1214, 14.9304, 3.5246, 3.5246, 0.5142]"
5,132,0.2341,2.3398,3.4052,34,9.2275,1.2812,"[0.0002, 0.0347, 0.0704, 0.1668, 0.2084]","[0.1964, 0.1964, 0.1214, 0.1964, 0.832]"
5,142,0.327,7.5588,0.4888,25,0.1214,1.2125,"[0.0003, 0.0218, 0.0676, 0.1083, 0.1593]","[0.3178, 0.1964, 0.1214, 0.832, 14.9304]"
5,148,0.2714,25.4313,5.4684,31,2.1783,1.201,"[0.0003, 0.0222, 0.068, 0.0926, 0.2502]","[5.7029, 0.1964, 2.1783, 3.5246, 0.1964]"
5,153,0.3013,25.3316,1.5196,28,0.5142,1.2302,"[0.0002, 0.0317, 0.0521, 0.1639, 0.1996]","[0.5142, 2.1783, 2.1783, 5.7029, 1.3463]"
5,147,0.396,16.9349,6.5783,33,5.7029,1.3135,"[0.0003, 0.0302, 0.0862, 0.1473, 0.2897]","[1.3463, 0.3178, 14.9304, 0.1964, 0.832]"
5,144,0.2994,11.8048,0.3421,25,0.1214,1.2594,"[0.0003, 0.0428, 0.0936, 0.1851, 0.2436]","[5.7029, 2.1783, 0.1214, 0.1214, 1.3463]"
5,152,0.5799,21.5416,0.3595,26,0.1964,1.201,"[0.0003, 0.0463, 0.1327, 0.2447, 0.4025]","[9.2275, 3.5246, 2.1783, 1.3463, 0.1214]"
5,139,0.3725,9.4673,5.5074,32,3.5246,1.2552,"[0.0002, 0.0246, 0.0907, 0.1468, 0.2029]","[9.2275, 0.1964, 0.3178, 0.1964, 0.1964]"
5,149,0.5324,21.6204,7.192,32,3.5246,1.2708,"[0.0003, 0.0209, 0.0464, 0.1074, 0.3719]","[9.2275, 2.1783, 0.1964, 0.832, 0.832]"
5,146,0.4473,12.4952,1.7983,28,0.5142,1.2583,"[0.0003, 0.0453, 0.0911, 0.2335, 0.3099]","[1.3463, 0.832, 0.832, 3.5246, 0.1964]"
5,150,0.7013,21.4352,3.4851,30,1.3463,1.2563,"[0.0002, 0.0251, 0.0506, 0.1269, 0.371]","[0.832, 3.5246, 0.5142, 14.9304, 0.1964]"
5,147,0.6769,12.2449,1.232,27,0.3178,1.2719,"[0.0003, 0.0214, 0.0773, 0.1993, 0.2907]","[2.1783, 0.3178, 2.1783, 3.5246, 0.1964]"
5,157,0.364,56.7446,0.3492,25,0.1214,1.201,"[0.0001, 0.0375, 0.094, 0.2006, 0.2773]","[0.1214, 3.5246, 9.2275, 3.5246, 9.2275]"
5,155,0.5833,55.3542,4.41,30,1.3463,1.2375,"[0.0002, 0.0254, 0.0813, 0.1525, 0.2798]","[14.9304, 0.5142, 5.7029, 9.2275, 0.1214]"
5,154,0.2874,26.4747,1.0511,26,0.1964,1.201,"[0.0003, 0.0304, 0.0965, 0.1203, 0.2521]","[2.1783, 14.9304, 2.1783, 0.3178, 1.3463]"
5,150,0.4228,28.7352,4.782,30,1.3463,1.2604,"[0.0003, 0.0214, 0.0867, 0.1732, 0.4027]","[3.5246, 2.1783, 3.5246, 0.1214, 1.3463]"
5,150,0.2999,18.4853,0.3365,25,0.1214,1.2344,"[0.0003, 0.043, 0.0738, 0.1324, 0.1732]","[9.2275, 0.3178, 0.5142, 0.832, 3.5246]"
5,149,0.3976,27.7975,12.4646,35,14.9304,1.2552,"[0.0003, 0.0406, 0.0763, 0.1137, 0.1698]","[3.5246, 0.832, 3.5246, 0.1214, 2.1783]"
5,156,0.7078,38.1835,3.8816,29,0.832,1.201,"[0.0003, 0.042, 0.0879, 0.1388, 0.5307]","[0.5142, 3.5246, 5.7029, 2.1783, 3.5246]"
5,139,0.7205,6.0546,1.9495,29,0.832,1.251,"[0.0003, 0.0458, 0.0967, 0.2608, 0.5559]","[3.5246, 0.1964, 0.832, 0.3178, 0.1214]"
5,158,0.5465,50.3217,8.0277,29,0.832,1.2396,"[0.0003, 0.0521, 0.0979, 0.1335, 0.1553]","[3.5246, 3.5246, 0.832, 14.9304, 1.3463]"
5,148,0.4233,26.7541,1.1137,27,0.3178,1.2771,"[0.0003, 0.0446, 0.0854, 0.1514, 0.2635]","[9.2275, 9.2275, 0.1214, 0.5142, 0.3178]"
5,161,0.7253,84.8404,24.443,34,9.2275,1.2458,"[0.0002, 0.0434, 0.1144, 0.326, 0.4512]","[0.3178, 9.2275, 14.9304, 9.2275, 2.1783]"
5,151,0.2187,23.2661,8.8649,33,5.7029,1.3,"[0.0003, 0.0269, 0.1083, 0.1695, 0.193]","[3.5246, 0.5142, 3.5246, 2.1783, 0.5142]"
5,146,0.3033,16.9681,5.3133,31,2.1783,1.2229,"[0.0002, 0.0465, 0.0768, 0.2063, 0.2628]","[0.1964, 2.1783, 9.2275, 1.3463, 0.1214]"
5,149,0.457,17.7024,0.3188,25,0.1214,1.3,"[0.0003, 0.0407, 0.1524, 0.2084, 0.4322]","[9.2275, 2.1783, 0.1214, 2.1783, 0.5142]"
5,139,0.2912,8.0411,0.4502,26,0.1964,1.2656,"[0.0003, 0.0235, 0.0794, 0.176, 0.218]","[3.5246, 0.1214, 0.1214, 0.1964, 2.1783]"
5,147,0.8767,17.5165,1.9647,29,0.832,1.201,"[0.0003, 0.0455, 0.0862, 0.1471, 0.45]","[2.1783, 1.3463, 1.3463, 0.1964, 1.3463]"
5,156,0.8077,50.5492,5.7431,31,2.1783,1.2302,"[0.0002, 0.0164, 0.0469, 0.1689, 0.2809]","[9.2275, 3.5246, 14.9304, 0.1214, 1.3463]"
5,153,0.8586,37.9101,21.3601,35,14.9304,1.2698,"[0.0003, 0.0458, 0.0814, 0.1932, 0.3202]","[1.3463, 14.9304, 2.1783, 0.832, 0.5142]"
5,153,0.3588,26.2063,3.2216,30,1.3463,1.2698,"[0.0003, 0.0305, 0.0662, 0.1455, 0.2119]","[2.1783, 0.832, 3.5246, 0.5142, 5.7029]"
5,155,1.0516,38.8637,12.9907,33,5.7029,1.2948,"[0.0003, 0.039, 0.0848, 0.217, 0.3646]","[14.9304, 2.1783, 0.3178, 1.3463, 3.5246]"
5,152,0.7613,39.2002,13.6289,33,5.7029,1.3052,"[0.0002, 0.0431, 0.1396, 0.1955, 0.5263]","[2.1783, 9.2275, 5.7029, 0.832, 0.1214]"
5,146,0.2379,12.9751,1.9155,28,0.5142,1.2313,"[0.0002, 0.0311, 0.087, 0.1519, 0.2146]","[0.1964, 1.3463, 9.2275, 1.3463, 0.1964]"
5,137,0.3481,14.2492,13.079,34,9.2275,1.2962,"[0.0003, 0.0285, 0.0945, 0.1657, 0.2958]","[0.5142, 0.1214, 0.1214, 0.1214, 9.2275]"
5,160,0.4075,63.8599,20.7414,34,9.2275,1.3156,"[0.0003, 0.0418, 0.0876, 0.1436, 0.2403]","[14.9304, 1.3463, 3.5246, 3.5246, 2.1783]"
5,153,0.5371,58.9804,9.68,32,3.5246,1.2594,"[0.0003, 0.0277, 0.1344, 0.2311, 0.277]","[14.9304, 0.1964, 2.1783, 14.9304, 0.1964]"
5,152,0.4222,17.298,0.7792,27,0.3178,1.2583,"[0.0003, 0.0351, 0.0859, 0.2883, 0.3716]","[0.1964, 5.7029, 2.1783, 0.832, 5.7029]"
5,154,0.7682,33.2038,5.2011,31,2.1783,1.2875,"[0.0003, 0.0469, 0.0775, 0.1588, 0.291]","[1.3463, 9.2275, 0.5142, 5.7029, 0.832]"
5,152,0.3587,25.5586,3.8601,30,1.3463,1.2583,"[0.0003, 0.0259, 0.0666, 0.1225, 0.302]","[14.9304, 0.1964, 3.5246, 0.832, 1.3463]"
5,151,0.2753,21.6722,1.3174,28,0.5142,1.3031,"[0.0002, 0.0497, 0.0956, 0.1378, 0.1838]","[3.5246, 0.1964, 1.3463, 1.3463, 5.7029]"
5,144,0.3962,11.3739,0.6708,26,0.1964,1.2708,"[0.0003, 0.0292, 0.1917, 0.2325, 0.3141]","[1.3463, 0.1964, 2.1783, 0.1964, 2.1783]"
5,143,0.5563,7.7255,1.1274,27,0.3178,1.3,"[0.0003, 0.03, 0.0623, 0.1976, 0.4096]","[0.1214, 14.9304, 0.3178, 1.3463, 0.1964]"
5,147,0.3638,28.7668,16.9078,35,14.9304,1.2552,"[0.0003, 0.0463, 0.0922, 0.1583, 0.3518]","[9.2275, 0.832, 0.1214, 3.5246, 0.3178]"
5,132,0.2783,1.5919,0.317,26,0.1964,1.2448,"[0.0003, 0.0298, 0.0838, 0.1382, 0.2008]","[0.1214, 0.1964, 0.1964, 0.5142, 0.3178]"
5,149,0.5088,19.8372,6.9935,32,3.5246,1.2687,"[0.0002, 0.0247, 0.0502, 0.1316, 0.2142]","[1.3463, 0.3178, 0.832, 9.2275, 0.832]"
5,145,0.5114,12.1799,0.6474,27,0.3178,1.2823,"[0.0003, 0.021, 0.1058, 0.1515, 0.2025]","[2.1783, 0.832, 0.1214, 3.5246, 0.5142]"
5,151,0.5197,28.4825,1.1555,26,0.1964,1.2438,"[0.0002, 0.023, 0.0426, 0.2713, 0.3172]","[3.5246, 5.7029, 3.5246, 0.832, 0.1214]"
5,144,0.5995,18.3725,7.6415,33,5.7029,1.2833,"[0.0003, 0.0212, 0.044, 0.0897, 0.2577]","[3.5246, 1.3463, 0.1214, 2.1783, 0.1964]"
5,147,0.7183,16.643,5.2628,32,3.5246,1.3125,"[0.0003, 0.0331, 0.0789, 0.1437, 0.4693]","[0.832, 1.3463, 0.3178, 2.1783, 1.3463]"
5,153,1.0998,32.5366,4.7796,30,1.3463,1.2802,"[0.0003, 0.0273, 0.0731, 0.1544, 0.7899]","[9.2275, 3.5246, 0.832, 3.5246, 0.1964]"
5,145,0.4506,8.6078,0.8906,25,0.1214,1.2563,"[0.0003, 0.0439, 0.1913, 0.2625, 0.3287]","[0.832, 0.5142, 1.3463, 1.3463, 0.5142]"
5,148,0.6392,17.9826,1.26,26,0.1964,1.2927,"[0.0002, 0.0337, 0.0795, 0.1558, 0.2474]","[3.5246, 14.9304, 0.5142, 0.1214, 0.5142]"
