Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
2,58,0.0591,1.5041,0.1128,25,0.1214,1.4126,"[0.0003, 0.0237]","[0.5142, 1.3463]"
2,60,0.0992,6.4534,5.0339,32,3.5246,1.4001,"[0.0001, 0.0464]","[0.1964, 9.2275]"
2,65,0.0851,18.7393,13.2694,34,9.2275,1.2839,"[0.0003, 0.0498]","[2.1783, 9.2275]"
2,70,0.0842,32.7982,1.613,29,0.832,1.3358,"[0.0003, 0.0285]","[14.9304, 14.9304]"
2,66,0.0943,20.0902,12.9849,35,14.9304,3.4847,"[0.0003, 0.0336]","[5.7029, 5.7029]"
2,59,0.1123,1.8273,0.9895,29,0.832,1.5847,"[0.0002, 0.0364]","[2.1783, 0.5142]"
2,65,0.0685,8.3542,0.4841,27,0.3178,1.518,"[0.0002, 0.0255]","[9.2275, 2.1783]"
2,67,0.0903,8.9354,0.2634,26,0.1964,1.4646,"[0.0002, 0.0294]","[14.9304, 3.5246]"
2,65,0.1424,9.3949,3.2984,30,1.3463,1.5029,"[0.0003, 0.0409]","[14.9304, 1.3463]"
2,53,0.1271,0.3313,3.7117,35,14.9304,1.5604,"[0.0003, 0.027]","[0.3178, 0.1964]"
2,64,0.1101,6.3951,2.1101,30,1.3463,2.8384,"[0.0002, 0.0341]","[1.3463, 9.2275]"
2,68,0.1092,26.5884,2.4541,30,1.3463,1.5505,"[0.0002, 0.0381]","[9.2275, 9.2275]"
2,63,0.0908,7.1786,3.2564,31,2.1783,1.5058,"[0.0004, 0.03]","[0.5142, 14.9304]"
2,66,0.1107,9.4219,0.2924,26,0.1964,1.3787,"[0.0003, 0.0448]","[14.9304, 2.1783]"
2,58,0.0738,3.1296,6.2265,35,14.9304,1.4351,"[0.0003, 0.0279]","[0.1214, 5.7029]"
2,55,0.0865,1.1892,4.5099,35,14.9304,1.4733,"[0.0003, 0.0256]","[0.832, 0.1964]"
2,58,0.0859,2.5482,5.5654,35,14.9304,1.4625,"[0.0003, 0.0403]","[3.5246, 0.1964]"
2,66,0.1376,8.328,0.2116,25,0.1214,1.5481,"[0.0004, 0.0415]","[9.2275, 3.5246]"
2,65,0.1864,19.5583,10.1168,33,5.7029,1.5234,"[0.0003, 0.043]","[5.7029, 3.5246]"
2,57,0.0881,1.7444,0.5797,27,0.3178,1.3938,"[0.0003, 0.0324]","[0.5142, 0.832]"
2,64,0.112,7.527,2.5334,30,1.3463,1.5963,"[0.0002, 0.041]","[14.9304, 0.832]"
2,58,0.0608,3.8914,6.2573,35,14.9304,1.5228,"[0.0003, 0.0355]","[2.1783, 0.3178]"
2,61,0.1158,9.3045,9.2705,34,9.2275,1.3732,"[0.0003, 0.0297]","[5.7029, 0.5142]"
2,60,0.0569,5.3462,1.888,30,1.3463,1.5277,"[0.0003, 0.0265]","[0.1214, 14.9304]"
2,67,0.082,17.4816,0.413,25,0.1214,1.4907,"[0.0002, 0.0211]","[5.7029, 9.2275]"
2,65,0.0983,10.6486,0.9338,28,0.5142,1.4565,"[0.0003, 0.0426]","[5.7029, 3.5246]"
2,62,0.1188,3.3961,0.8732,28,0.5142,1.4084,"[0.0003, 0.0428]","[0.832, 5.7029]"
2,62,0.0745,4.7373,0.7824,30,1.3463,1.458,"[0.0003, 0.0341]","[0.3178, 14.9304]"
2,64,0.1061,5.9896,0.1645,25,0.1214,1.3884,"[0.0003, 0.0252]","[14.9304, 0.832]"
2,59,0.0683,2.0959,1.1807,29,0.832,1.4956,"[0.0003, 0.0181]","[0.3178, 3.5246]"
2,56,0.0875,0.553,0.0981,26,0.1964,1.4155,"[0.0003, 0.042]","[0.1964, 1.3463]"
2,70,0.0717,52.3684,28.5124,35,14.9304,1.7079,"[0.0003, 0.0262]","[14.9304, 14.9304]"
2,60,0.1113,2.0986,1.1422,28,0.5142,1.5353,"[0.0003, 0.0354]","[3.5246, 0.5142]"
2,60,0.1126,5.0234,3.6228,32,3.5246,1.525,"[0.0002, 0.0468]","[2.1783, 0.832]"
2,60,0.0604,3.8052,2.8854,33,5.7029,1.4753,"[0.0002, 0.0415]","[0.832, 2.1783]"
2,56,0.0604,3.0252,3.3844,32,3.5246,1.5233,"[0.0003, 0.0401]","[0.1214, 2.1783]"
2,52,0.0818,0.2582,1.4912,33,5.7029,1.549,"[0.0003, 0.0416]","[0.1964, 0.1964]"
2,57,0.0989,1.3697,0.7739,30,1.3463,1.5839,"[0.0002, 0.0432]","[1.3463, 0.3178]"
2,56,0.0818,1.1441,0.9422,31,2.1783,1.4157,"[0.0002, 0.0261]","[0.5142, 0.5142]"
2,58,0.0769,1.5595,0.5402,27,0.3178,1.5095,"[0.0002, 0.0455]","[2.1783, 0.3178]"
2,55,0.0682,1.0673,1.3221,32,3.5246,1.4645,"[0.0002, 0.0277]","[0.3178, 0.5142]"
2,70,0.068,50.8205,12.6987,33,5.7029,1.3794,"[0.0002, 0.0326]","[14.9304, 14.9304]"
2,67,0.0954,14.134,4.5787,33,5.7029,1.5047,"[0.0003, 0.0499]","[5.7029, 9.2275]"
2,65,0.0938,11.5805,8.9774,33,5.7029,1.5344,"[0.0003, 0.0433]","[1.3463, 14.9304]"
2,65,0.515,11.9861,2.5205,30,1.3463,1.3761,"[0.0002, 0.0268]","[3.5246, 5.7029]"
2,63,0.1127,5.0803,0.138,25,0.1214,1.5075,"[0.0003, 0.0266]","[5.7029, 1.3463]"
