Concurrent task count,Total Fibonacci size,New task start time (relative),Total latency (excluding new task),New task latency,New task Fibonacci size,New task FLOPs,CPU frequency (GHz),Task start times,Task operations (FLOPs)
8,238,0.7067,58.5673,22.3017,35,14.9304,1.3642,"[0.0003, 0.0433, 0.1907, 0.2466, 0.3127, 0.3756, 0.4471, 0.6005]","[9.2275, 0.1964, 3.5246, 1.3463, 1.3463, 0.1964, 9.2275, 0.1964]"
8,231,0.9945,18.0933,1.4637,27,0.3178,1.3622,"[0.0003, 0.0487, 0.1047, 0.2824, 0.3507, 0.4682, 0.621, 0.7024]","[0.832, 2.1783, 0.3178, 1.3463, 0.3178, 5.7029, 0.1214, 0.832]"
8,229,0.7833,33.6424,9.1769,32,3.5246,1.2896,"[0.0003, 0.0424, 0.139, 0.1797, 0.2508, 0.3217, 0.3774, 0.5847]","[0.832, 2.1783, 0.1214, 0.3178, 5.7029, 0.1214, 0.1964, 5.7029]"
8,230,1.0194,32.2823,16.2279,34,9.2275,1.3532,"[0.0003, 0.0424, 0.1341, 0.2055, 0.4948, 0.6475, 0.8854, 0.9118]","[2.1783, 14.9304, 0.5142, 0.5142, 0.1214, 0.3178, 0.832, 0.3178]"
8,241,0.7538,78.3478,13.5282,32,3.5246,1.3718,"[0.0003, 0.0429, 0.1245, 0.1854, 0.2972, 0.3963, 0.4746, 0.5458]","[14.9304, 0.1964, 9.2275, 5.7029, 0.1214, 3.5246, 1.3463, 0.1964]"
8,251,1.4541,91.4086,0.0957,25,0.1214,1.4034,"[0.0003, 0.0402, 0.086, 0.1673, 0.2437, 0.7013, 0.7724, 1.1734]","[0.832, 9.2275, 5.7029, 2.1783, 0.832, 0.832, 9.2275, 3.5246]"
8,243,1.3747,57.2653,3.6944,30,1.3463,1.4206,"[0.0003, 0.045, 0.0908, 0.1417, 0.2333, 0.4215, 0.5535, 0.6854]","[2.1783, 1.3463, 0.5142, 14.9304, 3.5246, 0.3178, 5.7029, 0.3178]"
8,241,0.668,102.0512,29.9715,34,9.2275,1.4324,"[0.0003, 0.0365, 0.0828, 0.1347, 0.2069, 0.269, 0.4378, 0.4901]","[0.1214, 0.1964, 9.2275, 0.5142, 14.9304, 14.9304, 0.5142, 1.3463]"
8,238,1.0548,44.0044,7.4488,31,2.1783,1.3346,"[0.0003, 0.039, 0.0746, 0.1458, 0.2442, 0.346, 0.3866, 0.5495]","[2.1783, 1.3463, 0.1964, 0.832, 0.3178, 3.5246, 0.832, 9.2275]"
8,249,0.6047,125.8921,5.2931,31,2.1783,1.377,"[0.0003, 0.0324, 0.0832, 0.1646, 0.2307, 0.2749, 0.3056, 0.4173]","[5.7029, 0.3178, 0.5142, 14.9304, 3.5246, 0.1214, 14.9304, 9.2275]"
8,232,0.6085,35.868,0.9251,27,0.3178,1.4944,"[0.0003, 0.0369, 0.0878, 0.2214, 0.2731, 0.3518, 0.404, 0.4812]","[0.1964, 0.832, 0.1964, 0.1964, 3.5246, 9.2275, 5.7029, 0.1964]"
8,235,0.8753,33.3157,4.628,30,1.3463,1.4266,"[0.0003, 0.0453, 0.1216, 0.1812, 0.2882, 0.3999, 0.508, 0.5639]","[0.832, 0.1964, 9.2275, 0.3178, 1.3463, 2.1783, 2.1783, 0.3178]"
