Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
8,232.647,1.4957,38.9878,6.5928,57.8413,106.86,1.5472,"[0.1772, 0.3646, 0.5172, 0.6422, 0.7751, 1.0732, 1.2361, 1.441]","[41.1, 123.3, 106.86, 82.2, 82.2, 41.1, 106.86, 82.2]"
8,293.6738,1.3702,49.7422,7.5889,62.6262,131.52,1.651,"[0.042, 0.2202, 0.3539, 0.4849, 0.625, 0.8233, 0.9903, 1.1909]","[73.98, 106.86, 106.86, 82.2, 82.2, 123.3, 106.86, 41.1]"
8,358.6136,1.1864,55.6159,8.9888,62.6262,131.52,1.6218,"[0.0573, 0.1845, 0.3738, 0.4967, 0.6344, 0.7965, 0.996, 1.0558]","[123.3, 312.36, 106.86, 106.86, 82.2, 131.52, 41.1, 106.86]"
8,345.2422,1.1659,53.5341,8.1484,62.6262,131.52,1.4844,"[0.0975, 0.2669, 0.3847, 0.5229, 0.6611, 0.69, 0.87, 1.0437]","[82.2, 73.98, 82.2, 123.3, 106.86, 106.86, 123.3, 106.86]"
8,385.3442,1.4551,61.3896,4.7573,6.8019,82.2,1.5292,"[0.1658, 0.2933, 0.4371, 0.5746, 0.7312, 0.9347, 1.1656, 1.4102]","[131.52, 123.3, 106.86, 123.3, 312.36, 106.86, 312.36, 106.86]"
8,282.6859,1.1367,47.7203,7.6418,35.3044,312.36,1.5972,"[0.1596, 0.2865, 0.4535, 0.5913, 0.7137, 0.8655, 0.8869, 0.9114]","[41.1, 82.2, 82.2, 131.52, 82.2, 123.3, 106.86, 106.86]"
8,368.9272,1.1498,61.6456,5.4924,16.2015,41.1,1.5191,"[0.0454, 0.1784, 0.2852, 0.4105, 0.444, 0.5704, 0.7893, 0.9533]","[106.86, 131.52, 312.36, 106.86, 106.86, 106.86, 41.1, 41.1]"
8,324.4412,1.4103,45.9216,7.0648,62.6262,131.52,1.6392,"[0.0987, 0.2673, 0.4548, 0.6285, 0.781, 0.9503, 0.9818, 1.1526]","[73.98, 106.86, 131.52, 312.36, 312.36, 106.86, 82.2, 312.36]"
8,245.0319,1.3465,36.8641,6.3311,35.3044,312.36,1.5628,"[0.037, 0.1628, 0.2659, 0.295, 0.5725, 0.7462, 0.9355, 1.1894]","[131.52, 131.52, 82.2, 106.86, 106.86, 82.2, 73.98, 82.2]"
8,287.364,1.1377,42.9082,6.7607,57.8413,106.86,1.4894,"[0.126, 0.2525, 0.4197, 0.5476, 0.7089, 0.7487, 0.9233, 1.1053]","[41.1, 123.3, 73.98, 131.52, 131.52, 82.2, 73.98, 73.98]"
8,272.0005,1.3261,40.411,3.2693,16.2015,41.1,1.4809,"[0.0907, 0.254, 0.3827, 0.5016, 0.6533, 0.8325, 1.0319, 1.2388]","[73.98, 73.98, 312.36, 312.36, 41.1, 123.3, 106.86, 123.3]"
8,247.2869,1.0914,39.0983,6.3518,61.4555,106.86,1.4888,"[0.0203, 0.0329, 0.2732, 0.4264, 0.5872, 0.7519, 0.9108, 0.9782]","[41.1, 82.2, 123.3, 106.86, 131.52, 106.86, 41.1, 106.86]"
8,326.9612,1.2021,53.3316,5.541,11.7294,106.86,1.4979,"[0.0908, 0.2188, 0.3716, 0.5007, 0.6774, 0.8546, 0.9137, 1.0836]","[73.98, 41.1, 106.86, 123.3, 312.36, 106.86, 82.2, 131.52]"
