Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
5,225.5588,0.7858,24.3968,3.7614,26.1889,73.98,1.4541,"[0.0147, 0.1388, 0.2452, 0.3564, 0.4995]","[312.36, 123.3, 106.86, 106.86, 82.2]"
5,202.8978,0.7681,18.7073,2.4341,6.8019,82.2,1.5883,"[0.072, 0.1981, 0.3811, 0.5091, 0.673]","[106.86, 106.86, 106.86, 82.2, 106.86]"
5,277.5122,0.8285,31.1444,6.9389,62.6262,131.52,1.457,"[0.1968, 0.3234, 0.4845, 0.6733, 0.8059]","[106.86, 312.36, 106.86, 106.86, 106.86]"
5,198.3696,0.7511,24.0395,5.3169,57.8413,106.86,1.3697,"[0.1076, 0.1198, 0.2448, 0.5394, 0.676]","[106.86, 106.86, 123.3, 82.2, 106.86]"
5,242.5023,0.5698,23.51,4.3269,26.1889,73.98,1.7114,"[0.1973, 0.3374, 0.4457, 0.4638, 0.6084]","[312.36, 106.86, 123.3, 73.98, 131.52]"
5,196.3904,0.6589,21.7616,5.4948,60.5415,123.3,1.6354,"[0.1534, 0.2757, 0.382, 0.527, 0.6556]","[312.36, 131.52, 123.3, 106.86, 73.98]"
5,253.8811,0.7569,26.1234,2.7653,16.2015,41.1,1.4895,"[0.1653, 0.2887, 0.3926, 0.5052, 0.6424]","[106.86, 123.3, 41.1, 106.86, 106.86]"
5,145.4879,0.7728,14.6223,4.5194,61.4555,106.86,1.5302,"[0.0149, 0.171, 0.3513, 0.4781, 0.6159]","[41.1, 106.86, 82.2, 82.2, 106.86]"
5,225.9581,0.9773,24.8384,5.7371,61.4555,106.86,1.5583,"[0.1483, 0.341, 0.54, 0.6837, 0.9801]","[106.86, 123.3, 106.86, 312.36, 123.3]"
5,245.8598,0.7529,26.6622,5.9425,57.8413,106.86,1.511,"[0.1041, 0.2327, 0.391, 0.5192, 0.6724]","[106.86, 312.36, 106.86, 73.98, 106.86]"
5,122.3772,0.6946,16.2564,4.2998,57.8413,106.86,1.5305,"[0.0808, 0.2075, 0.3133, 0.4272, 0.4411]","[73.98, 106.86, 106.86, 41.1, 82.2]"
5,178.06,0.9264,22.7644,5.505,61.4555,106.86,1.4321,"[0.1958, 0.3398, 0.5325, 0.6936, 0.896]","[106.86, 106.86, 106.86, 106.86, 312.36]"
5,146.8241,0.5862,16.0815,2.5741,6.8019,82.2,1.7708,"[0.1878, 0.3127, 0.4185, 0.6122, 0.7649]","[73.98, 73.98, 106.86, 73.98, 82.2]"
5,153.1717,0.7392,15.2926,2.5239,6.8019,82.2,1.6365,"[0.1111, 0.2369, 0.385, 0.5151, 0.6962]","[106.86, 106.86, 106.86, 82.2, 106.86]"
5,281.3831,0.7642,27.5978,2.8928,11.7294,106.86,1.593,"[0.1394, 0.2658, 0.4346, 0.5611, 0.6872]","[106.86, 106.86, 123.3, 131.52, 312.36]"
5,152.2577,0.688,19.694,5.0279,62.6262,131.52,1.5346,"[0.1032, 0.243, 0.3573, 0.3741, 0.5033]","[106.86, 106.86, 106.86, 82.2, 123.3]"
5,146.2363,0.8162,18.4626,5.2589,62.6262,131.52,1.4751,"[0.061, 0.2321, 0.3821, 0.529, 0.7135]","[41.1, 41.1, 73.98, 73.98, 106.86]"
5,150.8708,0.7708,15.8706,3.0209,11.7294,106.86,1.5646,"[0.1439, 0.2764, 0.4749, 0.6164, 0.7589]","[106.86, 106.86, 106.86, 106.86, 106.86]"
5,132.3506,0.8719,15.6134,2.8444,16.2015,41.1,1.6957,"[0.0714, 0.2634, 0.3884, 0.5081, 0.7159]","[312.36, 82.2, 106.86, 41.1, 41.1]"
5,174.5873,0.5374,22.6149,5.5842,62.6262,131.52,1.4375,"[0.1064, 0.2319, 0.3728, 0.3868, 0.5041]","[131.52, 41.1, 106.86, 73.98, 106.86]"
5,183.9778,0.8545,20.6024,5.1768,62.6262,131.52,1.5135,"[0.192, 0.3192, 0.4627, 0.586, 0.7493]","[106.86, 106.86, 312.36, 73.98, 82.2]"
5,200.5969,0.7947,22.3633,3.2023,16.2015,41.1,1.6125,"[0.0356, 0.1622, 0.2689, 0.4287, 0.5649]","[106.86, 106.86, 106.86, 106.86, 106.86]"
5,211.9151,0.7628,24.9123,5.9374,57.8413,106.86,1.551,"[0.0687, 0.1951, 0.3458, 0.4691, 0.6087]","[82.2, 123.3, 123.3, 73.98, 106.86]"
5,222.2287,0.8038,25.0261,3.2467,16.2015,41.1,1.4198,"[0.161, 0.2855, 0.4558, 0.6048, 0.7762]","[73.98, 41.1, 106.86, 123.3, 106.86]"
5,249.8819,0.783,26.8616,3.1415,6.8019,82.2,1.6031,"[0.0993, 0.2297, 0.336, 0.4694, 0.651]","[82.2, 123.3, 106.86, 123.3, 123.3]"
5,244.4815,0.6927,24.3534,6.1774,62.6262,131.52,1.6593,"[0.1229, 0.2513, 0.3578, 0.4699, 0.6693]","[123.3, 106.86, 82.2, 106.86, 106.86]"
5,197.4556,0.9629,18.6829,4.6556,60.5415,123.3,1.6022,"[0.025, 0.1516, 0.3301, 0.4583, 0.6145]","[123.3, 123.3, 106.86, 82.2, 106.86]"
5,210.1289,0.7592,21.8014,3.4841,11.7294,106.86,1.7033,"[0.0168, 0.1425, 0.2603, 0.4276, 0.575]","[106.86, 106.86, 82.2, 106.86, 73.98]"
5,117.4497,0.7149,13.9939,4.2071,60.5415,123.3,1.3988,"[0.1636, 0.292, 0.3983, 0.512, 0.649]","[41.1, 73.98, 82.2, 82.2, 106.86]"
5,67.5912,0.6244,13.8517,4.0653,60.5415,123.3,1.5135,"[0.1451, 0.2846, 0.4022, 0.4257, 0.5798]","[106.86, 41.1, 106.86, 106.86, 41.1]"
5,141.0158,0.7885,14.4064,3.9886,35.3044,312.36,1.5368,"[0.0443, 0.2107, 0.3355, 0.4534, 0.4821]","[82.2, 106.86, 106.86, 82.2, 106.86]"
5,105.6257,0.5989,15.6508,4.2887,57.8413,106.86,1.5053,"[0.0988, 0.2728, 0.3962, 0.5198, 0.5683]","[106.86, 312.36, 73.98, 41.1, 41.1]"
5,147.2655,0.8646,15.017,2.8862,26.1889,73.98,1.5702,"[0.103, 0.2299, 0.3352, 0.4449, 0.7528]","[73.98, 312.36, 106.86, 106.86, 41.1]"
5,156.381,0.9095,18.3585,4.9881,62.6262,131.52,1.65,"[0.087, 0.2154, 0.4101, 0.587, 0.761]","[312.36, 312.36, 41.1, 106.86, 106.86]"
5,214.1424,0.7778,18.579,3.1662,26.1889,73.98,1.4545,"[0.0448, 0.1707, 0.3383, 0.4839, 0.6296]","[106.86, 73.98, 106.86, 106.86, 123.3]"
5,238.2138,0.5889,27.5598,6.4491,61.4555,106.86,1.5116,"[0.1044, 0.2609, 0.3825, 0.3967, 0.5463]","[312.36, 131.52, 41.1, 131.52, 106.86]"
5,218.7847,0.7905,23.171,3.2843,16.2015,41.1,1.6094,"[0.018, 0.1452, 0.3102, 0.441, 0.5784]","[131.52, 73.98, 131.52, 82.2, 123.3]"
5,262.2802,0.6279,28.3963,2.7819,11.7294,106.86,1.4379,"[0.1582, 0.3287, 0.4607, 0.4878, 0.5992]","[123.3, 131.52, 106.86, 106.86, 41.1]"
5,186.678,0.7006,21.7979,3.4288,16.2015,41.1,1.5484,"[0.1299, 0.2597, 0.3653, 0.4891, 0.6379]","[106.86, 312.36, 123.3, 82.2, 73.98]"
5,111.9312,0.6857,16.1067,2.9621,6.8019,82.2,1.6198,"[0.038, 0.1649, 0.2704, 0.3814, 0.4147]","[123.3, 106.86, 106.86, 41.1, 106.86]"
5,217.614,0.7743,22.3912,5.6461,60.5415,123.3,1.4479,"[0.1935, 0.3208, 0.4605, 0.6076, 0.7739]","[73.98, 82.2, 123.3, 131.52, 106.86]"
5,299.3918,0.8183,30.2654,6.0343,35.3044,312.36,1.4413,"[0.1341, 0.3357, 0.4599, 0.4876, 0.6007]","[123.3, 123.3, 106.86, 106.86, 131.52]"
5,130.5787,0.7262,17.2023,4.7769,62.6262,131.52,1.4874,"[0.1696, 0.2965, 0.4142, 0.5553, 0.7016]","[312.36, 82.2, 41.1, 106.86, 123.3]"
5,137.1355,0.7104,18.0361,3.7085,26.1889,73.98,1.5138,"[0.1453, 0.273, 0.3803, 0.4917, 0.502]","[41.1, 131.52, 41.1, 312.36, 82.2]"
5,58.1916,0.8002,12.4831,3.952,61.4555,106.86,1.4515,"[0.196, 0.3244, 0.4294, 0.6073, 0.7707]","[41.1, 106.86, 82.2, 106.86, 106.86]"
5,114.1483,0.7097,19.4627,5.0199,60.5415,123.3,1.3861,"[0.1578, 0.2864, 0.41, 0.5417, 0.6606]","[73.98, 106.86, 82.2, 82.2, 131.52]"
5,132.3646,0.8287,17.8191,3.2605,16.2015,41.1,1.6804,"[0.0774, 0.2078, 0.3172, 0.4368, 0.6217]","[73.98, 106.86, 73.98, 82.2, 106.86]"
5,243.4163,0.8473,30.9872,6.5114,57.8413,106.86,1.5795,"[0.0535, 0.2168, 0.4121, 0.5467, 0.5804]","[131.52, 106.86, 312.36, 106.86, 73.98]"
5,197.4556,0.707,24.2791,3.7377,11.7294,106.86,1.5225,"[0.0693, 0.1986, 0.3054, 0.4214, 0.615]","[82.2, 106.86, 123.3, 123.3, 106.86]"
5,220.8694,0.865,24.9815,4.258,26.1889,73.98,1.5824,"[0.1194, 0.2715, 0.4461, 0.6029, 0.751]","[131.52, 131.52, 82.2, 131.52, 73.98]"
5,169.9726,0.737,20.7193,5.6945,61.4555,106.86,1.6769,"[0.1838, 0.3134, 0.4282, 0.552, 0.6922]","[73.98, 106.86, 82.2, 131.52, 131.52]"
5,217.614,0.7231,20.9532,2.8337,11.7294,106.86,1.5736,"[0.0493, 0.1943, 0.3036, 0.4426, 0.6099]","[123.3, 106.86, 73.98, 131.52, 82.2]"
5,186.403,0.6997,24.5181,5.1776,61.4555,106.86,1.4663,"[0.1241, 0.252, 0.358, 0.469, 0.6168]","[41.1, 123.3, 131.52, 312.36, 106.86]"
5,196.6975,0.7259,21.2663,3.2496,16.2015,41.1,1.5208,"[0.0719, 0.201, 0.3282, 0.5017, 0.6355]","[82.2, 131.52, 82.2, 131.52, 106.86]"
5,203.1545,0.9631,21.9583,3.348,16.2015,41.1,1.4299,"[0.058, 0.1876, 0.3394, 0.4719, 0.6487]","[82.2, 106.86, 131.52, 106.86, 123.3]"
5,127.3047,0.8019,18.5286,5.2114,57.8413,106.86,1.6416,"[0.0363, 0.1633, 0.2692, 0.3834, 0.5887]","[106.86, 73.98, 41.1, 106.86, 106.86]"
5,126.8493,0.7409,15.5551,2.9407,6.8019,82.2,1.5829,"[0.056, 0.1809, 0.338, 0.4609, 0.646]","[41.1, 106.86, 73.98, 41.1, 82.2]"
5,62.512,1.0123,11.2134,2.5186,11.7294,106.86,1.4729,"[0.1388, 0.3223, 0.5049, 0.6729, 0.8269]","[82.2, 82.2, 82.2, 82.2, 312.36]"
5,208.996,0.9054,27.1327,6.7241,62.6262,131.52,1.5093,"[0.0617, 0.262, 0.3865, 0.5152, 0.6871]","[106.86, 106.86, 106.86, 131.52, 106.86]"
