Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
9,362.757,1.649,57.0613,4.7994,16.2015,41.1,1.6521,0.8128,96.8133
9,484.6683,1.584,87.6416,11.4656,60.5415,123.3,1.5833,0.614,137.9133
9,313.3109,1.3834,62.1847,7.7945,61.4555,106.86,1.4667,0.6452,141.5667
9,281.0944,1.6821,56.0058,8.1336,61.4555,106.86,1.5846,0.7128,124.2133
9,288.5738,1.3226,55.1204,9.1395,60.5415,123.3,1.5538,0.6628,94.9867
9,297.0148,1.6159,52.8988,6.5648,57.8413,106.86,1.5117,0.8296,169.88
9,316.746,1.322,55.8495,4.2809,6.8019,82.2,1.513,0.6315,119.6467
9,253.1241,1.4512,51.9799,5.9911,26.1889,73.98,1.6348,0.4849,93.16
9,348.2975,1.7254,68.0455,9.3491,60.5415,123.3,1.5369,0.8246,100.4667
9,225.2088,1.6597,40.1253,4.1429,6.8019,82.2,1.5262,0.8202,71.24
9,168.0999,1.6171,37.1774,5.3384,35.3044,312.36,1.6671,0.7325,104.12
9,294.4747,1.6724,69.1399,9.4871,61.4555,106.86,1.5332,0.9043,158.92
9,312.2407,1.449,66.3288,7.8821,60.5415,123.3,1.59,0.6124,117.82
9,357.8209,1.4196,68.2066,5.3736,6.8019,82.2,1.4111,0.6009,115.08
9,311.0747,1.3391,63.21,6.3543,26.1889,73.98,1.5019,0.5684,128.78
9,297.0087,1.4999,60.0505,8.8654,61.4555,106.86,1.4773,0.674,92.2467
9,361.5589,1.2178,68.7493,9.7046,62.6262,131.52,1.6111,0.6028,129.6933
9,306.7254,1.4903,66.7855,9.6727,62.6262,131.52,1.4072,0.6148,106.86
9,369.429,1.5925,68.9105,8.6708,61.4555,106.86,1.5636,0.6379,126.04
9,228.3644,1.4279,59.1139,8.6821,61.4555,106.86,1.4501,0.6574,83.1133
9,377.0379,1.0646,72.9872,9.3266,61.4555,106.86,1.5521,0.6821,149.7867
9,268.0248,1.6699,53.6524,5.2895,11.7294,106.86,1.5184,0.721,156.18
9,226.7249,1.3443,58.643,8.5845,62.6262,131.52,1.5029,0.6383,90.42
9,303.1399,1.4882,56.7597,4.7876,6.8019,82.2,1.412,0.6224,147.96
9,458.4349,1.622,75.0341,9.1596,35.3044,312.36,1.721,0.6407,105.9467
9,342.906,1.6741,56.8136,5.2356,16.2015,41.1,1.4236,0.7945,108.6867
9,351.6483,1.5826,60.6382,8.4075,60.5415,123.3,1.5552,0.7379,110.5133
9,331.6698,1.1767,60.252,5.4392,11.7294,106.86,1.3313,0.6115,137.9133
