Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
2,69.5707,0.3302,3.1715,1.1543,11.7294,106.86,1.5975,"[0.1048, 0.2174]","[106.86, 106.86]"
2,93.1457,0.3528,4.309,2.3914,35.3044,312.36,1.6565,"[0.0142, 0.1313]","[106.86, 312.36]"
2,69.5707,0.383,3.1241,1.1914,16.2015,41.1,1.7098,"[0.0192, 0.132]","[106.86, 106.86]"
2,52.3778,0.2952,4.408,3.1355,60.5415,123.3,1.7438,"[0.1017, 0.2652]","[73.98, 73.98]"
2,42.1063,0.3855,3.2061,1.7092,26.1889,73.98,1.7287,"[0.0179, 0.1328]","[312.36, 82.2]"
2,61.4933,0.3238,4.2652,2.5681,35.3044,312.36,1.6552,"[0.1984, 0.3805]","[312.36, 73.98]"
2,27.9309,0.3604,2.2092,2.6219,60.5415,123.3,1.4968,"[0.086, 0.2513]","[41.1, 106.86]"
2,32.9908,0.2308,2.7703,1.468,11.7294,106.86,1.7347,"[0.0157, 0.1287]","[73.98, 82.2]"
2,95.8459,0.3155,5.4995,1.4946,11.7294,106.86,1.5129,"[0.1569, 0.3519]","[312.36, 123.3]"
2,121.997,0.3708,6.5824,3.2691,57.8413,106.86,1.5988,"[0.1731, 0.2866]","[123.3, 106.86]"
2,73.1849,0.3903,3.7869,1.385,6.8019,82.2,1.8136,"[0.1784, 0.3679]","[106.86, 106.86]"
2,97.9306,0.3484,5.8901,2.8195,57.8413,106.86,1.6515,"[0.082, 0.1966]","[312.36, 131.52]"
2,64.6432,0.3152,4.1236,2.0552,26.1889,73.98,1.7397,"[0.0398, 0.1512]","[106.86, 82.2]"
2,32.403,0.3186,2.5217,1.7646,26.1889,73.98,1.6729,"[0.026, 0.137]","[41.1, 41.1]"
2,118.3828,0.2553,7.026,4.0441,62.6262,131.52,1.4937,"[0.0397, 0.1828]","[106.86, 123.3]"
2,23.0034,0.2716,2.115,1.0103,6.8019,82.2,1.6951,"[0.1189, 0.2399]","[41.1, 82.2]"
2,13.6038,0.3099,2.0507,2.5661,60.5415,123.3,1.6801,"[0.0652, 0.1764]","[82.2, 82.2]"
2,97.9306,0.3227,5.9866,3.2438,62.6262,131.52,1.5793,"[0.0122, 0.1372]","[131.52, 312.36]"
2,77.657,0.4679,4.2109,3.3701,62.6262,131.52,1.576,"[0.1528, 0.3518]","[41.1, 106.86]"
2,68.2574,0.3241,4.0111,3.1072,57.8413,106.86,1.6633,"[0.1563, 0.2686]","[82.2, 106.86]"
2,125.2524,0.2596,6.9339,3.4839,57.8413,106.86,1.5297,"[0.0662, 0.0807]","[131.52, 131.52]"
2,96.7599,0.4166,5.0259,1.6476,26.1889,73.98,1.7808,"[0.1917, 0.3593]","[106.86, 312.36]"
2,122.911,0.2675,7.8952,3.8179,61.4555,106.86,1.6727,"[0.065, 0.1764]","[106.86, 106.86]"
2,69.4281,0.3802,3.0213,2.105,35.3044,312.36,1.7847,"[0.043, 0.201]","[82.2, 131.52]"
2,69.4281,0.3323,3.4193,1.5943,26.1889,73.98,1.6731,"[0.0454, 0.1608]","[131.52, 82.2]"
2,74.3556,0.3506,3.7059,1.0996,6.8019,82.2,1.7831,"[0.0858, 0.2029]","[106.86, 131.52]"
2,86.7304,0.2718,6.0089,3.7145,61.4555,106.86,1.5933,"[0.0775, 0.1928]","[123.3, 73.98]"
2,88.8151,0.3799,4.3676,1.9831,26.1889,73.98,1.7098,"[0.1591, 0.2811]","[73.98, 131.52]"
2,125.2524,0.2806,6.8299,1.5778,16.2015,41.1,1.9807,"[0.0764, 0.1909]","[131.52, 131.52]"
2,18.5313,0.4639,1.6041,0.8573,6.8019,82.2,1.4521,"[0.1774, 0.3689]","[82.2, 106.86]"
2,32.9908,0.378,2.2527,1.3656,11.7294,106.86,1.7941,"[0.0369, 0.1863]","[73.98, 82.2]"
2,32.403,0.4099,1.9811,2.5343,62.6262,131.52,1.4727,"[0.1268, 0.2398]","[41.1, 41.1]"
2,78.8277,0.3813,4.4817,3.1392,61.4555,106.86,1.6233,"[0.1718, 0.3159]","[41.1, 131.52]"
2,123.1677,0.3563,6.9705,3.4861,57.8413,106.86,1.6219,"[0.0185, 0.1352]","[131.52, 123.3]"
2,73.1849,0.2575,4.4065,3.1261,60.5415,123.3,1.5067,"[0.1643, 0.3011]","[106.86, 106.86]"
2,32.9908,0.2477,4.0119,3.3698,62.6262,131.52,1.5881,"[0.0117, 0.1256]","[82.2, 73.98]"
2,67.3434,0.2767,5.1476,3.5112,61.4555,106.86,1.5741,"[0.1654, 0.2783]","[82.2, 123.3]"
2,42.1063,0.1367,3.2798,2.0972,35.3044,312.36,1.6881,"[0.0858, 0.1981]","[82.2, 312.36]"
2,125.2524,0.2925,6.4694,1.5048,16.2015,41.1,1.9274,"[0.0784, 0.1923]","[131.52, 131.52]"
2,123.1677,0.3181,8.2694,4.1514,61.4555,106.86,1.758,"[0.1539, 0.3467]","[131.52, 123.3]"
2,52.3778,0.4588,3.6844,2.1298,26.1889,73.98,1.5637,"[0.0976, 0.2987]","[73.98, 73.98]"
2,37.9183,0.2906,3.314,2.8091,61.4555,106.86,1.6867,"[0.1101, 0.2234]","[73.98, 106.86]"
2,61.4933,0.5294,4.2924,2.7147,61.4555,106.86,1.5972,"[0.1406, 0.3133]","[312.36, 73.98]"
2,120.4675,0.2898,7.3232,4.2434,60.5415,123.3,1.5604,"[0.0373, 0.2136]","[106.86, 131.52]"
2,69.5707,0.3197,3.765,2.8169,60.5415,123.3,1.7277,"[0.029, 0.1441]","[106.86, 106.86]"
2,23.0034,0.3714,1.8471,1.2806,16.2015,41.1,1.5823,"[0.0583, 0.1756]","[82.2, 41.1]"
2,42.3904,0.4007,2.9109,2.7659,60.5415,123.3,1.6729,"[0.0716, 0.2327]","[41.1, 73.98]"
2,64.6432,0.2824,3.5097,2.8784,57.8413,106.86,1.6827,"[0.1976, 0.3448]","[106.86, 82.2]"
2,51.5059,0.2817,2.7067,0.9989,6.8019,82.2,1.6469,"[0.1405, 0.2524]","[41.1, 312.36]"
2,120.4675,0.3662,6.2537,1.9487,11.7294,106.86,1.6421,"[0.1463, 0.2593]","[131.52, 106.86]"
2,32.9908,0.4326,1.9305,1.1285,16.2015,41.1,1.6021,"[0.1161, 0.2844]","[82.2, 73.98]"
2,13.6038,0.393,1.3638,0.8918,11.7294,106.86,1.6957,"[0.1411, 0.3259]","[82.2, 82.2]"
2,76.743,0.263,4.7427,2.2187,26.1889,73.98,1.8101,"[0.0747, 0.187]","[41.1, 123.3]"
2,72.2709,0.2612,4.0099,1.988,26.1889,73.98,1.7188,"[0.125, 0.2384]","[123.3, 106.86]"
2,123.1677,0.4006,6.9231,3.5276,62.6262,131.52,1.7507,"[0.1895, 0.3016]","[131.52, 123.3]"
2,74.3556,0.2748,4.6244,2.8999,57.8413,106.86,1.564,"[0.1045, 0.2653]","[106.86, 131.52]"
2,51.5059,0.2438,3.72,2.5606,61.4555,106.86,1.7177,"[0.1955, 0.3087]","[41.1, 312.36]"
2,70.6088,0.2753,5.0813,2.4434,57.8413,106.86,1.6919,"[0.0339, 0.167]","[312.36, 312.36]"
