Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
1,60.5415,0.1432,3.0432,3.0676,60.5415,123.3,1.8888,0.0157,123.3
1,16.2015,0.2276,0.8749,2.4275,61.4555,106.86,1.8799,0.0551,41.1
1,62.6262,0.1889,2.1894,0.7948,6.8019,82.2,2.044,0.1489,131.52
1,6.8019,0.2536,0.554,0.6765,6.8019,82.2,1.935,0.1233,82.2
1,62.6262,0.3583,2.4623,1.286,16.2015,41.1,2.0781,0.0306,131.52
1,11.7294,0.1437,0.6883,0.6931,6.8019,82.2,2.0957,0.0955,106.86
1,35.3044,0.1613,1.463,0.8855,11.7294,106.86,1.977,0.0548,312.36
1,6.8019,0.2495,0.6589,2.5115,61.4555,106.86,1.855,0.1108,82.2
1,62.6262,0.2893,2.9382,3.0711,62.6262,131.52,1.5768,0.1781,131.52
1,35.3044,0.1388,1.3918,0.7124,6.8019,82.2,2.1084,0.0538,312.36
1,6.8019,0.2765,0.5891,0.7004,6.8019,82.2,1.8875,0.0595,82.2
1,6.8019,0.2558,0.6396,2.5519,62.6262,131.52,1.7965,0.0707,82.2
1,26.1889,0.1417,1.285,1.1024,16.2015,41.1,2.0176,0.022,73.98
1,60.5415,0.272,2.2319,1.2406,16.2015,41.1,1.8958,0.0808,123.3
1,61.4555,0.351,2.2749,0.8337,6.8019,82.2,1.9777,0.0324,106.86
1,11.7294,0.2229,0.7203,1.5294,35.3044,312.36,1.9209,0.0223,106.86
1,16.2015,0.2745,0.9879,1.5746,26.1889,73.98,1.8482,0.1126,41.1
1,61.4555,0.2275,2.4126,1.1314,16.2015,41.1,2.0939,0.1592,106.86
1,61.4555,0.2367,2.2932,2.1166,35.3044,312.36,1.8657,0.0751,106.86
1,60.5415,0.195,2.1861,1.9858,35.3044,312.36,2.0569,0.174,123.3
1,11.7294,0.1724,0.7702,1.5497,35.3044,312.36,1.8081,0.1612,106.86
1,35.3044,0.255,1.7199,2.4926,62.6262,131.52,1.8687,0.0854,312.36
1,16.2015,0.2154,0.8338,1.0205,16.2015,41.1,1.8097,0.1075,41.1
1,60.5415,0.1709,2.6337,2.7843,62.6262,131.52,1.8343,0.0904,123.3
1,60.5415,0.1524,2.9448,2.9487,61.4555,106.86,1.8245,0.1058,123.3
1,60.5415,0.1802,2.5024,3.0881,60.5415,123.3,1.8385,0.1176,123.3
1,16.2015,0.2896,0.7488,1.5849,35.3044,312.36,1.5779,0.16,41.1
1,16.2015,0.2389,0.8349,0.7158,6.8019,82.2,1.9251,0.0763,41.1
1,11.7294,0.1959,0.951,2.4892,62.6262,131.52,1.8307,0.0984,106.86
1,16.2015,0.1929,0.9266,2.4495,62.6262,131.52,1.8757,0.1694,41.1
1,11.7294,0.1135,0.7383,0.7029,6.8019,82.2,1.897,0.0667,106.86
1,6.8019,0.2333,0.6344,0.7014,6.8019,82.2,1.79,0.1181,82.2
1,11.7294,0.2248,0.8724,2.4364,62.6262,131.52,1.485,0.0172,106.86
1,11.7294,0.115,0.7621,0.9364,16.2015,41.1,1.9448,0.0186,106.86
1,60.5415,0.2495,2.551,2.8782,60.5415,123.3,1.7967,0.1791,123.3
1,60.5415,0.3662,2.4028,3.0473,62.6262,131.52,1.7447,0.0476,123.3
1,62.6262,0.1117,2.8311,2.8219,62.6262,131.52,1.7813,0.1732,131.52
1,60.5415,0.2313,2.5697,2.8739,62.6262,131.52,1.7719,0.1266,123.3
1,61.4555,0.1752,2.2448,1.1311,16.2015,41.1,2.099,0.1657,106.86
1,16.2015,0.1299,0.9252,0.9844,11.7294,106.86,1.7395,0.0329,41.1
1,61.4555,0.1247,2.6745,2.6699,57.8413,106.86,1.7438,0.125,106.86
1,6.8019,0.2295,0.595,1.2625,26.1889,73.98,1.7125,0.18,82.2
1,35.3044,0.1137,2.2664,2.7226,62.6262,131.52,1.6849,0.1263,312.36
1,6.8019,0.2883,0.4915,0.7615,11.7294,106.86,1.9144,0.0399,82.2
1,16.2015,0.1701,0.8034,1.6075,35.3044,312.36,1.7701,0.0194,41.1
1,61.4555,0.1299,2.9338,2.7425,57.8413,106.86,1.7377,0.1759,106.86
1,61.4555,0.1473,2.7959,2.8045,60.5415,123.3,1.5928,0.1405,106.86
1,11.7294,0.2636,0.719,2.5671,62.6262,131.52,1.7988,0.0363,106.86
1,57.8413,0.2866,2.2654,1.6534,26.1889,73.98,1.838,0.1473,106.86
1,57.8413,0.1367,2.1569,0.9017,6.8019,82.2,1.9999,0.1776,106.86
1,60.5415,0.1156,2.2808,2.1344,35.3044,312.36,1.6948,0.0248,123.3
1,35.3044,0.2923,1.6973,2.4778,61.4555,106.86,1.7172,0.0613,312.36
1,11.7294,0.1415,0.8591,2.3709,62.6262,131.52,1.6302,0.1885,106.86
1,35.3044,0.2729,1.4749,1.6176,35.3044,312.36,1.7678,0.1384,312.36
1,6.8019,0.1054,0.7071,1.5912,35.3044,312.36,1.8255,0.1927,82.2
1,11.7294,0.1641,1.0208,2.4623,62.6262,131.52,1.6264,0.0962,106.86
1,57.8413,0.1945,2.286,0.9337,11.7294,106.86,1.9529,0.0702,106.86
1,35.3044,0.122,1.801,2.3099,60.5415,123.3,1.7152,0.1383,312.36
1,6.8019,0.1511,0.5665,0.9175,16.2015,41.1,1.809,0.0731,82.2
1,62.6262,0.2952,2.4439,0.8862,6.8019,82.2,1.9479,0.0929,131.52
1,26.1889,0.1782,1.2609,0.8938,6.8019,82.2,2.0165,0.1628,73.98
1,6.8019,0.1959,0.6107,2.3053,60.5415,123.3,1.5894,0.1343,82.2
1,62.6262,0.2658,2.2828,1.192,16.2015,41.1,1.8257,0.0551,131.52
1,6.8019,0.1328,0.5955,2.1946,57.8413,106.86,1.5787,0.1876,82.2
1,61.4555,0.2034,2.9128,2.9172,61.4555,106.86,1.5747,0.1951,106.86
1,26.1889,0.1668,1.2418,1.759,35.3044,312.36,1.8459,0.1465,73.98
1,16.2015,0.2633,0.8137,0.896,11.7294,106.86,2.009,0.17,41.1
1,62.6262,0.1924,2.4112,1.5211,26.1889,73.98,1.7591,0.0743,131.52
1,11.7294,0.121,0.8636,2.2232,57.8413,106.86,1.7866,0.1066,106.86
1,6.8019,0.2514,0.7256,2.3711,61.4555,106.86,1.6802,0.0572,82.2
1,11.7294,0.1466,0.8115,2.3689,62.6262,131.52,1.5505,0.0854,106.86
1,26.1889,0.3008,1.2389,2.4521,57.8413,106.86,1.838,0.1394,73.98
1,60.5415,0.2517,2.2854,1.0949,16.2015,41.1,1.7281,0.0307,123.3
1,11.7294,0.1915,0.7109,1.5143,35.3044,312.36,1.8582,0.1557,106.86
1,26.1889,0.1775,1.5418,2.5664,57.8413,106.86,1.7981,0.0796,73.98
1,16.2015,0.2681,0.8527,2.393,61.4555,106.86,1.639,0.0215,41.1
1,57.8413,0.1481,2.1294,0.8115,6.8019,82.2,2.0701,0.0799,106.86
1,61.4555,0.2403,2.7612,2.761,61.4555,106.86,1.7846,0.0584,106.86
1,57.8413,0.2726,2.5329,2.8667,62.6262,131.52,1.6087,0.1587,106.86
1,60.5415,0.2188,2.4679,1.5788,26.1889,73.98,1.8479,0.0917,123.3
1,26.1889,0.2735,1.2575,2.4945,57.8413,106.86,1.6387,0.1504,73.98
1,11.7294,0.2327,0.8684,2.2436,57.8413,106.86,1.6886,0.116,106.86
1,6.8019,0.2701,0.5763,2.4551,62.6262,131.52,1.7021,0.0945,82.2
