Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
7,301.8289,1.2143,44.1289,3.4722,6.8019,82.2,1.4678,0.624,126.8229
7,216.8362,1.1433,30.4347,4.2051,26.1889,73.98,1.4732,0.5491,122.1257
7,296.0929,1.0463,47.4682,4.1322,6.8019,82.2,1.5292,0.4512,158.5286
7,253.0988,0.9145,41.1883,4.8426,11.7294,106.86,1.4414,0.4684,158.5286
7,319.0447,1.0586,44.0667,5.1362,11.7294,106.86,1.628,0.4796,131.52
7,219.081,0.8187,37.3187,6.6099,35.3044,312.36,1.4359,0.4299,111.5571
7,162.3628,1.2453,27.3999,4.7858,35.3044,312.36,1.7338,0.6219,186.7114
7,364.4993,1.0678,57.1894,9.1019,60.5415,123.3,1.4146,0.5172,139.74
7,251.0736,0.9228,36.872,4.708,11.7294,106.86,1.3648,0.4197,83.3743
7,323.622,1.1,44.2464,6.5932,57.8413,106.86,1.415,0.4464,112.7314
7,232.2561,0.8315,37.1556,6.2726,57.8413,106.86,1.4557,0.5043,103.3371
7,217.8743,1.0647,38.1796,6.6283,62.6262,131.52,1.6322,0.5082,180.84
7,207.7771,1.1721,30.4467,3.1758,6.8019,82.2,1.5274,0.4786,131.52
7,184.2053,0.849,36.9816,7.4256,61.4555,106.86,1.3594,0.4763,73.98
7,287.3273,0.962,44.5631,4.2962,16.2015,41.1,1.4421,0.5479,104.5114
7,272.4124,0.9615,38.327,4.9055,26.1889,73.98,1.4723,0.5481,96.2914
7,222.5437,1.228,34.6369,3.675,6.8019,82.2,1.503,0.6131,96.2914
7,176.0683,1.0139,36.8628,6.5822,35.3044,312.36,1.5042,0.4269,83.3743
7,420.7733,1.1561,71.1315,10.6895,62.6262,131.52,1.4874,0.5415,116.2543
7,200.1494,1.2585,36.8765,6.8766,57.8413,106.86,1.5146,0.4701,125.6486
7,255.5183,0.9629,43.713,8.2589,62.6262,131.52,1.4632,0.6082,119.7771
7,244.948,1.0023,35.734,4.0105,6.8019,82.2,1.3585,0.447,122.1257
7,280.8115,0.9785,37.5163,6.938,57.8413,106.86,1.4844,0.4787,99.8143
7,288.3654,1.1279,38.3692,6.0068,62.6262,131.52,1.4763,0.6222,163.2257
7,188.3337,0.8769,28.3443,6.0202,57.8413,106.86,1.3844,0.565,89.2457
7,315.0803,1.1889,34.4882,3.1327,6.8019,82.2,1.4511,0.497,109.2086
7,206.1233,0.7707,40.2559,7.4321,60.5415,123.3,1.508,0.3897,124.4743
7,216.9777,1.1014,36.2598,6.6596,35.3044,312.36,1.5016,0.4507,82.2
7,398.6907,0.8661,60.1659,5.3349,16.2015,41.1,1.4486,0.3729,118.6029
7,315.3744,1.1206,52.3706,5.6958,26.1889,73.98,1.5448,0.5476,124.4743
7,288.2228,0.8104,45.5476,4.3442,6.8019,82.2,1.4659,0.5405,163.2257
7,182.0929,1.0418,30.317,5.9797,35.3044,312.36,1.5127,0.4912,82.2
