Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
10,407.4696,1.5277,81.2865,10.7374,62.6262,131.52,1.603,"[0.019, 0.1308, 0.2279, 0.3836, 0.5322, 0.6951, 0.8709, 1.062, 1.1378, 1.3318]","[123.3, 106.86, 123.3, 106.86, 41.1, 41.1, 123.3, 82.2, 82.2, 123.3]"
10,335.0739,1.7113,72.227,9.8974,61.4555,106.86,1.5896,"[0.0242, 0.1892, 0.3123, 0.5891, 0.7207, 0.909, 1.0631, 1.2519, 1.2732, 1.5179]","[106.86, 106.86, 41.1, 41.1, 106.86, 106.86, 106.86, 106.86, 123.3, 73.98]"
10,479.1372,1.5712,106.2087,12.3389,60.5415,123.3,1.3198,"[0.0376, 0.2026, 0.3168, 0.4196, 0.5832, 0.7682, 0.9774, 1.213, 1.2287, 1.3117]","[131.52, 131.52, 312.36, 82.2, 106.86, 106.86, 106.86, 106.86, 106.86, 106.86]"
10,333.7246,1.7595,70.8785,5.6821,11.7294,106.86,1.53,"[0.0269, 0.1919, 0.3236, 0.4442, 0.5862, 0.7724, 0.9706, 1.1428, 1.3166, 1.5248]","[131.52, 73.98, 106.86, 312.36, 312.36, 106.86, 106.86, 106.86, 41.1, 106.86]"
10,385.5119,1.6809,79.2645,6.5127,11.7294,106.86,1.4996,"[0.0655, 0.1753, 0.3157, 0.4566, 0.5937, 0.6372, 0.8335, 1.0028, 1.347, 1.5925]","[123.3, 123.3, 312.36, 73.98, 106.86, 82.2, 106.86, 106.86, 312.36, 73.98]"
10,340.4326,1.6833,64.7085,7.8907,57.8413,106.86,1.4121,"[0.022, 0.1352, 0.3184, 0.443, 0.5966, 0.7848, 0.97, 1.1585, 1.3336, 1.3553]","[41.1, 123.3, 106.86, 106.86, 312.36, 106.86, 41.1, 82.2, 106.86, 131.52]"
10,410.974,1.7632,82.4972,6.2479,11.7294,106.86,1.5437,"[0.0332, 0.2238, 0.3554, 0.4884, 0.6284, 0.785, 0.8237, 0.9897, 1.3369, 1.435]","[82.2, 312.36, 106.86, 106.86, 123.3, 312.36, 312.36, 123.3, 73.98, 312.36]"
10,429.6577,1.2393,94.1134,11.5825,60.5415,123.3,1.5355,"[0.0603, 0.1895, 0.2904, 0.4756, 0.5051, 0.6194, 0.7335, 0.7999, 0.9663, 0.9934]","[312.36, 123.3, 41.1, 106.86, 123.3, 82.2, 123.3, 106.86, 106.86, 41.1]"
10,401.018,1.6126,96.1358,10.5956,61.4555,106.86,1.5526,"[0.1991, 0.3746, 0.4779, 0.6308, 0.6559, 0.8103, 1.0134, 1.196, 1.4081, 1.6007]","[106.86, 73.98, 73.98, 123.3, 106.86, 73.98, 82.2, 131.52, 106.86, 106.86]"
10,423.39,1.593,90.3106,10.5743,61.4555,106.86,1.526,"[0.0518, 0.1672, 0.298, 0.4805, 0.6147, 0.7831, 0.96, 1.0042, 1.1951, 1.4266]","[41.1, 312.36, 41.1, 123.3, 41.1, 106.86, 131.52, 123.3, 312.36, 131.52]"
10,365.6509,1.5373,79.7634,6.3808,16.2015,41.1,1.4643,"[0.0436, 0.1598, 0.2573, 0.4068, 0.5971, 0.7793, 0.9896, 1.0885, 1.304, 1.3567]","[82.2, 106.86, 131.52, 106.86, 73.98, 41.1, 82.2, 73.98, 312.36, 131.52]"
10,408.6317,1.793,70.5464,8.8722,35.3044,312.36,1.4788,"[0.1814, 0.2967, 0.4077, 0.5376, 0.66, 0.8627, 1.0451, 1.2602, 1.4201, 1.4841]","[41.1, 41.1, 106.86, 73.98, 131.52, 106.86, 312.36, 123.3, 123.3, 106.86]"
10,240.0938,1.6476,68.3788,7.1116,26.1889,73.98,1.6059,"[0.1495, 0.32, 0.4474, 0.595, 0.7737, 0.9805, 1.1767, 1.2197, 1.4099, 1.6632]","[41.1, 73.98, 123.3, 41.1, 41.1, 106.86, 106.86, 106.86, 106.86, 106.86]"
10,367.5657,1.6414,75.5184,9.1033,35.3044,312.36,1.515,"[0.0492, 0.1868, 0.451, 0.5643, 0.7601, 0.8961, 1.0574, 1.1101, 1.2977, 1.4545]","[312.36, 123.3, 82.2, 41.1, 41.1, 41.1, 131.52, 123.3, 106.86, 312.36]"
10,458.6706,1.5108,98.2675,10.1353,62.6262,131.52,1.5646,"[0.1972, 0.3093, 0.4072, 0.6083, 0.728, 0.7595, 1.0756, 1.277, 1.2975, 1.3838]","[131.52, 312.36, 131.52, 73.98, 41.1, 123.3, 123.3, 106.86, 106.86, 106.86]"
10,263.8659,1.5276,47.299,7.4381,61.4555,106.86,1.6033,"[0.0663, 0.18, 0.363, 0.4731, 0.6653, 0.8514, 0.9841, 1.0188, 1.1951, 1.3684]","[82.2, 123.3, 82.2, 82.2, 41.1, 82.2, 73.98, 106.86, 123.3, 106.86]"
10,404.2734,1.4418,91.9244,10.6912,60.5415,123.3,1.4942,"[0.0246, 0.1325, 0.2966, 0.417, 0.5423, 0.5511, 0.6045, 0.7393, 0.9402, 1.104]","[106.86, 73.98, 82.2, 73.98, 131.52, 131.52, 106.86, 131.52, 73.98, 106.86]"
10,263.0708,1.5941,66.0393,8.908,61.4555,106.86,1.4971,"[0.1548, 0.2937, 0.4006, 0.5438, 0.7076, 0.8339, 1.0573, 1.0738, 1.2677, 1.4875]","[73.98, 41.1, 41.1, 312.36, 131.52, 82.2, 123.3, 82.2, 41.1, 41.1]"
10,486.5341,1.4096,108.872,7.5228,11.7294,106.86,1.5194,"[0.1127, 0.2939, 0.4535, 0.5655, 0.7237, 0.7587, 0.9213, 1.0924, 1.2691, 1.3468]","[73.98, 123.3, 312.36, 106.86, 73.98, 131.52, 123.3, 106.86, 123.3, 312.36]"
10,434.0073,1.3057,98.0231,8.9262,61.4555,106.86,1.5157,"[0.0564, 0.1726, 0.2993, 0.4422, 0.571, 0.7534, 0.9384, 0.9782, 1.0462, 1.1966]","[312.36, 312.36, 106.86, 123.3, 106.86, 312.36, 131.52, 131.52, 41.1, 82.2]"
10,394.9436,1.5003,86.7812,10.6995,57.8413,106.86,1.4416,"[0.0289, 0.1696, 0.2882, 0.412, 0.5846, 0.7707, 0.7975, 1.1399, 1.3136, 1.3361]","[106.86, 123.3, 312.36, 82.2, 106.86, 41.1, 41.1, 106.86, 131.52, 131.52]"
10,409.0683,1.4335,87.9617,6.6702,11.7294,106.86,1.5905,"[0.1365, 0.2852, 0.4529, 0.6068, 0.767, 0.8089, 0.9637, 1.0672, 1.2473, 1.4488]","[73.98, 312.36, 312.36, 73.98, 106.86, 106.86, 73.98, 131.52, 106.86, 131.52]"
10,352.0633,1.4528,72.8426,9.3572,61.4555,106.86,1.5232,"[0.0403, 0.1811, 0.3015, 0.4807, 0.5037, 0.6491, 0.8765, 1.0441, 1.2752, 1.2904]","[106.86, 131.52, 106.86, 73.98, 106.86, 73.98, 82.2, 73.98, 131.52, 82.2]"
10,445.0269,1.7805,82.8796,6.6919,11.7294,106.86,1.5286,"[0.0224, 0.1629, 0.1783, 0.4163, 0.5918, 0.7722, 0.9741, 1.1932, 1.3988, 1.6193]","[131.52, 73.98, 73.98, 123.3, 106.86, 131.52, 41.1, 123.3, 123.3, 106.86]"
10,348.7579,1.7752,67.8682,7.8081,60.5415,123.3,1.3675,"[0.0961, 0.2382, 0.3567, 0.4813, 0.6517, 0.8631, 0.8856, 1.2135, 1.2962, 1.4455]","[131.52, 106.86, 106.86, 106.86, 82.2, 312.36, 312.36, 312.36, 73.98, 41.1]"
10,268.0364,1.6456,50.406,4.0738,11.7294,106.86,1.6112,"[0.1447, 0.2852, 0.3037, 0.5805, 0.7403, 0.9169, 1.1377, 1.2174, 1.523, 1.5586]","[82.2, 82.2, 106.86, 312.36, 106.86, 106.86, 82.2, 106.86, 106.86, 106.86]"
10,379.6618,1.5011,77.2564,6.5472,26.1889,73.98,1.4164,"[0.0237, 0.1634, 0.2801, 0.4039, 0.5523, 0.5836, 0.7621, 0.9541, 1.1073, 1.198]","[123.3, 73.98, 106.86, 312.36, 73.98, 312.36, 312.36, 106.86, 73.98, 106.86]"
10,312.6133,1.6936,70.7466,9.1665,61.4555,106.86,1.4623,"[0.1847, 0.3472, 0.4667, 0.6374, 0.7929, 0.9793, 1.1598, 1.3836, 1.4468, 1.6295]","[82.2, 123.3, 41.1, 73.98, 106.86, 41.1, 73.98, 82.2, 312.36, 123.3]"
10,447.5713,1.7934,93.9582,11.0768,60.5415,123.3,1.3564,"[0.0731, 0.2158, 0.3342, 0.4555, 0.5875, 0.7749, 1.0035, 1.0321, 1.4517, 1.4648]","[106.86, 106.86, 106.86, 106.86, 106.86, 73.98, 123.3, 131.52, 41.1, 312.36]"
