Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
2,69.5707,0.3302,3.1715,1.1543,11.7294,106.86,1.5975,0.1611,106.86
2,93.1457,0.3528,4.309,2.3914,35.3044,312.36,1.6565,0.0728,209.61
2,69.5707,0.383,3.1241,1.1914,16.2015,41.1,1.7098,0.0756,106.86
2,52.3778,0.2952,4.408,3.1355,60.5415,123.3,1.7438,0.1834,73.98
2,42.1063,0.3855,3.2061,1.7092,26.1889,73.98,1.7287,0.0754,197.28
2,61.4933,0.3238,4.2652,2.5681,35.3044,312.36,1.6552,0.2894,193.17
2,27.9309,0.3604,2.2092,2.6219,60.5415,123.3,1.4968,0.1687,73.98
2,32.9908,0.2308,2.7703,1.468,11.7294,106.86,1.7347,0.0722,78.09
2,95.8459,0.3155,5.4995,1.4946,11.7294,106.86,1.5129,0.2544,217.83
2,121.997,0.3708,6.5824,3.2691,57.8413,106.86,1.5988,0.2298,115.08
2,73.1849,0.3903,3.7869,1.385,6.8019,82.2,1.8136,0.2732,106.86
2,97.9306,0.3484,5.8901,2.8195,57.8413,106.86,1.6515,0.1393,221.94
2,64.6432,0.3152,4.1236,2.0552,26.1889,73.98,1.7397,0.0955,94.53
2,32.403,0.3186,2.5217,1.7646,26.1889,73.98,1.6729,0.0815,41.1
2,118.3828,0.2553,7.026,4.0441,62.6262,131.52,1.4937,0.1112,115.08
2,23.0034,0.2716,2.115,1.0103,6.8019,82.2,1.6951,0.1794,61.65
2,13.6038,0.3099,2.0507,2.5661,60.5415,123.3,1.6801,0.1208,82.2
2,97.9306,0.3227,5.9866,3.2438,62.6262,131.52,1.5793,0.0747,221.94
2,77.657,0.4679,4.2109,3.3701,62.6262,131.52,1.576,0.2523,73.98
2,68.2574,0.3241,4.0111,3.1072,57.8413,106.86,1.6633,0.2124,94.53
2,125.2524,0.2596,6.9339,3.4839,57.8413,106.86,1.5297,0.0734,131.52
2,96.7599,0.4166,5.0259,1.6476,26.1889,73.98,1.7808,0.2755,209.61
2,122.911,0.2675,7.8952,3.8179,61.4555,106.86,1.6727,0.1207,106.86
2,69.4281,0.3802,3.0213,2.105,35.3044,312.36,1.7847,0.122,106.86
2,69.4281,0.3323,3.4193,1.5943,26.1889,73.98,1.6731,0.1031,106.86
2,74.3556,0.3506,3.7059,1.0996,6.8019,82.2,1.7831,0.1444,119.19
2,86.7304,0.2718,6.0089,3.7145,61.4555,106.86,1.5933,0.1352,98.64
2,88.8151,0.3799,4.3676,1.9831,26.1889,73.98,1.7098,0.2201,102.75
2,125.2524,0.2806,6.8299,1.5778,16.2015,41.1,1.9807,0.1336,131.52
2,18.5313,0.4639,1.6041,0.8573,6.8019,82.2,1.4521,0.2732,94.53
2,32.9908,0.378,2.2527,1.3656,11.7294,106.86,1.7941,0.1116,78.09
2,32.403,0.4099,1.9811,2.5343,62.6262,131.52,1.4727,0.1833,41.1
2,78.8277,0.3813,4.4817,3.1392,61.4555,106.86,1.6233,0.2438,86.31
2,123.1677,0.3563,6.9705,3.4861,57.8413,106.86,1.6219,0.0768,127.41
2,73.1849,0.2575,4.4065,3.1261,60.5415,123.3,1.5067,0.2327,106.86
2,32.9908,0.2477,4.0119,3.3698,62.6262,131.52,1.5881,0.0686,78.09
2,67.3434,0.2767,5.1476,3.5112,61.4555,106.86,1.5741,0.2218,102.75
2,42.1063,0.1367,3.2798,2.0972,35.3044,312.36,1.6881,0.142,197.28
2,125.2524,0.2925,6.4694,1.5048,16.2015,41.1,1.9274,0.1354,131.52
2,123.1677,0.3181,8.2694,4.1514,61.4555,106.86,1.758,0.2503,127.41
2,52.3778,0.4588,3.6844,2.1298,26.1889,73.98,1.5637,0.1982,73.98
2,37.9183,0.2906,3.314,2.8091,61.4555,106.86,1.6867,0.1668,90.42
2,61.4933,0.5294,4.2924,2.7147,61.4555,106.86,1.5972,0.227,193.17
2,120.4675,0.2898,7.3232,4.2434,60.5415,123.3,1.5604,0.1254,119.19
2,69.5707,0.3197,3.765,2.8169,60.5415,123.3,1.7277,0.0866,106.86
2,23.0034,0.3714,1.8471,1.2806,16.2015,41.1,1.5823,0.117,61.65
2,42.3904,0.4007,2.9109,2.7659,60.5415,123.3,1.6729,0.1522,57.54
2,64.6432,0.2824,3.5097,2.8784,57.8413,106.86,1.6827,0.2712,94.53
2,51.5059,0.2817,2.7067,0.9989,6.8019,82.2,1.6469,0.1965,176.73
2,120.4675,0.3662,6.2537,1.9487,11.7294,106.86,1.6421,0.2028,119.19
2,32.9908,0.4326,1.9305,1.1285,16.2015,41.1,1.6021,0.2002,78.09
2,13.6038,0.393,1.3638,0.8918,11.7294,106.86,1.6957,0.2335,82.2
2,76.743,0.263,4.7427,2.2187,26.1889,73.98,1.8101,0.1308,82.2
2,72.2709,0.2612,4.0099,1.988,26.1889,73.98,1.7188,0.1817,115.08
2,123.1677,0.4006,6.9231,3.5276,62.6262,131.52,1.7507,0.2456,127.41
2,74.3556,0.2748,4.6244,2.8999,57.8413,106.86,1.564,0.1849,119.19
2,51.5059,0.2438,3.72,2.5606,61.4555,106.86,1.7177,0.2521,176.73
2,70.6088,0.2753,5.0813,2.4434,57.8413,106.86,1.6919,0.1005,312.36
2,115.6826,0.3067,5.6858,1.2991,11.7294,106.86,1.6771,0.1096,106.86
2,97.9306,0.5369,4.7006,1.633,26.1889,73.98,1.747,0.1667,221.94
2,121.997,0.436,6.0073,3.3614,61.4555,106.86,1.6592,0.261,115.08
2,123.1677,0.3097,6.1472,1.5379,16.2015,41.1,1.6628,0.2417,127.41
2,42.1063,0.2559,3.972,2.6836,57.8413,106.86,1.7463,0.242,197.28
2,84.0302,0.3033,4.8167,3.312,62.6262,131.52,1.4594,0.1587,90.42
2,115.6826,0.3458,6.7004,2.6025,26.1889,73.98,1.7654,0.2603,106.86
2,87.6444,0.311,5.5917,3.1957,57.8413,106.86,1.6013,0.1802,90.42
2,13.6038,0.3436,1.4585,2.5324,57.8413,106.86,1.6923,0.209,82.2
2,42.1063,0.4266,2.5856,2.3868,60.5415,123.3,1.6219,0.1238,197.28
2,123.1677,0.3652,5.4387,1.3245,11.7294,106.86,1.9849,0.1501,127.41
2,125.2524,0.276,8.4411,4.1895,61.4555,106.86,1.6543,0.1524,131.52
2,122.911,0.3577,5.617,1.6403,16.2015,41.1,1.7943,0.2359,106.86
2,67.3434,0.2432,4.0038,3.0654,57.8413,106.86,1.6406,0.194,102.75
2,96.7599,0.2772,4.6517,1.1267,6.8019,82.2,1.8071,0.192,209.61
2,68.2574,0.2495,4.6575,1.8664,16.2015,41.1,1.6625,0.2088,94.53
2,52.3778,0.3674,2.7569,1.1748,6.8019,82.2,1.7515,0.0709,73.98
2,74.0428,0.3833,4.4452,3.305,60.5415,123.3,1.8073,0.1374,73.98
2,97.9306,0.3053,4.7487,1.4471,16.2015,41.1,1.6344,0.1664,221.94
2,123.1677,0.374,5.9571,3.2307,57.8413,106.86,1.6765,0.1321,127.41
2,87.6444,0.4345,3.9859,1.1598,6.8019,82.2,1.8178,0.1212,90.42
2,47.0338,0.2899,3.5247,2.5121,57.8413,106.86,1.5568,0.129,209.61
2,72.2709,0.3473,3.2464,0.9125,6.8019,82.2,1.8424,0.0787,115.08
2,125.2524,0.3169,6.9627,3.2655,57.8413,106.86,1.6827,0.1506,131.52
2,119.2968,0.353,6.6451,3.505,61.4555,106.86,1.6229,0.2034,106.86
2,68.2574,0.3812,3.6601,2.6694,35.3044,312.36,1.7197,0.2584,94.53
2,67.3434,0.3132,3.8644,3.3163,62.6262,131.52,1.6846,0.1494,102.75
2,125.2524,0.3335,7.1564,3.0978,57.8413,106.86,1.7571,0.1095,131.52
2,23.4588,0.3599,1.7315,2.3362,60.5415,123.3,1.6842,0.2422,106.86
2,119.2968,0.3425,5.504,2.8304,35.3044,312.36,1.7387,0.1996,106.86
2,120.4675,0.4103,5.7287,1.5247,16.2015,41.1,1.7499,0.2231,119.19
2,69.5707,0.2906,4.5605,3.2132,61.4555,106.86,1.5324,0.2134,106.86
2,52.3778,0.2345,3.7086,1.8565,11.7294,106.86,1.5969,0.185,73.98
2,70.6088,0.2724,3.8553,1.1835,16.2015,41.1,1.7555,0.1422,312.36
2,67.3434,0.3212,3.8465,3.0019,61.4555,106.86,1.5225,0.0692,102.75
2,61.4933,0.3864,2.9062,0.9175,6.8019,82.2,1.9363,0.2226,193.17
2,64.6432,0.26,4.7312,3.3075,60.5415,123.3,1.6286,0.0522,94.53
2,69.4281,0.2324,4.0944,2.4751,35.3044,312.36,1.7207,0.0958,106.86
2,118.3828,0.4505,6.2719,3.2394,57.8413,106.86,1.6622,0.1525,115.08
2,121.083,0.3219,6.2237,3.2727,60.5415,123.3,1.7647,0.1144,123.3
2,74.0428,0.3206,3.8129,1.4874,16.2015,41.1,1.7185,0.1596,73.98
2,124.0817,0.3007,7.2666,3.6196,62.6262,131.52,1.5046,0.1959,119.19
2,97.9306,0.4951,4.7123,2.3052,35.3044,312.36,1.5696,0.209,221.94
2,32.9908,0.3292,3.4544,1.8405,16.2015,41.1,1.8421,0.2343,78.09
2,27.9309,0.324,2.4682,1.2464,11.7294,106.86,1.7094,0.0888,73.98
2,32.9908,0.3845,2.1489,0.9403,6.8019,82.2,1.8034,0.2454,78.09
2,97.9306,0.3776,6.4417,3.3984,61.4555,106.86,1.7636,0.1858,221.94
2,95.8459,0.3054,5.456,1.6917,11.7294,106.86,1.7,0.2409,217.83
2,118.3828,0.3011,6.9368,4.1458,62.6262,131.52,1.6171,0.0961,115.08
2,97.9306,0.3257,6.1214,3.0614,60.5415,123.3,1.475,0.0809,221.94
