Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
5,187.2749,0.5108,19.5742,3.1156,11.7294,106.86,1.6022,0.3672,101.928
5,207.8933,0.7845,20.4649,4.3612,61.4555,106.86,1.6499,0.4095,182.484
5,282.5538,0.733,35.2225,6.7165,57.8413,106.86,1.4968,0.2892,161.112
5,197.3044,0.6253,21.0321,3.3499,16.2015,41.1,1.4847,0.3297,146.316
5,232.571,0.6944,29.405,6.4554,57.8413,106.86,1.6365,0.2826,152.892
5,77.1232,0.6969,11.7082,3.2443,35.3044,312.36,1.6259,0.4234,69.048
5,214.6388,0.7925,20.3109,5.335,62.6262,131.52,1.3775,0.3318,103.572
5,174.4547,0.6551,21.2112,5.1359,60.5415,123.3,1.5582,0.3473,169.332
5,163.742,0.759,15.5577,4.636,60.5415,123.3,1.4922,0.435,98.64
5,277.7689,0.8867,31.9657,6.7546,60.5415,123.3,1.575,0.4355,156.18
5,146.2363,0.6817,17.3937,4.4846,35.3044,312.36,1.5845,0.3489,67.404
5,180.3048,0.6249,18.6048,3.5579,26.1889,73.98,1.4514,0.462,133.164
5,202.4929,0.7591,25.2279,5.6095,60.5415,123.3,1.4942,0.3092,175.908
5,191.4629,0.779,19.2251,2.7421,16.2015,41.1,1.475,0.4393,144.672
5,215.4967,0.9101,20.6301,3.0841,6.8019,82.2,1.45,0.4711,90.42
5,214.9138,0.7778,23.2997,5.9761,60.5415,123.3,1.5609,0.3662,100.284
5,234.3008,0.8433,21.6363,2.9814,16.2015,41.1,1.5699,0.3641,98.64
5,207.6266,0.8158,22.9212,3.8681,11.7294,106.86,1.6601,0.3095,96.996
5,163.103,0.8799,19.4178,3.0382,6.8019,82.2,1.6106,0.4585,98.64
5,232.2582,0.7128,28.5018,5.6175,57.8413,106.86,1.5184,0.428,134.808
5,258.9788,0.6854,30.3926,6.6323,60.5415,123.3,1.434,0.3146,120.012
5,179.0881,0.63,23.0569,3.5995,16.2015,41.1,1.7286,0.3861,152.892
5,191.6055,1.0157,21.7712,5.7876,61.4555,106.86,1.4827,0.5069,144.672
5,228.1843,0.6889,25.2178,4.4781,26.1889,73.98,1.5317,0.4102,100.284
5,136.5526,0.7224,17.7141,3.2237,16.2015,41.1,1.4938,0.4032,131.52
5,127.7359,0.6888,15.8819,2.992,16.2015,41.1,1.4767,0.3253,129.876
5,139.1881,0.8427,16.3612,3.3289,26.1889,73.98,1.5555,0.3052,162.756
5,305.4495,0.8167,36.684,7.1654,62.6262,131.52,1.4125,0.3607,113.436
5,190.2922,0.8052,21.2099,4.9436,35.3044,312.36,1.5605,0.4576,139.74
5,252.1092,0.8567,35.2544,7.7976,62.6262,131.52,1.4896,0.3895,113.436
5,130.5787,0.7527,15.6201,3.0172,11.7294,106.86,1.5765,0.2943,133.164
5,212.9346,0.79,22.4051,5.5542,60.5415,123.3,1.4023,0.5112,144.672
5,116.4033,0.8668,14.7994,4.2871,61.4555,106.86,1.4854,0.49,83.844
5,250.5797,0.7688,23.5325,2.7161,6.8019,82.2,1.4531,0.3909,115.08
5,120.8754,0.7134,15.111,3.1711,26.1889,73.98,1.6743,0.2456,70.692
5,209.978,0.8534,22.4589,5.785,62.6262,131.52,1.6011,0.3544,184.128
5,97.6041,0.7725,14.743,3.2371,26.1889,73.98,1.4703,0.3909,100.284
5,202.8057,0.8921,24.1609,4.9435,57.8413,106.86,1.5107,0.4098,193.992
5,104.1609,0.7762,13.4284,4.2144,61.4555,106.86,1.4892,0.3822,88.776
5,240.4176,0.8854,25.3901,5.7826,57.8413,106.86,1.4446,0.3428,147.96
5,154.3424,0.7401,17.0212,4.6804,35.3044,312.36,1.6636,0.4779,106.86
5,260.7507,0.7863,26.3129,5.8381,35.3044,312.36,1.6002,0.4329,103.572
5,137.7233,0.7392,16.9513,4.4393,61.4555,106.86,1.5966,0.3654,136.452
5,192.5195,0.6132,20.0899,4.9684,62.6262,131.52,1.8196,0.2732,141.384
5,205.5419,0.8546,20.7333,4.2609,60.5415,123.3,1.3936,0.3731,95.352
5,182.3474,0.8005,21.1363,5.5861,35.3044,312.36,1.6285,0.2583,96.996
5,172.2185,0.8686,16.2837,2.4922,11.7294,106.86,1.7222,0.4267,146.316
5,204.0124,0.637,19.5868,4.6168,57.8413,106.86,1.4675,0.4133,96.996
5,202.2405,0.6745,17.8004,2.0864,6.8019,82.2,1.5113,0.4206,113.436
5,178.7753,0.922,18.4775,5.1141,62.6262,131.52,1.6157,0.3958,134.808
5,131.4927,0.7913,15.948,2.8092,6.8019,82.2,1.7326,0.3144,129.876
5,123.4064,0.8129,17.8108,4.6022,60.5415,123.3,1.454,0.39,143.028
5,206.5147,0.786,24.7528,6.4605,60.5415,123.3,1.5974,0.4739,95.352
5,218.7947,1.0598,24.1949,5.6376,62.6262,131.52,1.5058,0.4015,185.772
5,200.1415,0.7324,20.6931,5.0472,61.4555,106.86,1.5111,0.3898,88.776
5,193.6902,0.7543,19.7309,5.1918,62.6262,131.52,1.4783,0.4444,146.316
5,129.7885,0.8825,16.9453,4.305,60.5415,123.3,1.5018,0.3185,170.976
5,157.9005,0.8074,17.5946,4.7978,60.5415,123.3,1.3318,0.4448,96.996
5,155.8158,0.735,17.5753,5.0734,61.4555,106.86,1.4496,0.4636,95.352
5,212.8291,0.8526,20.9945,5.4416,35.3044,312.36,1.4881,0.3647,98.64
5,184.4421,0.7357,24.0129,3.5862,16.2015,41.1,1.4763,0.4789,175.908
5,254.0513,0.8293,30.6966,5.6344,57.8413,106.86,1.4723,0.3821,115.08
5,149.9657,0.7263,19.7675,4.9671,61.4555,106.86,1.7264,0.3981,131.52
5,149.6816,0.7902,20.4536,5.0609,35.3044,312.36,1.6081,0.3354,187.416
5,227.6435,0.7731,25.3738,3.4611,11.7294,106.86,1.6652,0.4565,147.96
5,191.2062,0.817,24.8779,6.2843,62.6262,131.52,1.4599,0.3704,136.452
5,206.065,0.8013,23.7861,4.3145,26.1889,73.98,1.7705,0.4684,138.096
5,157.6438,0.9451,16.9303,3.124,11.7294,106.86,1.5059,0.2691,88.776
5,163.742,0.8524,19.3069,3.1567,11.7294,106.86,1.4864,0.5077,98.64
5,177.9174,0.8919,19.2746,4.9434,35.3044,312.36,1.4845,0.5055,147.96
5,271.0969,0.6779,34.6524,5.5728,57.8413,106.86,1.4825,0.4075,103.572
5,106.2135,0.8459,16.2649,4.0229,35.3044,312.36,1.469,0.4093,129.876
5,169.3757,0.6472,21.0968,5.3926,35.3044,312.36,1.6431,0.3354,143.028
5,127.0206,0.8776,16.8662,4.5855,57.8413,106.86,1.5314,0.4658,143.028
5,196.9916,0.9495,22.5681,4.4974,57.8413,106.86,1.5729,0.4985,128.232
5,144.63,0.5595,18.7288,3.361,16.2015,41.1,1.5328,0.3373,96.996
5,199.2275,0.67,18.7871,5.2909,62.6262,131.52,1.7271,0.2322,92.064
5,140.5661,0.7302,19.9004,3.3061,16.2015,41.1,1.5672,0.2939,139.74
5,142.338,0.765,18.3524,4.6067,57.8413,106.86,1.5114,0.3143,123.3
5,206.4559,0.8363,18.8676,2.3156,6.8019,82.2,1.5473,0.3122,92.064
5,195.6694,0.8642,17.3938,4.7359,57.8413,106.86,1.5182,0.376,101.928
5,125.9353,0.6878,15.1628,3.5772,26.1889,73.98,1.609,0.3845,72.336
5,114.2909,0.7954,13.7473,2.8558,26.1889,73.98,1.5846,0.3603,95.352
5,146.8388,0.8119,14.1516,2.2738,11.7294,106.86,1.593,0.3855,184.128
5,123.2351,0.7513,16.3559,2.8636,6.8019,82.2,1.5646,0.4874,69.048
5,255.3646,0.8757,24.5436,3.0622,11.7294,106.86,1.6744,0.5195,120.012
5,229.8147,0.7905,26.2018,6.196,61.4555,106.86,1.5475,0.4097,139.74
5,134.716,0.8451,20.1712,4.8524,61.4555,106.86,1.4588,0.3553,175.908
5,208.9399,0.9009,22.0607,4.8251,60.5415,123.3,1.3055,0.4848,101.928
5,172.2185,0.8991,15.5765,4.0038,35.3044,312.36,1.6774,0.4988,146.316
5,106.2135,0.7175,15.7885,2.9216,11.7294,106.86,1.7855,0.3391,129.876
5,165.1877,0.8899,18.6976,4.7073,57.8413,106.86,1.5693,0.3331,100.284
5,58.324,0.7482,12.6635,2.6503,6.8019,82.2,1.6323,0.3953,85.488
5,158.8145,0.8136,17.3657,3.0611,16.2015,41.1,1.4391,0.4706,93.708
5,199.6918,0.8043,25.4126,6.4049,60.5415,123.3,1.4573,0.3106,131.52
5,172.5026,0.6787,17.4277,2.7345,11.7294,106.86,1.5969,0.3697,90.42
5,247.8795,0.9051,30.7122,7.2117,61.4555,106.86,1.6264,0.3842,111.792
5,125.6512,0.7485,16.5177,4.3643,60.5415,123.3,1.6782,0.3875,128.232
5,225.3426,0.8613,23.7103,5.4855,62.6262,131.52,1.51,0.3328,152.892
5,205.3818,0.8462,25.1574,4.2081,26.1889,73.98,1.53,0.3549,111.792
5,182.5321,0.7632,19.9852,3.0082,6.8019,82.2,1.5818,0.4585,134.808
5,198.3696,0.9419,18.0076,2.7527,11.7294,106.86,1.5601,0.412,105.216
5,142.338,0.7953,16.4276,4.0645,57.8413,106.86,1.5109,0.3766,123.3
5,206.8552,0.8086,20.4877,5.4031,35.3044,312.36,1.5521,0.3721,100.284
5,168.8019,0.6569,19.1641,5.1056,60.5415,123.3,1.4577,0.2584,100.284
5,137.8659,1.0545,15.5411,4.6729,62.6262,131.52,1.7076,0.5038,136.452
5,86.8265,0.745,15.3109,4.2873,60.5415,123.3,1.6217,0.4299,131.52
5,211.7639,0.6876,23.0266,4.0286,26.1889,73.98,1.6243,0.3097,139.74
5,131.7768,0.8223,16.9116,4.4696,35.3044,312.36,1.6178,0.3185,73.98
5,150.8708,0.6835,17.2651,2.6274,6.8019,82.2,1.6319,0.3582,106.86
5,128.1913,0.7481,14.5443,2.5205,16.2015,41.1,1.4184,0.2798,147.96
5,76.5354,0.7714,12.2808,3.7175,61.4555,106.86,1.6092,0.348,54.252
5,259.2815,0.7149,27.4122,6.7805,60.5415,123.3,1.5669,0.4179,103.572
5,180.3048,0.8642,20.0523,4.6109,57.8413,106.86,1.5084,0.3163,133.164
5,67.7236,0.7855,11.5832,3.7577,57.8413,106.86,1.5707,0.3628,77.268
5,200.3117,0.6313,20.9172,4.6185,60.5415,123.3,1.4396,0.4095,106.86
5,158.8145,0.7119,17.5964,2.6948,6.8019,82.2,1.3954,0.3661,93.708
5,145.9101,0.8668,15.3531,2.9315,16.2015,41.1,1.5414,0.3433,85.488
5,218.6145,0.8563,19.0507,4.87,35.3044,312.36,1.5092,0.4403,90.42
5,210.892,1.0072,19.8699,4.8016,61.4555,106.86,1.5477,0.5027,180.84
5,193.4421,0.7601,19.7609,5.7543,62.6262,131.52,1.4781,0.4249,100.284
5,221.0306,0.7121,23.7053,5.963,62.6262,131.52,1.4991,0.3192,149.604
5,144.63,1.0063,14.1987,4.7163,60.5415,123.3,1.6542,0.5229,96.996
5,148.1881,0.7504,19.1423,5.6989,60.5415,123.3,1.6364,0.2985,87.132
5,279.8536,0.8352,28.0447,3.2976,16.2015,41.1,1.3477,0.3448,157.824
5,188.1889,0.7487,21.0362,3.482,11.7294,106.86,1.6354,0.3594,98.64
5,263.8685,0.7697,31.0347,6.8627,57.8413,106.86,1.6042,0.4481,103.572
5,184.4421,0.548,28.2908,6.1401,61.4555,106.86,1.6988,0.3757,175.908
5,132.9475,0.7791,17.2726,3.0097,6.8019,82.2,1.507,0.4198,78.912
5,204.0124,0.7258,22.4313,2.8183,6.8019,82.2,1.6976,0.3404,96.996
5,218.7847,0.8062,24.0791,5.6038,57.8413,106.86,1.6559,0.345,108.504
5,151.8023,0.901,20.6008,4.0424,26.1889,73.98,1.4559,0.2744,87.132
5,162.5152,0.8409,15.7111,3.1881,26.1889,73.98,1.5672,0.3528,83.844
5,251.3511,0.7781,23.1586,3.1681,11.7294,106.86,1.6289,0.2797,111.792
5,196.1423,0.8178,19.6466,5.0146,62.6262,131.52,1.3959,0.4495,103.572
5,204.4678,0.6933,18.1544,2.7181,11.7294,106.86,1.4827,0.415,115.08
5,172.36,0.7109,18.9524,3.483,26.1889,73.98,1.4704,0.4221,90.42
5,257.4953,0.9347,23.9531,5.5709,60.5415,123.3,1.4929,0.4673,96.996
5,209.978,0.7435,19.6229,2.5414,11.7294,106.86,1.4979,0.4213,184.128
5,174.8623,0.7285,19.9758,3.0939,11.7294,106.86,1.4424,0.364,88.776
5,209.8539,0.9009,23.6752,3.9315,26.1889,73.98,1.4692,0.4598,98.64
5,179.2307,0.631,21.5521,3.2604,16.2015,41.1,1.4604,0.3843,152.892
5,308.7049,0.8601,31.2935,2.9524,6.8019,82.2,1.5082,0.4317,120.012
5,123.4064,0.77,17.2528,4.4034,57.8413,106.86,1.5375,0.4819,143.028
5,147.1229,0.7367,21.0992,5.6471,60.5415,123.3,1.5215,0.3505,128.232
5,181.4755,0.7109,22.9602,3.9731,26.1889,73.98,1.5856,0.2989,138.096
5,104.3035,0.9192,16.0348,3.48,26.1889,73.98,1.5244,0.5338,88.776
5,134.716,0.8936,19.721,4.6441,35.3044,312.36,1.7273,0.4273,175.908
5,231.657,0.7822,26.1673,2.8646,6.8019,82.2,1.5661,0.3625,156.18
5,177.5625,0.9781,20.8864,3.248,16.2015,41.1,1.5907,0.4382,92.064
5,144.63,0.773,16.2176,2.5436,6.8019,82.2,1.5563,0.3754,96.996
5,132.3646,0.8929,15.7642,2.8374,6.8019,82.2,1.5205,0.3688,88.776
5,209.978,0.7668,21.6151,3.2936,16.2015,41.1,1.5864,0.434,184.128
5,147.5783,0.8147,17.823,2.8058,6.8019,82.2,1.4679,0.4326,146.316
5,186.403,0.698,22.7074,5.4423,35.3044,312.36,1.4886,0.2323,143.028
5,254.0513,0.7302,22.1671,3.2207,11.7294,106.86,1.5042,0.4244,115.08
5,221.3708,0.7142,27.6669,5.9669,35.3044,312.36,1.6199,0.2705,103.572
5,140.8923,0.9125,13.6937,3.8084,60.5415,123.3,1.4823,0.4873,121.656
5,128.02,0.7096,17.5873,5.0817,61.4555,106.86,1.5646,0.2806,73.98
5,135.5062,0.7798,19.0483,5.0726,57.8413,106.86,1.6158,0.3598,138.096
5,190.6184,0.8685,20.1725,5.259,35.3044,312.36,1.5899,0.466,121.656
5,230.6866,0.5296,28.645,6.6861,60.5415,123.3,1.5684,0.3735,98.64
5,232.571,0.8611,23.2415,3.0131,11.7294,106.86,1.4625,0.3499,152.892
5,181.7596,0.8467,16.3715,3.0805,16.2015,41.1,1.7397,0.5122,82.2
5,178.7753,0.9053,23.5864,6.053,60.5415,123.3,1.6327,0.4743,134.808
5,212.4803,0.9351,20.8896,4.7967,35.3044,312.36,1.5217,0.5137,182.484
5,177.9174,0.8448,22.8142,5.6152,61.4555,106.86,1.5107,0.4251,147.96
5,231.3442,0.6824,26.0882,3.4363,16.2015,41.1,1.674,0.2698,138.096
5,177.8887,0.8547,17.5784,3.0691,11.7294,106.86,1.5132,0.3797,73.98
5,173.9904,0.8053,21.2015,5.2819,60.5415,123.3,1.5249,0.4431,129.876
5,205.2392,0.8646,22.6084,5.1865,57.8413,106.86,1.612,0.36,111.792
5,257.8081,0.7526,26.0473,6.5594,61.4555,106.86,1.5261,0.3245,115.08
5,200.6058,0.6171,24.7027,5.8439,60.5415,123.3,1.4618,0.2909,128.232
5,175.2028,0.8868,18.9301,5.3034,61.4555,106.86,1.5406,0.3411,93.708
5,123.8229,0.8417,15.7506,4.496,35.3044,312.36,1.5257,0.4004,83.844
5,202.2405,0.857,21.0227,5.6406,35.3044,312.36,1.5733,0.4892,113.436
5,133.2225,0.6585,18.4591,5.2621,62.6262,131.52,1.5689,0.4211,75.624
5,211.6401,0.7674,24.351,5.8828,35.3044,312.36,1.6124,0.4396,105.216
5,212.8291,0.7759,26.0136,6.458,57.8413,106.86,1.417,0.4318,98.64
5,150.4154,0.7707,22.2759,6.3083,62.6262,131.52,1.592,0.3719,88.776
5,250.4371,0.8183,30.9236,5.8927,57.8413,106.86,1.567,0.3951,115.08
5,250.2669,0.777,28.1493,6.3906,35.3044,312.36,1.6687,0.3811,96.996
5,177.5625,0.7844,19.32,3.1742,11.7294,106.86,1.586,0.4157,92.064
5,131.4506,0.8096,16.7078,2.7138,6.8019,82.2,1.5197,0.3781,92.064
5,196.5273,0.819,22.1572,4.8551,35.3044,312.36,1.6314,0.3004,88.776
5,237.915,0.8716,27.2621,3.7714,16.2015,41.1,1.5524,0.4386,98.64
5,171.1533,0.7906,19.7135,3.3526,26.1889,73.98,1.5548,0.3691,187.416
5,137.4196,0.5614,19.4625,5.0806,35.3044,312.36,1.5635,0.3088,65.76
5,147.5783,0.7879,17.8984,4.5389,57.8413,106.86,1.5815,0.4104,146.316
5,116.2516,0.7387,18.413,4.91,62.6262,131.52,1.5198,0.4527,136.452
5,201.625,0.6465,24.7631,6.1089,35.3044,312.36,1.6846,0.2802,111.792
5,205.2392,0.7842,22.9722,5.2275,60.5415,123.3,1.3935,0.361,111.792
5,210.8499,0.7608,19.4537,2.7904,11.7294,106.86,1.5487,0.4563,143.028
5,142.9349,0.6593,17.3226,3.5784,26.1889,73.98,1.659,0.359,85.488
5,218.7947,0.9225,27.9764,6.4347,61.4555,106.86,1.5029,0.3708,185.772
5,127.4371,0.7643,14.2514,4.5349,57.8413,106.86,1.5027,0.2806,83.844
5,163.2866,0.7873,14.0242,1.8389,6.8019,82.2,1.7301,0.2775,80.556
5,246.1165,0.656,29.7905,5.548,57.8413,106.86,1.6057,0.2589,149.604
5,174.4458,0.7866,21.4596,3.5175,26.1889,73.98,1.4674,0.4494,147.96
5,172.36,0.6957,19.4468,3.8476,26.1889,73.98,1.6309,0.4223,90.42
5,229.8147,0.778,26.0553,6.484,62.6262,131.52,1.558,0.4691,139.74
5,182.49,0.6495,18.8648,2.9622,16.2015,41.1,1.4914,0.3478,96.996
5,303.006,0.8285,34.4098,5.0115,26.1889,73.98,1.6199,0.3012,118.368
5,227.7861,0.879,27.2157,3.416,16.2015,41.1,1.548,0.4082,147.96
5,146.4076,0.7838,14.1945,2.3242,6.8019,82.2,1.5544,0.3841,141.384
5,149.9657,0.8142,18.0927,5.0112,61.4555,106.86,1.5986,0.3245,131.52
5,143.3167,0.5761,17.2751,2.6195,26.1889,73.98,1.4865,0.2751,92.064
5,189.0468,0.7552,20.0463,5.2658,61.4555,106.86,1.2645,0.3378,85.488
5,300.9213,0.7284,29.9041,3.9764,26.1889,73.98,1.5737,0.4472,116.724
5,63.2515,0.7182,13.8326,3.0393,11.7294,106.86,1.6807,0.3678,90.42
