Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
6,271.1668,1.0968,28.3483,3.6643,26.1889,73.98,1.7649,0.4676,100.01
6,236.1669,0.9835,32.7642,5.693,57.8413,106.86,1.5154,0.3777,165.77
6,261.597,1.0988,35.9056,7.5686,57.8413,106.86,1.6146,0.5393,91.79
6,317.4213,0.9118,38.693,3.7032,6.8019,82.2,1.4895,0.4986,100.01
6,254.0891,1.0944,33.1838,6.466,62.6262,131.52,1.5032,0.5614,142.48
6,288.7258,0.9223,35.1189,4.7355,26.1889,73.98,1.5493,0.4314,104.12
6,211.7283,0.878,27.0584,4.3651,26.1889,73.98,1.5656,0.4417,91.79
6,268.7333,0.8526,34.9872,6.6139,61.4555,106.86,1.4449,0.3804,168.51
6,237.5723,0.9591,27.3037,6.2171,57.8413,106.86,1.5647,0.3958,93.16
6,306.3363,0.9199,34.4219,3.7926,11.7294,106.86,1.6408,0.4288,112.34
6,177.3674,0.8065,24.8354,4.9777,60.5415,123.3,1.7336,0.5544,157.55
6,212.2791,0.8903,24.9325,3.7175,11.7294,106.86,1.6195,0.3623,116.45
6,231.143,0.8088,27.893,3.3098,11.7294,106.86,1.8975,0.226,79.46
6,144.08,1.1468,21.4874,4.7138,57.8413,106.86,1.5531,0.5432,115.08
6,236.7592,0.7488,33.5325,6.4759,57.8413,106.86,1.5293,0.3947,130.15
6,138.5787,0.9207,21.1716,4.8238,35.3044,312.36,1.5863,0.3799,75.35
6,172.9313,1.0027,19.1155,3.3215,26.1889,73.98,1.5181,0.5786,83.57
6,248.4176,0.9494,27.429,3.5198,16.2015,41.1,1.5135,0.5399,87.68
6,113.0154,1.1365,18.1054,3.9986,57.8413,106.86,1.54,0.3938,121.93
6,267.5526,0.9194,29.8829,3.52,11.7294,106.86,1.5335,0.3181,100.01
6,223.3695,0.8884,25.2137,3.4452,26.1889,73.98,1.6408,0.4103,105.49
