Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
7,301.8289,1.2143,44.1289,3.4722,6.8019,82.2,1.4678,"[0.161, 0.2716, 0.403, 0.7345, 0.8636, 0.8841, 1.0502]","[106.86, 106.86, 106.86, 41.1, 106.86, 106.86, 312.36]"
7,216.8362,1.1433,30.4347,4.2051,26.1889,73.98,1.4732,"[0.0778, 0.194, 0.379, 0.5133, 0.7056, 0.9062, 1.0681]","[41.1, 106.86, 106.86, 106.86, 73.98, 312.36, 106.86]"
7,296.0929,1.0463,47.4682,4.1322,6.8019,82.2,1.5292,"[0.0647, 0.173, 0.2917, 0.4296, 0.5875, 0.7774, 0.8346]","[41.1, 312.36, 131.52, 106.86, 312.36, 73.98, 131.52]"
7,253.0988,0.9145,41.1883,4.8426,11.7294,106.86,1.4414,"[0.1687, 0.2758, 0.4061, 0.4426, 0.536, 0.7027, 0.7469]","[123.3, 73.98, 312.36, 312.36, 73.98, 106.86, 106.86]"
7,319.0447,1.0586,44.0667,5.1362,11.7294,106.86,1.628,"[0.0431, 0.1536, 0.3121, 0.4972, 0.6155, 0.7776, 0.9582]","[106.86, 312.36, 73.98, 106.86, 106.86, 106.86, 106.86]"
7,219.081,0.8187,37.3187,6.6099,35.3044,312.36,1.4359,"[0.0528, 0.1608, 0.3264, 0.4429, 0.5817, 0.6112, 0.8334]","[106.86, 41.1, 73.98, 312.36, 82.2, 41.1, 123.3]"
7,162.3628,1.2453,27.3999,4.7858,35.3044,312.36,1.7338,"[0.1645, 0.2774, 0.4047, 0.5307, 0.7152, 1.0339, 1.2272]","[106.86, 106.86, 312.36, 312.36, 73.98, 82.2, 312.36]"
7,364.4993,1.0678,57.1894,9.1019,60.5415,123.3,1.4146,"[0.1344, 0.2446, 0.3377, 0.5192, 0.6721, 0.7048, 1.0076]","[123.3, 106.86, 123.3, 106.86, 312.36, 131.52, 73.98]"
7,251.0736,0.9228,36.872,4.708,11.7294,106.86,1.3648,"[0.0993, 0.2048, 0.3343, 0.3705, 0.4804, 0.6482, 0.8007]","[73.98, 106.86, 106.86, 41.1, 41.1, 106.86, 106.86]"
7,323.622,1.1,44.2464,6.5932,57.8413,106.86,1.415,"[0.0965, 0.2039, 0.3631, 0.4792, 0.5042, 0.6346, 0.843]","[82.2, 106.86, 106.86, 131.52, 106.86, 131.52, 123.3]"
7,232.2561,0.8315,37.1556,6.2726,57.8413,106.86,1.4557,"[0.153, 0.2574, 0.375, 0.4942, 0.6352, 0.7952, 0.8199]","[41.1, 106.86, 123.3, 131.52, 131.52, 106.86, 82.2]"
7,217.8743,1.0647,38.1796,6.6283,62.6262,131.52,1.6322,"[0.0808, 0.2229, 0.3277, 0.4736, 0.7379, 0.7585, 0.9558]","[73.98, 106.86, 312.36, 41.1, 312.36, 106.86, 312.36]"
7,207.7771,1.1721,30.4467,3.1758,6.8019,82.2,1.5274,"[0.0371, 0.2179, 0.3317, 0.4369, 0.6153, 0.7751, 0.9362]","[123.3, 106.86, 312.36, 106.86, 41.1, 123.3, 106.86]"
7,184.2053,0.849,36.9816,7.4256,61.4555,106.86,1.3594,"[0.2004, 0.3073, 0.4009, 0.5109, 0.5324, 0.5695, 0.8128]","[41.1, 106.86, 82.2, 82.2, 41.1, 41.1, 123.3]"
