Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Average Task Start Time,Average Task Operations (FLOPs)
10,407.4696,1.5277,81.2865,10.7374,62.6262,131.52,1.603,0.6391,95.352
10,335.0739,1.7113,72.227,9.8974,61.4555,106.86,1.5896,0.7851,92.064
10,479.1372,1.5712,106.2087,12.3389,60.5415,123.3,1.3198,0.7059,129.876
10,333.7246,1.7595,70.8785,5.6821,11.7294,106.86,1.53,0.73,140.562
10,385.5119,1.6809,79.2645,6.5127,11.7294,106.86,1.4996,0.702,142.206
10,340.4326,1.6833,64.7085,7.8907,57.8413,106.86,1.4121,0.7117,115.902
10,410.974,1.7632,82.4972,6.2479,11.7294,106.86,1.5437,0.71,186.594
10,429.6577,1.2393,94.1134,11.5825,60.5415,123.3,1.5355,0.5633,116.724
10,401.018,1.6126,96.1358,10.5956,61.4555,106.86,1.5526,0.8367,98.64
10,423.39,1.593,90.3106,10.5743,61.4555,106.86,1.526,0.6981,136.452
10,365.6509,1.5373,79.7634,6.3808,16.2015,41.1,1.4643,0.6983,114.258
10,408.6317,1.793,70.5464,8.8722,35.3044,312.36,1.4788,0.8156,116.724
10,240.0938,1.6476,68.3788,7.1116,26.1889,73.98,1.6059,0.8736,85.488
10,367.5657,1.6414,75.5184,9.1033,35.3044,312.36,1.515,0.7827,131.52
10,458.6706,1.5108,98.2675,10.1353,62.6262,131.52,1.5646,0.8043,125.766
10,263.8659,1.5276,47.299,7.4381,61.4555,106.86,1.6033,0.7166,90.42
10,404.2734,1.4418,91.9244,10.6912,60.5415,123.3,1.4942,0.5352,101.928
10,263.0708,1.5941,66.0393,8.908,61.4555,106.86,1.4971,0.7821,96.996
10,486.5341,1.4096,108.872,7.5228,11.7294,106.86,1.5194,0.7538,148.782
10,434.0073,1.3057,98.0231,8.9262,61.4555,106.86,1.5157,0.6454,166.044
10,394.9436,1.5003,86.7812,10.6995,57.8413,106.86,1.4416,0.6841,118.368
10,409.0683,1.4335,87.9617,6.6702,11.7294,106.86,1.5905,0.7784,143.028
10,352.0633,1.4528,72.8426,9.3572,61.4555,106.86,1.5232,0.6643,96.996
10,445.0269,1.7805,82.8796,6.6919,11.7294,106.86,1.5286,0.7329,103.572
10,348.7579,1.7752,67.8682,7.8081,60.5415,123.3,1.3675,0.7528,158.646
10,268.0364,1.6456,50.406,4.0738,11.7294,106.86,1.6112,0.8408,120.012
10,379.6618,1.5011,77.2564,6.5472,26.1889,73.98,1.4164,0.6028,160.29
10,312.6133,1.6936,70.7466,9.1665,61.4555,106.86,1.4623,0.9028,106.038
10,447.5713,1.7934,93.9582,11.0768,60.5415,123.3,1.3564,0.7393,121.656
10,440.4543,1.5193,100.0688,12.2612,62.6262,131.52,1.5355,0.7821,129.054
10,550.9505,1.8318,118.1243,12.5925,60.5415,123.3,1.43,0.901,130.698
10,387.9902,2.0036,78.5593,6.1724,16.2015,41.1,1.5693,0.8297,116.724
10,382.4806,1.4062,84.8919,6.1372,6.8019,82.2,1.5636,0.5537,137.274
10,499.2538,1.7823,100.0228,6.4478,6.8019,82.2,1.5458,0.689,133.986
10,377.1449,2.0085,72.5634,6.3453,11.7294,106.86,1.4583,0.7851,120.012
10,342.7923,1.7728,77.1724,9.6855,61.4555,106.86,1.5999,0.6944,115.08
10,358.0477,1.844,72.7286,6.7763,26.1889,73.98,1.6298,0.7627,123.3
10,438.0382,1.5785,81.2882,9.9455,57.8413,106.86,1.4656,0.7404,99.462
10,461.1815,1.7401,81.9123,5.3295,6.8019,82.2,1.6109,0.7087,106.038
10,277.7376,1.7733,53.3427,6.5645,35.3044,312.36,1.6237,0.8419,79.734
10,351.8657,1.3082,68.4401,8.8285,62.6262,131.52,1.5458,0.6929,120.012
10,291.5784,1.703,68.1685,9.0164,61.4555,106.86,1.4146,0.8024,95.352
10,269.458,1.7369,67.2425,8.2893,35.3044,312.36,1.4563,0.8438,86.31
10,495.3829,1.6166,100.8817,11.2276,57.8413,106.86,1.4874,0.7642,129.876
10,506.4129,1.5596,90.1459,5.4278,11.7294,106.86,1.4404,0.616,145.494
10,273.2378,1.6967,60.9424,8.6858,62.6262,131.52,1.5342,0.8304,92.886
10,457.7149,1.7623,97.4572,6.8559,11.7294,106.86,1.5172,0.8318,147.96
10,447.5125,1.9021,98.2746,11.5915,61.4555,106.86,1.5177,0.892,120.012
10,200.9748,1.5519,53.7412,7.1931,61.4555,106.86,1.5297,0.8536,113.436
10,381.8977,1.7372,72.3384,8.9279,61.4555,106.86,1.4869,0.7431,142.206
10,419.285,1.8555,80.5214,6.7984,11.7294,106.86,1.6505,0.9011,95.352
10,332.2311,1.7194,62.0969,5.84,11.7294,106.86,1.4605,0.8451,90.42
10,321.0035,1.3988,66.9795,6.7309,26.1889,73.98,1.5613,0.5952,97.818
10,293.8621,1.8099,68.6502,8.4651,61.4555,106.86,1.4661,0.6824,126.588
10,396.1143,1.4686,80.8838,9.7155,57.8413,106.86,1.436,0.8017,120.834
10,377.6092,1.5072,74.8168,6.871,26.1889,73.98,1.4095,0.6692,139.74
10,250.1099,1.4083,60.8664,7.7692,60.5415,123.3,1.5705,0.8158,125.766
10,471.8079,1.7205,83.3248,6.0368,26.1889,73.98,1.4475,0.7169,109.326
10,399.4885,1.8225,66.9228,5.4356,11.7294,106.86,1.6616,0.8167,99.462
10,461.0306,1.6669,92.1246,10.4262,62.6262,131.52,1.4594,0.7818,150.426
10,357.3165,1.5071,67.3739,6.9793,60.5415,123.3,1.4981,0.7131,97.818
10,436.8501,1.5636,80.3212,6.5983,26.1889,73.98,1.4307,0.7532,167.688
10,417.9947,1.8169,71.5788,5.0625,6.8019,82.2,1.5253,0.8715,108.504
10,386.4019,1.8815,74.5101,9.4292,57.8413,106.86,1.5098,0.7434,115.902
10,295.2156,1.9263,65.9409,5.7518,6.8019,82.2,1.4788,0.935,101.928
10,464.7871,1.6464,96.3632,7.3924,11.7294,106.86,1.4284,0.9095,124.944
10,370.8722,1.6741,78.805,5.681,16.2015,41.1,1.4617,0.7561,97.818
10,491.7096,1.3493,101.1817,11.4456,61.4555,106.86,1.5036,0.6742,102.75
10,321.3297,1.4524,74.2202,7.5511,26.1889,73.98,1.2989,0.7974,88.776
10,392.3439,1.8783,81.6111,10.226,62.6262,131.52,1.4886,0.9129,97.818
10,289.8486,1.6835,65.1501,5.6122,16.2015,41.1,1.6743,0.72,122.478
10,431.2247,1.8872,85.9976,8.035,26.1889,73.98,1.5116,0.8716,101.106
10,346.986,1.5271,68.7353,5.3734,16.2015,41.1,1.4651,0.8312,166.866
10,340.888,1.6337,58.7263,4.3258,6.8019,82.2,1.5209,0.8738,124.944
10,325.6232,1.5828,61.446,4.5033,6.8019,82.2,1.5274,0.8054,133.164
10,456.1216,1.8606,78.2258,5.6902,11.7294,106.86,1.4101,0.7854,105.216
10,433.1118,1.595,78.3353,9.9966,35.3044,312.36,1.5351,0.716,124.944
10,255.0119,1.6141,64.777,7.1227,26.1889,73.98,1.4699,0.7204,71.514
10,536.7477,1.7351,110.6739,6.3318,16.2015,41.1,1.4215,0.7309,138.096
10,431.3488,1.4663,87.1455,9.8919,35.3044,312.36,1.7131,0.6782,143.85
10,305.0245,1.6691,77.7337,9.3328,61.4555,106.86,1.432,0.6782,140.562
10,361.5781,1.7048,77.4316,8.448,60.5415,123.3,1.5499,0.7339,124.944
10,353.0638,1.56,72.4887,7.5576,57.8413,106.86,1.5514,0.6053,90.42
