Concurrent task count,Total task size (MB),New task start time (relative),Total latency (excluding new task),New task latency,New task size (MB),New task FLOPs (GFLOPs),CPU frequency (GHz),Task start times,Task operations (FLOPs)
3,63.9111,0.5281,20.3216,7.3756,35.3044,312.36,1.6649,"[0.1077, 0.235, 0.3903]","[320.58, 90.42, 90.42]"
3,80.7605,0.3274,7.7187,2.9562,35.3044,312.36,1.5144,"[0.1852, 0.2018, 0.2989]","[312.36, 221.94, 90.42]"
3,95.0893,0.5219,8.6176,3.3396,35.3044,312.36,1.4624,"[0.0157, 0.0331, 0.2074]","[189.06, 320.58, 312.36]"
3,91.7889,0.4229,6.0466,1.2665,3.5306,90.42,1.5576,"[0.1612, 0.3046, 0.4594]","[312.36, 156.18, 320.58]"
3,88.3123,0.4789,5.8484,2.3184,35.3044,312.36,1.622,"[0.0572, 0.163, 0.3567]","[320.58, 156.18, 221.94]"
3,150.2706,0.5734,8.0599,1.6271,11.7294,106.86,1.7272,"[0.0818, 0.2483, 0.441]","[106.86, 131.52, 73.98]"
3,86.085,0.4825,6.6365,1.9412,11.7294,106.86,1.5031,"[0.0677, 0.2076, 0.2816]","[106.86, 106.86, 131.52]"
3,68.2952,0.5267,6.5989,2.1427,11.7294,106.86,1.6714,"[0.1364, 0.2992, 0.405]","[73.98, 312.36, 82.2]"
3,77.4107,0.4166,7.2424,1.7951,16.2015,41.1,1.4237,"[0.1426, 0.3056, 0.3873]","[312.36, 312.36, 82.2]"
3,79.9868,0.5156,7.2006,3.9148,62.6262,131.52,1.5876,"[0.1881, 0.3834, 0.4543]","[82.2, 106.86, 106.86]"
3,134.5843,0.3952,9.7763,2.2636,16.2015,41.1,1.4209,"[0.0804, 0.152, 0.2374]","[41.1, 106.86, 123.3]"
3,84.4589,0.4352,6.1718,1.7314,6.8019,82.2,1.7529,"[0.018, 0.0888, 0.2683]","[106.86, 82.2, 41.1]"
3,108.4893,0.3376,9.867,4.1067,62.6262,131.52,1.5961,"[0.0873, 0.1586, 0.3118]","[312.36, 106.86, 106.86]"
3,103.5618,0.413,8.9971,3.7619,60.5415,123.3,1.5247,"[0.0457, 0.122, 0.1934]","[82.2, 312.36, 106.86]"
3,99.3738,0.4689,5.3049,1.5185,11.7294,106.86,1.6393,"[0.0411, 0.1101, 0.242]","[106.86, 106.86, 73.98]"
3,102.6478,0.5149,7.616,3.6475,60.5415,123.3,1.5265,"[0.1879, 0.3466, 0.4153]","[312.36, 82.2, 123.3]"
3,53.8357,0.263,6.0386,1.8804,11.7294,106.86,1.6718,"[0.1965, 0.2668, 0.3457]","[106.86, 312.36, 82.2]"
3,127.2694,0.5006,9.453,4.2445,57.8413,106.86,1.5246,"[0.0593, 0.1743, 0.3875]","[82.2, 131.52, 106.86]"
3,107.5753,0.3279,8.0781,3.3067,57.8413,106.86,1.531,"[0.1481, 0.161, 0.2214]","[106.86, 123.3, 312.36]"
3,53.8357,0.6366,5.4103,2.979,60.5415,123.3,1.5779,"[0.0152, 0.1996, 0.3558]","[106.86, 312.36, 82.2]"
3,178.3088,0.5492,12.5413,4.4852,62.6262,131.52,1.6553,"[0.1805, 0.3478, 0.4495]","[106.86, 106.86, 131.52]"
3,127.8849,0.4014,11.352,4.9601,61.4555,106.86,1.7153,"[0.0788, 0.2293, 0.3079]","[123.3, 82.2, 123.3]"
3,95.617,0.5131,6.3872,2.1062,16.2015,41.1,1.5052,"[0.0549, 0.1867, 0.2988]","[73.98, 131.52, 82.2]"
3,183.7092,0.4614,11.0998,2.5993,26.1889,73.98,1.5763,"[0.0911, 0.16, 0.2867]","[123.3, 131.52, 123.3]"
3,138.1985,0.4633,9.7268,1.8239,16.2015,41.1,1.456,"[0.0132, 0.0846, 0.207]","[106.86, 41.1, 123.3]"
3,147.2719,0.3134,12.506,2.8286,26.1889,73.98,1.4358,"[0.0968, 0.2187, 0.2851]","[123.3, 123.3, 73.98]"
3,125.1847,0.4869,8.99,4.1222,62.6262,131.52,1.478,"[0.1754, 0.312, 0.4316]","[123.3, 82.2, 106.86]"
3,127.412,0.5522,6.4548,1.7875,26.1889,73.98,1.6272,"[0.0306, 0.1105, 0.2865]","[106.86, 106.86, 106.86]"
3,83.5449,0.4504,5.709,1.8855,16.2015,41.1,1.4271,"[0.0755, 0.2193, 0.404]","[41.1, 82.2, 123.3]"
3,140.2832,0.5268,10.3636,3.9027,35.3044,312.36,1.6498,"[0.1752, 0.3368, 0.4515]","[106.86, 131.52, 41.1]"
3,93.5323,0.5339,7.1753,2.3475,26.1889,73.98,1.4917,"[0.0603, 0.2328, 0.3121]","[82.2, 73.98, 123.3]"
3,125.1847,0.5107,9.5748,2.8311,26.1889,73.98,1.5229,"[0.0968, 0.2642, 0.3327]","[123.3, 82.2, 106.86]"
3,34.7328,0.3616,4.3001,1.61,16.2015,41.1,1.539,"[0.0827, 0.154, 0.2823]","[106.86, 82.2, 41.1]"
3,148.1859,0.3793,11.5621,4.9777,62.6262,131.52,1.5364,"[0.0959, 0.1776, 0.2504]","[106.86, 123.3, 73.98]"
3,81.3001,0.3465,6.6811,1.8838,16.2015,41.1,1.6112,"[0.1079, 0.1788, 0.2467]","[106.86, 106.86, 106.86]"
3,146.6564,0.4929,9.6771,4.007,35.3044,312.36,1.5531,"[0.0336, 0.1385, 0.3312]","[73.98, 131.52, 106.86]"
3,75.0593,0.3884,5.5373,1.5527,6.8019,82.2,1.7652,"[0.1068, 0.1801, 0.1952]","[82.2, 82.2, 106.86]"
3,151.4413,0.4793,10.8506,4.7566,57.8413,106.86,1.5435,"[0.1766, 0.246, 0.3703]","[73.98, 131.52, 131.52]"
3,102.6478,0.5157,5.658,2.5726,35.3044,312.36,1.6635,"[0.0553, 0.1218, 0.2612]","[312.36, 123.3, 82.2]"
3,95.0292,0.5425,6.0169,1.7411,11.7294,106.86,1.4708,"[0.0437, 0.1143, 0.2954]","[41.1, 41.1, 131.52]"
3,100.2317,0.3676,9.432,4.4576,62.6262,131.52,1.4759,"[0.1179, 0.2386, 0.3184]","[41.1, 73.98, 106.86]"
3,141.4539,0.4155,10.214,3.7564,35.3044,312.36,1.4531,"[0.1674, 0.3216, 0.3937]","[131.52, 131.52, 41.1]"
3,87.6822,0.4363,7.0708,2.4098,26.1889,73.98,1.7125,"[0.0294, 0.0988, 0.187]","[312.36, 73.98, 73.98]"
3,103.8459,0.504,8.2439,3.8519,61.4555,106.86,1.3719,"[0.1525, 0.31, 0.375]","[106.86, 73.98, 41.1]"
3,158.4721,0.2922,14.2744,4.4705,61.4555,106.86,1.324,"[0.1409, 0.2536, 0.327]","[123.3, 312.36, 131.52]"
3,112.9614,0.3884,9.3101,3.8799,61.4555,106.86,1.4123,"[0.1311, 0.1465, 0.3037]","[41.1, 106.86, 312.36]"
3,29.8053,0.4234,4.1404,1.6496,11.7294,106.86,1.59,"[0.2005, 0.2709, 0.3376]","[41.1, 82.2, 82.2]"
3,35.1882,0.2486,6.4708,3.192,61.4555,106.86,1.6308,"[0.0905, 0.1607, 0.2294]","[106.86, 106.86, 106.86]"
3,185.5372,0.5032,14.5011,4.9555,57.8413,106.86,1.5073,"[0.0204, 0.2215, 0.2946]","[106.86, 131.52, 106.86]"
3,71.4451,0.414,5.5325,3.177,62.6262,131.52,1.4724,"[0.184, 0.2529, 0.3209]","[82.2, 82.2, 106.86]"
3,173.5239,0.4839,12.4417,2.9555,26.1889,73.98,1.5993,"[0.1651, 0.323, 0.389]","[106.86, 106.86, 106.86]"
3,71.4451,0.4992,4.4373,1.4102,16.2015,41.1,1.6849,"[0.0259, 0.0948, 0.2356]","[82.2, 106.86, 82.2]"
3,77.4107,0.2585,5.9818,2.3528,35.3044,312.36,1.6635,"[0.0697, 0.1391, 0.2065]","[312.36, 82.2, 312.36]"
3,133.7264,0.3471,9.1784,1.7993,16.2015,41.1,1.5967,"[0.0279, 0.094, 0.1604]","[106.86, 123.3, 106.86]"
3,185.7939,0.4406,11.9155,2.1755,16.2015,41.1,1.5848,"[0.1272, 0.2484, 0.3687]","[131.52, 131.52, 123.3]"
3,58.3078,0.4802,21.1618,8.1201,62.6262,131.52,1.2688,"[0.0956, 0.3106, 0.379]","[82.2, 41.1, 312.36]"
3,159.3861,0.6684,10.2789,1.9735,11.7294,106.86,1.5331,"[0.1553, 0.3097, 0.5283]","[106.86, 312.36, 131.52]"
