Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-3,8,30,0.071741,2.690843,1.3872538229166669,1346268
1-8,8,32,0.811158,5.281714,1.3041592291666666,3524577
1-6,8,25,0.376375,0.054491,1.578381427083333,121392
1-5,8,29,0.213936,1.961106,1.4424796250000003,832039
1-7,8,28,0.522723,2.533687,1.3284343333333335,514228
1-4,8,26,0.14288,0.663124,1.462661395833333,196417
1-1,8,32,0.000274,9.6235,1.3764893437500003,3524577
1-9,8,35,0.881085,17.949234,1.4355149791666664,14930351
1-2,8,34,0.039641,17.317982,1.4406784999999998,9227464
2-6,8,28,0.358209,1.244314,1.41124859375,514228
2-8,8,28,0.703772,1.906178,1.450242760416667,514228
2-3,8,28,0.093768,2.154949,1.4616865208333332,514228
2-4,8,28,0.175107,1.994455,1.4625294166666665,514228
2-7,8,27,0.647747,2.220061,1.4640495729166663,317810
2-1,8,34,0.000297,8.398092,1.422631,9227464
2-2,8,29,0.048019,3.27911,1.3524800729166668,832039
2-5,8,31,0.307387,6.282382,1.3697489791666666,2178308
2-9,8,31,0.988472,5.732591,1.3467480104166665,2178308
3-2,8,30,0.029186,2.407804,1.4604008124999999,1346268
3-9,8,26,1.221301,1.049732,1.3924356770833335,196417
3-1,8,29,0.000233,2.734435,1.3407223020833332,832039
3-7,8,29,1.060593,2.401543,1.4422585937499999,832039
3-8,8,26,1.175306,0.619477,1.4464058333333334,196417
3-5,8,25,0.192096,0.858221,1.347512,121392
3-6,8,27,0.668068,1.858452,1.4097864270833336,317810
3-3,8,34,0.074987,11.513986,1.4730549791666665,9227464
3-4,8,33,0.141137,10.674303,1.4396169166666668,5702886
4-8,8,26,0.658621,0.367623,1.4080266145833331,196417
4-5,8,25,0.27917,0.363869,1.392724052083333,121392
4-6,8,30,0.47572,4.18962,1.3673415833333336,1346268
4-1,8,28,0.000264,0.419222,1.3751989791666666,514228
4-7,8,31,0.612796,7.77726,1.3655545729166667,2178308
4-3,8,33,0.077152,17.303523,1.3186727604166668,5702886
4-9,8,34,0.948701,21.390868,1.3296096458333335,9227464
4-2,8,35,0.041453,33.118991,1.287263489583333,14930351
4-4,8,35,0.112792,32.825896,1.3877216979166662,14930351
5-7,8,25,0.549963,1.079253,1.4146003645833334,121392
5-3,8,27,0.066777,0.815094,1.34418440625,317810
5-8,8,29,0.908069,5.83513,1.3571913750000002,832039
5-2,8,31,0.041273,12.191527,1.3096697916666669,2178308
5-5,8,32,0.209308,14.371372,1.3745447916666662,3524577
5-6,8,32,0.366885,15.358849,1.3198074062500003,3524577
5-9,8,35,1.200944,24.298039,1.4042642395833336,14930351
5-4,8,33,0.14818,18.948214,1.3688622499999994,5702886
5-1,8,34,0.000294,23.929074,1.3322988333333332,9227464
6-4,8,29,0.167228,5.397875,1.3320047812500002,832039
6-9,8,31,0.733975,4.875905,1.3565578020833333,2178308
6-2,8,27,0.035036,1.257834,1.31428059375,317810
6-5,8,27,0.253803,2.106331,1.3463883125000002,317810
6-3,8,27,0.111268,2.651164,1.3334888020833335,317810
6-6,8,31,0.276555,6.22473,1.462999208333333,2178308
6-7,8,34,0.348024,16.98352,1.4747270937500006,9227464
6-1,8,33,0.000296,16.407163,1.4852182812500003,5702886
6-8,8,33,0.55137,16.13585,1.4065936041666667,5702886
7-8,8,31,0.4959,4.793557,1.31097025,2178308
7-2,8,28,0.029148,0.653789,1.3927919166666667,514228
7-1,8,29,0.000154,1.789436,1.4335688749999997,832039
7-7,8,33,0.433702,6.428552,1.4522424374999998,5702886
7-4,8,25,0.161143,0.173503,1.379811270833333,121392
