Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-1,2,34,0.000354,4.073327,1.5373252916666669,9227464
1-3,2,26,0.133986,0.217153,1.5339720937499997,196417
1-2,2,30,0.037363,2.07633,1.52020034375,1346268
2-2,2,27,0.032873,0.741075,1.6195810000000008,317810
2-3,2,34,0.144566,3.066195,1.6811921041666664,9227464
2-1,2,29,0.000347,0.956803,1.5691393124999997,832039
3-3,2,25,0.10709,0.081434,1.551406364583334,121392
3-1,2,27,0.000299,0.142043,1.5438452916666672,317810
3-2,2,25,0.046084,0.152389,1.5582324687500004,121392
4-1,2,33,0.000234,5.095181,1.5249962187500008,5702886
4-2,2,30,0.027401,2.49612,1.495884135416666,1346268
4-3,2,31,0.07832,4.094152,1.6589201979166663,2178308
5-3,2,29,0.132617,1.717925,1.4719276562499999,832039
5-1,2,33,0.000386,6.098827,1.6761141041666667,5702886
5-2,2,32,0.025818,5.373271,1.4755740729166664,3524577
6-2,2,32,0.032942,3.073668,1.5942683020833337,3524577
6-1,2,30,0.000345,2.441987,1.507369854166666,1346268
6-3,2,29,0.099222,1.95586,1.5216349583333337,832039
7-2,2,28,0.031211,0.247051,1.53491828125,514228
7-1,2,26,0.00037,0.216773,1.537899052083333,196417
7-3,2,25,0.102337,0.112396,1.53790328125,121392
8-2,2,28,0.03394,0.273893,1.522409489583333,514228
8-1,2,25,0.000188,0.040638,1.54414078125,121392
8-3,2,26,0.08723,0.130794,1.5604448125,196417
9-2,2,33,0.045391,3.951676,1.5539713333333338,5702886
9-3,2,26,0.152217,0.609022,1.4729905625000002,196417
9-1,2,31,0.000163,2.987627,1.4927433645833332,2178308
10-1,2,31,0.000323,2.202679,1.6355237916666665,2178308
10-2,2,30,0.024492,1.924343,1.5496833437499997,1346268
10-3,2,25,0.131343,0.176241,1.5018240729166665,121392
11-2,2,32,0.032116,1.628779,1.568817895833333,3524577
11-1,2,28,0.000408,0.634701,1.56471915625,514228
11-3,2,27,0.088178,0.691672,1.5068230624999996,317810
12-1,2,29,0.000294,1.978047,1.5443052708333334,832039
12-3,2,35,0.09717,8.459688,1.3250058437499999,14930351
12-2,2,32,0.036032,5.690532,1.6175954270833337,3524577
13-1,2,27,0.000347,0.148029,1.4380152604166663,317810
13-2,2,26,0.046206,0.268713,1.3646756666666664,196417
13-3,2,35,0.112411,3.907845,1.4249709062499993,14930351
14-1,2,28,0.000337,0.535479,1.4563023958333334,514228
14-2,2,27,0.039582,0.476641,1.4443451041666666,317810
14-3,2,35,0.161684,4.093621,1.5083645416666671,14930351
15-2,2,33,0.022208,3.113302,1.6524239895833333,5702886
15-3,2,30,0.114355,1.942785,1.5045674687499997,1346268
15-1,2,26,0.000365,0.113639,1.4773895833333333,196417
16-1,2,26,0.000355,0.06981,1.589142833333333,196417
16-2,2,26,0.043876,0.094351,1.5766177499999994,196417
16-3,2,35,0.11681,3.66041,1.5680886874999997,14930351
17-1,2,25,0.000326,0.029747,1.6799592812500004,121392
17-3,2,30,0.051193,1.807357,1.54487253125,1346268
17-2,2,30,0.030455,1.762378,1.5415278020833336,1346268
18-3,2,25,0.067379,0.197968,1.3701342604166669,121392
18-1,2,34,0.000279,13.643824,1.4467584583333337,9227464
18-2,2,35,0.021496,15.075001,1.5633729479166667,14930351
19-2,2,25,0.037,0.061078,1.4738443750000003,121392
19-1,2,34,0.000212,13.265487,1.5105647708333334,9227464
19-3,2,35,0.10328,14.696074,1.5374549479166664,14930351
20-3,2,31,0.096505,1.611031,1.6568303125,2178308
20-2,2,28,0.035427,0.979244,1.5364199270833325,514228
20-1,2,29,0.000373,1.222916,1.6218706770833333,832039
21-2,2,32,0.043084,1.179196,1.480416333333333,3524577
21-1,2,27,0.000264,0.166337,1.4660295937499999,317810
21-3,2,26,0.149916,0.172709,1.4923425625,196417
22-3,2,27,0.053902,0.664224,1.462486760416667,317810
22-1,2,35,0.000336,5.422865,1.5214681250000004,14930351
22-2,2,30,0.030508,1.976781,1.48003709375,1346268
23-3,2,32,0.101536,6.964978,1.430103739583333,3524577
23-2,2,32,0.030427,7.571129,1.5514581770833338,3524577
23-1,2,32,0.000391,7.559636,1.5457723333333335,3524577
24-1,2,26,0.000384,0.119174,1.5108874062500006,196417
24-3,2,31,0.124915,1.455864,1.6573805312499998,2178308
24-2,2,29,0.027223,1.120485,1.627501697916667,832039
25-1,2,30,0.000214,1.506619,1.6392174479166663,1346268
25-2,2,26,0.050712,0.211889,1.5676011874999998,196417
25-3,2,29,0.13845,1.274756,1.6192559895833332,832039
26-3,2,28,0.227396,1.031864,1.5991640520833335,514228
26-1,2,29,0.000254,1.502235,1.6017237916666665,832039
26-2,2,33,0.022671,2.731123,1.6841811979166659,5702886
27-1,2,33,0.000337,2.315811,1.5487503333333337,5702886
27-3,2,27,0.081483,0.621043,1.5825042499999997,317810
27-2,2,28,0.020274,0.995286,1.7091055833333333,514228
28-3,2,34,0.077234,3.760667,1.5173016249999998,9227464
28-2,2,25,0.031217,0.806542,1.4580560833333336,121392
28-1,2,30,0.000338,1.777312,1.6265758333333333,1346268
29-1,2,30,0.00036,0.850571,1.5343353437500002,1346268
29-2,2,26,0.036167,0.267346,1.6346544687500002,196417
29-3,2,27,0.137944,0.428469,1.5291796354166665,317810
30-1,2,33,0.000221,11.790315,1.5219500520833333,5702886
30-2,2,35,0.024173,14.289137,1.56818778125,14930351
30-3,2,33,0.075129,11.63149,1.5105611145833329,5702886
31-1,2,28,0.000306,0.760664,1.5616370104166664,514228
31-2,2,28,0.029176,0.920865,1.5145829270833329,514228
31-3,2,28,0.105634,0.836034,1.5146250729166666,514228
32-1,2,30,0.000292,1.033326,1.4676319062499998,1346268
32-3,2,25,0.103294,0.164966,1.4515804375,121392
32-2,2,28,0.042161,0.723876,1.4445087187499996,514228
33-2,2,29,0.027536,0.840646,1.5139416041666671,832039
33-1,2,27,0.000238,0.546019,1.5255643229166664,317810
33-3,2,28,0.129251,0.56507,1.5639738749999998,514228
34-1,2,30,0.000214,2.280634,1.4230093333333333,1346268
34-3,2,30,0.150371,2.27173,1.4730091874999995,1346268
34-2,2,30,0.03846,2.409662,1.4923418541666662,1346268
35-3,2,32,0.092234,1.655251,1.5292679166666667,3524577
35-2,2,26,0.026037,0.266105,1.6296936666666668,196417
35-1,2,29,0.000271,1.087056,1.6472876458333339,832039
36-3,2,27,0.067105,0.158869,1.5799770416666667,317810
36-2,2,26,0.036189,0.099846,1.5677453958333334,196417
36-1,2,25,0.000244,0.035593,1.5721872916666664,121392
37-3,2,27,0.072101,0.607908,1.459547677083334,317810
37-1,2,35,0.000273,4.510877,1.4772257499999997,14930351
37-2,2,28,0.021118,0.964089,1.4881721979166667,514228
38-3,2,25,0.107145,0.088147,1.3917511770833328,121392
38-2,2,34,0.034466,3.215434,1.5945085,9227464
38-1,2,29,0.000401,1.095643,1.5147965833333328,832039
39-1,2,27,0.000224,0.389306,1.4820039999999999,317810
39-3,2,34,0.071191,13.562109,1.6394345104166665,9227464
39-2,2,34,0.029666,13.529008,1.6364482395833335,9227464
40-3,2,35,0.214981,7.458162,1.5839081041666665,14930351
40-2,2,31,0.049818,4.164713,1.493695364583333,2178308
40-1,2,31,0.00039,4.412242,1.477991322916667,2178308
41-3,2,30,0.115492,2.696622,1.51321221875,1346268
41-2,2,35,0.044252,8.467839,1.5067714895833333,14930351
41-1,2,32,0.000229,5.504419,1.654122114583334,3524577
42-2,2,29,0.030359,0.608758,1.5622437708333334,832039
42-3,2,25,0.07114,0.190949,1.5253554583333335,121392
42-1,2,27,0.000365,0.423397,1.5355569270833331,317810
43-3,2,32,0.107298,1.282539,1.4385069791666665,3524577
43-1,2,26,0.000271,0.070794,1.5543561041666665,196417
43-2,2,28,0.043141,0.480246,1.579851583333333,514228
44-1,2,25,0.000357,0.036251,1.57932925,121392
44-2,2,27,0.037009,0.284882,1.4766433333333335,317810
44-3,2,27,0.062902,0.3051,1.4630472708333335,317810
45-2,2,32,0.028276,5.660845,1.6511412395833334,3524577
45-3,2,30,0.145306,2.521045,1.6115481145833337,1346268
45-1,2,32,0.0003,5.424961,1.6053438333333336,3524577
46-1,2,30,0.000357,2.664425,1.4324159270833337,1346268
46-2,2,34,0.050756,10.056973,1.5486524479166675,9227464
46-3,2,33,0.167746,9.298499,1.6366377291666665,5702886
47-2,2,32,0.030701,3.802268,1.5812914270833331,3524577
47-1,2,27,0.000262,0.337255,1.5781785000000002,317810
47-3,2,31,0.127377,3.443118,1.5730636666666666,2178308
48-3,2,26,0.045986,0.353493,1.5550310104166671,196417
48-2,2,30,0.023412,1.945076,1.6557181666666663,1346268
48-1,2,30,0.000343,1.911928,1.602504145833333,1346268
49-2,2,33,0.024021,4.010478,1.6410639166666667,5702886
49-1,2,25,0.000254,0.053302,1.5680410729166663,121392
49-3,2,31,0.069286,3.100262,1.5366763958333334,2178308
50-1,2,32,0.000244,4.033515,1.5664897187500002,3524577
50-3,2,28,0.066597,1.061971,1.5588683020833332,514228
50-2,2,31,0.048394,3.702777,1.5953594583333335,2178308
51-1,2,28,0.000307,0.396071,1.558877499999999,514228
51-2,2,32,0.050061,1.407796,1.6743134374999993,3524577
51-3,2,27,0.156852,0.435067,1.6040711875000004,317810
