Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-2,2,27,0.025079,0.490448,1.5110872395833337,317810
1-3,2,28,0.045726,1.026156,1.654570427083333,514228
1-1,2,35,0.000253,4.624761,1.5330049687499998,14930351
2-3,2,35,0.057504,4.580288,1.6248200520833336,14930351
2-1,2,25,0.000313,0.031029,1.591455916666667,121392
2-2,2,29,0.031713,1.042158,1.5920381250000002,832039
3-2,2,27,0.03474,0.561421,1.515650427083333,317810
3-3,2,33,0.116177,5.397333,1.558958635416667,5702886
3-1,2,32,0.000366,4.792148,1.5126175833333328,3524577
4-2,2,34,0.042022,3.903114,1.4595109270833329,9227464
4-1,2,28,0.000351,0.658601,1.5791980416666664,514228
4-3,2,30,0.15376,1.706219,1.4890275729166667,1346268
5-3,2,34,0.120207,5.078693,1.5765899062500002,9227464
5-2,2,29,0.037147,1.24674,1.5824233333333328,832039
5-1,2,31,0.000361,3.305519,1.6571576145833327,2178308
6-3,2,30,0.083928,1.896695,1.55189078125,1346268
6-1,2,27,0.000345,0.275121,1.4531719062499997,317810
6-2,2,30,0.037644,1.80053,1.5404773958333333,1346268
7-2,2,30,0.032604,0.953367,1.492794385416667,1346268
7-1,2,28,0.000338,0.623675,1.4966914166666665,514228
7-3,2,27,0.119113,0.569419,1.443478479166667,317810
8-3,2,33,0.097807,2.755055,1.7447774479166667,5702886
8-1,2,29,0.000257,1.515432,1.6625455520833339,832039
8-2,2,29,0.031851,1.19803,1.5965436874999999,832039
9-3,2,30,0.133638,2.909853,1.4925011979166667,1346268
9-1,2,35,0.00041,7.436103,1.5554840729166666,14930351
9-2,2,31,0.036998,4.345716,1.5864638020833335,2178308
10-1,2,33,0.000386,2.472932,1.5549750208333333,5702886
10-3,2,25,0.132407,0.17787,1.5480921874999998,121392
10-2,2,29,0.045862,1.180248,1.6206150416666663,832039
11-2,2,31,0.025108,0.838766,1.5327710312499996,2178308
11-3,2,26,0.081105,0.197419,1.6337411875,196417
11-1,2,26,0.000362,0.252343,1.607853875,196417
12-1,2,33,0.000228,1.690093,1.683776770833333,5702886
12-3,2,25,0.139802,0.13605,1.5549225937500002,121392
12-2,2,26,0.038075,0.214662,1.555822270833334,196417
13-2,2,27,0.028119,0.434306,1.6051196354166666,317810
13-3,2,32,0.160087,4.969794,1.6410295520833333,3524577
13-1,2,35,0.000266,7.972891,1.585597833333334,14930351
14-3,2,32,0.053645,1.75064,1.5452924270833335,3524577
14-2,2,25,0.031161,0.244175,1.6340301666666672,121392
14-1,2,29,0.000377,1.013763,1.4909764270833337,832039
15-2,2,32,0.024146,3.529826,1.5531552708333332,3524577
15-3,2,26,0.09038,0.408384,1.5384842499999998,196417
15-1,2,31,0.000337,3.076828,1.5963055520833334,2178308
16-3,2,33,0.083897,3.834129,1.6260696562500008,5702886
16-2,2,31,0.028611,2.879161,1.5839370833333333,2178308
16-1,2,25,0.000251,0.047562,1.6459524583333338,121392
17-2,2,27,0.04025,0.439944,1.6401747708333332,317810
17-3,2,31,0.08895,3.122193,1.5569243125000005,2178308
17-1,2,31,0.000362,3.076101,1.5319696562500003,2178308
18-3,2,25,0.187902,0.408459,1.4696272291666665,121392
18-1,2,34,0.000381,11.688192,1.6545867395833336,9227464
18-2,2,34,0.030114,11.209493,1.574250479166667,9227464
19-2,2,29,0.047196,1.468605,1.5058599687499998,832039
19-1,2,32,0.000374,5.205587,1.4908716666666668,3524577
19-3,2,32,0.072636,5.09706,1.4890994270833335,3524577
20-1,2,25,0.000313,0.029078,1.557148072916667,121392
20-3,2,28,0.054936,0.538077,1.3980539270833332,514228
20-2,2,28,0.039225,0.45663,1.408515416666667,514228
21-3,2,33,0.089685,1.807087,1.4774671979166667,5702886
21-1,2,28,0.00029,0.492658,1.4472839062499998,514228
21-2,2,25,0.033643,0.138827,1.4298686145833333,121392
22-2,2,26,0.03412,0.231513,1.4679126458333331,196417
22-3,2,27,0.079884,0.33267,1.4500746145833336,317810
22-1,2,27,0.000317,0.298009,1.4969151562499994,317810
23-2,2,31,0.02682,1.159467,1.3820452395833334,2178308
23-3,2,25,0.082943,0.345133,1.4456085833333334,121392
23-1,2,28,0.000259,0.677601,1.5292412395833335,514228
24-1,2,28,0.000303,0.905544,1.3893944479166664,514228
24-2,2,32,0.016387,5.179426,1.4902454583333338,3524577
24-3,2,32,0.057178,4.99773,1.5207228645833337,3524577
25-1,2,25,0.000403,0.041885,1.5156461979166669,121392
25-2,2,34,0.035507,12.211235,1.4419828437500002,9227464
25-3,2,35,0.088922,13.852052,1.4228194062499997,14930351
26-3,2,26,0.170228,0.444458,1.4888855833333334,196417
26-2,2,35,0.042975,5.227292,1.4990886145833338,14930351
26-1,2,30,0.000465,1.82908,1.437157666666667,1346268
27-1,2,35,0.000327,4.506988,1.4545513645833335,14930351
27-2,2,26,0.037176,0.283728,1.62758675,196417
27-3,2,28,0.087919,0.855671,1.5459045312500004,514228
28-2,2,25,0.0439,0.103766,1.4720181041666667,121392
28-1,2,31,0.000333,2.842094,1.38481784375,2178308
28-3,2,31,0.066307,2.686255,1.4317749791666667,2178308
29-2,2,28,0.02114,0.977787,1.3729172812500001,514228
29-1,2,33,0.00034,7.8953,1.4698804895833337,5702886
29-3,2,35,0.036667,10.338638,1.5154060208333329,14930351
30-1,2,25,0.000346,0.029213,1.5556199895833331,121392
30-3,2,34,0.060893,9.055487,1.5407432916666663,9227464
30-2,2,33,0.029983,8.203845,1.5148073958333332,5702886
31-3,2,30,0.068892,0.346334,1.4981922708333335,1346268
31-1,2,25,0.00027,0.034562,1.4906653125,121392
31-2,2,25,0.038188,0.039531,1.5542630625000005,121392
32-2,2,33,0.039816,1.650427,1.564568416666666,5702886
32-1,2,25,0.000295,0.036162,1.5453783541666664,121392
32-3,2,26,0.095997,0.259328,1.5526142395833333,196417
33-1,2,32,0.000301,6.394164,1.5138096354166666,3524577
33-3,2,34,0.134955,15.314925,1.4803171458333335,9227464
33-2,2,35,0.018021,16.801333,1.497805239583334,14930351
34-3,2,32,0.08542,3.415372,1.4532343541666666,3524577
34-2,2,25,0.039426,0.258696,1.5739613333333329,121392
34-1,2,31,0.000353,3.048775,1.4945557395833338,2178308
35-2,2,28,0.023983,0.81721,1.5369943229166672,514228
35-1,2,28,0.000311,0.662392,1.4828099166666673,514228
35-3,2,35,0.115647,4.338503,1.594217260416667,14930351
36-2,2,30,0.0172,1.333876,1.4935503854166663,1346268
36-3,2,25,0.118668,0.180955,1.5420005208333334,121392
36-1,2,29,0.000352,1.158775,1.4697773229166666,832039
37-3,2,33,0.105283,3.384192,1.4425102812500006,5702886
37-2,2,29,0.028988,1.399672,1.45848896875,832039
37-1,2,30,0.00031,2.302317,1.5062769999999999,1346268
38-2,2,26,0.040857,0.255358,1.39208990625,196417
38-3,2,34,0.106999,4.649993,1.6116333645833327,9227464
38-1,2,31,0.00036,2.865729,1.6215329895833335,2178308
39-3,2,29,0.079177,1.562505,1.53931553125,832039
39-2,2,34,0.041533,9.469742,1.6240937708333334,9227464
39-1,2,33,0.000329,8.432322,1.5291068958333334,5702886
40-2,2,30,0.036532,0.504011,1.4595564791666669,1346268
40-1,2,25,0.000363,0.035854,1.5547604583333332,121392
40-3,2,27,0.072351,0.149722,1.5136179166666661,317810
41-3,2,29,0.105801,1.169337,1.53436828125,832039
41-2,2,34,0.026869,3.362548,1.4655180624999993,9227464
41-1,2,26,0.000246,0.100126,1.5475253229166668,196417
42-2,2,33,0.037973,3.860167,1.5670136354166664,5702886
42-3,2,27,0.094026,0.579626,1.4417705624999997,317810
42-1,2,31,0.000306,2.886553,1.5954658124999996,2178308
43-2,2,31,0.043774,2.936508,1.5590704687499994,2178308
43-3,2,27,0.094706,1.027614,1.5572534687500001,317810
43-1,2,31,0.000264,2.787838,1.5233761354166664,2178308
44-3,2,31,0.124997,1.876196,1.5158147395833332,2178308
44-2,2,26,0.048517,0.330818,1.7298111666666667,196417
44-1,2,30,0.000273,1.783563,1.520146177083333,1346268
45-2,2,31,0.037213,3.693429,1.4970711666666663,2178308
45-1,2,33,0.000246,9.766654,1.6368436666666664,5702886
45-3,2,35,0.250873,11.859004,1.5021466250000002,14930351
46-2,2,26,0.025626,0.285567,1.5556489791666666,196417
46-3,2,25,0.09176,0.21733,1.5546473333333333,121392
46-1,2,27,0.000371,0.332473,1.556667125,317810
47-3,2,33,0.16518,3.845158,1.5650394583333334,5702886
47-2,2,27,0.043128,0.542445,1.5908760104166668,317810
47-1,2,31,0.000298,2.987631,1.582747333333334,2178308
48-2,2,30,0.045564,2.069262,1.5405206770833335,1346268
48-3,2,33,0.116879,3.092935,1.6574678854166667,5702886
48-1,2,28,0.000341,0.657856,1.5748646250000002,514228
49-1,2,35,0.000332,7.232442,1.5739725312500001,14930351
49-3,2,31,0.126043,3.715889,1.5195279583333332,2178308
49-2,2,31,0.03402,3.92863,1.5300512916666673,2178308
50-3,2,28,0.14139,0.761268,1.5187659166666665,514228
50-2,2,34,0.044902,6.08636,1.696004958333333,9227464
50-1,2,32,0.000366,4.528126,1.7326661041666669,3524577
51-3,2,31,0.097898,1.388086,1.4572396249999995,2178308
51-1,2,28,0.000213,0.833014,1.5834032812499996,514228
51-2,2,28,0.021707,1.024137,1.5130957499999997,514228
