round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	1.3942	0.7158	1.3942	2.2080	0.9221	2.2080	1.4842	0.7278	1.4842
2	0.3855	0.3412	0.3855	0.6532	0.4697	0.6532	0.5064	0.3923	0.5064
3	0.2858	0.2885	0.2858	0.5822	0.4179	0.5822	0.4065	0.3489	0.4065
4	0.2318	0.2605	0.2318	0.5038	0.3779	0.5038	0.3405	0.3181	0.3405
5	0.2188	0.2613	0.2188	0.5034	0.3628	0.5034	0.3236	0.3101	0.3236
6	0.1936	0.2429	0.1936	0.4631	0.3536	0.4631	0.2934	0.3044	0.2934
7	0.2103	0.2620	0.2103	0.4185	0.3442	0.4185	0.2884	0.3004	0.2884
8	0.1892	0.2500	0.1892	0.3886	0.3606	0.3886	0.2736	0.2985	0.2736
9	0.2035	0.2614	0.2035	0.5249	0.4245	0.5249	0.2933	0.3031	0.2933
10	0.1791	0.2411	0.1791	0.3798	0.3650	0.3798	0.2636	0.2946	0.2636
11	0.1901	0.2506	0.1901	0.4568	0.3477	0.4568	0.2860	0.2987	0.2860
12	0.1750	0.2375	0.1750	0.3228	0.3201	0.3228	0.2542	0.2800	0.2542
13	0.1720	0.2336	0.1720	0.3407	0.3430	0.3407	0.2452	0.2780	0.2452
14	0.1665	0.2307	0.1665	0.3210	0.3577	0.3210	0.2566	0.2893	0.2566
15	0.1720	0.2398	0.1720	0.3305	0.3218	0.3305	0.2426	0.2768	0.2426
16	0.1755	0.2388	0.1755	0.4249	0.3616	0.4249	0.2572	0.2779	0.2572
17	0.1668	0.2277	0.1668	0.2966	0.2959	0.2966	0.2354	0.2654	0.2354
18	0.1706	0.2264	0.1706	0.3317	0.3170	0.3317	0.2435	0.2721	0.2435
19	0.1746	0.2314	0.1746	0.4242	0.3755	0.4242	0.2779	0.2904	0.2779
20	0.1686	0.2222	0.1686	0.2779	0.3153	0.2779	0.2440	0.2779	0.2440
21	0.1732	0.2339	0.1732	0.3027	0.3320	0.3027	0.2434	0.2796	0.2434
22	0.1607	0.2187	0.1607	0.3127	0.3276	0.3127	0.2358	0.2722	0.2358
23	0.1572	0.2151	0.1572	0.3213	0.3135	0.3213	0.2443	0.2763	0.2443
24	0.1615	0.2208	0.1615	0.2772	0.3000	0.2772	0.2314	0.2666	0.2314
