round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
68	69.1606	5.0711	69.1606	94.6213	5.8621	94.6213	83.3587	5.4476	83.3587
69	68.9398	5.0325	68.9398	101.5586	5.7589	101.5586	83.6591	5.4221	83.6591
70	69.7248	5.0366	69.7248	90.9341	5.6119	90.9341	81.1144	5.4264	81.1144
71	69.5893	5.0305	69.5893	101.8289	5.6921	101.8289	82.1207	5.3631	82.1207
72	70.2428	5.0744	70.2428	114.8819	6.3266	114.8819	87.4594	5.5577	87.4594
73	69.4825	5.0248	69.4825	108.1382	6.0994	108.1382	82.8877	5.4302	82.8877
74	68.7199	5.0098	68.7199	94.0626	5.6608	94.0626	82.5355	5.3870	82.5355
75	68.9914	5.0337	68.9914	111.8479	6.2673	111.8479	83.9041	5.4555	83.9041
76	69.2336	5.0332	69.2336	88.4990	5.6647	88.4990	79.7301	5.3439	79.7301
77	68.4628	5.0164	68.4628	96.7511	5.8169	96.7511	82.1801	5.3820	82.1801
78	68.7348	5.0012	68.7348	93.8042	5.6996	93.8042	80.5504	5.3873	80.5504
79	68.8380	5.0021	68.8380	91.6155	5.7920	91.6155	81.4373	5.4290	81.4373
80	68.3368	5.0093	68.3368	87.8392	5.5475	87.8392	79.4382	5.3640	79.4382
81	68.8479	5.0216	68.8479	86.6014	5.4655	86.6014	79.8391	5.3292	79.8391
82	69.3757	5.0567	69.3757	91.0027	5.7486	91.0027	80.4807	5.3696	80.4807
83	68.7959	5.0455	68.7959	97.3458	5.7472	97.3458	83.0814	5.4316	83.0814
84	69.5794	5.0710	69.5794	120.6838	6.4845	120.6838	84.6193	5.5107	84.6193
85	68.3120	5.0123	68.3120	86.2718	5.5050	86.2718	79.6889	5.3293	79.6889
86	68.4931	5.0204	68.4931	84.5390	5.6325	84.5390	79.3255	5.3614	79.3255
87	68.3819	5.0033	68.3819	92.6135	5.7159	92.6135	80.9962	5.4034	80.9962
88	68.6918	5.0233	68.6918	91.1312	5.6315	91.1312	81.0638	5.3872	81.0638
89	67.7631	5.0114	67.7631	89.9694	5.6116	89.9694	77.6856	5.3000	77.6856
90	67.3730	4.9839	67.3730	90.9253	5.7269	90.9253	81.9234	5.3932	81.9234
91	67.1140	5.0008	67.1140	87.2415	5.5428	87.2415	78.5567	5.3410	78.5567
92	68.5165	5.0554	68.5165	94.2299	5.8046	94.2299	80.8564	5.4092	80.8564
93	67.0020	4.9884	67.0020	95.9903	5.8975	95.9903	80.1816	5.3737	80.1816
94	68.1829	5.0216	68.1829	93.6174	6.0402	93.6174	82.3718	5.4577	82.3718
95	67.0654	4.9827	67.0654	88.0705	5.5066	88.0705	79.9898	5.3488	79.9898
96	67.0651	4.9701	67.0651	90.5733	5.7318	90.5733	79.0783	5.3751	79.0783
97	65.7028	4.9352	65.7028	91.0589	5.7004	91.0589	79.7682	5.3287	79.7682
98	66.3889	4.9627	66.3889	91.9315	5.5712	91.9315	80.0755	5.3436	80.0755
99	66.3644	4.9444	66.3644	93.3405	5.8485	93.3405	82.7539	5.4938	82.7539
100	65.7999	4.8993	65.7999	86.5506	5.5101	86.5506	79.2094	5.3217	79.2094
