round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	21.0024	3.2808	21.0024	26.3407	3.6887	26.3407	22.6037	3.4523	22.6037
2	10.2220	2.3212	10.2220	17.2408	2.8446	17.2408	11.6979	2.3961	11.6979
3	7.2599	1.7697	7.2599	10.1972	2.0319	10.1972	8.4642	1.8820	8.4642
4	6.3406	1.6426	6.3406	9.8134	2.0254	9.8134	7.7854	1.7906	7.7854
5	5.9201	1.5774	5.9201	7.8870	1.8065	7.8870	6.8962	1.6776	6.8962
6	5.7548	1.5559	5.7548	7.9364	1.7597	7.9364	6.8467	1.6620	6.8467
7	5.3993	1.4974	5.3993	7.9532	1.8336	7.9532	6.6202	1.6525	6.6202
8	5.1491	1.4573	5.1491	7.5829	1.7115	7.5829	6.2588	1.5531	6.2588
9	5.1410	1.4774	5.1410	7.5975	1.8288	7.5975	6.1609	1.5841	6.1609
10	4.8112	1.4163	4.8112	6.6569	1.6100	6.6569	5.9343	1.5198	5.9343
11	4.6630	1.4110	4.6630	7.9883	1.7320	7.9883	5.6486	1.5149	5.6486
12	4.5848	1.3993	4.5848	7.0515	1.6581	7.0515	5.7392	1.5070	5.7392
13	4.2745	1.3498	4.2745	6.3115	1.5269	6.3115	5.2641	1.4482	5.2641
14	4.1901	1.3309	4.1901	6.7042	1.5096	6.7042	5.2305	1.4320	5.2305
15	4.0837	1.3216	4.0837	5.7278	1.5396	5.7278	5.0236	1.4271	5.0236
16	4.0482	1.3008	4.0482	5.6104	1.4514	5.6104	4.9276	1.3932	4.9276
17	4.0111	1.2965	4.0111	5.7135	1.5146	5.7135	4.9905	1.4010	4.9905
18	3.9596	1.2855	3.9596	5.8219	1.5638	5.8219	4.9742	1.3949	4.9742
19	3.9110	1.2881	3.9110	5.6850	1.5421	5.6850	4.8433	1.3972	4.8433
20	3.9126	1.2636	3.9126	5.3987	1.4436	5.3987	4.7722	1.3727	4.7722
21	3.8661	1.2605	3.8661	6.3452	1.4383	6.3452	4.8195	1.3756	4.8195
22	3.9187	1.2678	3.9187	5.7484	1.4521	5.7484	4.7299	1.3669	4.7299
23	3.8413	1.2566	3.8413	5.2273	1.3851	5.2273	4.6313	1.3450	4.6313
24	3.8743	1.2470	3.8743	5.8478	1.4239	5.8478	4.7910	1.3533	4.7910
25	3.8325	1.2547	3.8325	5.2611	1.4679	5.2611	4.7241	1.3693	4.7241
26	3.7246	1.2434	3.7246	5.7585	1.5914	5.7585	4.6346	1.3514	4.6346
27	3.7285	1.2190	3.7285	5.3869	1.3907	5.3869	4.5458	1.3169	4.5458
28	3.6991	1.2101	3.6991	5.1624	1.3874	5.1624	4.5733	1.3192	4.5733
29	3.6741	1.2058	3.6741	5.3032	1.4014	5.3032	4.6261	1.3265	4.6261
30	3.7669	1.2049	3.7669	5.5222	1.4108	5.5222	4.6913	1.3223	4.6913
31	3.5964	1.1962	3.5964	5.5834	1.4152	5.5834	4.5537	1.3212	4.5537
32	3.5910	1.1959	3.5910	5.1636	1.3832	5.1636	4.4150	1.3031	4.4150
33	3.6325	1.1902	3.6325	5.5105	1.4236	5.5105	4.5520	1.3072	4.5520
34	3.5812	1.1860	3.5812	5.6730	1.3532	5.6730	4.4702	1.3042	4.4702
35	3.5725	1.1814	3.5725	5.0463	1.4037	5.0463	4.2883	1.2954	4.2883
36	3.5527	1.1776	3.5527	5.3363	1.4575	5.3363	4.3545	1.3047	4.3545
37	3.5309	1.1724	3.5309	5.1957	1.4295	5.1957	4.4807	1.3136	4.4807
38	3.4908	1.1645	3.4908	5.1258	1.3911	5.1258	4.3036	1.2910	4.3036
39	3.4748	1.1586	3.4748	5.5901	1.3466	5.5901	4.4034	1.2740	4.4034
40	3.4140	1.1547	3.4140	5.1660	1.4211	5.1660	4.3443	1.2935	4.3443
41	3.4336	1.1579	3.4336	5.3880	1.5296	5.3880	4.4332	1.3058	4.4332
42	3.3761	1.1444	3.3761	5.4288	1.4780	5.4288	4.4205	1.2989	4.4205
43	3.3769	1.1439	3.3769	5.8123	1.4905	5.8123	4.3944	1.2863	4.3944
44	3.3382	1.1313	3.3382	5.0049	1.3042	5.0049	4.1521	1.2478	4.1521
45	3.3114	1.1289	3.3114	5.6567	1.4359	5.6567	4.3509	1.2705	4.3509
46	3.3081	1.1389	3.3081	5.5849	1.4434	5.5849	4.3319	1.2924	4.3319
47	3.3494	1.1446	3.3494	5.5014	1.4718	5.5014	4.3338	1.2895	4.3338
48	3.3228	1.1251	3.3228	5.1448	1.3782	5.1448	4.2913	1.2787	4.2913
49	3.3229	1.1350	3.3229	5.1999	1.4174	5.1999	4.3381	1.2800	4.3381
50	3.3071	1.1212	3.3071	5.2277	1.3250	5.2277	4.1888	1.2553	4.1888
51	3.3484	1.1319	3.3484	5.4796	1.4204	5.4796	4.2633	1.2797	4.2633
52	3.2592	1.1267	3.2592	5.4930	1.3376	5.4930	4.1311	1.2476	4.1311
53	3.2591	1.1333	3.2591	4.9548	1.3430	4.9548	4.1219	1.2559	4.1219
54	3.2813	1.1369	3.2813	7.1948	1.6644	7.1948	4.4066	1.2895	4.4066
55	3.3020	1.1517	3.3020	5.8294	1.4729	5.8294	4.4889	1.3045	4.4889
56	3.2481	1.1274	3.2481	4.8776	1.3769	4.8776	4.0232	1.2534	4.0232
57	3.2478	1.1265	3.2478	5.4585	1.4276	5.4585	4.2972	1.2835	4.2972
58	3.2180	1.1241	3.2180	5.0203	1.4219	5.0203	4.0521	1.2579	4.0521
59	3.2006	1.1223	3.2006	6.1621	1.5218	6.1621	4.1887	1.2750	4.1887
60	3.2153	1.1161	3.2153	5.1905	1.3501	5.1905	4.3195	1.2654	4.3195
61	3.1762	1.1126	3.1762	6.5282	1.3974	6.5282	4.3238	1.2590	4.3238
62	3.2372	1.1136	3.2372	5.2900	1.3737	5.2900	4.1757	1.2563	4.1757
63	3.2040	1.1098	3.2040	5.1873	1.3354	5.1873	4.0920	1.2450	4.0920
64	3.1993	1.1121	3.1993	5.2667	1.4148	5.2667	4.3154	1.2731	4.3154
65	3.2102	1.1042	3.2102	5.3505	1.4368	5.3505	4.1490	1.2456	4.1490
66	3.2085	1.1143	3.2085	5.1828	1.3152	5.1828	4.0674	1.2347	4.0674
67	3.2437	1.1218	3.2437	5.5961	1.4490	5.5961	4.3080	1.2760	4.3080
68	3.2003	1.1165	3.2003	5.4849	1.3681	5.4849	4.2280	1.2571	4.2280
69	3.2264	1.1034	3.2264	5.1237	1.3361	5.1237	4.1757	1.2460	4.1757
70	3.2490	1.1135	3.2490	5.1005	1.3771	5.1005	4.1111	1.2464	4.1111
71	3.2440	1.1083	3.2440	5.0308	1.3398	5.0308	4.1913	1.2493	4.1913
72	3.2328	1.1131	3.2328	5.1491	1.3333	5.1491	4.1761	1.2538	4.1761
73	3.2274	1.1027	3.2274	4.9314	1.3425	4.9314	4.1919	1.2476	4.1919
74	3.2209	1.1028	3.2209	5.6164	1.4375	5.6164	4.2950	1.2600	4.2950
75	3.1704	1.0994	3.1704	5.1301	1.3816	5.1301	4.2012	1.2545	4.2012
76	3.1701	1.0995	3.1701	5.0062	1.3958	5.0062	4.1278	1.2388	4.1278
77	3.2565	1.0982	3.2565	5.0835	1.3323	5.0835	4.2188	1.2555	4.2188
78	3.2534	1.1022	3.2534	5.1781	1.3270	5.1781	4.1689	1.2336	4.1689
79	3.1913	1.0922	3.1913	4.8561	1.3216	4.8561	4.0754	1.2257	4.0754
80	3.2450	1.0943	3.2450	5.5165	1.4910	5.5165	4.2204	1.2474	4.2204
81	3.2342	1.0983	3.2342	5.2045	1.3392	5.2045	4.1641	1.2317	4.1641
82	3.2459	1.0956	3.2459	5.7777	1.3167	5.7777	4.2985	1.2425	4.2985
83	3.1973	1.0992	3.1973	5.9835	1.4813	5.9835	4.2135	1.2506	4.2135
84	3.2572	1.1042	3.2572	5.2846	1.3379	5.2846	4.2001	1.2420	4.2001
85	3.2339	1.0996	3.2339	5.0685	1.3359	5.0685	4.1485	1.2303	4.1485
86	3.2521	1.1053	3.2521	5.1747	1.3565	5.1747	4.1934	1.2456	4.1934
87	3.3095	1.1046	3.3095	5.1050	1.3937	5.1050	4.1575	1.2300	4.1575
88	3.3164	1.1005	3.3164	5.0648	1.3499	5.0648	4.2247	1.2359	4.2247
89	3.2843	1.0955	3.2843	5.2844	1.3444	5.2844	4.3558	1.2508	4.3558
90	3.2639	1.0953	3.2639	4.7415	1.3116	4.7415	4.0968	1.2224	4.0968
91	3.2475	1.1004	3.2475	5.6291	1.3360	5.6291	4.3368	1.2517	4.3368
92	3.2452	1.1012	3.2452	5.1300	1.3197	5.1300	4.1182	1.2289	4.1182
93	3.2713	1.0976	3.2713	6.2881	1.4895	6.2881	4.3464	1.2445	4.3464
94	3.3103	1.1014	3.3103	5.2228	1.4123	5.2228	4.3142	1.2532	4.3142
95	3.3286	1.1129	3.3286	5.1808	1.3387	5.1808	4.3098	1.2456	4.3098
96	3.3133	1.1013	3.3133	5.8354	1.4314	5.8354	4.3448	1.2473	4.3448
97	3.3442	1.1183	3.3442	5.9152	1.5058	5.9152	4.4272	1.2670	4.4272
98	3.3820	1.1142	3.3820	5.5238	1.3674	5.5238	4.3931	1.2492	4.3931
99	3.4297	1.1129	3.4297	5.5134	1.3526	5.5134	4.4833	1.2540	4.4833
100	3.4165	1.1129	3.4165	5.3416	1.4204	5.3416	4.4049	1.2593	4.4049
