round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	10.6340	2.0451	10.6340	15.0499	2.4200	15.0499	10.8812	2.1086	10.8812
2	5.7756	1.4849	5.7756	7.8845	1.7291	7.8845	6.6561	1.5803	6.6561
3	4.8431	1.3214	4.8431	6.3675	1.5238	6.3675	5.6599	1.4302	5.6599
4	4.2214	1.1818	4.2214	6.0580	1.4183	6.0580	5.1307	1.3125	5.1307
5	3.8956	1.1133	3.8956	6.0555	1.3382	6.0555	4.6964	1.2342	4.6964
6	3.6118	1.0894	3.6118	5.4359	1.3338	5.4359	4.5607	1.2156	4.5607
7	3.3498	1.0625	3.3498	4.9396	1.2802	4.9396	4.0956	1.1706	4.0956
8	2.9684	1.0012	2.9684	4.9264	1.2041	4.9264	3.8427	1.1087	3.8427
9	2.8029	0.9795	2.8029	4.0259	1.1802	4.0259	3.4752	1.0726	3.4752
10	2.6965	0.9639	2.6965	4.2076	1.1683	4.2076	3.5242	1.0755	3.5242
11	2.5501	0.9318	2.5501	4.3951	1.1508	4.3951	3.3265	1.0361	3.3265
12	2.3912	0.9060	2.3912	4.1465	1.1273	4.1465	3.1832	1.0241	3.1832
13	2.3441	0.8924	2.3441	3.9538	1.0558	3.9538	3.1321	0.9938	3.1321
14	2.2422	0.8724	2.2422	4.0429	1.0724	4.0429	2.9845	0.9833	2.9845
15	2.1421	0.8561	2.1421	5.1734	1.1080	5.1734	3.0463	0.9705	3.0463
16	2.1780	0.8515	2.1780	4.4618	1.0715	4.4618	3.0546	0.9655	3.0546
17	2.0984	0.8317	2.0984	4.5640	1.0519	4.5640	2.9604	0.9585	2.9604
18	2.0531	0.8299	2.0531	3.3028	0.9837	3.3028	2.7906	0.9348	2.7906
19	2.0018	0.8147	2.0018	3.5699	1.0233	3.5699	2.7079	0.9219	2.7079
20	1.9488	0.8053	1.9488	3.7818	1.0198	3.7818	2.7911	0.9179	2.7911
21	1.9737	0.8100	1.9737	4.1395	1.0161	4.1395	2.9593	0.9399	2.9593
22	1.9969	0.8135	1.9969	4.9958	1.0549	4.9958	2.9739	0.9326	2.9739
23	1.9724	0.8128	1.9724	4.2963	1.0199	4.2963	2.9252	0.9311	2.9252
24	1.9494	0.8092	1.9494	5.3750	1.0594	5.3750	3.0443	0.9322	3.0443
25	1.9668	0.8078	1.9668	4.1745	0.9979	4.1745	2.7672	0.9092	2.7672
26	2.0213	0.8151	2.0213	4.0239	0.9884	4.0239	2.8601	0.9218	2.8601
27	2.0589	0.8277	2.0589	5.1817	1.1013	5.1817	3.0706	0.9199	3.0706
28	2.0394	0.8257	2.0394	4.7818	1.0147	4.7818	2.9938	0.9180	2.9938
29	2.0164	0.8194	2.0164	3.9154	1.0365	3.9154	2.8492	0.9092	2.8492
30	2.0336	0.8220	2.0336	4.5797	1.0386	4.5797	2.9556	0.9081	2.9556
31	2.0408	0.8182	2.0408	5.2969	1.0224	5.2969	2.9980	0.9219	2.9980
32	2.1495	0.8332	2.1495	4.6028	1.0684	4.6028	3.0440	0.9227	3.0440
33	2.0759	0.8137	2.0759	3.6277	0.9887	3.6277	2.8123	0.9046	2.8123
34	2.1268	0.8218	2.1268	5.4047	1.0290	5.4047	3.0773	0.9203	3.0773
35	2.1327	0.8148	2.1327	4.5011	1.0157	4.5011	3.0417	0.9117	3.0417
36	2.1543	0.8183	2.1543	4.7467	1.0839	4.7467	3.0815	0.9190	3.0815
37	2.1699	0.8150	2.1699	4.4198	1.0430	4.4198	3.0593	0.9202	3.0593
38	2.2549	0.8283	2.2549	4.5674	1.0149	4.5674	3.1334	0.9208	3.1334
39	2.2592	0.8217	2.2592	4.6909	1.0770	4.6909	3.0417	0.9266	3.0417
40	2.2981	0.8221	2.2981	4.5254	1.0475	4.5254	3.1250	0.9232	3.1250
41	2.3420	0.8223	2.3420	4.8314	1.0523	4.8314	3.3070	0.9299	3.3070
42	2.3526	0.8205	2.3526	4.7848	1.0014	4.7848	3.2246	0.9208	3.2246
