round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	56.9269	5.5450	56.9269	68.3802	5.9343	68.3802	54.9081	5.4698	54.9081
2	37.6184	4.6565	37.6184	51.8820	5.0279	51.8820	41.6482	4.8057	41.6482
3	35.9437	4.4803	35.9437	45.4759	4.8621	45.4759	39.6708	4.6543	39.6708
4	31.3596	4.1658	31.3596	38.0404	4.6128	38.0404	34.3216	4.2969	34.3216
5	23.4402	3.3757	23.4402	36.8754	4.0615	36.8754	28.3524	3.6524	28.3524
6	21.1549	3.0541	21.1549	29.0494	3.3963	29.0494	24.3407	3.2621	24.3407
7	20.4155	2.9436	20.4155	29.6490	3.4367	29.6490	24.2667	3.1789	24.2667
8	20.2084	2.8873	20.2084	28.7441	3.3834	28.7441	23.7788	3.1251	23.7788
9	19.6472	2.8143	19.6472	26.3350	3.1970	26.3350	23.1002	3.0360	23.1002
10	19.4355	2.7720	19.4355	25.7385	3.1228	25.7385	22.8177	2.9949	22.8177
11	18.9724	2.7160	18.9724	26.2874	3.2286	26.2874	22.4052	2.9376	22.4052
12	19.0504	2.7059	19.0504	24.8177	3.1653	24.8177	22.6705	2.9417	22.6705
13	18.5543	2.6606	18.5543	26.0502	3.1049	26.0502	21.7535	2.9305	21.7535
14	18.7318	2.6764	18.7318	23.9488	3.1578	23.9488	21.8057	2.9306	21.8057
15	18.5408	2.6335	18.5408	28.2569	3.1412	28.2569	22.0472	2.8998	22.0472
16	18.9871	2.6950	18.9871	27.5783	3.1506	27.5783	21.8657	2.8884	21.8657
17	18.0410	2.6087	18.0410	22.8354	2.9582	22.8354	20.5167	2.7929	20.5167
18	18.3285	2.6450	18.3285	25.3287	3.1991	25.3287	21.5743	2.8604	21.5743
19	17.9858	2.5994	17.9858	26.9519	3.0985	26.9519	22.2124	2.8857	22.2124
20	17.7231	2.5972	17.7231	22.2002	2.9559	22.2002	20.4336	2.7853	20.4336
21	17.8588	2.6080	17.8588	23.9289	3.0577	23.9289	21.0783	2.8262	21.0783
22	17.5351	2.5815	17.5351	22.8482	2.9735	22.8482	20.3692	2.7896	20.3692
23	17.6137	2.5858	17.6137	22.8109	2.9985	22.8109	20.7018	2.7931	20.7018
24	17.5868	2.5707	17.5868	23.5391	2.9701	23.5391	20.1471	2.7485	20.1471
25	17.9887	2.6035	17.9887	23.4606	2.9859	23.4606	20.8300	2.8073	20.8300
26	17.4200	2.5636	17.4200	23.9419	2.9479	23.9419	20.2944	2.7553	20.2944
27	17.5610	2.5666	17.5610	22.5951	2.9461	22.5951	19.7794	2.7283	19.7794
28	17.1171	2.5362	17.1171	22.4095	2.9287	22.4095	19.9499	2.7254	19.9499
29	17.0881	2.5414	17.0881	23.4235	2.8967	23.4235	20.0060	2.7373	20.0060
30	17.6730	2.5703	17.6730	23.5140	2.8836	23.5140	20.9889	2.7791	20.9889
31	17.1633	2.5445	17.1633	23.5464	2.8520	23.5464	19.7814	2.7089	19.7814
32	17.2155	2.5350	17.2155	22.5537	2.8274	22.5537	19.8421	2.7176	19.8421
33	17.9592	2.5749	17.9592	30.4895	3.3816	30.4895	21.7022	2.8075	21.7022
34	17.4043	2.5282	17.4043	22.7831	2.8147	22.7831	20.0647	2.6983	20.0647
35	16.9876	2.5099	16.9876	21.7598	2.7820	21.7598	19.6626	2.6841	19.6626
36	16.9020	2.4940	16.9020	23.7336	2.8743	23.7336	20.0768	2.7066	20.0768
37	16.9680	2.5064	16.9680	22.7165	2.9052	22.7165	19.9643	2.7079	19.9643
38	16.9483	2.5055	16.9483	22.4983	2.7996	22.4983	19.6830	2.6666	19.6830
39	16.7328	2.4812	16.7328	22.0264	2.8014	22.0264	19.4675	2.6537	19.4675
40	16.9453	2.5044	16.9453	23.6777	2.7856	23.6777	19.9075	2.6967	19.9075
41	17.0521	2.4857	17.0521	21.4670	2.7936	21.4670	19.7785	2.6735	19.7785
42	16.9410	2.5030	16.9410	20.9322	2.7823	20.9322	19.4916	2.6668	19.4916
43	16.4562	2.4452	16.4562	22.2224	2.8620	22.2224	19.5787	2.6447	19.5787
44	16.4857	2.4470	16.4857	21.5229	2.7193	21.5229	19.0473	2.6288	19.0473
45	16.4502	2.4541	16.4502	21.8628	2.7503	21.8628	19.3284	2.6353	19.3284
46	16.3791	2.4568	16.3791	21.3882	2.7482	21.3882	19.1785	2.6199	19.1785
47	16.4541	2.4200	16.4541	26.7441	2.9519	26.7441	20.1789	2.6517	20.1789
48	16.4386	2.4579	16.4386	21.1538	2.8033	21.1538	19.5436	2.6410	19.5436
49	16.4067	2.4569	16.4067	23.2010	2.8349	23.2010	19.7710	2.6485	19.7710
50	16.2147	2.4329	16.2147	24.0049	2.8848	24.0049	19.9372	2.6556	19.9372
51	16.3895	2.4370	16.3895	22.1407	2.7688	22.1407	19.7485	2.6405	19.7485
52	16.3547	2.4146	16.3547	21.4257	2.7603	21.4257	19.6334	2.6268	19.6334
53	16.2332	2.4098	16.2332	20.6320	2.6769	20.6320	19.1457	2.5899	19.1457
54	16.3272	2.4106	16.3272	21.7590	2.7492	21.7590	19.1625	2.5753	19.1625
55	16.2079	2.3919	16.2079	22.7373	2.8003	22.7373	19.8102	2.6382	19.8102
56	16.2590	2.4093	16.2590	23.9854	2.8239	23.9854	19.9760	2.6331	19.9760
57	16.1055	2.3789	16.1055	20.9863	2.7599	20.9863	19.5492	2.6121	19.5492
58	15.8740	2.3783	15.8740	22.1867	2.8053	22.1867	19.3851	2.5956	19.3851
59	16.0038	2.3760	16.0038	23.8956	2.9313	23.8956	19.5865	2.6123	19.5865
60	16.1999	2.3716	16.1999	20.9696	2.6947	20.9696	19.0062	2.5685	19.0062
61	16.3701	2.3903	16.3701	22.0506	2.7567	22.0506	19.5667	2.5968	19.5667
62	16.1647	2.3943	16.1647	20.3547	2.6698	20.3547	18.8410	2.5761	18.8410
63	16.3693	2.3940	16.3693	24.5213	2.8331	24.5213	19.4430	2.5795	19.4430
64	16.2460	2.4088	16.2460	24.0805	3.0242	24.0805	19.2513	2.6191	19.2513
65	16.3933	2.3699	16.3933	22.9317	2.7578	22.9317	19.6182	2.5802	19.6182
66	16.3492	2.3683	16.3492	20.6641	2.6987	20.6641	19.1370	2.5576	19.1370
67	16.3787	2.3830	16.3787	25.5248	2.8096	25.5248	19.5965	2.5974	19.5965
68	16.3000	2.3868	16.3000	23.2712	2.7836	23.2712	19.5249	2.5855	19.5249
69	16.4605	2.3383	16.4605	21.0225	2.7080	21.0225	19.2983	2.5811	19.2983
70	16.3476	2.3585	16.3476	24.3230	2.9122	24.3230	20.3316	2.6293	20.3316
71	16.1347	2.3345	16.1347	20.8580	2.6593	20.8580	18.8353	2.5289	18.8353
72	16.4763	2.3737	16.4763	25.2918	2.8818	25.2918	19.5412	2.5789	19.5412
73	16.0378	2.3394	16.0378	23.8163	2.8578	23.8163	19.6538	2.5838	19.6538
74	16.2032	2.3544	16.2032	25.5844	2.9940	25.5844	19.5797	2.5862	19.5797
75	15.9777	2.3127	15.9777	21.1951	2.6277	21.1951	18.6240	2.5227	18.6240
76	16.1160	2.3131	16.1160	22.6131	2.7804	22.6131	19.2682	2.5644	19.2682
77	15.8742	2.3247	15.8742	21.9158	2.6890	21.9158	18.9811	2.5372	18.9811
78	15.8214	2.3237	15.8214	20.7919	2.6876	20.7919	18.8375	2.5427	18.8375
79	16.2978	2.3612	16.2978	22.4220	2.7679	22.4220	19.8557	2.6059	19.8557
80	16.0735	2.3221	16.0735	23.9189	2.8119	23.9189	20.3907	2.6152	20.3907
81	16.3341	2.3621	16.3341	22.1456	2.7684	22.1456	19.8896	2.5807	19.8896
82	16.0344	2.3267	16.0344	21.4935	2.7284	21.4935	19.4448	2.5719	19.4448
83	16.1161	2.3358	16.1161	21.6461	2.7058	21.6461	19.2964	2.5592	19.2964
84	16.1010	2.3272	16.1010	23.7666	2.8064	23.7666	19.6034	2.5717	19.6034
85	16.1082	2.3222	16.1082	21.1491	2.6944	21.1491	19.1628	2.5561	19.1628
