round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	51.4616	5.0875	51.4616	69.4292	5.5296	69.4292	53.7288	5.2156	53.7288
2	32.0241	4.2269	32.0241	39.9803	4.5724	39.9803	34.7930	4.3534	34.7930
3	22.9416	3.4811	22.9416	34.2451	4.1552	34.2451	26.3661	3.6518	26.3661
4	17.8192	2.9684	17.8192	28.1702	3.6311	28.1702	21.3848	3.1661	21.3848
5	15.7605	2.7086	15.7605	23.9079	3.3280	23.9079	19.8047	2.9537	19.8047
6	14.9823	2.5842	14.9823	29.7124	3.2741	29.7124	19.3436	2.8437	19.3436
7	14.9531	2.5748	14.9531	24.0639	3.1865	24.0639	19.4624	2.8313	19.4624
8	14.3454	2.5068	14.3454	25.1096	3.1257	25.1096	18.2116	2.7435	18.2116
9	14.1084	2.4721	14.1084	28.3660	3.4038	28.3660	19.0921	2.7524	19.0921
10	13.6602	2.4198	13.6602	20.5382	2.9296	20.5382	16.9699	2.6317	16.9699
11	13.0693	2.3359	13.0693	18.2058	2.6372	18.2058	15.5359	2.4974	15.5359
12	13.0614	2.3455	13.0614	20.4163	2.8727	20.4163	16.1924	2.5277	16.1924
13	12.7111	2.2967	12.7111	18.2992	2.6309	18.2992	16.0083	2.5070	16.0083
14	12.4796	2.2777	12.4796	25.1919	2.9749	25.1919	16.3919	2.5194	16.3919
15	12.1641	2.2071	12.1641	16.9058	2.5561	16.9058	15.2997	2.4352	15.2997
16	12.2310	2.2041	12.2310	17.5598	2.5893	17.5598	15.0400	2.4080	15.0400
17	11.9726	2.1906	11.9726	17.5564	2.5428	17.5564	14.7483	2.3849	14.7483
18	11.9528	2.1861	11.9528	21.7785	2.8234	21.7785	15.3032	2.4147	15.3032
19	11.9367	2.1479	11.9367	25.5297	2.8537	25.5297	15.6133	2.4052	15.6133
20	11.9994	2.1718	11.9994	21.0481	2.6771	21.0481	15.4959	2.4110	15.4959
21	11.8003	2.1684	11.8003	18.0364	2.6029	18.0364	15.1662	2.4123	15.1662
22	11.8778	2.1624	11.8778	17.2078	2.5612	17.2078	14.3217	2.3437	14.3217
23	11.8988	2.1348	11.8988	19.4636	2.6271	19.4636	14.7071	2.3454	14.7071
24	11.7361	2.1174	11.7361	20.5921	2.6967	20.5921	15.1230	2.3635	15.1230
25	11.6030	2.0985	11.6030	16.7269	2.5106	16.7269	14.0933	2.2992	14.0933
26	11.7814	2.1062	11.7814	18.6906	2.5737	18.6906	14.8621	2.3417	14.8621
27	11.8844	2.1339	11.8844	17.6028	2.5015	17.6028	14.6469	2.3551	14.6469
28	11.7701	2.1171	11.7701	20.3656	2.6229	20.3656	15.0232	2.3446	15.0232
29	11.6770	2.0976	11.6770	17.0318	2.4388	17.0318	14.3725	2.3058	14.3725
30	11.7225	2.1037	11.7225	16.0642	2.4570	16.0642	14.0906	2.3077	14.0906
31	11.6721	2.0994	11.6721	18.2485	2.5032	18.2485	14.4731	2.3122	14.4731
32	11.5938	2.0745	11.5938	18.4673	2.5685	18.4673	14.3835	2.3195	14.3835
33	11.5730	2.0705	11.5730	17.5117	2.4627	17.5117	14.5030	2.2968	14.5030
34	11.5218	2.0617	11.5218	16.0132	2.4542	16.0132	14.1997	2.3089	14.1997
35	11.4520	2.0700	11.4520	15.4845	2.4101	15.4845	13.8714	2.2777	13.8714
36	11.3010	2.0542	11.3010	15.8338	2.4483	15.8338	14.0161	2.3102	14.0161
37	11.4395	2.0677	11.4395	18.5980	2.5201	18.5980	14.4632	2.3165	14.4632
38	11.4564	2.0719	11.4564	23.2134	2.7817	23.2134	14.9646	2.3370	14.9646
39	11.3003	2.0633	11.3003	20.9192	2.5997	20.9192	14.5482	2.3108	14.5482
