Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-5,4,33,0.213342,6.976927,1.448953520833333,5702886
1-1,4,26,0.000313,0.133974,1.5051825312500002,196417
1-3,4,32,0.103162,6.212067,1.46066990625,3524577
1-2,4,31,0.021758,4.560668,1.4174834374999998,2178308
1-4,4,31,0.190444,5.278015,1.4162845729166669,2178308
2-1,4,32,0.000308,3.150059,1.47185946875,3524577
2-2,4,31,0.031073,2.535316,1.38599065625,2178308
2-4,4,26,0.249723,0.605027,1.4056396145833334,196417
2-3,4,27,0.061726,0.732026,1.3218192395833332,317810
2-5,4,28,0.326009,1.46452,1.40697778125,514228
3-2,4,26,0.034606,0.857157,1.4259549895833334,196417
3-5,4,29,0.253244,2.52103,1.412821979166667,832039
3-3,4,31,0.111001,5.231318,1.4260318333333335,2178308
3-4,4,35,0.187317,22.788122,1.4449813124999997,14930351
3-1,4,35,0.000291,22.681903,1.3770748854166668,14930351
4-3,4,25,0.106461,1.13851,1.440595375,121392
4-4,4,26,0.167626,1.329614,1.5270998958333333,196417
4-2,4,28,0.030235,1.654176,1.4949000625,514228
4-1,4,35,0.000233,8.599477,1.4187269583333335,14930351
4-5,4,32,0.208496,5.668168,1.3866307499999997,3524577
5-2,4,28,0.023591,2.34974,1.36017871875,514228
5-5,4,28,0.278175,1.982045,1.31980975,514228
5-1,4,33,0.000259,11.29052,1.3770650520833332,5702886
5-3,4,35,0.05422,18.452744,1.408110125,14930351
5-4,4,34,0.135524,16.179114,1.36302103125,9227464
6-5,4,35,0.280534,4.629454,1.5471778229166666,14930351
6-3,4,25,0.0874,0.244539,1.3870259687500002,121392
6-1,4,27,0.0003,0.438338,1.3544917604166669,317810
6-4,4,25,0.168881,0.241921,1.3606656979166667,121392
6-2,4,29,0.031439,1.362601,1.4774918333333336,832039
7-3,4,25,0.139327,0.095179,1.4102618854166666,121392
7-2,4,25,0.049444,0.08454,1.5081396458333336,121392
7-1,4,30,0.00031,1.963078,1.37534671875,1346268
7-4,4,34,0.239879,14.371803,1.5249047395833333,9227464
7-5,4,35,0.291561,15.660772,1.4080171354166666,14930351
8-5,4,33,0.222577,13.373818,1.5222485104166665,5702886
8-4,4,29,0.151221,4.823905,1.3983425729166665,832039
8-2,4,29,0.039261,4.949481,1.3510350104166666,832039
8-1,4,34,0.00034,12.367585,1.4839736666666667,9227464
8-3,4,33,0.064778,13.153796,1.53506425,5702886
9-2,4,25,0.021555,0.070459,1.5062519062499997,121392
9-5,4,32,0.402947,10.256299,1.4617343125,3524577
9-1,4,35,0.000295,17.445579,1.4984693958333335,14930351
9-4,4,33,0.204012,13.67818,1.4374123229166664,5702886
9-3,4,34,0.097144,15.229423,1.42810284375,9227464
10-1,4,25,0.000297,0.041334,1.53608575,121392
10-5,4,27,0.150511,0.730755,1.3965709791666667,317810
10-4,4,32,0.129866,6.34975,1.39796,3524577
10-3,4,35,0.07787,21.491743,1.4809919270833334,14930351
10-2,4,35,0.033127,22.908133,1.4217698645833334,14930351
11-4,4,32,0.199543,13.663321,1.4220669791666667,3524577
11-2,4,34,0.046961,24.448767,1.3967906874999996,9227464
11-3,4,35,0.133362,30.467838,1.4957331666666667,14930351
11-1,4,34,0.000301,28.90596,1.4415540625,9227464
11-5,4,34,0.270874,29.61138,1.417722020833333,9227464
12-1,4,28,0.000288,0.274832,1.4654544583333335,514228
12-5,4,31,0.24118,1.67274,1.4437497708333338,2178308
12-3,4,30,0.069857,1.364989,1.4760224374999997,1346268
12-4,4,25,0.161301,0.064355,1.4784317604166666,121392
12-2,4,28,0.024084,1.320793,1.4802000312499997,514228
13-2,4,29,0.016151,1.207625,1.4441796041666666,832039
13-4,4,32,0.105598,5.631321,1.4842339479166666,3524577
13-3,4,32,0.0395,8.707185,1.4654979166666664,3524577
13-5,4,35,1.37867,21.017788,1.4016597500000005,14930351
13-1,4,35,0.00014,21.676148,1.4784829375,14930351
14-4,4,27,0.144786,0.878317,1.3898166770833333,317810
14-3,4,33,0.063368,4.737597,1.4667148229166667,5702886
14-5,4,27,0.343287,0.746941,1.3156380729166668,317810
14-2,4,28,0.03314,1.847513,1.2791257708333335,514228
14-1,4,31,0.000301,3.882942,1.3176926979166668,2178308
15-3,4,25,0.113185,0.468892,1.3617454791666666,121392
15-1,4,29,0.000212,1.67227,1.366712104166667,832039
15-2,4,35,0.044334,9.434851,1.3687393229166664,14930351
15-4,4,30,0.18959,2.666303,1.3192278750000002,1346268
15-5,4,32,0.403377,6.244591,1.354266125,3524577
16-4,4,26,0.124317,0.581031,1.3590009895833337,196417
16-5,4,34,0.34817,19.317724,1.4880883645833334,9227464
16-2,4,32,0.047958,9.996174,1.3902195416666665,3524577
16-1,4,33,0.000299,15.959625,1.2910980416666666,5702886
16-3,4,34,0.093758,19.292677,1.5048216562500003,9227464
17-5,4,25,0.212099,0.355778,1.3397343958333334,121392
17-3,4,32,0.105116,10.78643,1.3541482708333332,3524577
17-2,4,34,0.028974,22.355831,1.4239848854166666,9227464
17-1,4,34,0.000176,22.068657,1.3802122499999998,9227464
17-4,4,34,0.140764,22.083216,1.4087966562499998,9227464
18-4,4,34,0.205894,8.182929,1.3729356875,9227464
18-1,4,28,0.000268,0.843729,1.418858677083333,514228
18-2,4,30,0.02786,2.827069,1.3916458750000003,1346268
18-5,4,31,0.348375,6.605332,1.4231449479166665,2178308
18-3,4,31,0.154959,4.802786,1.3586824270833333,2178308
19-3,4,33,0.080151,2.32823,1.3871792187500003,5702886
19-1,4,26,0.000204,0.087715,1.4123531770833333,196417
19-4,4,27,0.115905,0.605525,1.4530646666666671,317810
19-5,4,25,0.162144,0.578858,1.5015396666666667,121392
19-2,4,28,0.034299,1.042052,1.381300479166667,514228
20-1,4,29,0.000291,2.964497,1.3993284999999998,832039
20-5,4,29,0.169343,2.51329,1.4382887291666666,832039
20-3,4,33,0.082741,5.451174,1.5250738958333332,5702886
20-4,4,29,0.113281,2.082576,1.3322727395833336,832039
20-2,4,31,0.036951,4.510885,1.379624958333333,2178308
21-4,4,27,0.156502,0.436601,1.3739361979166667,317810
21-5,4,27,0.329509,0.845542,1.4058767395833336,317810
21-3,4,33,0.095501,12.713919,1.2541658229166668,5702886
21-2,4,34,0.04975,17.20217,1.28958365625,9227464
21-1,4,34,0.000225,16.953629,1.24374484375,9227464
22-5,4,26,0.364402,0.352278,1.2114598437500002,196417
22-1,4,35,0.000302,25.909318,1.2687509166666666,14930351
22-2,4,33,0.026287,17.282976,1.243749270833333,5702886
22-3,4,34,0.079356,23.060385,1.2729163645833332,9227464
22-4,4,34,0.17099,24.432565,1.2197915000000001,9227464
23-2,4,25,0.044479,0.242511,1.2635438333333333,121392
23-4,4,26,0.278357,0.745735,1.2145842916666667,196417
23-5,4,33,0.328893,12.33402,1.2437527812499998,5702886
23-3,4,35,0.095442,19.259204,1.23958409375,14930351
23-1,4,34,0.000291,18.093656,1.2395825104166667,9227464
24-3,4,31,0.122967,6.161134,1.215629833333333,2178308
24-2,4,26,0.031508,0.360748,1.2406261770833333,196417
24-4,4,33,0.20935,12.029068,1.2572930416666666,5702886
24-5,4,32,0.402729,8.257101,1.2447901041666667,3524577
24-1,4,33,0.000288,12.103548,1.2573099479166667,5702886
25-1,4,27,0.000306,0.256084,1.2969151979166667,317810
25-4,4,28,0.196778,1.265146,1.2291679479166666,514228
25-5,4,28,0.302782,1.257021,1.2291700520833333,514228
25-3,4,34,0.130564,14.039782,1.2854057291666665,9227464
25-2,4,34,0.02885,14.056583,1.2999576875,9227464
26-3,4,35,0.073983,6.719783,1.2531248124999999,14930351
26-2,4,28,0.038331,1.674821,1.2145795520833333,514228
26-1,4,30,0.000269,2.707543,1.25729203125,1346268
26-5,4,25,0.328437,0.519513,1.21561403125,121392
26-4,4,30,0.165521,3.368024,1.2187496666666666,1346268
27-3,4,35,0.058465,5.821278,1.25520825,14930351
27-1,4,27,0.000269,0.553462,1.2220214791666668,317810
27-2,4,28,0.03248,1.189525,1.255177375,514228
27-4,4,29,0.080746,1.935617,1.2302084166666667,832039
27-5,4,29,0.131666,2.323998,1.2552087812500001,832039
28-5,4,32,0.190642,4.986059,1.22604215625,3524577
28-2,4,25,0.042586,0.127487,1.25675796875,121392
28-4,4,30,0.170141,3.756834,1.2302083437499998,1346268
28-1,4,29,0.000265,3.026228,1.23020753125,832039
28-3,4,31,0.078268,4.774196,1.22812559375,2178308
29-2,4,26,0.037662,0.234191,1.23019703125,196417
29-3,4,30,0.098696,2.581724,1.2010417500000001,1346268
29-5,4,29,0.623534,2.484441,1.23021078125,832039
29-4,4,34,0.343533,14.339194,1.2847417604166664,9227464
29-1,4,34,0.0003,14.441966,1.2781247291666666,9227464
30-3,4,31,0.069354,7.491439,1.2520899687500002,2178308
30-5,4,35,0.242382,26.904143,1.2645846354166668,14930351
30-4,4,33,0.13043,17.764979,1.23854165625,5702886
30-1,4,34,0.000309,25.005046,1.23854125,9227464
30-2,4,34,0.037755,25.683556,1.2447918020833335,9227464
31-3,4,27,0.15198,0.454855,1.2541624166666665,317810
31-2,4,33,0.035279,12.74652,1.2812399791666667,5702886
31-1,4,32,0.000304,9.215375,1.2968744583333331,3524577
31-5,4,35,0.289582,18.120307,1.2822907708333335,14930351
31-4,4,33,0.213104,16.446485,1.3218491145833333,5702886
32-1,4,34,0.000255,3.164865,1.2781252499999998,9227464
32-4,4,25,0.125644,0.560238,1.2531240520833333,121392
32-3,4,26,0.107165,0.272191,1.2239583333333335,196417
32-5,4,25,0.16299,0.438755,1.2239599270833332,121392
32-2,4,28,0.030913,0.964083,1.2302072499999999,514228
33-3,4,27,0.145872,1.001594,1.2255269375,317810
33-1,4,29,0.000279,1.058161,1.22395834375,832039
33-5,4,31,0.541941,4.385645,1.2031272708333334,2178308
33-2,4,31,0.039865,5.237583,1.2031375520833332,2178308
33-4,4,31,0.374084,4.896289,1.2031366354166666,2178308
34-3,4,27,0.080059,1.035091,1.2593723229166667,317810
34-2,4,27,0.034234,0.563409,1.2322943541666667,317810
34-4,4,26,0.16146,0.264331,1.2322963958333335,196417
34-1,4,35,0.000214,11.07478,1.2874984999999999,14930351
34-5,4,33,0.430979,8.372177,1.2541669791666665,5702886
35-1,4,27,0.000284,0.194679,1.2416708958333331,317810
35-5,4,27,0.205405,0.77877,1.257293989583333,317810
35-3,4,34,0.080768,6.975163,1.2822920416666668,9227464
35-4,4,27,0.167192,1.000626,1.2572919791666666,317810
35-2,4,32,0.047028,5.543565,1.23557525,3524577
36-3,4,28,0.088742,2.242058,1.2437482395833332,514228
36-5,4,30,0.216745,4.262639,1.24375096875,1346268
36-1,4,31,0.000249,5.716641,1.2448147187499998,2178308
36-4,4,34,0.115013,15.787538,1.2458321354166666,9227464
36-2,4,35,0.049595,17.141437,1.2395842708333331,14930351
37-5,4,27,0.494841,2.05976,1.2031252291666668,317810
37-3,4,35,0.07754,11.58275,1.2645842916666665,14930351
37-1,4,30,0.000286,2.965122,1.2031270104166667,1346268
37-2,4,32,0.041831,7.72844,1.2770830625,3524577
37-4,4,32,0.138664,8.714249,1.270839,3524577
38-3,4,32,0.048647,2.782656,1.2281248229166668,3524577
38-1,4,25,0.000273,0.055708,1.3474692708333336,121392
38-2,4,28,0.03141,0.96594,1.318749385416667,514228
38-4,4,29,0.212095,1.696482,1.2708351041666668,832039
38-5,4,29,0.243262,1.849452,1.2999996875,832039
39-4,4,28,0.152916,2.156065,1.2281233229166668,514228
39-1,4,30,0.000246,4.086669,1.2270839062499999,1346268
39-5,4,35,0.315701,15.854934,1.28437590625,14930351
39-2,4,33,0.045968,13.380826,1.23229240625,5702886
39-3,4,33,0.071492,13.9654,1.2572913229166665,5702886
40-2,4,29,0.024303,1.550319,1.2145833020833334,832039
40-3,4,29,0.192015,3.104518,1.2010706145833332,832039
40-4,4,34,0.518527,19.164696,1.2010474375000002,9227464
40-1,4,35,0.00028,28.427709,1.2260419375000002,14930351
40-5,4,35,0.757956,27.269783,1.2677208229166668,14930351
41-1,4,25,0.000276,0.066342,1.2818350625000001,121392
41-5,4,28,0.315228,1.161487,1.2302028958333333,514228
41-3,4,35,0.071939,13.312359,1.2552089687499999,14930351
41-2,4,32,0.022526,8.364097,1.2302087291666666,3524577
41-4,4,33,0.108051,10.956282,1.2552090729166667,5702886
42-2,4,25,0.0372,0.151655,1.2593678854166668,121392
42-1,4,26,0.000322,0.107456,1.2593675625,196417
42-4,4,30,0.118147,2.302482,1.2145842395833333,1346268
42-5,4,34,0.199309,14.532592,1.2864510208333333,9227464
42-3,4,35,0.072923,15.987113,1.2937529895833333,14930351
43-3,4,35,0.079379,4.986655,1.3218752395833335,14930351
43-2,4,26,0.045152,0.181555,1.2697899166666669,196417
43-1,4,26,0.000289,0.065123,1.2947915937499999,196417
43-5,4,28,0.186792,0.597632,1.26770815625,514228
43-4,4,29,0.145583,1.44841,1.26458353125,832039
44-5,4,34,0.18319,8.588092,1.2927069791666665,9227464
44-1,4,30,0.000147,2.742733,1.2812393750000002,1346268
44-2,4,27,0.023894,1.584443,1.23854184375,317810
44-3,4,30,0.045705,3.454698,1.270873625,1346268
44-4,4,32,0.086481,7.268257,1.2750008020833334,3524577
45-4,4,26,0.148362,0.648732,1.2250022395833335,196417
45-5,4,34,0.214578,17.739261,1.2499970624999999,9227464
45-2,4,33,0.036338,14.322641,1.2541676354166666,5702886
45-1,4,33,0.000286,15.466657,1.25416734375,5702886
45-3,4,33,0.092396,17.193434,1.250009625,5702886
46-4,4,33,0.12688,6.29661,1.283333541666667,5702886
46-2,4,28,0.025068,1.384483,1.2687416666666667,514228
46-5,4,27,0.427138,0.982884,1.2395833541666668,317810
46-1,4,28,0.000277,1.023481,1.2687448645833332,514228
46-3,4,32,0.070866,5.669576,1.2541727812499999,3524577
47-5,4,34,0.270793,5.35469,1.28020315625,9227464
47-2,4,26,0.041795,0.749237,1.2328107916666666,196417
47-3,4,27,0.082552,0.709787,1.2322923229166665,317810
47-4,4,29,0.240136,2.168832,1.2552045937500003,832039
47-1,4,31,0.000283,3.827717,1.239583,2178308
48-3,4,25,0.113783,0.249374,1.2677085729166668,121392
48-5,4,30,0.363254,3.595769,1.2843708645833334,1346268
48-2,4,31,0.027532,5.781928,1.2729154375,2178308
48-4,4,35,0.154641,12.935311,1.3093755104166669,14930351
48-1,4,33,0.00028,10.811942,1.3090564895833332,5702886
49-5,4,25,0.32167,0.635771,1.2552099479166667,121392
49-2,4,30,0.031726,2.976133,1.2260416354166666,1346268
49-4,4,34,0.194395,20.54363,1.25937934375,9227464
49-3,4,35,0.118144,28.323006,1.23426,14930351
49-1,4,35,0.000311,27.975161,1.2552083020833331,14930351
50-2,4,34,0.045725,3.317958,1.2843771354166669,9227464
50-4,4,25,0.157679,0.323587,1.2218777083333332,121392
50-5,4,26,0.26981,0.384938,1.21458328125,196417
50-3,4,25,0.101712,0.203979,1.2145835,121392
50-1,4,29,0.000285,1.219471,1.2843817708333334,832039
51-4,4,27,0.135563,0.488111,1.2010437708333332,317810
51-5,4,32,0.634191,5.393789,1.2592739062500002,3524577
51-2,4,30,0.024901,3.629446,1.2729135625,1346268
51-1,4,35,0.000312,10.485339,1.2843760416666667,14930351
