Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,2,2.9536,1.6621,57.8413,106.86
Existing-2,2,2.966,1.6951,61.4555,106.86
WithNew-3,2,4.477,1.4333,57.8413,106.86
WithNew-2,2,4.487,1.4115,61.4555,106.86
WithNew-1,2,4.6543,1.5032,57.8413,106.86
Existing-2,2,2.1153,1.6094,35.3044,312.36
Existing-1,2,2.3573,1.5917,61.4555,106.86
WithNew-3,2,3.4283,1.4437,60.5415,123.3
WithNew-1,2,3.5511,1.6033,61.4555,106.86
WithNew-2,2,3.8778,1.5389,35.3044,312.36
Existing-2,2,1.2359,1.414,11.7294,106.86
Existing-1,2,2.3579,1.3558,57.8413,106.86
WithNew-2,2,1.7323,1.4088,11.7294,106.86
WithNew-3,2,1.7331,1.4087,6.8019,82.2
WithNew-1,2,2.8879,1.3182,57.8413,106.86
Existing-2,2,1.2626,1.7604,11.7294,106.86
Existing-1,2,2.3041,1.5021,60.5415,123.3
WithNew-3,2,1.8617,1.4174,6.8019,82.2
WithNew-2,2,1.9228,1.4291,11.7294,106.86
WithNew-1,2,3.1108,1.398,60.5415,123.3
Existing-2,2,0.7303,1.7603,6.8019,82.2
Existing-1,2,1.5707,1.5511,35.3044,312.36
WithNew-2,2,1.1536,1.508,6.8019,82.2
WithNew-1,2,2.8725,1.3479,35.3044,312.36
WithNew-3,2,3.0142,1.375,61.4555,106.86
Existing-2,2,0.7908,1.725,6.8019,82.2
Existing-1,2,0.9506,1.6563,16.2015,41.1
WithNew-2,2,1.3141,1.8165,6.8019,82.2
WithNew-3,2,1.5179,1.6765,16.2015,41.1
WithNew-1,2,1.6839,1.6583,16.2015,41.1
Existing-2,2,0.6988,1.8003,6.8019,82.2
Existing-1,2,1.7094,1.662,35.3044,312.36
WithNew-3,2,1.4318,1.4696,16.2015,41.1
WithNew-2,2,1.4377,1.4441,6.8019,82.2
WithNew-1,2,2.3144,1.4584,35.3044,312.36
Existing-2,2,2.4962,1.5353,35.3044,312.36
Existing-1,2,2.6401,1.5157,61.4555,106.86
WithNew-3,2,2.0461,1.375,6.8019,82.2
WithNew-1,2,3.4673,1.3212,61.4555,106.86
WithNew-2,2,3.4887,1.3307,35.3044,312.36
Existing-1,2,0.868,1.7623,11.7294,106.86
Existing-2,2,1.5933,1.6089,35.3044,312.36
WithNew-1,2,2.2529,1.5165,11.7294,106.86
WithNew-3,2,3.3688,1.4884,57.8413,106.86
WithNew-2,2,3.4659,1.5529,35.3044,312.36
Existing-1,2,3.2658,1.5355,61.4555,106.86
Existing-2,2,3.2654,1.5355,62.6262,131.52
WithNew-1,2,4.2737,1.3986,61.4555,106.86
WithNew-2,2,4.622,1.4438,62.6262,131.52
WithNew-3,2,4.6345,1.4266,57.8413,106.86
Existing-1,2,3.2137,1.6376,60.5415,123.3
Existing-2,2,3.2273,1.6354,57.8413,106.86
WithNew-1,2,4.4531,1.3677,60.5415,123.3
WithNew-2,2,4.4668,1.4224,57.8413,106.86
WithNew-3,2,4.6808,1.4146,57.8413,106.86
Existing-1,2,1.3515,1.5573,16.2015,41.1
Existing-2,2,2.7705,1.551,60.5415,123.3
WithNew-1,2,1.8025,1.4208,16.2015,41.1
WithNew-3,2,2.1236,1.4379,26.1889,73.98
WithNew-2,2,3.471,1.4605,60.5415,123.3
Existing-1,2,2.9119,1.2968,61.4555,106.86
Existing-2,2,2.9254,1.2733,57.8413,106.86
WithNew-3,2,3.0207,1.4719,35.3044,312.36
WithNew-2,2,3.3266,1.4412,57.8413,106.86
WithNew-1,2,3.4618,1.4345,61.4555,106.86
Existing-1,2,0.9346,1.7854,6.8019,82.2
Existing-2,2,2.3474,1.6074,57.8413,106.86
WithNew-1,2,1.9607,1.439,6.8019,82.2
WithNew-3,2,2.7205,1.4293,26.1889,73.98
WithNew-2,2,3.634,1.4115,57.8413,106.86
Existing-1,2,3.0418,1.6786,61.4555,106.86
Existing-2,2,3.0449,1.6786,62.6262,131.52
WithNew-3,2,2.5101,1.5025,26.1889,73.98
WithNew-1,2,3.6619,1.4573,61.4555,106.86
WithNew-2,2,3.9361,1.473,62.6262,131.52
Existing-2,2,1.1356,1.7302,16.2015,41.1
Existing-1,2,2.4729,1.6198,62.6262,131.52
WithNew-2,2,1.5483,1.3383,16.2015,41.1
WithNew-1,2,2.9607,1.2907,62.6262,131.52
WithNew-3,2,2.9427,1.3083,35.3044,312.36
Existing-2,2,1.3414,1.7271,16.2015,41.1
Existing-1,2,2.5733,1.5002,60.5415,123.3
WithNew-2,2,2.1889,1.5674,16.2015,41.1
WithNew-3,2,3.4951,1.4374,60.5415,123.3
