Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,2,0.8755,1.7417,6.8019,82.2
Existing-2,2,2.3018,1.5938,61.4555,106.86
WithNew-1,2,1.2704,1.5856,6.8019,82.2
WithNew-3,2,1.8542,1.5734,26.1889,73.98
WithNew-2,2,2.7656,1.5393,61.4555,106.86
Existing-1,2,1.1128,1.7604,11.7294,106.86
Existing-2,2,2.3852,1.6449,60.5415,123.3
WithNew-1,2,2.188,1.8304,11.7294,106.86
WithNew-3,2,3.5909,1.5312,57.8413,106.86
WithNew-2,2,3.6003,1.5469,60.5415,123.3
Existing-1,2,0.7863,1.6972,6.8019,82.2
Existing-2,2,1.0289,1.5709,16.2015,41.1
WithNew-1,2,1.2065,1.8732,6.8019,82.2
WithNew-3,2,1.2626,1.7633,11.7294,106.86
WithNew-2,2,1.4195,1.6367,16.2015,41.1
Existing-2,2,2.8699,1.6172,60.5415,123.3
Existing-1,2,2.8811,1.6128,57.8413,106.86
WithNew-1,2,3.4113,1.7057,57.8413,106.86
WithNew-2,2,4.5784,1.7414,60.5415,123.3
WithNew-3,2,4.602,1.6864,57.8413,106.86
Existing-1,2,2.9834,1.8122,60.5415,123.3
Existing-2,2,2.9877,1.8072,57.8413,106.86
WithNew-1,2,3.432,1.6964,60.5415,123.3
WithNew-2,2,3.4415,1.6826,57.8413,106.86
WithNew-3,2,3.4637,1.7427,35.3044,312.36
Existing-2,2,1.1885,1.7879,16.2015,41.1
Existing-1,2,1.8103,1.754,35.3044,312.36
WithNew-2,2,2.2247,1.7011,16.2015,41.1
WithNew-3,2,3.517,1.5436,60.5415,123.3
WithNew-1,2,3.6304,1.5404,35.3044,312.36
Existing-2,2,0.8959,1.8615,16.2015,41.1
Existing-1,2,1.7287,1.7561,35.3044,312.36
WithNew-2,2,1.8038,1.5428,16.2015,41.1
WithNew-3,2,3.184,1.4533,61.4555,106.86
WithNew-1,2,3.2858,1.4531,35.3044,312.36
Existing-1,2,1.5706,1.6982,26.1889,73.98
Existing-2,2,2.6143,1.548,62.6262,131.52
WithNew-1,2,2.7386,1.5325,26.1889,73.98
WithNew-3,2,3.8415,1.5032,61.4555,106.86
WithNew-2,2,4.1222,1.5114,62.6262,131.52
Existing-1,2,0.943,1.8283,16.2015,41.1
Existing-2,2,1.0484,1.6693,11.7294,106.86
WithNew-1,2,1.9541,1.5574,16.2015,41.1
WithNew-2,2,2.1176,1.5645,11.7294,106.86
WithNew-3,2,2.8824,1.5297,57.8413,106.86
Existing-2,2,2.6004,1.5139,57.8413,106.86
Existing-1,2,3.1741,1.5208,61.4555,106.86
WithNew-1,2,3.5781,1.3677,61.4555,106.86
WithNew-3,2,3.8588,1.3843,61.4555,106.86
WithNew-2,2,3.8694,1.4042,57.8413,106.86
Existing-1,2,1.4288,1.7375,26.1889,73.98
Existing-2,2,2.0088,1.6623,35.3044,312.36
WithNew-1,2,2.1579,1.5815,26.1889,73.98
WithNew-2,2,2.727,1.4469,35.3044,312.36
WithNew-3,2,3.2945,1.4872,61.4555,106.86
Existing-1,2,0.7411,1.9871,6.8019,82.2
Existing-2,2,1.0029,1.7878,11.7294,106.86
WithNew-1,2,1.2309,1.4797,6.8019,82.2
WithNew-2,2,1.3376,1.4649,11.7294,106.86
WithNew-3,2,2.6929,1.3605,61.4555,106.86
Existing-1,2,1.1409,1.4958,11.7294,106.86
Existing-2,2,2.5413,1.3804,62.6262,131.52
WithNew-3,2,1.7052,1.6469,16.2015,41.1
WithNew-1,2,1.8193,1.5772,11.7294,106.86
WithNew-2,2,3.0177,1.4707,62.6262,131.52
Existing-2,2,2.799,1.3957,62.6262,131.52
Existing-1,2,2.8237,1.4501,57.8413,106.86
WithNew-2,2,4.6323,1.4224,62.6262,131.52
WithNew-3,2,4.8986,1.4856,62.6262,131.52
WithNew-1,2,4.9156,1.4326,57.8413,106.86
Existing-1,2,3.0246,1.5917,62.6262,131.52
Existing-2,2,3.0386,1.5987,60.5415,123.3
WithNew-3,2,3.1342,1.398,35.3044,312.36
WithNew-2,2,3.4773,1.3687,60.5415,123.3
WithNew-1,2,4.0067,1.3823,62.6262,131.52
Existing-1,2,0.7478,1.8535,6.8019,82.2
Existing-2,2,1.6317,1.6056,35.3044,312.36
WithNew-1,2,1.4712,1.8006,6.8019,82.2
WithNew-3,2,2.9949,1.5866,57.8413,106.86
WithNew-2,2,3.0948,1.5397,35.3044,312.36
Existing-1,2,1.4162,1.823,11.7294,106.86
Existing-2,2,2.4904,1.6053,60.5415,123.3
WithNew-3,2,1.6277,1.7053,16.2015,41.1
WithNew-1,2,2.0358,1.6563,11.7294,106.86
WithNew-2,2,3.1835,1.5083,60.5415,123.3
Existing-2,2,0.8385,1.7238,6.8019,82.2
Existing-1,2,0.9713,1.5589,16.2015,41.1
WithNew-2,2,1.6817,1.589,6.8019,82.2
WithNew-1,2,2.0253,1.5209,16.2015,41.1
WithNew-3,2,3.2407,1.4063,61.4555,106.86
