Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,2,0.7154,1.7921,6.8019,82.2
Existing-2,2,2.3133,1.6912,61.4555,106.86
WithNew-1,2,1.2833,1.7547,6.8019,82.2
WithNew-3,2,1.5392,1.6802,6.8019,82.2
WithNew-2,2,2.8629,1.672,61.4555,106.86
Existing-1,2,2.8888,1.6942,57.8413,106.86
Existing-2,2,2.8883,1.6942,61.4555,106.86
WithNew-2,2,4.1563,1.4002,61.4555,106.86
WithNew-3,2,4.1591,1.4002,57.8413,106.86
WithNew-1,2,4.2765,1.4544,57.8413,106.86
Existing-2,2,2.038,1.7097,35.3044,312.36
Existing-1,2,2.5053,1.7083,62.6262,131.52
WithNew-2,2,3.1596,1.5754,35.3044,312.36
WithNew-1,2,3.532,1.6764,62.6262,131.52
WithNew-3,2,3.5352,1.6764,60.5415,123.3
Existing-1,2,3.0667,1.7236,60.5415,123.3
Existing-2,2,3.0785,1.739,57.8413,106.86
WithNew-3,2,1.754,1.6355,6.8019,82.2
WithNew-2,2,3.2981,1.4054,57.8413,106.86
WithNew-1,2,3.5953,1.4262,60.5415,123.3
Existing-2,2,1.0198,1.7459,11.7294,106.86
Existing-1,2,1.4757,1.7484,26.1889,73.98
WithNew-2,2,1.586,1.7365,11.7294,106.86
WithNew-1,2,2.1452,1.8246,26.1889,73.98
WithNew-3,2,3.0625,1.645,61.4555,106.86
Existing-1,2,3.0872,1.7756,60.5415,123.3
Existing-2,2,3.2232,1.7645,61.4555,106.86
WithNew-2,2,4.6064,1.6311,61.4555,106.86
WithNew-1,2,4.6158,1.6311,60.5415,123.3
WithNew-3,2,4.631,1.6297,60.5415,123.3
Existing-2,2,2.4637,1.6107,35.3044,312.36
Existing-1,2,2.6282,1.6239,60.5415,123.3
WithNew-2,2,3.3351,1.7277,35.3044,312.36
WithNew-1,2,3.661,1.5543,60.5415,123.3
WithNew-3,2,3.8408,1.628,62.6262,131.52
Existing-1,2,0.9663,1.7157,16.2015,41.1
Existing-2,2,1.4525,1.7684,26.1889,73.98
WithNew-1,2,1.9095,1.7268,16.2015,41.1
WithNew-3,2,2.2801,1.6375,26.1889,73.98
WithNew-2,2,2.3038,1.6979,26.1889,73.98
Existing-1,2,0.6938,2.0718,6.8019,82.2
Existing-2,2,1.5915,1.6833,35.3044,312.36
WithNew-1,2,1.4075,1.693,6.8019,82.2
WithNew-2,2,2.232,1.6689,35.3044,312.36
WithNew-3,2,2.2305,1.6689,35.3044,312.36
Existing-1,2,1.1051,1.9153,11.7294,106.86
Existing-2,2,2.2429,1.7335,57.8413,106.86
WithNew-3,2,1.213,1.7999,6.8019,82.2
WithNew-1,2,1.4978,1.7156,11.7294,106.86
WithNew-2,2,2.6907,1.7122,57.8413,106.86
Existing-1,2,0.839,1.5917,11.7294,106.86
Existing-2,2,1.0271,1.598,16.2015,41.1
WithNew-2,2,1.7082,2.0439,16.2015,41.1
WithNew-1,2,1.8503,1.8202,11.7294,106.86
WithNew-3,2,2.9396,1.7767,61.4555,106.86
Existing-2,2,1.0418,1.6928,11.7294,106.86
Existing-1,2,2.1421,1.6258,57.8413,106.86
WithNew-3,2,1.4217,1.796,6.8019,82.2
WithNew-2,2,1.5112,1.7766,11.7294,106.86
WithNew-1,2,2.7953,1.7431,57.8413,106.86
Existing-1,2,3.442,1.7493,62.6262,131.52
Existing-2,2,3.4471,1.7713,61.4555,106.86
WithNew-3,2,1.8497,1.6458,6.8019,82.2
WithNew-2,2,3.1692,1.6799,61.4555,106.86
WithNew-1,2,4.0401,1.6876,62.6262,131.52
Existing-2,2,2.2786,1.7761,35.3044,312.36
Existing-1,2,2.5189,1.8676,62.6262,131.52
WithNew-2,2,3.5511,1.7501,35.3044,312.36
WithNew-1,2,3.7154,1.6054,62.6262,131.52
WithNew-3,2,3.7225,1.6087,62.6262,131.52
Existing-2,2,2.7048,1.5579,35.3044,312.36
Existing-1,2,2.8091,1.5249,62.6262,131.52
WithNew-2,2,4.0834,1.6276,35.3044,312.36
WithNew-1,2,4.3482,1.7342,62.6262,131.52
WithNew-3,2,4.3735,1.7887,62.6262,131.52
Existing-2,2,2.9063,1.7293,60.5415,123.3
Existing-1,2,2.9205,1.7183,57.8413,106.86
WithNew-1,2,3.2996,1.54,57.8413,106.86
WithNew-2,2,3.6396,1.526,60.5415,123.3
WithNew-3,2,3.7385,1.4844,35.3044,312.36
Existing-1,2,2.2641,1.7901,35.3044,312.36
