round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
82	0.6588	0.5605	0.6588	1.7846	0.8334	1.7846	0.8946	0.6287	0.8946
83	0.6828	0.5781	0.6828	2.6135	0.9102	2.6135	1.0844	0.6708	1.0844
84	0.6946	0.5613	0.6946	3.0709	0.9341	3.0709	1.0621	0.6504	1.0621
85	0.6355	0.5469	0.6355	3.5595	1.0099	3.5595	1.2088	0.6885	1.2088
86	0.6144	0.5429	0.6144	2.4339	0.8857	2.4339	0.9802	0.6288	0.9802
87	0.6716	0.5579	0.6716	1.8247	0.8304	1.8247	0.9910	0.6456	0.9910
88	0.6351	0.5604	0.6351	2.9122	0.9341	2.9122	0.9937	0.6311	0.9937
89	0.6087	0.5498	0.6087	6.6604	1.3114	6.6604	1.5263	0.7248	1.5263
90	0.5775	0.5274	0.5775	4.5143	1.1343	4.5143	1.2589	0.6821	1.2589
91	0.6145	0.5413	0.6145	6.2071	1.2656	6.2071	1.3463	0.6796	1.3463
92	0.5426	0.5084	0.5426	1.5783	0.7718	1.5783	0.9890	0.6553	0.9890
93	0.5591	0.5207	0.5591	3.8377	1.0730	3.8377	1.1614	0.6666	1.1614
94	0.5754	0.5218	0.5754	7.3792	1.3573	7.3792	1.5054	0.6993	1.5054
95	0.6531	0.5433	0.6531	2.0509	0.7979	2.0509	0.9846	0.6520	0.9846
96	0.5512	0.5076	0.5512	1.5686	0.7730	1.5686	0.8627	0.6097	0.8627
97	0.5383	0.5131	0.5383	9.1147	1.5718	9.1147	1.6947	0.7164	1.6947
98	0.5385	0.5145	0.5385	1.3818	0.7981	1.3818	0.9013	0.6367	0.9013
99	0.5197	0.5106	0.5197	2.3620	0.8401	2.3620	1.0542	0.6561	1.0542
100	0.5658	0.5168	0.5658	2.5511	0.8040	2.5511	1.0123	0.6363	1.0123
