round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	49.4781	4.7101	49.4781	76.6247	5.6580	76.6247	56.7424	5.0107	56.7424
2	45.0360	4.4296	45.0360	61.3800	5.0627	61.3800	50.4624	4.7165	50.4624
3	42.6648	4.3760	42.6648	64.2943	5.1807	64.2943	49.0811	4.7031	49.0811
4	41.7589	4.3347	41.7589	65.1432	5.6455	65.1432	50.5710	4.7396	50.5710
5	41.4507	4.3073	41.4507	56.8663	4.8328	56.8663	46.8144	4.5423	46.8144
6	40.1177	4.2398	40.1177	49.6247	4.6251	49.6247	43.5362	4.4076	43.5362
7	38.9297	4.2255	38.9297	49.9594	4.6584	49.9594	42.7745	4.4183	42.7745
8	37.6015	4.1295	37.6015	49.6903	4.9491	49.6903	42.6167	4.4285	42.6167
9	36.1714	4.1195	36.1714	52.1178	5.0605	52.1178	42.6624	4.4280	42.6624
10	34.9814	4.0666	34.9814	54.4566	5.0348	54.4566	42.8828	4.4348	42.8828
11	35.0307	4.0096	35.0307	44.5773	4.3477	44.5773	38.4672	4.2023	38.4672
12	33.4861	3.9681	33.4861	48.0421	5.0210	48.0421	39.0788	4.2491	39.0788
13	34.0000	3.9467	34.0000	45.4438	4.4280	45.4438	38.9633	4.2184	38.9633
14	31.6616	3.8184	31.6616	45.0342	4.4384	45.0342	36.8609	4.1254	36.8609
15	30.6850	3.8518	30.6850	43.5948	4.3448	43.5948	35.9350	4.1230	35.9350
16	30.0289	3.7836	30.0289	37.4241	4.2085	37.4241	34.5494	4.0301	34.5494
17	28.8640	3.7981	28.8640	39.8140	4.4507	39.8140	33.4247	3.9802	33.4247
18	29.3755	3.6871	29.3755	38.1378	4.2159	38.1378	33.4057	3.9233	33.4057
19	28.8712	3.6952	28.8712	38.6235	4.2029	38.6235	33.3018	3.9406	33.3018
20	28.0131	3.6725	28.0131	50.5464	4.9388	50.5464	34.5143	3.9812	34.5143
21	28.2127	3.6792	28.2127	34.1739	4.0401	34.1739	31.5395	3.8450	31.5395
22	28.3127	3.6620	28.3127	35.6764	4.0521	35.6764	32.5464	3.8899	32.5464
23	26.9283	3.6151	26.9283	35.0356	4.0064	35.0356	30.8055	3.8204	30.8055
24	27.1096	3.6080	27.1096	33.5899	4.2019	33.5899	31.4357	3.8608	31.4357
25	26.7839	3.5854	26.7839	40.2068	4.2004	40.2068	31.8009	3.8792	31.8009
26	26.5332	3.5630	26.5332	36.7262	4.0378	36.7262	30.3519	3.7747	30.3519
27	26.3706	3.5637	26.3706	36.4988	4.1285	36.4988	31.5163	3.8558	31.5163
28	26.6520	3.5985	26.6520	37.4140	4.2412	37.4140	31.0668	3.8294	31.0668
29	26.6405	3.5751	26.6405	37.7786	4.0741	37.7786	30.7097	3.8003	30.7097
30	27.1454	3.5600	27.1454	37.1716	3.9482	37.1716	30.6248	3.7663	30.6248
