round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	14.6247	2.7314	14.6247	35.8009	4.3670	35.8009	19.6279	3.1011	19.6279
2	13.3161	2.6408	13.3161	19.0300	2.9774	19.0300	15.1163	2.7640	15.1163
3	12.4295	2.5723	12.4295	23.6166	3.6072	23.6166	15.0928	2.7726	15.0928
4	11.8211	2.5342	11.8211	17.7634	3.0729	17.7634	13.8723	2.6918	13.8723
5	10.8075	2.4182	10.8075	13.8317	2.6572	13.8317	11.9905	2.5176	11.9905
6	10.3253	2.3806	10.3253	17.6693	3.0811	17.6693	13.2127	2.6093	13.2127
7	10.2464	2.3766	10.2464	17.7955	3.1070	17.7955	12.4341	2.5670	12.4341
8	9.2197	2.2610	9.2197	12.4509	2.5482	12.4509	10.3823	2.3691	10.3823
9	8.8682	2.2332	8.8682	17.8653	3.0763	17.8653	10.9657	2.4137	10.9657
10	8.7369	2.2041	8.7369	13.5906	2.7211	13.5906	10.2418	2.3519	10.2418
11	7.9527	2.1171	7.9527	11.2616	2.4401	11.2616	9.7251	2.2855	9.7251
12	7.7145	2.0653	7.7145	12.0301	2.5244	12.0301	9.3958	2.2487	9.3958
13	7.3979	2.0330	7.3979	10.4388	2.3382	10.4388	8.9085	2.1904	8.9085
14	7.0975	1.9854	7.0975	10.2694	2.3408	10.2694	8.3971	2.1296	8.3971
15	6.8858	1.9497	6.8858	10.9845	2.4003	10.9845	8.4871	2.1341	8.4871
16	6.6014	1.9130	6.6014	9.1877	2.1808	9.1877	7.8708	2.0661	7.8708
17	6.4354	1.8937	6.4354	8.6332	2.1713	8.6332	7.6967	2.0475	7.6967
18	6.2423	1.8694	6.2423	8.8972	2.1922	8.8972	7.4133	2.0068	7.4133
19	6.0435	1.8382	6.0435	8.9826	2.1662	8.9826	7.2053	1.9875	7.2053
20	5.9158	1.8230	5.9158	8.3158	2.0694	8.3158	7.0623	1.9596	7.0623
21	5.8976	1.8180	5.8976	10.5156	2.3641	10.5156	7.6251	2.0270	7.6251
22	5.6869	1.7812	5.6869	8.0256	2.0519	8.0256	6.6638	1.9146	6.6638
23	5.5047	1.7621	5.5047	7.7647	2.0529	7.7647	6.6120	1.9107	6.6120
24	5.5592	1.7597	5.5592	9.6349	2.2469	9.6349	6.9358	1.9387	6.9358
25	5.3317	1.7415	5.3317	7.8356	2.0282	7.8356	6.2659	1.8670	6.2659
26	5.2696	1.7309	5.2696	7.6052	2.0158	7.6052	6.4073	1.8808	6.4073
27	5.5588	1.7799	5.5588	8.9446	2.1633	8.9446	6.6546	1.9092	6.6546
28	5.1953	1.7185	5.1953	7.6635	2.0071	7.6635	6.3024	1.8646	6.3024
