round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	1.7924	1.0168	1.7924	2.1531	1.1273	2.1531	1.9817	1.0527	1.9817
2	1.6169	0.9598	1.6169	2.0240	1.0907	2.0240	1.7506	0.9856	1.7506
3	1.4003	0.8872	1.4003	2.5188	1.2516	2.5188	1.6755	0.9635	1.6755
4	1.1407	0.7831	1.1407	1.3485	0.8867	1.3485	1.2243	0.8115	1.2243
5	0.9301	0.6952	0.9301	1.8364	1.0626	1.8364	1.0760	0.7505	1.0760
6	0.8025	0.6435	0.8025	1.0808	0.7316	1.0808	0.8692	0.6687	0.8692
7	0.6666	0.5858	0.6666	1.1694	0.8702	1.1694	0.7637	0.6475	0.7637
8	0.4945	0.5081	0.4945	0.7346	0.6188	0.7346	0.5435	0.5234	0.5435
9	0.3986	0.4591	0.3986	0.8953	0.7083	0.8953	0.5013	0.5112	0.5013
10	0.2971	0.4071	0.2971	0.3741	0.4596	0.3741	0.3210	0.4174	0.3210
11	0.2813	0.3985	0.2813	0.3497	0.4481	0.3497	0.2996	0.4117	0.2996
12	0.2351	0.3692	0.2351	0.3418	0.4294	0.3418	0.2586	0.3807	0.2586
13	0.2848	0.3995	0.2848	0.3580	0.4405	0.3580	0.2639	0.3878	0.2639
14	0.2140	0.3573	0.2140	0.2457	0.3740	0.2457	0.2262	0.3633	0.2262
15	0.2144	0.3546	0.2144	0.7137	0.6589	0.7137	0.3247	0.4255	0.3247
16	0.2415	0.3632	0.2415	0.2792	0.3984	0.2792	0.2406	0.3721	0.2406
17	0.1940	0.3379	0.1940	0.2270	0.3626	0.2270	0.2089	0.3491	0.2089
18	0.2788	0.3861	0.2788	0.7103	0.6219	0.7103	0.2806	0.3916	0.2806
19	0.1881	0.3334	0.1881	0.2215	0.3554	0.2215	0.2038	0.3455	0.2038
20	0.1891	0.3361	0.1891	0.4249	0.4961	0.4249	0.2533	0.3803	0.2533
21	0.2001	0.3387	0.2001	0.2975	0.4249	0.2975	0.2288	0.3643	0.2288
22	0.1941	0.3328	0.1941	0.2530	0.3716	0.2530	0.2120	0.3486	0.2120
23	0.1947	0.3363	0.1947	0.3490	0.4608	0.3490	0.2262	0.3655	0.2262
24	0.1954	0.3302	0.1954	0.3153	0.4150	0.3153	0.2093	0.3460	0.2093
25	0.1839	0.3279	0.1839	0.2331	0.3629	0.2331	0.2005	0.3422	0.2005
26	0.1780	0.3131	0.1780	0.2487	0.3773	0.2487	0.2053	0.3440	0.2053
27	0.1784	0.3212	0.1784	0.5364	0.5505	0.5364	0.2390	0.3675	0.2390
28	0.1864	0.3204	0.1864	0.3587	0.4485	0.3587	0.2203	0.3563	0.2203
29	0.1743	0.3237	0.1743	0.1978	0.3374	0.1978	0.1828	0.3272	0.1828
30	0.1787	0.3167	0.1787	0.2610	0.3785	0.2610	0.2042	0.3444	0.2042
31	0.1973	0.3363	0.1973	0.2538	0.3787	0.2538	0.2086	0.3447	0.2086
32	0.1701	0.3183	0.1701	0.2219	0.3481	0.2219	0.1865	0.3301	0.1865
33	0.1742	0.3192	0.1742	0.2374	0.3843	0.2374	0.2043	0.3446	0.2043
34	0.1835	0.3171	0.1835	0.2584	0.3734	0.2584	0.2026	0.3402	0.2026
35	0.1737	0.3238	0.1737	0.2025	0.3459	0.2025	0.1854	0.3310	0.1854
36	0.2039	0.3317	0.2039	0.4043	0.4698	0.4043	0.2183	0.3516	0.2183
37	0.1648	0.3207	0.1648	0.2058	0.3472	0.2058	0.1770	0.3248	0.1770
38	0.1628	0.3073	0.1628	0.2603	0.3915	0.2603	0.1975	0.3410	0.1975
39	0.1689	0.3153	0.1689	0.3253	0.4134	0.3253	0.2053	0.3458	0.2053
40	0.1686	0.3111	0.1686	0.2545	0.3743	0.2545	0.1897	0.3292	0.1897
41	0.1644	0.3087	0.1644	0.4379	0.4780	0.4379	0.2155	0.3477	0.2155
42	0.1656	0.3144	0.1656	0.1906	0.3413	0.1906	0.1777	0.3249	0.1777
43	0.1535	0.3057	0.1535	0.2846	0.3923	0.2846	0.1971	0.3402	0.1971
44	0.1715	0.3068	0.1715	0.3136	0.4213	0.3136	0.1964	0.3364	0.1964
45	0.1535	0.3054	0.1535	0.2092	0.3401	0.2092	0.1755	0.3209	0.1755
46	0.1618	0.3017	0.1618	0.2173	0.3454	0.2173	0.1814	0.3234	0.1814
47	0.1569	0.3156	0.1569	0.2015	0.3503	0.2015	0.1725	0.3207	0.1725
48	0.1556	0.3021	0.1556	0.2343	0.3670	0.2343	0.1862	0.3292	0.1862
49	0.1550	0.3055	0.1550	0.1978	0.3447	0.1978	0.1749	0.3229	0.1749
50	0.1713	0.3096	0.1713	0.2963	0.3928	0.2963	0.1859	0.3272	0.1859
51	0.1527	0.3027	0.1527	0.2298	0.3658	0.2298	0.1763	0.3238	0.1763
52	0.1584	0.3015	0.1584	0.2256	0.3521	0.2256	0.1785	0.3261	0.1785
53	0.1489	0.3018	0.1489	0.2344	0.3602	0.2344	0.1760	0.3213	0.1760
54	0.1488	0.2993	0.1488	0.3209	0.4552	0.3209	0.1971	0.3377	0.1971
55	0.1489	0.2958	0.1489	0.2097	0.3547	0.2097	0.1825	0.3304	0.1825
56	0.1490	0.2958	0.1490	0.2758	0.3899	0.2758	0.1795	0.3213	0.1795
57	0.1434	0.2962	0.1434	0.2137	0.3515	0.2137	0.1781	0.3247	0.1781
58	0.1563	0.2993	0.1563	0.2155	0.3434	0.2155	0.1763	0.3193	0.1763
59	0.1435	0.2963	0.1435	0.2118	0.3407	0.2118	0.1700	0.3161	0.1700
60	0.1517	0.2975	0.1517	0.3063	0.4263	0.3063	0.1831	0.3279	0.1831
61	0.1413	0.2949	0.1413	0.2082	0.3427	0.2082	0.1752	0.3211	0.1752
62	0.1425	0.2945	0.1425	0.2814	0.3910	0.2814	0.1955	0.3364	0.1955
63	0.1473	0.2974	0.1473	0.2016	0.3474	0.2016	0.1798	0.3242	0.1798
64	0.1422	0.2898	0.1422	0.2974	0.4193	0.2974	0.1858	0.3299	0.1858
65	0.1415	0.2959	0.1415	0.1936	0.3325	0.1936	0.1657	0.3122	0.1657
66	0.1426	0.2942	0.1426	0.2587	0.3859	0.2587	0.1747	0.3192	0.1747
67	0.1443	0.2939	0.1443	0.2204	0.3489	0.2204	0.1780	0.3214	0.1780
68	0.1492	0.3096	0.1492	0.3152	0.4436	0.3152	0.1823	0.3302	0.1823
69	0.1482	0.2946	0.1482	0.3023	0.3963	0.3023	0.1851	0.3242	0.1851
70	0.1456	0.2915	0.1456	0.2212	0.3545	0.2212	0.1768	0.3187	0.1768
71	0.1427	0.2966	0.1427	0.1920	0.3323	0.1920	0.1631	0.3086	0.1631
72	0.1466	0.2934	0.1466	0.2103	0.3412	0.2103	0.1690	0.3155	0.1690
73	0.1429	0.2925	0.1429	0.1983	0.3313	0.1983	0.1629	0.3100	0.1629
74	0.1470	0.2964	0.1470	0.2069	0.3425	0.2069	0.1782	0.3221	0.1782
75	0.1457	0.2975	0.1457	0.1952	0.3281	0.1952	0.1680	0.3145	0.1680
76	0.1412	0.2932	0.1412	0.1946	0.3351	0.1946	0.1731	0.3207	0.1731
77	0.1485	0.2978	0.1485	0.4150	0.4993	0.4150	0.2053	0.3440	0.2053
78	0.1432	0.2954	0.1432	0.1934	0.3399	0.1934	0.1723	0.3192	0.1723
79	0.1471	0.2936	0.1471	0.2370	0.3635	0.2370	0.1741	0.3178	0.1741
80	0.1458	0.2956	0.1458	0.1960	0.3421	0.1960	0.1721	0.3164	0.1721
81	0.1496	0.2975	0.1496	0.2170	0.3528	0.2170	0.1766	0.3206	0.1766
82	0.1457	0.2996	0.1457	0.2047	0.3539	0.2047	0.1695	0.3184	0.1695
83	0.1571	0.3018	0.1571	0.2101	0.3369	0.2101	0.1708	0.3163	0.1708
84	0.1453	0.2970	0.1453	0.1859	0.3215	0.1859	0.1642	0.3114	0.1642
85	0.1554	0.3002	0.1554	0.2209	0.3539	0.2209	0.1798	0.3225	0.1798
86	0.1445	0.2986	0.1445	0.1915	0.3297	0.1915	0.1659	0.3118	0.1659
87	0.1545	0.3013	0.1545	0.2242	0.3502	0.2242	0.1733	0.3168	0.1733
88	0.1475	0.2942	0.1475	0.2513	0.3807	0.2513	0.1794	0.3207	0.1794
89	0.1480	0.2966	0.1480	0.2159	0.3441	0.2159	0.1760	0.3214	0.1760
90	0.1453	0.2928	0.1453	0.2009	0.3374	0.2009	0.1686	0.3144	0.1686
91	0.1469	0.2984	0.1469	0.1996	0.3410	0.1996	0.1733	0.3194	0.1733
92	0.1512	0.2994	0.1512	0.2084	0.3396	0.2084	0.1727	0.3181	0.1727
93	0.1458	0.2976	0.1458	0.2004	0.3371	0.2004	0.1681	0.3131	0.1681
94	0.1598	0.3060	0.1598	0.2345	0.3634	0.2345	0.1793	0.3214	0.1793
95	0.1453	0.2983	0.1453	0.2243	0.3612	0.2243	0.1732	0.3180	0.1732
96	0.1666	0.3085	0.1666	0.2584	0.3780	0.2584	0.1841	0.3259	0.1841
97	0.1449	0.2982	0.1449	0.1786	0.3189	0.1786	0.1659	0.3130	0.1659
98	0.1492	0.2975	0.1492	0.2192	0.3457	0.2192	0.1759	0.3199	0.1759
99	0.1503	0.2959	0.1503	0.2668	0.3883	0.2668	0.1801	0.3226	0.1801
100	0.1418	0.2922	0.1418	0.2794	0.3922	0.2794	0.1797	0.3229	0.1797
