round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	27.8143	3.4454	27.8143	86.8631	6.7650	86.8631	42.2998	4.2438	42.2998
2	22.4844	3.0553	22.4844	29.3229	3.5782	29.3229	25.0375	3.2435	25.0375
3	21.0875	2.9774	21.0875	47.6596	4.9071	47.6596	28.9348	3.5279	28.9348
4	20.6010	2.9700	20.6010	26.2726	3.4377	26.2726	23.1176	3.1576	23.1176
5	18.9544	2.8688	18.9544	24.1844	3.2165	24.1844	21.7709	3.0832	21.7709
6	18.5762	2.8401	18.5762	47.9396	4.6359	47.9396	23.0365	3.1235	23.0365
7	17.6525	2.7642	17.6525	30.6999	3.7684	30.6999	24.5826	3.2866	24.5826
8	17.6196	2.7637	17.6196	33.3634	3.9122	33.3634	23.2746	3.1763	23.2746
9	16.5787	2.6657	16.5787	35.7836	4.1388	35.7836	22.3166	3.1097	22.3166
10	16.1467	2.6433	16.1467	27.2259	3.5253	27.2259	19.1628	2.8805	19.1628
11	15.6652	2.6151	15.6652	19.5830	2.9958	19.5830	17.5409	2.7678	17.5409
12	15.4465	2.6027	15.4465	22.8180	3.2422	22.8180	18.7129	2.8702	18.7129
13	14.7931	2.5574	14.7931	17.0565	2.7522	17.0565	16.1838	2.6660	16.1838
14	14.4733	2.5422	14.4733	18.6399	2.9355	18.6399	16.1932	2.6771	16.1932
15	14.0702	2.4929	14.0702	22.5733	3.2216	22.5733	16.9997	2.7330	16.9997
16	13.9299	2.5093	13.9299	28.8987	3.8547	28.8987	17.1740	2.7696	17.1740
17	13.4316	2.4575	13.4316	15.8731	2.6674	15.8731	14.7217	2.5611	14.7217
18	13.3865	2.4527	13.3865	16.4304	2.7028	16.4304	15.0250	2.5798	15.0250
19	13.6739	2.4738	13.6739	21.9585	3.1330	21.9585	15.8059	2.6519	15.8059
