round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	10.2762	2.2796	10.2762	14.5109	2.7824	14.5109	11.0467	2.3428	11.0467
2	9.4262	2.1235	9.4262	10.4928	2.2582	10.4928	9.9243	2.1823	9.9243
3	8.9495	2.0626	8.9495	11.4966	2.2375	11.4966	10.0867	2.1608	10.0867
4	9.0667	2.0487	9.0667	22.9973	3.1658	22.9973	10.9768	2.2346	10.9768
5	8.8552	2.0182	8.8552	12.8549	2.2802	12.8549	10.1770	2.1232	10.1770
6	8.6039	2.0007	8.6039	14.4520	2.8356	14.4520	10.5148	2.1773	10.5148
7	8.4519	1.9584	8.4519	10.5601	2.1017	10.5601	8.9967	2.0263	8.9967
8	8.1272	1.9507	8.1272	10.8473	2.2209	10.8473	9.1043	2.0455	9.1043
9	8.4391	1.9259	8.4391	11.2340	2.1988	11.2340	9.1173	2.0060	9.1173
10	8.0786	1.8926	8.0786	12.0234	2.2110	12.0234	9.1256	2.0010	9.1256
11	7.8706	1.8762	7.8706	10.5360	2.0958	10.5360	8.7785	1.9717	8.7785
12	7.8161	1.8639	7.8161	10.6018	2.0883	10.6018	8.6030	1.9438	8.6030
13	7.4106	1.8448	7.4106	9.5827	2.0335	9.5827	8.1914	1.9139	8.1914
14	7.1342	1.8301	7.1342	11.0326	2.4315	11.0326	8.3834	1.9735	8.3834
15	7.1063	1.7955	7.1063	9.1335	1.9567	9.1335	7.7133	1.8628	7.7133
16	6.8425	1.8104	6.8425	10.5915	2.3920	10.5915	8.2174	1.9439	8.2174
17	6.7026	1.7515	6.7026	8.0642	1.9303	8.0642	7.3249	1.8112	7.3249
18	6.5732	1.7532	6.5732	8.0257	1.9681	8.0257	7.4006	1.8218	7.4006
19	6.3712	1.7388	6.3712	9.5309	2.2757	9.5309	7.2316	1.8365	7.2316
20	6.3093	1.7092	6.3093	7.8014	1.8237	7.8014	6.9737	1.7769	6.9737
21	6.1877	1.6972	6.1877	8.4591	1.9646	8.4591	7.2918	1.8015	7.2918
22	6.1728	1.6705	6.1728	7.9902	1.8198	7.9902	6.9589	1.7522	6.9589
23	6.1003	1.6645	6.1003	9.3961	1.9725	9.3961	7.1909	1.7962	7.1909
24	5.9274	1.6583	5.9274	8.8705	1.8495	8.8705	6.8986	1.7536	6.8986
25	5.6413	1.6206	5.6413	7.5415	1.7906	7.5415	6.4566	1.7222	6.4566
26	5.7154	1.6043	5.7154	7.0729	1.8258	7.0729	6.5615	1.7251	6.5615
27	5.3960	1.5968	5.3960	7.1674	1.7743	7.1674	6.4545	1.7034	6.4545
28	5.2951	1.5800	5.2951	6.9826	1.9212	6.9826	6.4176	1.7285	6.4176
29	5.2854	1.5721	5.2854	6.7927	1.7529	6.7927	6.0859	1.6717	6.0859
30	5.2632	1.5555	5.2632	7.0903	1.8348	7.0903	6.1667	1.6937	6.1667
31	5.2183	1.5428	5.2183	6.9639	1.7829	6.9639	6.2152	1.6877	6.2152
32	5.0829	1.5504	5.0829	8.0301	1.8427	8.0301	6.1457	1.6930	6.1457
33	5.0283	1.5371	5.0283	6.5813	1.7056	6.5813	5.7145	1.6255	5.7145
34	4.9998	1.5234	4.9998	7.2720	1.7057	7.2720	5.6818	1.6132	5.6818
35	4.9894	1.5155	4.9894	9.6976	2.0157	9.6976	6.1202	1.6551	6.1202
36	4.8763	1.4930	4.8763	8.6388	1.8928	8.6388	5.7461	1.6218	5.7461
37	4.6397	1.4880	4.6397	7.4713	1.9722	7.4713	5.6530	1.6398	5.6530
38	4.4876	1.4533	4.4876	6.1750	1.6677	6.1750	5.3078	1.5868	5.3078
39	4.5697	1.4480	4.5697	7.1671	1.7245	7.1671	5.5058	1.5891	5.5058
40	4.1994	1.4434	4.1994	5.6607	1.6652	5.6607	5.2250	1.5717	5.2250
41	4.1230	1.4184	4.1230	6.0343	1.6771	6.0343	5.0770	1.5504	5.0770
42	3.9531	1.4075	3.9531	6.0586	1.6375	6.0586	4.9640	1.5422	4.9640
43	4.0486	1.3777	4.0486	5.7518	1.5988	5.7518	4.8885	1.5251	4.8885
