round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	87.8775	6.0642	87.8775	107.7622	6.7804	107.7622	98.7330	6.3757	98.7330
2	70.4547	5.4766	70.4547	117.9605	6.8221	117.9605	86.1367	6.0160	86.1367
3	58.7129	5.0922	58.7129	94.7665	6.5736	94.7665	78.5282	5.8009	78.5282
4	51.6488	4.8319	51.6488	112.4851	6.8410	112.4851	73.5034	5.6241	73.5034
5	48.9956	4.6888	48.9956	79.9347	5.8062	79.9347	63.9835	5.2700	63.9835
6	46.0766	4.5485	46.0766	111.0332	7.0886	111.0332	63.1620	5.2302	63.1620
7	44.5808	4.4862	44.5808	74.3164	5.6677	74.3164	57.9393	5.0415	57.9393
8	44.6546	4.5012	44.6546	94.9419	6.2592	94.9419	61.8251	5.1685	61.8251
9	44.0020	4.4717	44.0020	104.9793	6.6244	104.9793	62.4047	5.2007	62.4047
10	43.1085	4.3919	43.1085	79.0761	6.0211	79.0761	58.9854	5.1036	58.9854
11	41.4327	4.3436	41.4327	132.0503	7.5938	132.0503	66.2889	5.3552	66.2889
12	42.9561	4.3890	42.9561	80.6493	6.1012	80.6493	56.2182	4.9777	56.2182
13	41.4075	4.3710	41.4075	90.3047	6.3597	90.3047	60.5897	5.1661	60.5897
14	43.7818	4.4567	43.7818	72.0012	5.6815	72.0012	60.0186	5.1735	60.0186
15	41.4799	4.3333	41.4799	70.8022	5.5722	70.8022	58.9698	5.0904	58.9698
16	42.6790	4.3676	42.6790	92.4888	6.2728	92.4888	61.0478	5.1388	61.0478
17	42.9006	4.3683	42.9006	70.2886	5.4647	70.2886	57.4496	4.9919	57.4496
18	44.1486	4.4306	44.1486	85.5397	6.0650	85.5397	60.8890	5.1385	60.8890
19	42.0425	4.3171	42.0425	72.4786	5.5331	72.4786	57.2055	4.9821	57.2055
20	43.6010	4.4066	43.6010	98.3018	6.6968	98.3018	64.9816	5.2977	64.9816
21	42.8714	4.3450	42.8714	61.0163	5.1312	61.0163	55.0808	4.9133	55.0808
22	43.4576	4.3893	43.4576	100.9375	6.7692	100.9375	64.8044	5.2944	64.8044
23	42.3496	4.3422	42.3496	67.7656	5.5263	67.7656	58.0496	5.0158	58.0496
24	43.5044	4.3771	43.5044	74.8016	5.7562	74.8016	56.9154	4.9736	56.9154
25	42.3577	4.3244	42.3577	68.0806	5.3542	68.0806	56.6881	4.9721	56.6881
26	40.8502	4.2618	40.8502	61.2725	5.1003	61.2725	55.3037	4.9162	55.3037
27	41.6283	4.3123	41.6283	63.4827	5.2451	63.4827	55.6001	4.9433	55.6001
28	42.3830	4.3605	42.3830	74.5176	5.7753	74.5176	57.2574	5.0160	57.2574
29	43.7120	4.3692	43.7120	74.9239	5.5138	74.9239	59.5165	5.0677	59.5165
30	43.9920	4.4381	43.9920	75.3932	5.6578	75.3932	56.8352	4.9856	56.8352
31	46.1723	4.5131	46.1723	79.2764	5.8107	79.2764	60.1892	5.1135	60.1892
32	42.2466	4.3101	42.2466	66.0846	5.3155	66.0846	57.4692	4.9962	57.4692
33	47.3745	4.6320	47.3745	70.8501	5.5803	70.8501	59.5637	5.1001	59.5637
34	42.7623	4.3445	42.7623	78.4364	5.7275	78.4364	58.2921	5.0105	58.2921
35	43.1440	4.3812	43.1440	67.1467	5.2947	67.1467	55.6490	4.9304	55.6490
36	42.6751	4.3752	42.6751	68.5932	5.3577	68.5932	58.2393	5.0356	58.2393
37	43.3709	4.3945	43.3709	74.2252	5.6971	74.2252	58.4275	5.0600	58.4275
38	41.6910	4.3552	41.6910	63.7107	5.3130	63.7107	57.3380	5.0268	57.3380
39	45.5677	4.5443	45.5677	72.7210	5.6680	72.7210	61.2990	5.1327	61.2990
40	41.8218	4.3413	41.8218	65.4096	5.3043	65.4096	57.1477	5.0177	57.1477
41	42.5944	4.3863	42.5944	77.4289	5.8598	77.4289	58.0575	5.0516	58.0575
42	42.8139	4.4341	42.8139	68.1372	5.4446	68.1372	57.3917	5.0215	57.3917
43	44.7291	4.5118	44.7291	64.5817	5.2466	64.5817	57.3083	5.0091	57.3083
44	42.2654	4.4236	42.2654	76.2476	5.8217	76.2476	57.3675	5.0333	57.3675
45	41.7478	4.3286	41.7478	67.0584	5.3309	67.0584	55.2261	4.9360	55.2261
46	40.2769	4.2917	40.2769	70.7698	5.5477	70.7698	55.5258	4.9535	55.5258
47	40.2918	4.3102	40.2918	66.0837	5.3677	66.0837	57.8232	5.0430	57.8232
48	40.5730	4.3085	40.5730	79.7497	5.8221	79.7497	57.8003	5.0429	57.8003
49	42.7784	4.3897	42.7784	63.1863	5.2656	63.1863	55.6176	4.9336	55.6176
50	40.3833	4.3087	40.3833	67.2541	5.3291	67.2541	56.3613	4.9702	56.3613
51	40.6995	4.2809	40.6995	72.6561	5.5419	72.6561	56.6221	4.9632	56.6221
52	40.7340	4.3012	40.7340	69.4884	5.4170	69.4884	56.1554	4.9690	56.1554
53	41.1212	4.3324	41.1212	69.9695	5.4929	69.9695	56.5115	4.9730	56.5115
54	41.0612	4.3299	41.0612	64.7341	5.2698	64.7341	55.9477	4.9825	55.9477
55	39.8864	4.2792	39.8864	60.4540	5.1691	60.4540	53.9181	4.8693	53.9181
56	41.2840	4.3554	41.2840	71.1554	5.4678	71.1554	57.5369	5.0124	57.5369
57	40.9697	4.3395	40.9697	73.5922	5.6052	73.5922	56.6020	4.9664	56.6020
58	43.7734	4.4532	43.7734	110.5679	7.0201	110.5679	61.5820	5.1739	61.5820
59	42.5462	4.4158	42.5462	68.4292	5.3513	68.4292	57.3526	5.0024	57.3526
60	42.5340	4.3669	42.5340	67.6902	5.3994	67.6902	57.6637	5.0052	57.6637
61	43.0660	4.3732	43.0660	74.3421	5.5520	74.3421	60.8786	5.1049	60.8786
62	43.2111	4.3726	43.2111	65.3704	5.2448	65.3704	58.2364	4.9976	58.2364
63	40.7708	4.2719	40.7708	59.6561	5.0496	59.6561	55.3371	4.8804	55.3371
64	40.1550	4.2132	40.1550	63.6241	5.1354	63.6241	55.5229	4.8900	55.5229
65	40.5226	4.2726	40.5226	67.1146	5.4083	67.1146	56.1773	4.9140	56.1773
66	40.5290	4.2523	40.5290	62.8767	5.1626	62.8767	56.0828	4.8834	56.0828
67	41.0893	4.2366	41.0893	61.5137	5.1278	61.5137	56.2094	4.9179	56.2094
68	40.7630	4.2345	40.7630	60.8368	5.1016	60.8368	55.6951	4.8707	55.6951
69	42.2235	4.2883	42.2235	77.6716	5.6113	77.6716	59.0847	4.9617	59.0847
70	42.4118	4.2884	42.4118	88.0366	6.0873	88.0366	56.5795	4.9028	56.5795
71	44.7548	4.3594	44.7548	84.1230	6.0201	84.1230	61.1981	5.0719	61.1981
72	44.3510	4.3648	44.3510	75.4370	5.6522	75.4370	59.2528	4.9828	59.2528
73	42.6377	4.2973	42.6377	73.1296	5.3433	73.1296	58.2565	4.9370	58.2565
74	42.2055	4.2355	42.2055	67.8820	5.2914	67.8820	56.1356	4.8666	56.1356
75	42.5698	4.2763	42.5698	77.8833	5.4621	77.8833	59.0026	4.9526	59.0026
76	42.5388	4.2580	42.5388	61.4617	5.1005	61.4617	55.5633	4.7942	55.5633
