round	loss of global	MAE of global	MSE of global	Max Loss of client	Max MAE of client	Max MSE of client	Avg Loss of client	Avg MAE of client	Avg MSE of client
1	1.0135	0.8533	1.0135	1.3037	0.9607	1.3037	1.0875	0.8655	1.0875
2	0.6349	0.6685	0.6349	0.9676	0.7840	0.9676	0.6944	0.6706	0.6944
3	0.2456	0.4075	0.2456	0.8103	0.7264	0.8103	0.4060	0.4970	0.4060
4	0.1386	0.2887	0.1386	0.4700	0.5283	0.4700	0.1471	0.2832	0.1471
5	0.0485	0.1704	0.0485	0.0832	0.2264	0.0832	0.0484	0.1654	0.0484
6	0.0324	0.1374	0.0324	0.2863	0.4242	0.2863	0.0881	0.2187	0.0881
7	0.2073	0.3647	0.2073	0.0596	0.1999	0.0596	0.0374	0.1499	0.0374
8	0.0219	0.1148	0.0219	0.0228	0.1179	0.0228	0.0192	0.1070	0.0192
9	0.0468	0.1606	0.0468	0.0543	0.1788	0.0543	0.0254	0.1205	0.0254
10	0.0219	0.1154	0.0219	0.0225	0.1171	0.0225	0.0173	0.1019	0.0173
11	0.0393	0.1538	0.0393	0.0298	0.1321	0.0298	0.0193	0.1067	0.0193
12	0.0739	0.2168	0.0739	0.0343	0.1443	0.0343	0.0190	0.1059	0.0190
13	0.0154	0.0929	0.0154	0.0994	0.2621	0.0994	0.0235	0.1117	0.0235
14	0.0988	0.2154	0.0988	0.0744	0.2085	0.0744	0.0228	0.1121	0.0228
15	0.0211	0.1121	0.0211	0.0643	0.1959	0.0643	0.0254	0.1188	0.0254
16	0.0175	0.1059	0.0175	0.0377	0.1512	0.0377	0.0187	0.1056	0.0187
17	0.0521	0.1708	0.0521	0.0638	0.2041	0.0638	0.0327	0.1401	0.0327
18	0.0197	0.1092	0.0197	0.0433	0.1660	0.0433	0.0208	0.1124	0.0208
19	0.0394	0.1482	0.0394	0.1025	0.2544	0.1025	0.0398	0.1492	0.0398
20	0.0137	0.0897	0.0137	0.0186	0.1041	0.0186	0.0150	0.0935	0.0150
21	0.0675	0.1860	0.0675	0.0417	0.1636	0.0417	0.0200	0.1084	0.0200
22	0.0174	0.1021	0.0174	0.0214	0.1146	0.0214	0.0144	0.0926	0.0144
23	0.0279	0.1311	0.0279	0.0214	0.1126	0.0214	0.0155	0.0963	0.0155
24	0.0161	0.0992	0.0161	0.0503	0.1762	0.0503	0.0184	0.1028	0.0184
25	0.0217	0.1180	0.0217	0.0779	0.2303	0.0779	0.0204	0.1060	0.0204
26	0.1238	0.2549	0.1238	0.0277	0.1288	0.0277	0.0170	0.0999	0.0170
27	0.0146	0.0953	0.0146	0.0390	0.1560	0.0390	0.0175	0.1016	0.0175
28	0.0667	0.1894	0.0667	0.0228	0.1216	0.0228	0.0168	0.1004	0.0168
29	0.0192	0.1076	0.0192	0.0200	0.1097	0.0200	0.0148	0.0933	0.0148
30	0.0146	0.0932	0.0146	0.0201	0.1150	0.0201	0.0158	0.0980	0.0158
31	0.0572	0.1741	0.0572	0.0219	0.1097	0.0219	0.0156	0.0942	0.0156
32	0.0123	0.0878	0.0123	0.0248	0.1148	0.0248	0.0150	0.0924	0.0150
33	0.0499	0.1557	0.0499	0.0246	0.1278	0.0246	0.0165	0.0991	0.0165
34	0.0150	0.0968	0.0150	0.0255	0.1231	0.0255	0.0156	0.0973	0.0156
35	0.0246	0.1234	0.0246	0.0219	0.1125	0.0219	0.0158	0.0967	0.0158
36	0.0173	0.1057	0.0173	0.0554	0.1871	0.0554	0.0177	0.0995	0.0177
37	0.0462	0.1639	0.0462	0.0566	0.1869	0.0566	0.0198	0.1063	0.0198
38	0.0240	0.1177	0.0240	0.0231	0.1119	0.0231	0.0158	0.0975	0.0158
39	0.0164	0.1025	0.0164	0.0278	0.1351	0.0278	0.0168	0.1000	0.0168
40	0.0397	0.1519	0.0397	0.0403	0.1516	0.0403	0.0192	0.1076	0.0192
41	0.0153	0.0946	0.0153	0.0205	0.1059	0.0205	0.0150	0.0948	0.0150
42	0.0136	0.0927	0.0136	0.0221	0.1064	0.0221	0.0140	0.0904	0.0140
43	0.0247	0.1165	0.0247	0.0267	0.1376	0.0267	0.0159	0.0986	0.0159
44	0.0164	0.1014	0.0164	0.0205	0.1102	0.0205	0.0144	0.0915	0.0144
45	0.0443	0.1664	0.0443	0.0555	0.1909	0.0555	0.0210	0.1081	0.0210
46	0.0169	0.1010	0.0169	0.0188	0.1031	0.0188	0.0140	0.0907	0.0140
47	0.0253	0.1225	0.0253	0.0246	0.1165	0.0246	0.0163	0.0967	0.0163
48	0.0145	0.0943	0.0145	0.0450	0.1691	0.0450	0.0184	0.1019	0.0184
49	0.0235	0.1208	0.0235	0.0327	0.1472	0.0327	0.0157	0.0956	0.0157
50	0.0165	0.0993	0.0165	0.0436	0.1560	0.0436	0.0181	0.1005	0.0181
51	0.0126	0.0879	0.0126	0.0213	0.1076	0.0213	0.0147	0.0931	0.0147
52	0.0184	0.1041	0.0184	0.0516	0.1818	0.0516	0.0185	0.1028	0.0185
53	0.0122	0.0875	0.0122	0.0213	0.1125	0.0213	0.0137	0.0900	0.0137
54	0.0138	0.0913	0.0138	0.0360	0.1458	0.0360	0.0149	0.0931	0.0149
55	0.0142	0.0938	0.0142	0.0491	0.1790	0.0491	0.0183	0.1021	0.0183
56	0.0139	0.0910	0.0139	0.0246	0.1170	0.0246	0.0144	0.0917	0.0144
57	0.0162	0.1021	0.0162	0.0246	0.1168	0.0246	0.0142	0.0917	0.0142
58	0.0133	0.0843	0.0133	0.0269	0.1257	0.0269	0.0156	0.0943	0.0156
59	0.0125	0.0884	0.0125	0.0224	0.1110	0.0224	0.0141	0.0904	0.0141
60	0.0192	0.1055	0.0192	0.0324	0.1405	0.0324	0.0172	0.1002	0.0172
61	0.0124	0.0857	0.0124	0.0235	0.1135	0.0235	0.0139	0.0899	0.0139
62	0.0178	0.1052	0.0178	0.0254	0.1188	0.0254	0.0151	0.0939	0.0151
63	0.0125	0.0873	0.0125	0.0263	0.1315	0.0263	0.0179	0.1031	0.0179
64	0.0153	0.0949	0.0153	0.0486	0.1704	0.0486	0.0170	0.0972	0.0170
65	0.0123	0.0860	0.0123	0.0288	0.1243	0.0288	0.0145	0.0912	0.0145
66	0.0145	0.0927	0.0145	0.0319	0.1377	0.0319	0.0162	0.0968	0.0162
67	0.0129	0.0877	0.0129	0.0339	0.1301	0.0339	0.0149	0.0902	0.0149
68	0.0187	0.1070	0.0187	0.0240	0.1199	0.0240	0.0160	0.0969	0.0160
69	0.0164	0.0996	0.0164	0.0427	0.1630	0.0427	0.0165	0.0982	0.0165
70	0.0131	0.0866	0.0131	0.0216	0.1134	0.0216	0.0139	0.0912	0.0139
71	0.0138	0.0903	0.0138	0.0320	0.1368	0.0320	0.0169	0.0997	0.0169
72	0.0194	0.1045	0.0194	0.0243	0.1132	0.0243	0.0145	0.0907	0.0145
73	0.0161	0.1008	0.0161	0.0432	0.1554	0.0432	0.0183	0.1019	0.0183
74	0.0118	0.0816	0.0118	0.0293	0.1280	0.0293	0.0144	0.0913	0.0144
75	0.0166	0.1014	0.0166	0.0267	0.1191	0.0267	0.0144	0.0913	0.0144
76	0.0114	0.0794	0.0114	0.0291	0.1259	0.0291	0.0148	0.0922	0.0148
77	0.0127	0.0888	0.0127	0.0271	0.1208	0.0271	0.0142	0.0896	0.0142
78	0.0124	0.0839	0.0124	0.0284	0.1235	0.0284	0.0142	0.0896	0.0142
79	0.0141	0.0932	0.0141	0.0254	0.1149	0.0254	0.0147	0.0930	0.0147
80	0.0114	0.0829	0.0114	0.0695	0.2136	0.0695	0.0187	0.1018	0.0187
81	0.0117	0.0833	0.0117	0.0213	0.1083	0.0213	0.0137	0.0900	0.0137
82	0.0111	0.0809	0.0111	0.0216	0.1088	0.0216	0.0129	0.0868	0.0129
83	0.0133	0.0895	0.0133	0.0269	0.1237	0.0269	0.0144	0.0916	0.0144
84	0.0108	0.0796	0.0108	0.0246	0.1212	0.0246	0.0135	0.0893	0.0135
