Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-3,6,33,0.081922,3.692343,1.2677122604166666,5702886
1-2,6,27,0.031085,1.20993,1.2854467291666662,317810
1-4,6,26,0.168331,0.541608,1.2906518541666667,196417
1-5,6,27,0.320802,1.024302,1.285441875,317810
1-7,6,27,0.614711,1.088045,1.2562893020833332,317810
1-1,6,28,0.000298,0.923217,1.2854091770833331,514228
1-6,6,30,0.538925,2.673866,1.2969630104166665,1346268
2-4,6,30,0.158156,2.84811,1.2844627916666664,1346268
2-1,6,31,0.000278,5.68099,1.2875766562500002,2178308
2-7,6,27,0.796024,1.458114,1.2698421249999998,317810
2-6,6,27,0.359096,1.372184,1.297941083333333,317810
2-5,6,29,0.303127,3.173246,1.2990386354166668,832039
2-2,6,35,0.033861,9.312888,1.3473876875,14930351
2-3,6,31,0.110074,6.168158,1.2511420833333333,2178308
3-5,6,29,0.291915,2.890594,1.299040520833333,832039
3-4,6,26,0.1597,0.169064,1.34687646875,196417
3-2,6,31,0.052883,8.745296,1.2645986249999999,2178308
3-3,6,32,0.093588,11.24396,1.2938746354166668,3524577
3-7,6,33,0.487128,13.554557,1.2937451874999997,5702886
3-6,6,35,0.45096,29.023191,1.3147718645833335,14930351
3-1,6,35,0.000298,29.325377,1.3011629791666666,14930351
4-6,6,26,0.322294,1.520445,1.3125692500000006,196417
4-5,6,29,0.230902,2.32345,1.3124763541666669,832039
4-2,6,25,0.047786,0.391754,1.3134662916666664,121392
4-7,6,30,0.434019,4.248434,1.3125998645833337,1346268
4-4,6,30,0.185022,4.35566,1.3125129895833332,1346268
4-3,6,35,0.113903,12.792984,1.38936559375,14930351
4-1,6,33,0.000272,10.488941,1.22606359375,5702886
5-3,6,33,0.079368,7.7925,1.2761795729166667,5702886
5-7,6,26,0.767628,1.487024,1.2521565937500003,196417
5-2,6,28,0.048519,2.160858,1.2532031874999998,514228
5-1,6,27,0.000328,0.262045,1.2666896770833334,317810
5-4,6,29,0.120039,3.090645,1.281292833333333,832039
5-5,6,30,0.175865,3.65812,1.281320989583333,1346268
5-6,6,32,0.267715,6.999603,1.25834278125,3524577
6-3,6,27,0.107783,1.652909,1.2645983125,317810
6-2,6,28,0.036572,1.671137,1.2647141875,514228
6-6,6,28,0.593671,1.606196,1.2510626041666661,514228
6-5,6,34,0.222371,13.292679,1.3064420833333334,9227464
6-7,6,30,0.756533,3.313118,1.2511219479166669,1346268
6-1,6,32,0.000278,8.298844,1.2511200312499997,3524577
6-4,6,33,0.130903,12.451496,1.2604921458333338,5702886
7-1,6,32,0.000271,6.032501,1.3298218020833332,3524577
7-7,6,27,0.431832,1.528995,1.3542083854166669,317810
7-3,6,25,0.117529,0.257987,1.3314857604166663,121392
7-6,6,28,0.385756,1.883323,1.3490074270833332,514228
7-2,6,28,0.031131,1.86703,1.3739283125000001,514228
7-4,6,31,0.209077,5.344066,1.37713315625,2178308
7-5,6,31,0.28034,5.338958,1.3472243437500002,2178308
8-7,6,32,0.458156,3.880697,1.3250679583333334,3524577
8-3,6,26,0.096086,0.416379,1.3248413854166665,196417
8-6,6,25,0.269782,0.483712,1.3344458020833336,121392
8-1,6,26,0.000244,0.075171,1.357168229166667,196417
8-4,6,28,0.126786,1.439806,1.3489846979166666,514228
8-2,6,27,0.035846,0.607058,1.3344062812500002,317810
8-5,6,31,0.19311,3.72027,1.3532281770833336,2178308
9-5,6,33,0.178115,8.034373,1.3404593229166664,5702886
9-2,6,28,0.044575,1.419961,1.3803189479166666,514228
9-3,6,26,0.100323,1.280031,1.3938181979166668,196417
9-7,6,28,0.993849,1.611786,1.3424484583333331,514228
9-6,6,27,0.730562,1.093634,1.3522383958333335,317810
9-1,6,31,0.000171,5.160788,1.342076645833333,2178308
9-4,6,32,0.151138,7.483628,1.3487995937499997,3524577
10-5,6,28,0.176614,2.745254,1.3401054895833333,514228
10-4,6,29,0.1444,3.294779,1.3443837500000002,832039
10-1,6,31,0.000289,7.307266,1.3446514166666668,2178308
10-3,6,31,0.098671,9.314325,1.3032192916666665,2178308
10-7,6,35,0.636177,31.219821,1.2541976562500001,14930351
10-6,6,34,0.369676,25.813376,1.3531064583333332,9227464
10-2,6,35,0.04269,31.516111,1.2323613854166673,14930351
11-4,6,25,0.200686,0.151111,1.2583512291666668,121392
11-3,6,27,0.124473,1.048069,1.2292765729166661,317810
11-2,6,28,0.043142,1.826901,1.2292796458333335,514228
11-1,6,32,0.000297,9.936501,1.2292075937500002,3524577
11-7,6,35,0.557863,15.542119,1.254310125,14930351
11-6,6,32,0.469151,10.378113,1.2583608645833335,3524577
11-5,6,33,0.271974,13.517991,1.2396657395833333,5702886
12-4,6,32,0.238989,5.729838,1.2696083020833338,3524577
12-2,6,31,0.040691,12.913031,1.3162721354166667,2178308
12-3,6,33,0.101714,23.04558,1.2831812187499998,5702886
12-7,6,35,0.93565,45.890563,1.3295268541666667,14930351
12-1,6,34,0.000295,35.528802,1.283369145833333,9227464
12-6,6,35,0.371156,45.806364,1.30524625,14930351
12-5,6,35,0.284818,46.310535,1.3053010208333335,14930351
13-5,6,30,0.281208,5.839824,1.260129916666667,1346268
13-4,6,28,0.189612,3.215233,1.3125718020833337,514228
13-1,6,30,0.000302,4.287009,1.2833458750000002,1346268
13-6,6,32,0.41333,12.394953,1.2541903958333334,3524577
13-3,6,34,0.13366,26.675144,1.3218956770833334,9227464
13-2,6,35,0.047328,32.712365,1.3344533541666668,14930351
13-7,6,35,0.703045,31.867073,1.3125612291666666,14930351
14-1,6,33,0.000291,8.170227,1.2539883229166668,5702886
14-4,6,27,0.15163,0.844428,1.2834236041666665,317810
14-7,6,26,0.6356,1.686895,1.25424059375,196417
