Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-6,6,31,0.589908,2.162429,1.2551821041666664,2178308
1-3,6,27,0.096475,0.981903,1.2302661770833332,317810
1-7,6,26,0.670415,0.642239,1.2011816041666667,196417
1-2,6,27,0.0405,0.813222,1.2011179375000003,317810
1-4,6,26,0.132117,0.476713,1.2302596770833336,196417
1-5,6,29,0.462697,1.85435,1.2260647083333334,832039
1-1,6,29,0.000191,1.882994,1.2302648645833336,832039
2-6,6,27,0.475326,1.494929,1.2323089062500001,317810
2-3,6,28,0.068625,2.100008,1.2032404062500002,514228
2-7,6,29,0.498797,3.807579,1.2032378958333336,832039
2-4,6,28,0.149966,1.897062,1.2324350729166667,514228
2-5,6,35,0.404071,19.679538,1.2833860833333333,14930351
2-1,6,33,0.000296,13.697277,1.2324723854166668,5702886
2-2,6,34,0.037431,18.460601,1.2542618125000002,9227464
3-2,6,26,0.023527,0.313203,1.267732166666667,196417
3-6,6,31,0.282646,8.163591,1.2427584062500003,2178308
3-5,6,32,0.211575,14.711014,1.2583439479166671,3524577
3-1,6,34,0.000308,28.712508,1.2583719687500001,9227464
3-3,6,35,0.109755,40.777805,1.28445503125,14930351
3-7,6,35,0.484791,35.808504,1.2011177083333338,14930351
3-4,6,35,0.160652,40.371884,1.2552683229166668,14930351
4-1,6,29,0.000289,1.435363,1.2011037291666664,832039
4-6,6,25,0.369104,0.805048,1.2011292812500003,121392
4-4,6,30,0.250027,5.104789,1.2291666458333335,1346268
4-2,6,33,0.041596,17.262865,1.2292177708333334,5702886
4-3,6,33,0.117822,18.596312,1.2583532916666669,5702886
4-5,6,35,0.287876,30.724315,1.2250183854166665,14930351
4-7,6,35,0.521422,30.229846,1.2177154687499998,14930351
5-4,6,32,0.198493,2.760425,1.2541696562500004,3524577
5-2,6,28,0.04594,1.456539,1.2001398958333331,514228
5-5,6,26,0.318478,0.456588,1.2291973541666668,196417
5-7,6,25,0.445627,0.582172,1.2000163854166666,121392
5-1,6,28,0.000295,0.962008,1.2000336145833335,514228
5-3,6,29,0.122141,2.030662,1.2113383958333337,832039
5-6,6,28,0.349109,1.680406,1.2301113854166665,514228
6-5,6,25,0.268836,0.70562,1.2135337916666664,121392
6-3,6,34,0.082098,7.059017,1.2542293750000002,9227464
6-2,6,26,0.046491,0.781894,1.2000569583333331,196417
6-1,6,29,0.000288,1.964167,1.2291596979166668,832039
6-7,6,29,0.706239,2.917544,1.2000756666666668,832039
6-6,6,30,0.365581,4.070496,1.2291761458333332,1346268
6-4,6,31,0.106253,5.216435,1.2021996666666663,2178308
7-2,6,27,0.037371,0.127184,1.2844956458333334,317810
7-1,6,25,0.000285,0.036837,1.3560575208333332,121392
7-7,6,34,0.305235,7.709634,1.2542535729166668,9227464
7-3,6,27,0.088724,1.17878,1.2066723854166665,317810
7-5,6,28,0.216785,2.117756,1.2123583020833335,514228
7-6,6,30,0.253373,3.447833,1.2316608437500003,1346268
7-4,6,32,0.169914,6.284463,1.2833737291666667,3524577
8-2,6,27,0.040593,0.985511,1.20223634375,317810
8-5,6,27,0.274466,1.518205,1.21769990625,317810
8-7,6,25,0.533643,0.601454,1.204180625,121392
8-1,6,29,0.000282,2.322631,1.2156606145833335,832039
8-6,6,35,0.48276,15.602401,1.3797846562499998,14930351
8-3,6,33,0.096531,12.900472,1.2625659374999998,5702886
8-4,6,33,0.198161,13.785635,1.2322994270833336,5702886
9-5,6,33,0.268576,4.71294,1.270902854166667,5702886
9-6,6,28,0.29381,1.110284,1.2470167604166666,514228
9-4,6,28,0.131118,1.879385,1.2163138437499998,514228
9-1,6,29,0.000177,2.742646,1.2463205000000002,832039
9-7,6,28,0.517474,2.068493,1.2463644062500001,514228
9-2,6,29,0.045883,2.909856,1.24491975,832039
9-3,6,30,0.106923,3.728035,1.2361739375000003,1346268
10-7,6,29,0.705377,3.00748,1.2291983541666667,832039
10-2,6,29,0.039353,3.307079,1.2292504583333335,832039
10-6,6,29,0.624016,3.793591,1.2426853124999997,832039
10-3,6,32,0.105414,13.296141,1.2833213750000003,3524577
10-5,6,33,0.405576,17.010056,1.229256354166667,5702886
10-4,6,35,0.19693,29.737757,1.2437972499999999,14930351
10-1,6,35,0.000285,29.868621,1.2406550625,14930351
11-7,6,25,0.407344,0.873716,1.2517322604166667,121392
11-5,6,25,0.239669,0.587475,1.229335875,121392
11-4,6,27,0.122696,1.068907,1.2647193958333336,317810
11-3,6,32,0.084386,9.712813,1.2688213229166665,3524577
11-2,6,32,0.038585,10.681332,1.2000308229166667,3524577
11-6,6,35,0.300706,26.391707,1.2386024375000002,14930351
11-1,6,35,0.000316,26.454234,1.2677598333333333,14930351
12-4,6,26,0.226453,0.460411,1.242789614583333,196417
12-5,6,27,0.287606,1.15042,1.2428774895833332,317810
12-3,6,34,0.129788,27.831303,1.2250559687500002,9227464
12-2,6,34,0.04851,30.694575,1.2291981979166668,9227464
12-6,6,35,0.352385,45.461393,1.2094102708333332,14930351
12-1,6,35,0.000281,45.278668,1.2292136979166668,14930351
12-7,6,35,0.455349,45.235039,1.2094425104166664,14930351
13-7,6,31,0.432576,4.707349,1.2791411770833332,2178308
13-2,6,26,0.046938,0.27313,1.2052415104166665,196417
13-4,6,29,0.245312,3.327853,1.2661988020833332,832039
13-5,6,29,0.341033,1.900979,1.20009865625,832039
13-1,6,28,0.000289,1.85582,1.2000437500000003,514228
13-3,6,29,0.08259,3.05575,1.2782262291666664,832039
13-6,6,31,0.365044,4.544652,1.2844084479166666,2178308
14-4,6,27,0.197737,1.788609,1.2000640624999999,317810
14-6,6,29,1.072974,4.645899,1.2833998229166668,832039
14-2,6,32,0.049692,13.269189,1.2946535625000002,3524577
14-1,6,34,0.000234,28.805715,1.2802568020833331,9227464
14-5,6,34,0.721198,29.342444,1.3126280104166672,9227464
14-7,6,35,1.144223,36.919812,1.2167254166666663,14930351
14-3,6,35,0.141103,37.758181,1.2166639583333334,14930351
15-1,6,25,0.000257,0.034612,1.2322665520833331,121392
15-2,6,29,0.035761,1.934809,1.2292724270833337,832039
15-5,6,26,0.268476,0.60195,1.19998715625,196417
15-6,6,35,0.354882,9.301135,1.2833957083333332,14930351
15-7,6,28,0.476661,1.908,1.2293295,514228
15-3,6,30,0.071752,3.645244,1.2584278958333335,1346268
15-4,6,32,0.174994,6.561236,1.23341709375,3524577
16-3,6,26,0.062086,0.529983,1.25839371875,196417
16-1,6,30,0.000301,4.594338,1.2656557083333335,1346268
16-2,6,29,0.039771,4.517077,1.2615143854166666,832039
16-7,6,32,0.612991,11.062155,1.3471192604166669,3524577
16-4,6,33,0.153616,17.396192,1.33495596875,5702886
16-5,6,35,0.229975,29.269057,1.306261635416667,14930351
16-6,6,35,0.473894,28.751204,1.2902048125000003,14930351
17-1,6,26,0.00029,0.077893,1.2552459999999999,196417
17-7,6,26,0.507134,1.520816,1.2696372604166666,196417
17-4,6,28,0.197048,1.912348,1.2583347812499999,514228
17-2,6,29,0.039405,2.286112,1.2672656041666666,832039
17-6,6,32,0.440651,9.009901,1.272189989583333,3524577
17-5,6,35,0.389667,24.647175,1.2949162708333335,14930351
17-3,6,35,0.083463,24.727139,1.2428258333333333,14930351
18-2,6,28,0.034628,2.135536,1.2718999479166666,514228
18-7,6,32,0.615921,6.086713,1.2730338645833332,3524577
18-1,6,33,0.000293,7.50683,1.3240648229166667,5702886
18-5,6,25,0.204502,0.755398,1.24265990625,121392
18-3,6,29,0.090598,2.32021,1.2427514999999998,832039
18-4,6,28,0.171926,1.907684,1.2718394166666662,514228
18-6,6,31,0.34168,5.413775,1.2990448854166665,2178308
19-6,6,25,0.309568,0.19182,1.27929996875,121392
19-1,6,26,0.000297,0.084035,1.3176592187499998,196417
19-4,6,29,0.125452,2.775431,1.2313821770833333,832039
19-5,6,31,0.201834,6.279304,1.260528125,2178308
19-3,6,32,0.084557,8.633171,1.26054925,3524577
19-7,6,35,0.374862,15.076177,1.2801864270833332,14930351
19-2,6,33,0.031475,13.182195,1.2385719166666667,5702886
20-3,6,33,0.074087,5.372693,1.2261251041666668,5702886
20-1,6,25,0.00029,0.03778,1.2559652500000003,121392
