Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-2,3,1.8614,1.8005,16.2015,41.1
Existing-3,3,3.4021,1.7636,61.4555,106.86
Existing-1,3,3.4162,1.7601,57.8413,106.86
WithNew-2,3,2.5528,1.7998,16.2015,41.1
WithNew-4,3,4.0373,1.7427,60.5415,123.3
WithNew-1,3,4.6487,1.6271,57.8413,106.86
WithNew-3,3,5.0724,1.6501,61.4555,106.86
Existing-2,3,1.328,1.6942,6.8019,82.2
Existing-1,3,1.5261,1.7772,11.7294,106.86
Existing-3,3,2.2573,1.785,35.3044,312.36
WithNew-2,3,2.0737,1.6802,6.8019,82.2
WithNew-1,3,2.1333,1.6999,11.7294,106.86
WithNew-4,3,2.2221,1.6943,11.7294,106.86
WithNew-3,3,2.8812,1.6667,35.3044,312.36
Existing-1,3,2.1232,1.6874,26.1889,73.98
Existing-2,3,3.713,1.7577,61.4555,106.86
Existing-3,3,3.827,1.6509,62.6262,131.52
WithNew-1,3,3.3339,1.6156,26.1889,73.98
WithNew-4,3,5.0847,1.5948,62.6262,131.52
WithNew-3,3,5.1085,1.5396,62.6262,131.52
WithNew-2,3,5.098,1.5396,61.4555,106.86
Existing-2,3,1.5656,1.7135,11.7294,106.86
Existing-1,3,2.0066,1.5979,26.1889,73.98
Existing-3,3,2.7439,1.6854,57.8413,106.86
WithNew-4,3,2.419,1.5908,6.8019,82.2
WithNew-1,3,2.6847,1.5615,26.1889,73.98
WithNew-2,3,2.6989,1.5453,11.7294,106.86
WithNew-3,3,3.9829,1.7386,57.8413,106.86
Existing-2,3,1.8989,1.8301,6.8019,82.2
Existing-3,3,2.2075,1.8585,26.1889,73.98
Existing-1,3,3.2223,1.7239,57.8413,106.86
WithNew-2,3,2.0538,1.666,6.8019,82.2
WithNew-4,3,2.0597,1.6119,6.8019,82.2
WithNew-3,3,2.575,1.6618,26.1889,73.98
WithNew-1,3,3.2072,1.7074,57.8413,106.86
Existing-1,3,1.6214,1.7837,11.7294,106.86
Existing-3,3,1.8601,1.8272,16.2015,41.1
Existing-2,3,2.1549,1.8229,26.1889,73.98
WithNew-3,3,2.5402,1.7051,16.2015,41.1
WithNew-1,3,2.5744,1.7315,11.7294,106.86
WithNew-4,3,2.5517,1.7444,16.2015,41.1
WithNew-2,3,2.821,1.5723,26.1889,73.98
Existing-2,3,1.43,1.8671,11.7294,106.86
Existing-1,3,1.9855,1.7587,26.1889,73.98
Existing-3,3,3.0004,1.768,57.8413,106.86
WithNew-2,3,2.628,1.5744,11.7294,106.86
WithNew-1,3,3.1704,1.6595,26.1889,73.98
WithNew-4,3,3.289,1.6659,26.1889,73.98
WithNew-3,3,4.1008,1.6099,57.8413,106.86
