Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-3,3,1.83,1.5909,16.2015,41.1
Existing-1,3,3.5882,1.7169,60.5415,123.3
Existing-2,3,3.5953,1.722,61.4555,106.86
WithNew-3,3,2.4301,1.6573,16.2015,41.1
WithNew-2,3,5.0235,1.7532,61.4555,106.86
WithNew-4,3,5.0316,1.7511,57.8413,106.86
WithNew-1,3,5.0433,1.7547,60.5415,123.3
Existing-1,3,1.4394,1.5237,6.8019,82.2
Existing-3,3,1.7495,1.5755,11.7294,106.86
Existing-2,3,3.136,1.6239,62.6262,131.52
WithNew-1,3,1.9961,1.775,6.8019,82.2
WithNew-3,3,2.3255,1.655,11.7294,106.86
WithNew-2,3,3.8866,1.6301,62.6262,131.52
WithNew-4,3,4.2111,1.727,60.5415,123.3
Existing-3,3,1.5388,1.5417,16.2015,41.1
Existing-2,3,2.5603,1.6623,35.3044,312.36
Existing-1,3,2.9717,1.7266,60.5415,123.3
WithNew-3,3,2.3818,1.7232,16.2015,41.1
WithNew-2,3,3.6744,1.7543,35.3044,312.36
WithNew-1,3,3.8265,1.647,60.5415,123.3
WithNew-4,3,3.8297,1.6458,61.4555,106.86
Existing-3,3,1.4698,1.7723,11.7294,106.86
Existing-1,3,3.1091,1.7045,60.5415,123.3
Existing-2,3,3.4139,1.7544,62.6262,131.52
WithNew-3,3,2.427,1.5538,11.7294,106.86
WithNew-1,3,3.8882,1.609,60.5415,123.3
WithNew-4,3,4.1059,1.6372,57.8413,106.86
WithNew-2,3,4.4599,1.6095,62.6262,131.52
Existing-3,3,1.2018,1.7552,6.8019,82.2
Existing-1,3,1.2735,1.7071,11.7294,106.86
Existing-2,3,1.973,1.6551,35.3044,312.36
WithNew-3,3,2.3735,1.6779,6.8019,82.2
WithNew-1,3,2.6153,1.7542,11.7294,106.86
WithNew-2,3,3.3862,1.7712,35.3044,312.36
WithNew-4,3,3.5867,1.6817,61.4555,106.86
Existing-1,3,3.2678,1.6728,61.4555,106.86
Existing-3,3,3.2744,1.6789,57.8413,106.86
Existing-2,3,3.3585,1.7232,35.3044,312.36
WithNew-2,3,4.2633,1.5619,35.3044,312.36
WithNew-4,3,4.391,1.4719,61.4555,106.86
WithNew-3,3,4.6567,1.5519,57.8413,106.86
WithNew-1,3,5.0118,1.4997,61.4555,106.86
Existing-3,3,1.1561,1.7927,6.8019,82.2
Existing-2,3,3.3911,1.8311,57.8413,106.86
Existing-1,3,3.402,1.7644,61.4555,106.86
WithNew-3,3,1.9996,1.8069,6.8019,82.2
WithNew-4,3,3.3368,1.7603,35.3044,312.36
WithNew-2,3,4.0499,1.8408,57.8413,106.86
WithNew-1,3,4.0623,1.8205,61.4555,106.86
Existing-3,3,1.8511,1.5854,26.1889,73.98
Existing-1,3,2.7957,1.7334,35.3044,312.36
Existing-2,3,3.0059,1.675,57.8413,106.86
WithNew-4,3,2.1153,1.5904,16.2015,41.1
WithNew-3,3,2.4744,1.5855,26.1889,73.98
WithNew-2,3,3.4217,1.7667,57.8413,106.86
WithNew-1,3,3.4397,1.745,35.3044,312.36
Existing-2,3,1.701,1.7963,11.7294,106.86
Existing-3,3,3.6682,1.7012,62.6262,131.52
Existing-1,3,3.6765,1.7011,61.4555,106.86
WithNew-2,3,2.8441,1.6234,11.7294,106.86
WithNew-4,3,4.6323,1.7666,61.4555,106.86
WithNew-1,3,4.932,1.6921,61.4555,106.86
WithNew-3,3,5.24,1.6532,62.6262,131.52
Existing-3,3,3.39,1.8573,60.5415,123.3
Existing-1,3,3.7386,1.8457,57.8413,106.86
Existing-2,3,3.8573,1.8031,35.3044,312.36
WithNew-4,3,2.5967,1.6313,6.8019,82.2
WithNew-3,3,4.4488,1.6042,60.5415,123.3
WithNew-1,3,4.6187,1.5988,57.8413,106.86
WithNew-2,3,4.8173,1.6605,35.3044,312.36
Existing-3,3,1.8613,1.5489,16.2015,41.1
Existing-2,3,2.1947,1.5379,26.1889,73.98
Existing-1,3,3.4108,1.7474,62.6262,131.52
WithNew-3,3,2.7748,1.6219,16.2015,41.1
WithNew-2,3,3.3369,1.659,26.1889,73.98
WithNew-4,3,4.0077,1.7575,35.3044,312.36
WithNew-1,3,4.5266,1.7541,62.6262,131.52
Existing-1,3,2.5578,1.8907,26.1889,73.98
Existing-2,3,3.672,1.8562,62.6262,131.52
Existing-3,3,3.7435,1.8578,35.3044,312.36
WithNew-1,3,3.0358,1.5185,26.1889,73.98
WithNew-2,3,4.3055,1.6617,62.6262,131.52
WithNew-3,3,4.3442,1.7142,35.3044,312.36
WithNew-4,3,4.4724,1.6652,35.3044,312.36
Existing-2,3,2.4454,1.872,26.1889,73.98
Existing-3,3,2.8684,1.7771,35.3044,312.36
Existing-1,3,3.4398,1.7311,60.5415,123.3
WithNew-4,3,2.8052,1.6552,16.2015,41.1
WithNew-2,3,3.1746,1.7238,26.1889,73.98
WithNew-1,3,4.1259,1.7055,60.5415,123.3
WithNew-3,3,4.3008,1.6411,35.3044,312.36
Existing-3,3,2.2369,1.7387,11.7294,106.86
Existing-2,3,3.5079,1.6573,61.4555,106.86
Existing-1,3,3.842,1.6808,60.5415,123.3
WithNew-3,3,2.2612,1.6939,11.7294,106.86
WithNew-4,3,2.3977,1.6667,16.2015,41.1
WithNew-2,3,3.7988,1.5737,61.4555,106.86
WithNew-1,3,4.2525,1.6807,60.5415,123.3
Existing-2,3,1.5874,1.8343,16.2015,41.1
Existing-3,3,2.4401,1.9305,26.1889,73.98
Existing-1,3,3.0711,1.7116,57.8413,106.86
WithNew-2,3,2.7715,1.5958,16.2015,41.1
WithNew-3,3,3.235,1.6813,26.1889,73.98
WithNew-1,3,4.3051,1.5239,57.8413,106.86
WithNew-4,3,4.406,1.5419,35.3044,312.36
Existing-1,3,4.8783,1.6543,60.5415,123.3
Existing-2,3,4.8841,1.6698,61.4555,106.86
Existing-3,3,4.902,1.7038,57.8413,106.86
WithNew-4,3,3.1216,1.8392,11.7294,106.86
WithNew-3,3,4.8617,1.7698,57.8413,106.86
WithNew-2,3,5.2024,1.7216,61.4555,106.86
