Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-3,3,2.0427,1.8278,11.7294,106.86
Existing-2,3,2.8985,1.6641,57.8413,106.86
Existing-1,3,2.9661,1.6981,35.3044,312.36
WithNew-3,3,2.3445,1.4468,11.7294,106.86
WithNew-1,3,3.5789,1.4362,35.3044,312.36
WithNew-2,3,3.8505,1.4754,57.8413,106.86
WithNew-4,3,3.8631,1.4528,60.5415,123.3
Existing-3,3,3.7595,1.676,61.4555,106.86
Existing-1,3,3.7772,1.6629,57.8413,106.86
Existing-2,3,4.0394,1.7246,62.6262,131.52
WithNew-3,3,5.2224,1.429,61.4555,106.86
WithNew-1,3,5.239,1.4686,57.8413,106.86
WithNew-4,3,5.2451,1.4782,57.8413,106.86
WithNew-2,3,5.6538,1.5748,62.6262,131.52
Existing-3,3,1.1021,1.7706,6.8019,82.2
Existing-2,3,3.209,1.6942,61.4555,106.86
Existing-1,3,3.218,1.7089,57.8413,106.86
WithNew-3,3,2.0495,1.5994,6.8019,82.2
WithNew-4,3,2.8451,1.5824,26.1889,73.98
WithNew-2,3,4.2129,1.4871,61.4555,106.86
WithNew-1,3,4.2273,1.5658,57.8413,106.86
Existing-3,3,1.5922,1.6955,6.8019,82.2
Existing-2,3,2.2169,1.7037,26.1889,73.98
Existing-1,3,3.2183,1.6496,61.4555,106.86
WithNew-3,3,2.4677,1.6302,6.8019,82.2
WithNew-2,3,3.1487,1.4885,26.1889,73.98
WithNew-1,3,3.8162,1.6146,61.4555,106.86
WithNew-4,3,3.8117,1.633,35.3044,312.36
Existing-3,3,1.2882,1.4972,6.8019,82.2
Existing-2,3,2.6908,1.5574,35.3044,312.36
Existing-1,3,2.8032,1.5962,61.4555,106.86
WithNew-3,3,1.839,1.5559,6.8019,82.2
WithNew-1,3,3.3863,1.5216,61.4555,106.86
WithNew-4,3,3.6705,1.3811,62.6262,131.52
WithNew-2,3,3.7721,1.4705,35.3044,312.36
Existing-3,3,1.3179,1.5026,6.8019,82.2
Existing-2,3,2.1813,1.4536,26.1889,73.98
Existing-1,3,3.2365,1.4802,62.6262,131.52
WithNew-3,3,1.9102,1.7504,6.8019,82.2
WithNew-2,3,2.1275,1.8185,26.1889,73.98
WithNew-4,3,4.0545,1.6517,57.8413,106.86
WithNew-1,3,4.2354,1.7147,62.6262,131.52
Existing-2,3,1.3211,1.6374,16.2015,41.1
Existing-3,3,1.4043,1.6278,6.8019,82.2
Existing-1,3,1.5293,1.63,11.7294,106.86
WithNew-3,3,1.526,1.4374,6.8019,82.2
WithNew-4,3,1.6436,1.6054,11.7294,106.86
WithNew-1,3,1.6535,1.6065,11.7294,106.86
WithNew-2,3,1.8474,1.4933,16.2015,41.1
Existing-2,3,1.5878,1.77,11.7294,106.86
Existing-1,3,2.5849,1.5616,57.8413,106.86
Existing-3,3,2.6688,1.6628,35.3044,312.36
WithNew-2,3,2.3237,1.6636,11.7294,106.86
WithNew-4,3,2.6574,1.5416,26.1889,73.98
WithNew-3,3,3.4514,1.6572,35.3044,312.36
WithNew-1,3,3.5962,1.5376,57.8413,106.86
Existing-2,3,1.2278,1.7253,16.2015,41.1
Existing-3,3,1.2925,1.5792,6.8019,82.2
Existing-1,3,2.7438,1.5453,62.6262,131.52
WithNew-3,3,1.9123,1.7168,6.8019,82.2
WithNew-2,3,2.0054,1.57,16.2015,41.1
WithNew-4,3,2.1547,1.5709,11.7294,106.86
WithNew-1,3,3.6055,1.7387,62.6262,131.52
Existing-2,3,1.6213,1.6722,16.2015,41.1
Existing-1,3,2.9088,1.6356,61.4555,106.86
Existing-3,3,3.0978,1.5178,35.3044,312.36
WithNew-2,3,2.7085,1.6968,16.2015,41.1
WithNew-3,3,3.6833,1.5974,35.3044,312.36
WithNew-4,3,3.8249,1.5376,62.6262,131.52
WithNew-1,3,4.2747,1.5896,61.4555,106.86
Existing-1,3,1.5975,1.7104,11.7294,106.86
Existing-2,3,2.0962,1.6177,26.1889,73.98
Existing-3,3,3.005,1.5941,57.8413,106.86
WithNew-1,3,2.2171,1.8052,11.7294,106.86
WithNew-2,3,3.0062,1.7553,26.1889,73.98
WithNew-4,3,3.9825,1.7853,57.8413,106.86
WithNew-3,3,3.9881,1.7853,57.8413,106.86
Existing-2,3,1.6029,1.6391,6.8019,82.2
Existing-3,3,3.4017,1.597,57.8413,106.86
Existing-1,3,3.4289,1.6132,60.5415,123.3
WithNew-2,3,2.0155,1.8135,6.8019,82.2
WithNew-4,3,2.0973,1.7648,11.7294,106.86
WithNew-1,3,3.8072,1.7063,60.5415,123.3
WithNew-3,3,3.8062,1.7063,57.8413,106.86
Existing-1,3,1.9823,1.649,16.2015,41.1
Existing-2,3,3.2078,1.7165,60.5415,123.3
Existing-3,3,3.5152,1.6977,62.6262,131.52
WithNew-4,3,2.835,1.5441,16.2015,41.1
WithNew-1,3,2.8577,1.5365,16.2015,41.1
WithNew-2,3,4.4947,1.3907,60.5415,123.3
WithNew-3,3,4.6559,1.5614,62.6262,131.52
Existing-3,3,1.4359,1.6903,16.2015,41.1
Existing-2,3,1.9574,1.5433,26.1889,73.98
Existing-1,3,3.032,1.6628,62.6262,131.52
WithNew-4,3,2.5174,1.5747,16.2015,41.1
WithNew-3,3,2.6676,1.501,16.2015,41.1
WithNew-2,3,2.9284,1.5202,26.1889,73.98
WithNew-1,3,4.2215,1.7384,62.6262,131.52
Existing-3,3,2.4713,1.6616,26.1889,73.98
Existing-1,3,4.0232,1.7133,57.8413,106.86
Existing-2,3,4.0222,1.7133,60.5415,123.3
WithNew-3,3,2.9149,1.5541,26.1889,73.98
WithNew-4,3,3.9623,1.5589,35.3044,312.36
WithNew-1,3,3.9764,1.5539,57.8413,106.86
WithNew-2,3,4.299,1.5967,60.5415,123.3
Existing-1,3,1.5047,1.7391,6.8019,82.2
Existing-3,3,2.6392,1.4886,35.3044,312.36
Existing-2,3,3.0941,1.4498,60.5415,123.3
WithNew-1,3,2.6315,1.6405,6.8019,82.2
WithNew-4,3,4.0269,1.4614,62.6262,131.52
WithNew-3,3,4.5286,1.6531,35.3044,312.36
