Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-5,5,25,0.681722,0.294005,1.2010335208333334,121392
1-4,5,27,0.138595,0.537905,1.2010413125,317810
1-2,5,27,0.046897,0.828608,1.2010404375000001,317810
1-1,5,28,0.000245,0.993027,1.2017578958333333,514228
1-3,5,33,0.067359,6.507311,1.2968948333333332,5702886
1-6,5,32,0.769555,5.269541,1.3052169895833332,3524577
2-6,5,29,0.831508,2.589597,1.2843768645833333,832039
2-2,5,28,0.03285,1.403717,1.3083398645833333,514228
2-3,5,32,0.119347,9.803773,1.269792395833333,3524577
2-5,5,32,0.465334,11.734166,1.2406258437499997,3524577
2-4,5,35,0.185466,20.63379,1.2791648020833333,14930351
2-1,5,34,0.000162,19.443244,1.2995892916666667,9227464
3-5,5,25,0.232785,0.530168,1.2541794166666667,121392
3-2,5,28,0.024017,1.148391,1.2541670312499997,514228
3-4,5,35,0.197025,6.624518,1.2937522916666666,14930351
3-3,5,28,0.135848,2.238792,1.2687503645833333,514228
3-6,5,30,0.563321,2.96011,1.2698139999999998,1346268
3-1,5,29,0.000285,2.021676,1.2406272083333334,832039
4-3,5,25,0.061314,0.280345,1.2760424062500002,121392
4-5,5,27,0.1631,1.09586,1.2416645520833334,317810
4-6,5,28,0.372928,0.897195,1.2197920624999998,514228
4-4,5,34,0.112116,11.227887,1.313543,9227464
4-1,5,31,0.000268,5.953877,1.2416643020833333,2178308
4-2,5,33,0.035762,10.449965,1.2312499270833333,5702886
5-3,5,25,0.095648,0.220508,1.29491421875,121392
5-2,5,25,0.039727,0.179853,1.2786545416666666,121392
5-6,5,26,0.270901,0.527364,1.2437502083333334,196417
5-1,5,30,0.000182,2.599661,1.2458333645833333,1346268
5-5,5,30,0.230028,2.433106,1.2468750416666667,1346268
5-4,5,29,0.156665,1.974108,1.2437505416666665,832039
6-2,5,27,0.047576,2.366247,1.2708355520833334,317810
6-5,5,32,0.341243,12.457476,1.2593739375,3524577
6-4,5,33,0.240469,14.791261,1.2593720104166666,5702886
6-1,5,35,0.000199,28.920081,1.2784070208333336,14930351
