Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-3,5,29,0.078511,4.314604,1.2665401875,832039
1-5,5,34,0.539218,15.161013,1.2614659791666665,9227464
1-1,5,31,0.000274,7.114044,1.2302113958333332,2178308
1-2,5,32,0.027635,9.831354,1.2302118229166665,3524577
1-6,5,32,1.697303,8.961781,1.2302108125,3524577
1-4,5,33,0.454717,13.986089,1.23333228125,5702886
2-4,5,27,0.131403,1.067692,1.2593740520833332,317810
2-3,5,35,0.065284,9.970749,1.2552063125,14930351
2-6,5,26,0.426629,0.573991,1.2302084895833334,196417
2-2,5,27,0.029694,1.053225,1.2593764375,317810
2-1,5,30,0.000165,3.182044,1.2302085416666666,1346268
2-5,5,35,0.167098,12.30216,1.28021421875,14930351
3-4,5,27,0.161821,0.682602,1.2302129375000002,317810
3-1,5,28,0.000274,1.109101,1.2593758958333332,514228
3-3,5,30,0.085617,3.945985,1.2302142812499999,1346268
3-6,5,35,0.28904,14.180424,1.2552103854166665,14930351
3-5,5,32,0.22304,10.135926,1.2364862708333335,3524577
3-2,5,33,0.034692,12.095104,1.2645739479166667,5702886
4-1,5,33,0.000283,6.49612,1.2708312916666666,5702886
4-4,5,25,0.174718,0.259171,1.27292509375,121392
4-6,5,26,0.444339,0.421101,1.2301972291666665,196417
4-5,5,25,0.39355,0.579962,1.230207875,121392
4-3,5,29,0.103473,1.803127,1.230213739583333,832039
4-2,5,32,0.032284,5.863526,1.2468810833333335,3524577
5-2,5,25,0.023557,0.086763,1.3302750416666664,121392
5-3,5,27,0.11565,0.685712,1.3039742395833331,317810
5-4,5,26,0.2354,0.362451,1.2677096354166668,196417
5-1,5,29,0.000281,1.631813,1.2886079583333332,832039
5-5,5,35,0.297227,11.069085,1.2552081354166666,14930351
5-6,5,33,0.348644,8.669951,1.2677071666666666,5702886
6-5,5,34,0.29831,3.834965,1.2552090312500002,9227464
6-2,5,27,0.038732,0.913227,1.24375059375,317810
6-3,5,26,0.094783,0.338014,1.2687534895833334,196417
6-1,5,28,0.000349,0.820575,1.2437591145833333,514228
6-4,5,27,0.186273,1.05332,1.23020459375,317810
6-6,5,29,0.453728,1.576154,1.2662399895833334,832039
7-4,5,25,0.180565,0.292804,1.30416821875,121392
7-6,5,34,0.529536,24.592034,1.2937511354166669,9227464
7-1,5,31,0.000267,7.991188,1.2437500625,2178308
7-5,5,34,0.478553,24.333534,1.26207,9227464
7-2,5,33,0.028016,14.399767,1.2437511250000002,5702886
7-3,5,34,0.11952,22.261382,1.30208853125,9227464
8-3,5,33,0.049859,17.400164,1.2562548645833334,5702886
8-1,5,30,0.000187,4.329565,1.2614590520833333,1346268
8-6,5,29,0.634668,3.396216,1.2631613958333334,832039
8-5,5,33,0.309329,16.685117,1.26145778125,5702886
8-4,5,33,0.248151,16.43097,1.2302074375,5702886
8-2,5,33,0.02428,17.063816,1.2614651145833333,5702886
9-4,5,34,0.174384,5.48564,1.3062515000000001,9227464
9-1,5,25,0.000285,0.035819,1.4239198854166668,121392
9-2,5,29,0.036147,1.633216,1.3018797916666667,832039
9-5,5,30,0.226398,3.053957,1.2385461145833332,1346268
9-3,5,30,0.0824,3.554219,1.30208346875,1346268
9-6,5,28,0.370528,1.93529,1.267704520833333,514228
10-1,5,30,0.000259,4.501143,1.2812496562499998,1346268
10-2,5,30,0.041558,3.647042,1.2520837187499998,1346268
10-4,5,33,0.13328,16.880046,1.2520835,5702886
10-6,5,33,0.738534,16.576367,1.2520832604166667,5702886
10-5,5,35,0.250399,31.285649,1.2781250208333332,14930351
10-3,5,35,0.067117,31.337826,1.27082540625,14930351
11-6,5,33,0.852863,10.742783,1.2770824479166667,5702886
11-4,5,27,0.206861,1.474884,1.2520832708333334,317810
11-2,5,28,0.033938,1.741866,1.25208384375,514228
11-5,5,29,0.613856,3.374198,1.2520883125,832039
11-1,5,32,0.0003,7.337984,1.2812530833333333,3524577
11-3,5,33,0.150904,11.19428,1.3177082083333331,5702886
12-1,5,34,0.000289,8.217874,1.2770850937500002,9227464
12-4,5,25,0.127026,0.256985,1.2791725729166665,121392
12-2,5,27,0.031367,1.214249,1.3239614375000002,317810
12-5,5,29,0.17287,1.941942,1.25208303125,832039
12-3,5,30,0.107537,3.963652,1.2525528541666668,1346268
12-6,5,32,0.223933,6.508784,1.3166713541666666,3524577
13-5,5,32,0.400866,6.355585,1.3062587083333332,3524577
13-4,5,25,0.360077,0.33527,1.2812499791666667,121392
13-2,5,27,0.044758,0.976497,1.3104170833333333,317810
13-3,5,28,0.171848,1.893342,1.2826755625000004,514228
13-1,5,32,0.000264,5.730107,1.2656191770833332,3524577
13-6,5,31,0.644858,5.815624,1.3354193541666666,2178308
14-4,5,26,0.135385,0.215331,1.2854170520833335,196417
14-3,5,27,0.113754,0.79987,1.2562717916666668,317810
14-2,5,28,0.037485,0.9804,1.2562513020833332,514228
14-6,5,25,0.620658,0.428926,1.2562507916666665,121392
14-5,5,35,0.225525,21.843589,1.25728771875,14930351
14-1,5,35,0.000282,21.915358,1.2473549375,14930351
15-2,5,27,0.039344,0.958157,1.2395736770833332,317810
15-5,5,25,0.344677,0.391246,1.2260236666666666,121392
15-6,5,27,0.477113,1.370801,1.2833339895833333,317810
15-4,5,32,0.166589,6.931166,1.2302102291666668,3524577
15-1,5,35,0.000282,16.959742,1.2553248437500002,14930351
15-3,5,34,0.095301,15.030309,1.2354188750000001,9227464
16-2,5,28,0.028791,0.984065,1.2593706666666666,514228
16-6,5,28,0.229487,1.983258,1.25937703125,514228
16-1,5,32,0.000239,9.713527,1.259375333333333,3524577
