Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-3,5,25,0.069317,0.240854,1.2760403645833334,121392
1-1,5,27,0.000176,0.215587,1.267705541666667,317810
1-5,5,26,0.246573,0.456611,1.2500034374999998,196417
1-6,5,26,0.292531,0.563408,1.2791670208333332,196417
1-2,5,34,0.045993,13.587212,1.2791668125000002,9227464
1-4,5,34,0.118968,13.344732,1.2614447291666668,9227464
2-1,5,34,0.000234,9.238795,1.3343743854166665,9227464
2-4,5,28,0.174707,2.072887,1.3093712708333334,514228
2-5,5,26,0.380682,1.062673,1.280204010416667,196417
2-2,5,28,0.020835,1.031099,1.2802078958333334,514228
2-6,5,31,0.761918,4.787292,1.2218747916666666,2178308
2-3,5,32,0.108546,7.837332,1.2510332604166667,3524577
3-5,5,27,0.270824,1.064804,1.2510419062499998,317810
3-2,5,29,0.031752,2.705398,1.2802081770833336,832039
3-3,5,30,0.102917,4.285362,1.2802087291666664,1346268
3-6,5,30,0.302589,4.273255,1.2802085208333334,1346268
3-1,5,35,0.000262,12.732354,1.3052093333333334,14930351
3-4,5,33,0.199523,10.009973,1.3052112291666664,5702886
4-5,5,32,0.261669,4.40323,1.28958390625,3524577
4-6,5,29,0.379588,3.015534,1.2645823020833333,832039
4-3,5,27,0.08241,0.752482,1.2645866562499999,317810
4-1,5,25,0.000263,0.035988,1.3323013125000003,121392
4-4,5,29,0.214867,3.024572,1.2937531770833335,832039
4-2,5,31,0.036327,4.168638,1.3029739166666665,2178308
5-6,5,34,0.43018,7.890784,1.30521265625,9227464
5-1,5,31,0.000266,6.429636,1.3343733541666667,2178308
5-3,5,27,0.086769,1.154669,1.2802074374999999,317810
5-2,5,30,0.035872,5.399282,1.2802088125,1346268
5-4,5,31,0.157932,5.360077,1.2510468958333334,2178308
5-5,5,30,0.30565,5.804207,1.2510417916666667,1346268
6-4,5,25,0.122051,0.743236,1.2510409166666667,121392
6-3,5,27,0.061029,1.030618,1.280209135416667,317810
6-1,5,29,0.000304,1.734297,1.2802105104166668,832039
6-5,5,35,0.218709,13.556106,1.2625009895833335,14930351
6-6,5,32,0.508671,8.50596,1.295826135416667,3524577
6-2,5,33,0.025374,11.383837,1.2916484062500002,5702886
7-3,5,33,0.078258,5.593719,1.2364605416666665,5702886
7-6,5,28,0.897332,2.039557,1.2083375416666666,514228
7-5,5,27,0.307502,1.790385,1.208334875,317810
7-4,5,27,0.099056,1.313599,1.2083320104166668,317810
7-1,5,30,0.0003,3.023701,1.2374918854166668,1346268
7-2,5,31,0.03259,4.65928,1.21979315625,2178308
8-3,5,31,0.09521,5.581381,1.2447924479166665,2178308
8-4,5,26,0.217209,0.671228,1.2447929999999998,196417
8-1,5,32,0.000244,8.458601,1.2989581875,3524577
8-5,5,29,0.410243,3.178568,1.2080629479166667,832039
8-6,5,35,0.496578,11.239344,1.3010407083333333,14930351
