Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-5,5,34,0.422907,6.078376,1.28437625,9227464
1-3,5,28,0.073714,1.287303,1.23020625,514228
1-4,5,29,0.150067,3.032284,1.2593751875,832039
1-6,5,30,0.66672,3.348708,1.2593842499999999,1346268
1-1,5,29,0.000198,3.323911,1.2593766458333335,832039
1-2,5,30,0.027897,4.56107,1.2385403125,1346268
2-1,5,27,0.000306,0.131985,1.2791237291666668,317810
2-4,5,26,0.189095,0.667249,1.2302083125,196417
2-6,5,34,0.360427,15.374742,1.2552078645833333,9227464
2-3,5,32,0.15286,10.185612,1.2885420208333334,3524577
2-5,5,33,0.246503,13.847054,1.2593770625,5702886
2-2,5,33,0.046405,14.661512,1.2645879479166668,5702886
3-6,5,33,0.386729,14.207333,1.2843769999999999,5702886
3-4,5,29,0.161269,3.652781,1.2145941666666664,832039
3-2,5,26,0.047511,0.646805,1.250000875,196417
3-5,5,33,0.355579,13.070442,1.2593588958333333,5702886
3-3,5,32,0.079913,9.443921,1.2552176770833332,3524577
3-1,5,33,0.000306,14.170954,1.284367375,5702886
4-4,5,30,0.228576,1.617663,1.2871904479166667,1346268
4-6,5,29,0.403736,1.238025,1.2496201562499998,832039
4-5,5,25,0.336419,0.390887,1.2593748854166669,121392
4-1,5,26,0.00022,0.057016,1.3372793020833336,196417
4-2,5,27,0.048298,0.324018,1.2556143020833332,317810
4-3,5,27,0.088132,0.634333,1.2593764479166665,317810
5-2,5,25,0.022432,0.280843,1.2468731874999999,121392
5-5,5,29,0.230909,2.254888,1.2885406666666668,832039
5-3,5,35,0.053015,10.634911,1.3135440833333334,14930351
5-4,5,29,0.124259,4.031658,1.2604176770833333,832039
5-6,5,31,0.319055,4.963435,1.2377804479166667,2178308
5-1,5,32,0.000234,7.866021,1.287509895833333,3524577
6-4,5,29,0.310393,2.554726,1.2312321458333333,832039
6-6,5,30,1.144271,4.467581,1.263542,1346268
6-3,5,31,0.106866,7.819746,1.2635448020833335,2178308
6-2,5,32,0.045831,10.651494,1.2312513020833333,3524577
6-1,5,35,0.000269,20.725653,1.2843753437500003,14930351
6-5,5,34,0.508828,19.051117,1.2843739791666668,9227464
7-4,5,35,0.296495,8.805251,1.2843756145833332,14930351
7-6,5,26,0.840806,0.725661,1.2302141770833335,196417
7-3,5,29,0.113178,3.30345,1.2509333645833334,832039
7-5,5,29,0.713713,2.450893,1.2312481041666665,832039
7-2,5,31,0.041882,5.831748,1.2885474479166668,2178308
7-1,5,31,0.000398,5.965682,1.29479203125,2178308
8-1,5,27,0.000286,0.364913,1.2312516354166667,317810
8-4,5,27,0.186565,0.989725,1.2291664479166664,317810
8-3,5,32,0.094937,7.405785,1.2291663645833335,3524577
8-2,5,34,0.038908,16.842886,1.2593760833333334,9227464
8-6,5,33,0.52589,13.079612,1.2583338333333334,5702886
8-5,5,33,0.473517,15.771145,1.2611580520833334,5702886
9-5,5,27,0.350866,1.131306,1.2000002708333335,317810
9-4,5,31,0.186352,7.49387,1.1999990416666666,2178308
9-3,5,35,0.112966,25.245261,1.28437690625,14930351
9-2,5,32,0.036704,12.548036,1.2877352291666666,3524577
9-1,5,34,0.000292,21.8625,1.2729385104166666,9227464
9-6,5,34,0.503579,23.271291,1.2718610104166665,9227464
10-5,5,33,0.19564,6.796259,1.2552098333333335,5702886
10-3,5,25,0.05137,0.08195,1.3270814374999997,121392
10-1,5,25,0.000296,0.050976,1.4041582708333336,121392
10-6,5,28,0.308968,1.16517,1.2302061354166665,514228
10-4,5,30,0.143811,3.318854,1.2302126458333331,1346268
10-2,5,32,0.030774,6.292352,1.27604053125,3524577
11-6,5,33,0.450202,16.146556,1.3135425208333333,5702886
11-1,5,27,0.000259,0.378397,1.3062501249999998,317810
11-3,5,33,0.128074,15.313782,1.2885413958333334,5702886
11-2,5,28,0.021352,1.144558,1.201041625,514228
11-5,5,33,0.389087,15.022504,1.28854321875,5702886
11-4,5,33,0.341661,15.950811,1.2979171145833333,5702886
12-2,5,33,0.036616,5.305994,1.30521378125,5702886
12-6,5,27,0.319587,0.927533,1.2302123125,317810
12-1,5,25,0.000283,0.036076,1.3013222187500002,121392
12-5,5,28,0.251988,2.309606,1.2301842604166666,514228
12-3,5,29,0.072613,2.293509,1.2482749583333337,832039
12-4,5,31,0.189522,4.32802,1.2447920104166668,2178308
13-1,5,25,0.000265,0.035551,1.326043625,121392
13-3,5,33,0.066887,6.473376,1.3000016979166669,5702886
13-5,5,25,0.305453,0.242245,1.2833406354166668,121392
