Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-2,3,31,0.038628,4.257046,1.4636016145833335,2178308
1-3,3,29,0.063805,2.524898,1.4065419583333334,832039
1-4,3,34,0.155366,8.024513,1.5921985208333334,9227464
1-1,3,32,0.000434,6.505768,1.4827957916666663,3524577
2-3,3,34,0.145745,5.822871,1.6388629166666662,9227464
2-1,3,30,0.000235,2.668717,1.4607275,1346268
2-4,3,28,0.196683,1.934605,1.3538415625000004,514228
2-2,3,31,0.03489,4.087428,1.514406333333333,2178308
3-4,3,34,0.18918,3.878717,1.4889588020833333,9227464
3-1,3,27,0.000306,0.111551,1.6230920104166673,317810
3-2,3,30,0.050555,1.922169,1.5476141770833336,1346268
3-3,3,28,0.112156,0.826927,1.3824907916666662,514228
4-3,3,28,0.094981,1.099181,1.4758999895833338,514228
4-2,3,26,0.049108,0.228131,1.499078427083333,196417
4-1,3,35,0.000285,4.767572,1.6264227812500003,14930351
4-4,3,28,0.155789,1.01673,1.468377520833333,514228
5-2,3,28,0.03717,1.337007,1.4731877604166663,514228
5-4,3,30,0.205054,3.133806,1.5161928958333328,1346268
5-3,3,34,0.154076,14.416399,1.5885766770833327,9227464
5-1,3,35,0.000296,15.971101,1.4762028020833333,14930351
6-3,3,27,0.097421,0.447996,1.614336364583333,317810
6-2,3,27,0.036383,0.665492,1.5493062708333334,317810
6-4,3,35,0.153415,20.221315,1.5898037604166668,14930351
6-1,3,35,0.000334,19.873862,1.5145559166666662,14930351
7-3,3,28,0.062388,0.951717,1.5546545312499995,514228
7-2,3,25,0.021701,0.127988,1.4628676145833333,121392
7-1,3,32,0.000246,5.369475,1.5110572812500007,3524577
7-4,3,32,0.113371,5.087631,1.5076510729166668,3524577
8-2,3,26,0.038901,0.138952,1.4689980729166663,196417
8-4,3,33,0.120844,2.34676,1.563311614583333,5702886
8-3,3,25,0.100009,0.314308,1.4306873020833335,121392
8-1,3,29,0.000345,1.131509,1.6206541458333332,832039
9-1,3,26,0.00032,0.090287,1.4600023958333335,196417
9-3,3,33,0.090739,6.846073,1.4844565729166668,5702886
9-4,3,31,0.147568,4.095203,1.4796600937499997,2178308
9-2,3,32,0.034993,6.201432,1.4677181145833338,3524577
10-1,3,31,0.000336,2.256199,1.5827339375000005,2178308
10-3,3,25,0.118174,0.305805,1.5364700416666666,121392
10-4,3,25,0.209836,0.403188,1.4465009687499997,121392
10-2,3,30,0.026862,1.929046,1.5317078958333334,1346268
11-4,3,33,0.204526,8.742237,1.4752491562500005,5702886
11-2,3,31,0.028304,3.915617,1.42454859375,2178308
11-1,3,31,0.000246,5.285457,1.5324615000000004,2178308
11-3,3,32,0.13503,8.425781,1.4323735000000004,3524577
12-1,3,30,0.00032,3.271308,1.4032180625,1346268
12-3,3,31,0.106109,5.021437,1.3975588333333333,2178308
12-4,3,34,0.151881,11.332898,1.6189019062500003,9227464
12-2,3,33,0.050119,10.460125,1.5313525312499998,5702886
13-2,3,35,0.035782,4.00151,1.5665859999999996,14930351
13-3,3,25,0.076999,0.158834,1.677913041666667,121392
13-1,3,25,0.000299,0.035197,1.7012434895833328,121392
13-4,3,26,0.159174,0.250958,1.6859096666666664,196417
14-1,3,33,0.000242,7.012807,1.5587870937500001,5702886
14-2,3,29,0.040124,2.266688,1.4271577604166672,832039
