Task ID,Task Number,Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs)
Existing-1,1,0.5464,1.7709,6.8019,82.2
WithNew-2,1,0.708,2.0518,6.8019,82.2
WithNew-1,1,0.8297,1.9445,6.8019,82.2
Existing-1,1,2.3704,1.7536,60.5415,123.3
WithNew-2,1,3.2013,1.7262,60.5415,123.3
WithNew-1,1,3.2078,1.7183,60.5415,123.3
Existing-1,1,2.1909,1.791,57.8413,106.86
WithNew-2,1,3.0604,1.7268,57.8413,106.86
WithNew-1,1,3.067,1.7303,57.8413,106.86
Existing-1,1,0.5457,1.9777,6.8019,82.2
WithNew-1,1,0.7386,1.9019,6.8019,82.2
WithNew-2,1,0.8942,1.689,6.8019,82.2
Existing-1,1,2.3869,1.7134,61.4555,106.86
WithNew-2,1,3.039,1.5225,61.4555,106.86
WithNew-1,1,3.0463,1.5282,61.4555,106.86
Existing-1,1,0.651,1.7324,11.7294,106.86
WithNew-1,1,0.8527,1.5792,11.7294,106.86
WithNew-2,1,0.8912,1.7986,11.7294,106.86
Existing-1,1,0.8199,1.6707,16.2015,41.1
WithNew-1,1,1.087,1.8114,16.2015,41.1
WithNew-2,1,1.2677,1.7304,16.2015,41.1
Existing-1,1,2.4547,1.7056,62.6262,131.52
WithNew-2,1,3.1107,1.5448,62.6262,131.52
WithNew-1,1,3.1235,1.5459,62.6262,131.52
Existing-1,1,1.2445,1.6738,26.1889,73.98
WithNew-1,1,1.3857,1.6602,26.1889,73.98
WithNew-2,1,1.7569,1.5306,26.1889,73.98
Existing-1,1,1.1629,1.8388,26.1889,73.98
WithNew-1,1,1.5453,1.5689,26.1889,73.98
WithNew-2,1,1.5444,1.5689,26.1889,73.98
