Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-7,10,25,0.54091,0.846329,1.2480364687500003,121392
1-1,10,26,0.000333,0.081782,1.2732896979166664,196417
1-3,10,26,0.087474,0.190663,1.2301404062499999,196417
1-5,10,31,0.330455,8.771677,1.2593917395833334,2178308
1-9,10,32,0.719001,12.929538,1.2302140520833333,3524577
1-6,10,30,0.377442,6.797466,1.2302056041666667,1346268
1-10,10,32,0.898532,12.758645,1.2302140937500001,3524577
1-2,10,32,0.040096,16.364099,1.2302011770833334,3524577
1-4,10,32,0.294031,16.584929,1.2317536458333331,3524577
1-8,10,32,0.663418,16.300185,1.2333402291666666,3524577
1-11,10,31,1.02578,15.085818,1.2593801145833334,2178308
2-5,10,26,0.241086,0.855494,1.2572934791666666,196417
2-7,10,25,0.73964,0.382282,1.2572913229166667,121392
2-11,10,26,1.505946,1.028178,1.2572919791666666,196417
2-4,10,29,0.200024,4.655621,1.2916671041666665,832039
2-1,10,26,0.000356,0.082192,1.2791666354166666,196417
2-3,10,31,0.087678,8.200888,1.2302098437500002,2178308
2-10,10,32,1.215057,11.533426,1.2437505833333333,3524577
2-8,10,32,0.921552,15.069295,1.2729161041666666,3524577
2-9,10,32,1.142597,16.054455,1.2437499791666666,3524577
2-6,10,35,0.312707,25.003288,1.26250084375,14930351
2-2,10,34,0.038592,23.968668,1.3156492812499998,9227464
3-6,10,28,0.44715,1.649775,1.24017040625,514228
3-4,10,25,0.156279,0.219027,1.2667493333333335,121392
3-5,10,25,0.257893,0.533666,1.2479291875,121392
3-1,10,29,0.000355,3.938311,1.2073053750000002,832039
3-3,10,27,0.100335,0.841024,1.2511283437499998,317810
3-7,10,27,0.546398,1.766496,1.20729125,317810
3-11,10,25,1.004007,1.900796,1.2072923125,121392
3-9,10,28,0.85435,2.923679,1.20729159375,514228
3-2,10,32,0.044353,11.178286,1.2364588333333333,3524577
3-10,10,35,0.931803,17.947202,1.2604184062500001,14930351
3-8,10,34,0.785054,16.444725,1.2402672083333335,9227464
4-2,10,26,0.032622,0.427131,1.2562506354166667,196417
4-6,10,27,0.541226,1.384171,1.22083778125,317810
4-4,10,26,0.159841,0.509806,1.2544235000000001,196417
4-8,10,28,0.690684,3.266959,1.2489584375,514228
4-11,10,26,1.05431,1.300828,1.2781198437499999,196417
4-9,10,28,0.787228,3.042516,1.2489592395833333,514228
4-10,10,28,0.863328,2.697855,1.2781250729166667,514228
4-7,10,31,0.597875,7.144354,1.2591777083333333,2178308
4-3,10,32,0.078509,11.01181,1.2531380312500002,3524577
4-5,10,35,0.235866,20.163663,1.2854172291666668,14930351
4-1,10,34,0.000318,18.81114,1.2937536458333336,9227464
5-2,10,26,0.048408,0.168832,1.2614734583333334,196417
5-9,10,25,0.964366,0.397846,1.2520657916666666,121392
5-1,10,26,0.000347,0.064598,1.24515565625,196417
5-6,10,27,0.285107,0.674049,1.2229203750000002,317810
5-7,10,30,0.356746,8.46931,1.2416657916666667,1346268
5-3,10,33,0.09075,19.736698,1.2416501562500002,5702886
5-10,10,34,1.103925,32.465025,1.2666678437500003,9227464
5-4,10,33,0.157692,29.01061,1.2416713645833333,5702886
5-5,10,34,0.243327,32.209988,1.2416686354166666,9227464
5-8,10,33,0.729637,24.79593,1.2460848645833331,5702886
5-11,10,34,1.355405,31.988574,1.2604176770833333,9227464
6-1,10,25,0.000349,0.053462,1.3873324166666665,121392
6-5,10,28,0.345197,2.298331,1.2875001979166667,514228
6-3,10,25,0.089884,0.101467,1.35135146875,121392
6-9,10,28,0.737876,1.590141,1.3000008229166666,514228
6-6,10,26,0.463104,1.175054,1.2875011875,196417
6-8,10,31,0.675111,7.614149,1.2135367604166665,2178308
6-11,10,33,0.971379,12.186696,1.3052138020833333,5702886
6-7,10,31,0.519853,10.291359,1.2791715729166666,2178308
6-10,10,31,0.900294,10.433181,1.2928374270833336,2178308
6-2,10,32,0.026644,11.157436,1.2928386562500003,3524577
6-4,10,32,0.212453,12.182457,1.2819773229166664,3524577
7-10,10,25,1.214967,0.207459,1.2677096666666665,121392
7-11,10,30,1.427677,3.053956,1.2677085625,1346268
7-8,10,28,0.735577,3.788901,1.2895832500000002,514228
7-2,10,27,0.024515,1.696017,1.2677062083333333,317810
7-7,10,26,0.537409,0.383819,1.2677086145833334,196417
7-4,10,28,0.166829,3.013543,1.2677086875,514228
7-9,10,29,1.072843,4.152787,1.3146106875,832039
7-5,10,29,0.222881,4.66768,1.2854173229166665,832039
7-6,10,35,0.451154,21.171827,1.3072935416666667,14930351
7-1,10,33,0.000436,15.254016,1.2750027499999999,5702886
7-3,10,34,0.095515,19.892476,1.3050212812500002,9227464
8-2,10,25,0.027817,0.107917,1.3302132916666667,121392
8-5,10,25,0.281831,0.236763,1.29791665625,121392
8-6,10,25,0.507701,0.566937,1.2979009895833336,121392
8-11,10,29,1.074955,3.924242,1.2687557604166666,832039
8-9,10,29,0.929231,6.693519,1.26875078125,832039
8-7,10,33,0.560333,20.209328,1.2687495624999998,5702886
8-8,10,32,0.66412,19.485472,1.2687497083333332,3524577
8-1,10,33,0.000363,23.340165,1.2687502812499996,5702886
8-10,10,35,0.985038,43.045679,1.2802079375,14930351
8-3,10,35,0.114304,43.35392,1.2333340729166666,14930351
8-4,10,35,0.198507,43.497505,1.2552128020833333,14930351
9-8,10,26,0.819341,3.196138,1.2343766770833333,196417
9-1,10,27,0.000335,0.497877,1.2343762395833333,317810
9-10,10,28,0.973023,3.230162,1.23438615625,514228
9-5,10,28,0.221475,3.462382,1.2343814375000002,514228
