Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-3,10,29,0.063972,2.709029,1.5008230833333334,832039
1-2,10,27,0.037466,0.189906,1.3625541770833332,317810
1-1,10,25,0.000345,0.042884,1.361946072916667,121392
1-6,10,28,0.500955,0.664675,1.367823583333333,514228
1-4,10,28,0.233026,2.212276,1.4559276041666662,514228
1-11,10,25,1.376346,0.762735,1.4768284583333326,121392
1-10,10,30,1.253703,4.977303,1.3991044583333334,1346268
1-9,10,32,1.127273,11.980592,1.48391103125,3524577
1-8,10,33,0.888001,17.137149,1.5601033854166664,5702886
1-7,10,34,0.628525,19.838039,1.5702941458333337,9227464
1-5,10,34,0.305529,20.078615,1.5252746770833336,9227464
2-2,10,28,0.020783,0.760985,1.53771653125,514228
2-4,10,29,0.213977,3.325693,1.4718850833333326,832039
2-9,10,25,0.818314,1.264845,1.5318856354166668,121392
2-10,10,31,0.858973,4.932907,1.5361312916666663,2178308
2-3,10,26,0.091989,0.512591,1.4282658229166665,196417
2-7,10,33,0.424119,7.7491,1.5054648645833333,5702886
2-6,10,29,0.286498,4.682666,1.4323556041666667,832039
2-11,10,29,1.484397,4.703362,1.515245041666667,832039
2-8,10,29,0.595272,5.308391,1.5190765000000002,832039
2-1,10,31,0.000331,7.041097,1.4837799270833336,2178308
2-5,10,31,0.264525,6.837108,1.4945720416666666,2178308
3-10,10,25,0.714307,0.35648,1.42100465625,121392
3-4,10,26,0.082512,0.405011,1.4387623645833334,196417
3-7,10,29,0.513484,2.857438,1.45741009375,832039
3-9,10,26,0.67295,0.72289,1.4533105000000002,196417
3-1,10,27,0.000278,0.358114,1.4747949687499995,317810
3-5,10,28,0.358493,2.033993,1.531703416666667,514228
3-3,10,29,0.055752,3.350359,1.4626356979166666,832039
3-2,10,28,0.031644,2.440587,1.5021920104166666,514228
3-8,10,34,0.601732,12.500886,1.4778918958333336,9227464
3-6,10,35,0.40712,15.690447,1.4334543333333332,14930351
3-11,10,35,0.836075,17.271558,1.4618259270833334,14930351
4-7,10,29,0.457029,4.835275,1.3448135833333332,832039
4-3,10,26,0.117546,0.532927,1.4109530104166668,196417
4-9,10,29,0.747283,4.089962,1.393611552083333,832039
4-6,10,26,0.356594,0.439387,1.335417541666667,196417
4-1,10,29,0.000337,5.564865,1.36390584375,832039
4-8,10,28,0.558616,5.165559,1.4514354270833336,514228
4-2,10,32,0.026059,12.360668,1.4046936041666664,3524577
4-5,10,33,0.234705,18.905237,1.482473072916667,5702886
4-4,10,35,0.173539,29.71274,1.3998966666666663,14930351
4-11,10,34,1.147958,26.617067,1.4625253541666663,9227464
4-10,10,34,0.898046,27.543754,1.3758172708333332,9227464
5-11,10,28,1.985114,2.926276,1.4845581770833325,514228
5-4,10,29,0.146897,4.424849,1.4652665,832039
5-2,10,30,0.029825,8.197079,1.3973594375,1346268
5-8,10,32,0.990325,17.368805,1.4083546145833332,3524577
5-1,10,34,0.000287,38.329572,1.5431845000000002,9227464
5-9,10,35,1.188136,48.523508,1.47029990625,14930351
5-5,10,34,0.197925,39.027439,1.467588020833333,9227464
5-6,10,34,0.243892,45.891087,1.5114593749999996,9227464
5-10,10,34,1.355579,46.376094,1.4275414687499999,9227464
5-7,10,35,0.589241,46.34843,1.4760845312500004,14930351
5-3,10,34,0.060421,48.861519,1.52031328125,9227464
6-8,10,26,0.610373,0.717951,1.455354583333333,196417
6-11,10,30,1.064067,5.127321,1.3803999270833331,1346268
6-1,10,29,0.000261,4.485372,1.3888726354166667,832039
6-5,10,25,0.154147,0.338867,1.3911497291666666,121392
6-10,10,30,0.876315,6.801603,1.4783227291666665,1346268
6-9,10,31,0.686631,10.815382,1.4878462187500001,2178308
6-4,10,32,0.118318,14.524743,1.5183383333333333,3524577
6-6,10,33,0.220307,21.987038,1.412640260416667,5702886
6-7,10,35,0.518924,32.816129,1.607207145833333,14930351
6-2,10,35,0.02671,34.056458,1.5139308020833335,14930351
6-3,10,34,0.067489,29.129419,1.3644459062499996,9227464
7-4,10,25,0.168847,0.446443,1.48074721875,121392
7-9,10,30,0.891767,5.311838,1.4759348854166667,1346268
7-1,10,30,0.000343,5.125321,1.5151219687500004,1346268
7-11,10,27,1.85524,1.978951,1.44060234375,317810
7-10,10,29,1.106056,5.679095,1.3955317916666665,832039
7-6,10,29,0.439535,4.731128,1.4969425000000003,832039
7-2,10,30,0.046706,6.595889,1.5202809375,1346268
7-3,10,31,0.082417,9.799087,1.4047565937500002,2178308
7-7,10,32,0.459709,10.84817,1.4069490416666666,3524577
7-8,10,35,0.598751,27.072971,1.3325795833333332,14930351
7-5,10,35,0.229747,27.064072,1.4803255520833334,14930351
8-1,10,25,0.000316,0.058244,1.3537769791666665,121392
8-11,10,26,0.650833,1.586888,1.503176260416666,196417
8-5,10,26,0.23384,2.022538,1.3516410416666669,196417
8-8,10,28,0.432269,3.491015,1.3425335416666666,514228
8-3,10,29,0.063701,4.606034,1.2808798854166663,832039
8-9,10,27,0.483312,3.045928,1.3844367604166665,317810
8-7,10,31,0.310444,7.797729,1.3330043020833329,2178308
8-2,10,31,0.027751,7.860208,1.3941838541666665,2178308
8-6,10,35,0.269549,15.769307,1.501758208333333,14930351
8-4,10,32,0.15714,12.196235,1.4571282604166662,3524577
8-10,10,33,0.510726,15.117479,1.4551341875,5702886
9-5,10,28,0.176006,2.15811,1.4766883854166666,514228
9-1,10,29,0.000411,1.898655,1.456035114583333,832039
9-2,10,29,0.042944,4.039233,1.34433846875,832039
9-10,10,26,1.411966,1.784113,1.3198492916666669,196417
9-6,10,29,0.308444,4.297294,1.4478886458333329,832039
9-7,10,27,0.582974,2.223687,1.4135582812499996,317810
9-8,10,33,0.890778,16.831313,1.4331799270833334,5702886
9-11,10,35,1.726271,33.505871,1.399337833333333,14930351
9-4,10,34,0.161528,30.917767,1.3321748229166663,9227464
9-3,10,34,0.098897,33.950997,1.4457329166666661,9227464
9-9,10,35,1.076307,32.770115,1.4548553958333335,14930351
10-9,10,31,0.400199,4.438659,1.5206549166666665,2178308
10-8,10,28,0.347835,2.23998,1.4041198958333332,514228
10-2,10,26,0.026932,0.186594,1.3585828020833335,196417
10-3,10,25,0.065208,0.105574,1.3899185729166665,121392
10-11,10,25,0.805557,0.890824,1.3906403020833333,121392
10-1,10,25,0.000312,0.049322,1.4089453437499997,121392
10-4,10,32,0.171035,13.207194,1.4221591562499998,3524577
10-10,10,32,0.6509,14.350372,1.4085510833333337,3524577
10-6,10,35,0.250462,24.753371,1.4247067812500007,14930351
10-5,10,33,0.207771,17.148173,1.4403674375,5702886
10-7,10,34,0.281617,23.323038,1.512823125,9227464
11-6,10,28,0.308941,3.396903,1.3879375729166665,514228
11-5,10,25,0.144672,0.250915,1.2752121562499996,121392
11-1,10,25,0.000311,0.041416,1.4527103645833337,121392
11-10,10,25,0.812338,0.396149,1.3609943020833333,121392
11-4,10,26,0.10385,0.692732,1.3177356354166667,196417
11-7,10,29,0.400985,3.269303,1.4181515000000002,832039
11-11,10,27,0.887716,1.433789,1.3606857395833334,317810
11-2,10,30,0.03437,4.85523,1.4465171354166668,1346268
11-3,10,34,0.067607,19.81771,1.5756593333333333,9227464
11-9,10,35,0.653854,22.58575,1.4772689062500002,14930351
11-8,10,35,0.489575,23.90548,1.4601739791666668,14930351
12-6,10,27,0.429217,0.757072,1.5334137916666668,317810
12-5,10,30,0.271505,3.228174,1.4817440729166664,1346268
12-9,10,25,0.699027,0.279613,1.5091049687500002,121392
12-11,10,25,1.320393,0.67369,1.5180130312500004,121392
12-10,10,27,1.227229,1.440853,1.440935333333333,317810
12-1,10,31,0.000226,6.871083,1.4915877812499996,2178308
12-4,10,30,0.220592,6.314483,1.5104951354166667,1346268
12-7,10,31,0.480242,10.237052,1.4376997187499998,2178308
12-2,10,34,0.022415,25.356079,1.4396561458333337,9227464
