Task ID,Task Number,Fibonacci Size,Relative Start Time (s),Task Latency (s),CPU Freq (GHz),FLOPs
1-3,9,25,0.14161,0.086098,1.2208325833333333,121392
1-5,9,29,0.390889,1.772708,1.2749972708333335,832039
1-1,9,28,0.000268,0.446173,1.2293263749999999,514228
1-4,9,25,0.217927,0.501146,1.2213698541666664,121392
1-6,9,27,0.472321,2.155055,1.2552074479166666,317810
1-7,9,33,0.498316,14.863943,1.2604181354166668,5702886
1-8,9,33,0.719231,20.501384,1.2291604270833334,5702886
1-10,9,35,1.08348,35.769344,1.268756114583333,14930351
1-2,9,35,0.050143,35.006929,1.2145710520833333,14930351
1-9,9,34,0.873953,35.626901,1.23956940625,9227464
2-1,9,26,0.000298,0.109908,1.2448116041666666,196417
2-6,9,25,0.430142,0.451484,1.2145821770833334,121392
2-7,9,26,0.522255,1.331707,1.21458396875,196417
2-8,9,27,0.658893,1.941425,1.2437593437499996,317810
2-10,9,27,0.912807,0.66403,1.2583340625000001,317810
2-5,9,25,0.384147,0.269542,1.2324102604166667,121392
2-9,9,34,0.862413,17.577552,1.2437626562500002,9227464
2-3,9,34,0.120565,26.088339,1.2582413020833332,9227464
2-4,9,35,0.292277,32.773834,1.2927199270833332,14930351
2-2,9,35,0.026749,32.884302,1.2968865729166665,14930351
3-1,9,27,0.000261,0.131513,1.2385417083333334,317810
3-3,9,27,0.137096,1.279088,1.2156257708333333,317810
3-7,9,27,0.415984,1.931501,1.2156386875,317810
3-6,9,30,0.359893,7.100311,1.2448070625,1346268
3-9,9,31,1.056597,7.383632,1.2447890520833331,2178308
3-2,9,30,0.04871,9.309836,1.2448041145833333,1346268
3-8,9,32,0.472004,14.341154,1.2458351666666665,3524577
3-4,9,34,0.183339,25.292729,1.237186583333333,9227464
3-10,9,35,1.133955,33.572495,1.27395634375,14930351
3-5,9,35,0.292949,34.389283,1.2739609895833335,14930351
4-1,9,27,0.000304,0.254168,1.21666325,317810
4-7,9,25,0.372,1.305446,1.2156251458333334,121392
4-8,9,27,0.657116,1.676145,1.215626875,317810
4-4,9,28,0.148461,3.999913,1.2156249062500002,514228
4-9,9,29,0.680389,3.901675,1.2156242083333333,832039
4-6,9,31,0.300896,9.254737,1.2291684999999999,2178308
4-2,9,32,0.046699,13.914386,1.2739579583333334,3524577
4-3,9,33,0.087468,16.560577,1.2448070520833334,5702886
4-10,9,35,0.777726,30.281391,1.2770811562499997,14930351
4-5,9,35,0.224769,30.688861,1.2770827812499999,14930351
5-9,9,31,1.26269,12.288082,1.2343730833333333,2178308
5-5,9,31,0.262289,10.771584,1.2635419374999999,2178308
5-7,9,26,0.449971,1.369994,1.234369541666667,196417
5-3,9,28,0.129962,1.500281,1.2343746875000001,514228
5-10,9,31,1.32905,8.143219,1.2770834270833336,2178308
5-6,9,34,0.312844,32.014089,1.2739606458333332,9227464
5-1,9,35,0.000295,37.366104,1.2406259687499999,14930351
5-2,9,34,0.033354,27.019245,1.2739573645833333,9227464
5-8,9,34,0.856168,32.768989,1.2447921770833335,9227464
5-4,9,34,0.196071,35.798306,1.260411416666667,9227464
6-1,9,26,0.000281,0.089058,1.23854278125,196417
6-4,9,26,0.13037,0.60051,1.2270832187500003,196417
6-5,9,25,0.223919,0.52334,1.2270835104166666,121392
6-8,9,27,0.77177,1.475091,1.2291800520833336,317810
6-6,9,26,0.584242,0.781248,1.21666784375,196417
6-9,9,30,0.844338,6.513537,1.2447930208333335,1346268
6-10,9,32,0.87537,10.996053,1.2447709895833334,3524577
6-3,9,35,0.099776,22.745372,1.2822915625,14930351
6-7,9,33,0.69134,15.703626,1.2447913958333336,5702886
6-2,9,34,0.035275,21.265057,1.2870306770833333,9227464
7-6,9,25,0.83171,0.245665,1.22706459375,121392
7-5,9,26,0.297667,1.794362,1.2270770624999998,196417
7-9,9,27,1.201054,2.175638,1.2270844583333333,317810
7-7,9,28,1.09822,2.599246,1.2270860208333334,514228
7-4,9,28,0.146532,3.719993,1.2270837291666667,514228
7-2,9,29,0.024457,2.83143,1.2270843125000002,832039
7-8,9,28,1.170875,3.077956,1.2562515625000004,514228
7-3,9,30,0.090548,4.328287,1.2562401875,1346268
7-10,9,35,1.237069,12.028005,1.3062658958333333,14930351
7-1,9,33,0.000279,10.751439,1.2739791354166665,5702886
8-2,9,27,0.041029,0.889941,1.2270838229166665,317810
8-6,9,26,0.305834,0.6809,1.2562500833333337,196417
8-8,9,29,0.523663,2.360992,1.2270845520833333,832039
8-1,9,27,0.000295,0.518189,1.227084,317810
8-10,9,30,0.687311,5.972744,1.2520793229166665,1346268
8-4,9,30,0.163087,5.077537,1.264579041666667,1346268
8-3,9,31,0.071647,8.653129,1.21666696875,2178308
8-9,9,35,0.621199,24.378606,1.25936690625,14930351
8-7,9,34,0.371356,22.81982,1.283313125,9227464
8-5,9,34,0.209021,23.961831,1.2994507812500002,9227464
9-8,9,27,0.540997,0.808065,1.2823010000000001,317810
9-9,9,31,0.684144,3.521766,1.3114582916666666,2178308
9-1,9,25,0.00029,0.061672,1.2864601458333333,121392
9-4,9,26,0.133666,0.313002,1.2687501249999997,196417
9-6,9,25,0.440752,0.260116,1.2767086666666667,121392
9-2,9,26,0.032934,0.307875,1.2593673333333333,196417
9-10,9,26,0.736788,0.717201,1.3077844062500001,196417
9-5,9,35,0.340907,8.101881,1.3380345416666668,14930351
9-7,9,29,0.488935,3.1284,1.3139041145833334,832039
9-3,9,31,0.055622,5.176415,1.3229175625,2178308
10-3,9,26,0.109498,0.970877,1.2641792708333335,196417
10-9,9,25,1.635564,0.747863,1.3072912187499999,121392
10-4,9,28,0.134423,2.014347,1.3072992499999998,514228
10-7,9,27,1.203964,1.436799,1.2864726666666668,317810
10-8,9,34,1.503658,10.969566,1.3614607708333333,9227464
10-10,9,28,1.737166,2.424778,1.2718650625,514228
10-6,9,28,0.959461,2.5666,1.2718770104166668,514228
10-5,9,34,0.576878,13.244667,1.3441157708333333,9227464
10-1,9,32,0.000215,10.931236,1.2999994895833336,3524577
10-2,9,32,0.043379,11.800943,1.315625510416667,3524577
11-7,9,25,0.626312,0.55076,1.3541667395833332,121392
11-2,9,29,0.022102,3.268193,1.3291775,832039
11-3,9,30,0.05777,6.361768,1.2708351979166665,1346268
11-5,9,27,0.357261,1.750053,1.3000095625,317810
11-10,9,31,2.052263,12.930179,1.2708332083333334,2178308
11-8,9,32,1.233137,15.415244,1.2999930729166664,3524577
11-6,9,33,0.4791,19.428975,1.331249447916667,5702886
11-4,9,33,0.082604,18.887352,1.3395842708333332,5702886
11-9,9,35,1.482125,32.433606,1.2846851250000002,14930351
11-1,9,35,0.000289,34.878889,1.3031256875000001,14930351
12-9,9,29,1.309971,1.812921,1.2510393020833332,832039
12-2,9,27,0.050891,0.908327,1.25520721875,317810
12-10,9,27,1.544618,0.960705,1.2802114270833334,317810
12-4,9,25,0.18635,0.382513,1.2593755104166668,121392
12-5,9,30,0.313688,5.229224,1.30937703125,1346268
12-7,9,32,0.574228,15.919262,1.2802078854166667,3524577
12-8,9,35,1.020917,31.649559,1.3052093229166666,14930351
12-1,9,34,0.000283,28.022138,1.2802099375,9227464
12-6,9,34,0.496274,30.184219,1.3183218333333335,9227464
12-3,9,34,0.135496,31.323572,1.386174729166667,9227464
13-3,9,28,0.15829,1.549472,1.2802112187499999,514228
13-7,9,25,0.814296,1.082911,1.2802080208333335,121392
13-5,9,27,0.600961,2.428412,1.2802081041666669,317810
13-8,9,27,0.846198,1.790509,1.3052560208333333,317810
13-9,9,26,1.120161,1.61228,1.280197354166667,196417
13-6,9,28,0.692514,3.267152,1.3093763437500001,514228
13-1,9,32,0.00029,11.181808,1.3343755833333333,3524577
13-10,9,35,1.43167,12.695207,1.3052138750000002,14930351
13-2,9,32,0.046468,10.033758,1.2802104895833333,3524577
13-4,9,32,0.204074,10.729604,1.2854172916666666,3524577
14-7,9,25,0.833154,0.388461,1.2802022291666668,121392
14-4,9,29,0.182197,2.886589,1.3240148541666668,832039
14-5,9,28,0.248348,3.906008,1.28802759375,514228
14-10,9,32,1.490494,16.866676,1.280208854166667,3524577
14-1,9,33,0.000295,22.875401,1.2802089374999999,5702886
14-2,9,33,0.044886,24.426295,1.3093752708333335,5702886
14-9,9,35,1.433319,44.874342,1.3052086562499998,14930351
14-8,9,34,1.242063,35.477527,1.3093748333333333,9227464
14-3,9,34,0.151566,38.368334,1.2958292083333331,9227464
14-6,9,35,0.523031,45.573802,1.3052085520833332,14930351
15-1,9,29,0.000244,3.178856,1.28020840625,832039
15-5,9,27,0.366179,0.818139,1.2802146354166668,317810
15-10,9,27,1.463805,1.916175,1.2802040729166668,317810
15-7,9,29,0.90986,4.072083,1.3093755937499998,832039
15-4,9,32,0.116915,15.217173,1.309373875,3524577
15-2,9,33,0.04683,20.592317,1.3093687395833336,5702886
15-9,9,33,1.352112,21.076484,1.3093749479166665,5702886
15-3,9,35,0.092608,31.827647,1.3197975208333335,14930351
15-8,9,33,1.215132,24.255762,1.2802077083333332,5702886
15-6,9,34,0.493153,30.31864,1.3052137708333331,9227464
16-1,9,25,0.000312,0.034304,1.280188625,121392
16-7,9,28,0.338634,1.791325,1.2520825937500002,514228
16-2,9,26,0.034846,0.100294,1.2812503333333332,196417
16-3,9,25,0.060604,0.103111,1.280204260416667,121392
16-9,9,30,0.509848,6.021556,1.2812546041666664,1346268
16-10,9,29,0.582962,5.793235,1.2812645208333333,832039
16-8,9,34,0.411271,17.751091,1.3062505104166666,9227464
16-5,9,32,0.174586,12.386159,1.28126228125,3524577
16-6,9,33,0.216413,15.863105,1.3104166249999998,5702886
16-4,9,33,0.145705,17.217836,1.3062575,5702886
17-2,9,28,0.021801,2.096202,1.2520828750000004,514228
17-8,9,26,1.360725,1.012402,1.2812509791666666,196417
17-1,9,28,0.000226,2.141041,1.2812510833333333,514228
17-3,9,29,0.098058,4.071566,1.2895824479166664,832039
17-10,9,27,2.123199,2.540968,1.2625038541666667,317810
17-9,9,31,1.848063,9.840387,1.3031185833333334,2178308
17-6,9,33,0.903269,16.524026,1.2739574166666665,5702886
17-7,9,32,1.208306,16.348327,1.2739587291666667,3524577
17-4,9,35,0.257386,30.486521,1.31250053125,14930351
17-5,9,35,0.359207,29.904651,1.2833327708333333,14930351
18-1,9,26,0.000281,0.070255,1.2145753333333333,196417
18-3,9,27,0.075818,0.550044,1.2302086666666667,317810
18-2,9,26,0.05009,0.276011,1.2125001979166667,196417
18-9,9,27,0.520695,1.504167,1.2010418958333333,317810
18-6,9,30,0.336559,5.528619,1.2593804791666667,1346268
18-5,9,30,0.225582,5.537196,1.2885411770833333,1346268
18-7,9,30,0.382823,6.341635,1.2593758541666669,1346268
18-10,9,34,0.729522,14.094039,1.3125022395833332,9227464
18-4,9,32,0.147405,10.802707,1.2885405208333334,3524577
18-8,9,33,0.429234,13.267007,1.3286533333333332,5702886
19-1,9,25,0.000273,0.034346,1.3515800104166666,121392
19-4,9,25,0.111677,0.16147,1.2968728229166666,121392
19-10,9,26,1.139416,0.985228,1.2885423645833332,196417
19-7,9,28,0.506238,3.143218,1.289584447916667,514228
19-6,9,29,0.335856,2.924863,1.2885380312499999,832039
