Task ID,Task Number,Start Time (s),End Time (s),Task Latency (s),CPU Freq (GHz),Total Data Size (MB),Total FLOPs (GFLOPs),Concurrent Task Count
1-3,9,0.3865,6.4373,6.0508,1.5146,11.7294,106.86
1-4,9,0.5205,6.4488,5.9283,1.5086,26.1889,73.98
1-10,9,1.7173,6.6279,4.9106,1.5612,6.8019,82.2
1-5,9,0.6837,6.7075,6.0238,1.5213,11.7294,106.86
1-2,9,0.2682,6.8639,6.5957,1.5551,16.2015,41.1
1-7,9,1.0822,7.0454,5.9632,1.5274,16.2015,41.1
1-1,9,0.0893,7.4373,7.348,1.6423,26.1889,73.98
1-6,9,0.8667,8.6301,7.7634,1.5725,57.8413,106.86
1-8,9,1.167,8.634,7.4671,1.5698,60.5415,123.3
1-9,9,1.3409,8.8592,7.5183,1.6554,35.3044,312.36
2-3,9,0.305,5.1934,4.8884,1.6238,6.8019,82.2
2-9,9,1.4239,6.7664,5.3425,1.5238,6.8019,82.2
2-1,9,0.0864,6.7755,6.6891,1.5344,11.7294,106.86
2-2,9,0.0995,6.8134,6.7139,1.5063,16.2015,41.1
2-5,9,0.6749,8.3441,7.6692,1.7004,61.4555,106.86
2-4,9,0.4704,9.1557,8.6853,1.5856,61.4555,106.86
2-10,9,1.64,9.2971,7.6571,1.6164,35.3044,312.36
2-7,9,1.0847,9.3109,8.2262,1.5899,35.3044,312.36
2-6,9,0.8908,9.6738,8.783,1.5728,60.5415,123.3
2-8,9,1.3462,10.2197,8.8735,1.5187,62.6262,131.52
3-4,9,0.7289,5.1423,4.4134,1.571,16.2015,41.1
3-10,9,1.696,7.0672,5.3712,1.5549,6.8019,82.2
3-8,9,1.2874,8.1766,6.8892,1.5547,11.7294,106.86
3-9,9,1.4552,8.8629,7.4078,1.4985,26.1889,73.98
3-6,9,1.0723,11.0754,10.0031,1.3786,57.8413,106.86
3-2,9,0.3307,11.2278,10.897,1.3892,61.4555,106.86
3-1,9,0.1368,12.01,11.8732,1.4167,61.4555,106.86
3-5,9,0.8691,12.0104,11.1413,1.4167,57.8413,106.86
3-3,9,0.597,12.0304,11.4333,1.4128,62.6262,131.52
3-7,9,1.2539,12.0193,10.7654,1.4149,61.4555,106.86
4-8,9,0.9984,6.4101,5.4117,1.5477,6.8019,82.2
4-4,9,0.5633,6.7764,6.2131,1.4393,16.2015,41.1
4-3,9,0.4112,6.9487,6.5375,1.4229,16.2015,41.1
4-5,9,0.7388,7.0484,6.3095,1.4471,6.8019,82.2
4-10,9,1.4429,7.5258,6.0829,1.4427,16.2015,41.1
4-2,9,0.2565,9.5899,9.3334,1.4737,57.8413,106.86
4-1,9,0.1264,9.6039,9.4775,1.5131,61.4555,106.86
4-6,9,0.7682,10.3186,9.5504,1.5365,61.4555,106.86
4-9,9,1.2058,10.3296,9.1238,1.4952,61.4555,106.86
4-7,9,0.979,10.3463,9.3673,1.4668,35.3044,312.36
